
 Oxidised N;

year;ARC;BAP;BOB;BOS;GUF;GUR;KAT;SOU;WEB
1995;        6.4075;      114.1142;        8.1191;       18.2335;       14.0099;        8.7936;       16.7242;        1.9743;       15.0153
1996;        6.3849;        113.44;        8.1032;       18.1634;       13.9418;         8.747;        16.604;        1.9681;       14.8293
1997;        6.1644;      109.3295;        7.8272;       17.5311;       13.4743;        8.4328;        15.926;        1.8839;       14.2767
1998;        6.0048;      106.1093;        7.6457;        17.089;       13.1763;        8.1845;       15.4965;        1.8293;        13.919
1999;        5.8487;      103.2564;        7.4613;        16.642;       12.8399;        7.9469;        15.077;        1.7795;       13.5646
2000;        5.6203;       99.1843;        7.1579;       15.9716;       12.3311;        7.6154;        14.573;        1.7168;       13.1362
2001;        5.5304;       97.2955;         7.017;       15.6969;       12.2096;         7.495;       14.2433;         1.678;       12.8195
2002;        5.4165;       94.8008;        6.8624;       15.3623;       12.0419;        7.3281;       13.8131;        1.6291;       12.4194
2003;        5.4959;       95.3746;        7.0155;        15.613;       12.3677;        7.4039;       13.7963;        1.6292;       12.3731
2004;        5.4202;       94.1124;        6.8873;       15.3742;       12.2091;        7.3168;       13.5458;        1.5989;       12.1681
2005;          5.32;       92.4696;        6.6958;       15.0678;       11.9353;        7.1893;       13.3593;        1.5778;       11.9431
2006;        5.2759;       91.7128;        6.6868;        14.927;       11.9088;        7.1178;        13.251;        1.5664;       11.8431
2007;        5.2052;       89.9914;        6.5862;       14.7092;       11.8994;        7.0308;       12.8162;        1.5153;       11.4608
2008;         4.557;       82.5298;         5.447;       12.6771;        9.3007;        6.3274;       12.2029;        1.4398;       10.9709
2009;        4.2076;       76.3843;        5.0353;       11.7159;        8.5336;         5.828;       11.1856;        1.3239;       10.0798
2010;        4.3037;       77.2954;        5.1909;        12.015;        8.7839;        5.9295;       11.2302;        1.3286;       10.1038
2011;        4.1612;       75.0087;        4.9811;       11.5749;        8.4961;        5.7418;       10.8931;        1.2903;        9.8057
2012;        4.0761;       73.6183;        4.8527;       11.3037;        8.3283;        5.6491;       10.7301;        1.2681;        9.6714
2013;        3.9147;       71.2884;        4.6997;       10.9248;        7.9926;         5.442;       10.6935;        1.2486;        9.5938
2014;        3.8121;       68.8634;        4.5757;       10.6516;        7.7965;        5.2812;       10.3379;        1.2043;        9.2687
2016;        8.5766;      158.0994;       10.5071;       25.0079;       17.3574;       11.3587;       33.3121;        3.3154;        28.213
2017;        8.8888;      163.7988;       10.8577;       25.8903;       17.9671;       11.7642;       34.5632;        3.4342;       29.2381
2018;        9.0351;      166.4431;       11.0191;       26.3161;       18.2025;       11.9353;       35.2729;        3.4988;       29.8299
2019;        8.1759;      149.6496;        9.9666;       23.7252;       16.5662;       10.7767;       31.0209;        3.1061;       26.3165
2020;        7.4606;      136.2777;        9.1427;       21.7425;       15.2521;        9.8515;         28.44;         2.832;       24.0661

 Reduced N;

year;ARC;BAP;BOB;BOS;GUF;GUR;KAT;SOU;WEB
1995;        2.7167;       67.0397;        3.4997;        8.0572;        6.4478;        4.7071;       13.4142;        1.4671;       15.4054
1996;        2.6854;       65.8602;         3.481;        7.9445;         6.273;         4.616;       13.1273;        1.4383;       15.1893
1997;        2.6839;       65.1909;        3.5048;        7.9428;        6.2559;        4.5914;       13.0493;        1.4279;       15.0493
