
 Oxidised N;

year;OR1;OR2;OR3;OR4;OR5;EEZ100;EEZ108;EEZ109;EEZ110;EEZ119;EEZ185;EEZ188;EEZ189;EEZ190;EEZ191;EEZ209;EEZ212;EEZ213;EEZ215;EEZ216;EEZ224;EEZ273;EEZ48;EEZ65;EEZ71;EEZ91;EEZ99
1995;   16.3698;   11.3385;   22.8625;   13.3224;    0.3999;    0.4585;   35.6253;    1.6965;    0.7639;    0.0448;    5.7554;    2.3055;   29.0979;   22.2664;   30.1692;   49.4295;     8.687;  118.6223;    9.0649;   63.2319;    5.1858;    31.466;   96.8682;  215.5546;   64.2401;   67.1272;  164.1344
1996;   16.6289;    11.329;   22.8792;   13.7519;    0.4085;    0.4593;   36.0155;    1.7047;    0.7681;    0.0448;    5.6485;    2.2752;   28.7821;   22.0794;   29.6876;    49.969;    8.6599;  119.0584;    8.8715;   62.8676;    5.1564;    32.437;   95.9053;  214.3938;   64.8702;   68.6894;  165.7966
1997;   16.6811;   11.3131;   22.8612;   14.0189;    0.4125;    0.4593;   36.2668;    1.7217;     0.779;    0.0448;    5.6146;    2.2494;   28.4538;   21.8015;   29.4891;   50.5565;    8.6398;  119.3571;    8.8042;   62.5102;    5.1373;   32.6691;   95.4066;  213.5875;   65.3714;   69.4595;  166.4629
1998;   16.8104;   11.3169;   22.8828;   14.1625;    0.4161;    0.4601;   36.6659;    1.7188;    0.7779;    0.0448;    5.6326;    2.2105;   28.0899;   21.7108;   29.5769;   50.6631;    8.6366;  119.1866;    8.7127;   62.4545;    5.1414;   33.1351;   94.9156;  212.8583;    65.745;   70.0981;  167.3236
1999;   16.7587;   11.1781;   22.6489;    14.251;    0.4157;    0.4553;   36.4268;    1.7033;    0.7709;    0.0443;    5.4882;    2.1657;   27.6101;   21.4629;   28.8702;   50.3509;      8.52;  118.0782;    8.5146;   61.4725;    5.0556;   33.2571;   93.3084;   209.754;   65.2932;   70.1058;  166.3657
2000;   16.6643;   10.8457;   22.0649;   14.3125;     0.419;    0.4406;   35.4139;    1.6901;    0.7728;     0.043;    5.3973;    2.1003;   26.5096;   20.8487;   28.3002;   50.4964;    8.3438;  113.8375;    8.3734;   60.0619;     4.948;   33.5894;   91.3255;  203.7586;   63.2858;   70.6982;  163.6341
2001;   16.5228;   10.7381;   21.8662;   14.3434;    0.4133;    0.4366;   35.1162;    1.6628;    0.7596;    0.0426;    5.3606;    2.0502;   25.9279;    20.686;   28.0985;   49.7048;    8.2751;  112.2997;     8.305;   59.5041;    4.9121;    33.204;   90.4406;  201.1261;   62.5453;   69.8617;  162.0497
2002;   16.3414;    10.516;   21.4681;   14.2139;    0.4119;     0.427;   34.3891;    1.6503;    0.7581;    0.0417;    5.2602;    2.0083;   25.2909;   20.2328;   27.4854;   49.5407;    8.1356;  109.7599;    8.1536;   58.4053;    4.8298;   33.0572;   88.7887;  197.0013;   61.2514;   69.6192;  159.6667
2003;   16.1769;   10.2972;   21.0738;   14.2704;    0.4056;    0.4182;    33.605;    1.6017;    0.7339;    0.0408;    5.1494;    1.9441;   24.5983;   19.8625;   26.8319;    48.278;    8.0169;  106.9177;    8.0768;   57.3826;    4.7553;   32.8435;   87.5107;   192.196;    59.655;   68.6961;  156.8849
2004;   16.3186;   10.5055;   21.4556;   14.3869;    0.4081;    0.4277;    33.776;    1.6134;    0.7327;    0.0417;    5.1591;     1.931;   24.9578;   19.9557;   26.9638;   48.3594;    8.1235;  110.4028;     8.105;   58.0698;    4.8026;   33.2051;   88.5165;  195.5475;   60.8107;   69.0927;   158.815
