
 Oxidised N;

year;ARC;BAP;BOB;BOS;GUF;GUR;KAT;SOU;WEB
1995;    6.2570;  106.9119;    7.9967;   17.7693;   13.4517;    8.2102;   14.9514;    1.9369;   14.1614
1996;    6.4729;  104.5892;    6.9353;   16.8929;   13.2652;    7.9461;   14.7109;    1.7695;   13.3966
1997;    5.2532;   94.5004;    5.8955;   14.9785;   11.7173;    7.5347;   14.9687;    1.7846;   13.0399
1998;    6.3269;  113.8979;    8.2198;   18.1165;   13.5313;    8.3293;   16.0212;    2.0950;   16.1191
1999;    6.4843;  108.2215;    7.8485;   18.2183;   13.0570;    8.2488;   17.9834;    1.9134;   14.2519
2000;    6.9533;  109.8347;    9.0878;   21.0991;   13.7769;    8.2883;   19.0095;    2.1129;   15.2688
2001;    5.9498;  105.1083;    7.2807;   16.5279;   12.1372;    7.8802;   15.9335;    1.9317;   14.2452
2002;    4.9904;   96.8457;    5.5941;   13.6433;   10.7074;    6.9367;   14.8102;    1.7916;   13.9462
2003;    5.4467;   92.7309;    6.7539;   15.5419;   12.3074;    7.0978;   15.0942;    1.7074;   12.8723
2004;    5.1962;   94.1103;    6.3157;   13.8273;   12.2904;    7.1578;   14.0657;    1.7291;   13.1624
2005;    5.3006;   92.7035;    7.5044;   15.0740;   11.6505;    7.0058;   14.3910;    1.6088;   12.3988
2006;    5.6120;  101.0799;    6.5009;   16.3494;   11.3246;    7.0326;   16.7111;    1.8725;   14.1810
2007;    5.3371;   92.9830;    6.1901;   13.6003;   12.2647;    7.4744;   12.6119;    1.6555;   12.1376
2008;    5.6251;   95.3341;    6.3539;   14.8395;   13.1601;    7.9253;   13.3130;    1.5483;   11.6209
2009;    4.6574;   82.4491;    5.4018;   13.1027;    9.7210;    6.1987;   13.2176;    1.5465;   11.5204
2010;    4.9775;   89.4184;    6.1186;   14.6500;   11.0249;    6.5694;   11.2523;    1.3511;   10.6296
2011;    4.9746;   83.1993;    6.1982;   13.7477;   10.9270;    6.6321;   12.6478;    1.4383;   10.9625
2012;    5.6221;   89.4097;    7.1258;   15.7570;   11.4770;    7.0920;   12.9428;    1.4933;   10.8892
2013;    4.5907;   74.6933;    4.9146;   10.7644;   10.1544;    5.7654;   10.5447;    1.2748;    9.9805
2014;    4.4633;   75.8658;    5.5251;   13.0528;    9.1576;    5.2933;   12.6756;    1.4177;   11.0223
2015;    4.1229;   74.3100;    5.5125;   11.4501;    9.0647;    5.5599;   11.4855;    1.4565;   11.2096
2016;    3.6328;   65.5409;    4.8501;   11.0605;    8.5985;    4.8278;   10.2359;    1.2122;   10.1548
2017;    3.8912;   72.2572;    4.8966;   11.1505;    8.7149;    5.3967;   10.4844;    1.2700;    9.5461
2018;    3.8584;   65.8651;    4.8936;   11.4300;    8.4852;    5.0140;    9.8406;    1.1760;    8.8159
2019;    4.4466;   71.2244;    4.5486;   11.8068;    9.1425;    5.7430;   11.1065;    1.2405;    9.1304

 Reduced N

year;ARC;BAP;BOB;BOS;GUF;GUR;KAT;SOU;WEB
1995;    2.7511;   59.0310;    3.5203;    7.4878;    6.6545;    4.5451;   10.6745;    1.3172;   13.0795
1996;    2.9808;   62.6445;    2.7524;    7.1405;    7.1580;    4.9836;   10.3799;    1.2039;   11.8200
