	AL	AM	AT	AZ	BA	BE	BG	BY	CH	CY	CZ	DE	DK	EE	ES	FI	FR	GB	GE	GR	HR	HU	IE	IS	IT	KG	KZ	LT	LU	LV	MD	ME	MK	MT	NL	NO	PL	PT	RO	RS	RU	SE	SI	SK	TJ	TM	TR	UA	UZ	ATL	BAS	BLS	MED	NOS	AST	NOA	BIC	DMS	VOL	SUM	EXC	EU
AL	51.5029046058251	7.10455780132671e-05	0.396208009735358	0.000476849052382371	0.538641562068458	0.0846871188239821	0.772119312505796	0.102318571904326	0.195447119525687	0.0086329064873089	0.439762609685862	0.983778788947342	0.0488717143739136	0.00272992721502162	5.52524445563734	0.00832474560751525	2.2586583348936	0.102298697408233	0.00140419687334505	5.85290472069033	0.756393070933608	1.24330493916801	0.036859236119088	0.000676031252458721	15.2447787264523	9.20722517748868e-06	0.00726773042075012	0.0165805728375681	0.00767154667145778	0.006063849303378	0.178928197484503	1.57551059796515	1.56336605206454	0.0793774439271535	0.144950117687557	0.00681425645037688	0.668007164680369	0.262183384363729	1.78161272787183	10.9972124827447	0.465217384198923	0.0262022673788663	0.155696054152853	0.367628390082845	4.38225725872671e-06	0.000271590024673976	0.436361577474357	1.12483425103503	0.000794647932036197	0	0	0	0	0	0.0155949359247409	2.00402749099751	0	0	0	107.999685599922	105.98006381728	37.1792321479229
AM	0.0245466626639607	28.3869240888297	0.0105486996061387	13.66425232102	0.00788716054696906	0.00612978997040538	0.0526073348506861	0.0414960491477087	0.0181766336575252	0.278985006263833	0.0111359199939323	0.0496311036756403	0.00842134472608975	0.00141637974437294	0.183920828023465	0.00340415183962229	0.0652926037052109	0.010024976990527	5.623454321285	0.233197115437118	0.0120992058508883	0.0212683541689852	0.0024025271366852	6.28019038230059e-05	0.30677848526209	0.000197868803904502	0.107824590855204	0.00821129762952153	0.000472107835424975	0.00231449211665532	0.0197440844437292	0.00606266672849762	0.0172574378547666	0.00101372108313813	0.00849692559173062	0.00109653161343764	0.0830983925469572	0.0192145337671126	0.111721785997325	0.0887773260921253	1.89740175396053	0.00513928870783161	0.00373146232244329	0.00683122696596566	0.000170855195224446	0.26198227698174	44.7956536670048	0.275979324910483	0.171793840344065	0	0	0	0	0	20.4339805996539	0.527761921020145	0	0	0	117.879993846327	96.9182514863207	1.49748410551875
AT	0.183696560115552	0.000469752406759919	254.071030378032	0.0021250967623737	0.745099525346541	4.39888403202492	0.250732628334297	0.480491370913018	28.8729840166934	0.00127004197005185	25.9760913847926	165.330417639319	1.40179734435707	0.052639467583319	7.35115227786488	0.0830682472061897	37.374937573038	4.44225205395224	0.0107145101820382	0.197567725693876	6.91327240283903	8.83417450779861	1.2346851606606	0.017038433183072	70.6194904112144	2.95731489111897e-05	0.0125903675810538	0.261245971825758	0.652859211703712	0.0966850345421481	0.17230601624209	0.0928012632461882	0.0841854492803713	0.00974246720811639	8.73547117215215	0.175000160176777	8.04927828226537	0.451181827175482	2.39138038669907	4.32332185854153	0.821474909121584	0.37692125098768	15.0061307570015	3.0096758323125	1.72818632257526e-05	0.00097581456494394	0.184112335247389	1.68729859997194	0.00123755847216588	0	0	0	0	0	0.0130236881397212	1.20652673239769	0	0	0	666.661556344153	665.441995080791	623.131782704378
AZ	0.0374653364499942	8.17885985657814	0.0268297141516217	151.136620068467	0.0146973709482507	0.0188611230325036	0.134672283675596	0.327978904030112	0.0281118715483464	0.351123546154968	0.0462273000155783	0.2248339520422	0.0432675359249098	0.00995743687495226	0.295518419630758	0.0227414221179417	0.119186552080367	0.0452653267000124	17.9167409355756	0.390440215976455	0.0263763276465141	0.0624436271989124	0.00951916093982589	0.000259980212827097	0.435917227324162	0.00227599949331268	0.815915106740185	0.075288300466259	0.00102148366126604	0.0203122837653446	0.101674155118156	0.0103647103684693	0.0331695631104907	0.00158079422574883	0.044256737164509	0.00596792913089267	0.487454415278153	0.0298937089592161	0.434070400828449	0.19098265341	25.6560109107383	0.0300125808474499	0.00955542075912674	0.0270521793277397	0.00224855573438019	1.92088921334368	43.437831983612	2.22819437839476	1.41743497484099	0	0	0	0	0	46.2893501702367	0.746714647924902	0	0	0	303.923438752778	256.887374346622	3.3784141461831
BA	0.955349365130532	0.000267867705017181	4.24298679292544	0.00154079487189926	37.196795005447	0.498668256874144	0.983071052491566	0.690609455679461	0.866925438121163	0.00339895891448222	5.7149831005605	9.39619407359692	0.382209290770803	0.00921884048090357	10.3344823138972	0.0315841059318054	6.04899292806574	0.579894960931655	0.00345086871433276	0.680861315601065	19.3948300014634	12.5685989437935	0.166801779320079	0.0024283364640064	40.1343393895209	2.84883287829015e-05	0.0182621545916888	0.223257989248767	0.0529306360540005	0.045077855831562	0.291456625127032	1.85969682994264	0.261431487350381	0.0501493267866985	1.10422888605846	0.044834242020026	5.29989570270342	0.595104223733287	4.67971778587075	27.1016891430335	0.94750721567817	0.170776421091771	1.47561983899287	3.45498330420288	1.97977124121239e-05	0.00118031307215835	0.159719298676947	2.07433055793112	0.0030157504105387	0	0	0	0	0	0.0190816458593813	2.89527548217182	0	0	0	203.717754239755	200.803397133115	127.742962958198
BE	0.000782700224264687	0.00014812012577083	0.220509795863784	0.00186326815262936	0.00240303058394018	236.28128484786	0.00276681613833841	0.051734086560691	0.641737774633941	1.50872218315145e-05	0.454535093623786	12.4945795049465	0.612542118519531	0.00345821037068935	4.50324129155574	0.00830848193407921	118.95855502151	23.500007570366	0.00181101048839925	0.00197249138615821	0.0243144822051918	0.0983841857916229	4.20545371487663	0.0107151659809161	0.821305803524427	8.35766224254817e-06	0.00367102939147914	0.0277856401829965	2.69937320323659	0.00912432170447231	0.0193924375810685	0.000365044380852505	0.00096010309935344	0.00237991142783823	32.6747118069755	0.0622467755336855	1.2457393544379	0.359575178446071	0.14656044740018	0.0326814933158175	0.145846845301905	0.0730312648567779	0.029590071505306	0.0652985757213004	7.36418933529529e-06	0.000294777265343286	0.0203013145383471	0.213124394302676	0.000185342832181626	0	0	0	0	0	0.00147610490701006	0.21199916876985	0	0	0	440.948160003411	440.734673405977	416.024392198384
BG	4.81822480934334	0.0086363112594596	2.52072217707147	0.0402870055013758	1.50191256294128	0.52176460257239	123.142260780055	1.98108649835109	0.647340331920529	0.0617951347309613	3.87300750942529	8.08464767761477	0.579517600786821	0.0297242606572084	7.50899894987007	0.0831508923826507	3.9948930912435	0.675738659955523	0.172423360873077	28.5211618512277	2.52327705783599	9.14357840924588	0.128801580228907	0.00257396133051866	18.6000127436238	0.000255155595913216	0.281501411252997	0.272144812391424	0.0461178807153436	0.0763179002064122	5.05765406654111	1.17459514476525	9.11791376771328	0.0524206621950352	1.03795707693472	0.0534185944048886	6.66269248834808	0.478374377715715	82.4500062989869	41.802922915731	20.1387990157439	0.244920558004561	0.75662723209415	2.74689498915996	0.00015835747275113	0.0190762266166467	19.203348458373	26.2111210220757	0.0436863461772221	0	0	0	0	0	0.255662117209722	3.14362883711653	0	0	0	440.493753533591	437.094465829781	304.141788737139
BY	0.337922609948034	0.0304790200352401	4.8441679564589	0.249105466010052	0.664914987174243	3.69965715259691	2.06133897089092	385.730849279612	1.92311828527988	0.020738088576016	13.1449197271899	54.5391573024413	10.9769359476402	1.09813019436743	5.37848168407551	1.55297256337282	14.326638191238	7.82208901678658	0.38381488963419	1.47410484655392	2.81455784779806	13.6247932636103	1.43321131548734	0.0121586683961975	7.22411434668965	0.00134331725624169	0.768341135805639	26.3989917613609	0.274010189700978	4.94667951411472	7.32903834572878	0.213179413549152	0.35776789674624	0.00876655767111052	9.06794845236415	0.626989350833833	178.77309548416	0.468395679448948	28.7745353775469	8.40640506622143	86.1434132849334	4.93265564281584	1.60933059293011	7.78401942078469	0.000672454031446137	0.122260642407893	7.57702927341453	139.760756777042	0.25249684318778	0	0	0	0	0	0.401699095321992	0.806637557294368	0	0	0	1051.17483074854	1049.96649533859	401.252348546534
CH	0.00111736115711117	5.71461322464451e-05	2.64528109225249	0.000245372395747804	0.00981518265798782	2.28564571903885	0.00311378927221453	0.0301496256232314	261.056969907332	7.44585605235125e-06	0.370398235229134	25.5942282034076	0.232273409493514	0.00284219738576162	10.3490936675077	0.00640888376821723	51.0699939180037	2.46966632033548	0.00133524659238138	0.00248310468338686	0.138747178658897	0.125992080105043	0.749955404688579	0.00439683689108176	41.7447285917598	3.90854969086548e-06	0.0011748084319557	0.021027571488594	0.348465072391341	0.00759103889063893	0.0119967447403241	0.0009312275310157	0.000723258574675937	0.00254109796522014	2.50904456169464	0.0316252534119649	0.442971143445781	0.590689184212839	0.124662308542255	0.0896610156058863	0.054693805514188	0.0378549324691435	0.196832052624802	0.0534309869313478	2.09648338429151e-06	0.000144214651955993	0.0132949341412731	0.102705831434003	0.000182252090668397	0	0	0	0	0	0.000895845759758987	0.813605770397235	0	0	0	404.351696838203	403.537189880859	139.656303520046
CY	0.0226966676216124	0.000798653640278991	0.0148438349150836	0.002763092597495	0.00714309385061754	0.00375541331281395	0.0639429797503883	0.0115967881649411	0.0104263311808731	15.0565149166942	0.0131059847887446	0.0387569936050969	0.00230709444962446	0.000227572462275536	0.113133543890412	0.000505407713788847	0.0520639846445634	0.00600169078307654	0.00909250678007888	0.383373142206239	0.0144088062627031	0.021305823817269	0.00135615249091399	2.29148228588229e-05	0.202342677344241	1.20310740848379e-06	0.00246203872464735	0.00137995293547677	0.000338740914560885	0.00049476208996807	0.0222274458442829	0.00454157134215055	0.0223891112813536	0.00329577657027329	0.00465371453713408	0.000323311191493445	0.0258005852685289	0.0063939194469668	0.123940676688721	0.0844987552742049	0.224339629383058	0.00137590881585239	0.00616225775688346	0.00677415674092776	5.00159871973307e-07	0.000256966058101089	5.83022266007669	0.143147740151062	0.00018652585836999	0	0	0	0	0	1.22918520721833	0.949759294424588	0	0	0	24.7466384796511	22.5676935443239	16.1625548810024
