	AL	AM	AT	AZ	BA	BE	BG	BY	CH	CY	CZ	DE	DK	EE	ES	FI	FR	GB	GE	GR	HR	HU	IE	IS	IT	KG	KZ	LT	LU	LV	MD	ME	MK	MT	NL	NO	PL	PT	RO	RS	RU	SE	SI	SK	TJ	TM	TR	UA	UZ	ATL	BAS	BLS	MED	NOS	AST	NOA	BIC	DMS	VOL	SUM	EXC	EU	
AL	57.230850702697744	0.0005183445531814267	0.5322836160235151	0.0023314660074348304	0.5318158038680828	0.0908256865039098	0.981761744258041	0.10895993915259566	0.23583745166083148	0.0074271995473133325	0.580115037388193	1.2020073667468594	0.07469344102306512	0.002776715161845883	3.7697443970656512	0.008131860968502257	1.7860770303990652	0.1499942976229171	0.0066289898397220715	6.514728650363684	0.919090616393082	1.2223206964551399	0.036249027445139054	0.0004888941745575262	14.759959041851168	3.6439673717172926e-05	0.012769353289477542	0.025747929230778854	0.007568480077082256	0.00738143129293109	0.12438245420633422	1.7771600479294272	1.685256450254121	0.08580165059869298	0.1798051224230751	0.007098140316200898	0.7779986811656165	0.22308281960335288	1.904766404887833	11.599514508032767	0.6461367843794359	0.03180513195486485	0.21695401761388233	0.4226481094642091	2.019080620536432e-05	0.0005734128844289029	0.6143074393315143	1.0019036347464931	0.00254377799418604	nan	nan	nan	nan	nan	0.021640761086537397	2.143275523853099	nan	nan	nan	108.64273547368016	112.60538453952881	36.070597269732794	
AM	0.02278821977076903	29.90593231663487	0.01400818953645211	13.024290941819254	0.00717389519055647	0.005059561979311068	0.06138540939366085	0.03393526125697855	0.010949610245916522	0.31678385491774014	0.01575760629434667	0.057170102475027594	0.007364976699621092	0.0010109610594970216	0.12399421411406596	0.00308701945525558	0.05576090514875939	0.009316345828878322	5.911367213863792	0.2584158764399653	0.014607991098843776	0.025483688549079564	0.0024730895859312136	0.00012234404861445427	0.21505272145812052	0.0004878011789068599	0.10504885966337012	0.005962418183500466	0.00043807562349222184	0.0020305912893031357	0.022249139980130932	0.005163120784021008	0.01949981706362552	0.002075851496006975	0.010263109250504145	0.0011597644063189602	0.07360251615125259	0.01057473741902337	0.13994900424026013	0.09169001539536326	1.5986710066970906	0.004362265983829471	0.004792993756907578	0.010555324140470237	0.00041314161802104304	0.18680731797315855	44.36567663224218	0.3457638863324395	0.1974517566176772	nan	nan	nan	nan	nan	19.634472409028803	0.6818915812938361	nan	nan	nan	135.10456936782393	118.3815378522632	1.4600538989103695	
AT	0.15805448520753174	0.000544380997528609	252.08767724331958	0.0024917545126558493	0.6694039313027011	4.0051585982038365	0.49469314396759745	0.7720932012087296	23.32695444164139	0.0022235115204038763	31.226813904065583	140.23710704042375	1.6237865937851303	0.028676416282376476	5.788211545990317	0.06435619610333869	26.662095847159648	3.746531452898754	0.005839215208471515	0.29872747116421455	6.70666174724974	10.527592364802873	0.6992724604835782	0.007584919907947294	54.06389399149273	6.571203828959702e-05	0.03022519782801795	0.21747699952681734	0.5293647776678255	0.06863772438340172	0.17187692074332303	0.09383493926188032	0.1346041903280517	0.009274018658017994	8.29941099247541	0.14687880858855779	11.294233168162748	0.4703163899922027	3.445387602119888	5.446647790563774	1.6257766650046321	0.4602353077287829	13.57106413656473	5.488452585811147	4.0061857083582195e-05	0.0014091790734720834	0.18693890972688096	2.8248892996043673	0.009074455774440656	nan	nan	nan	nan	nan	0.013243030259122773	0.859828228882868	nan	nan	nan	603.9634020402949	639.7714129428856	593.7907002974664	
AZ	0.03269033333283857	8.435915956406228	0.030906518040728265	154.79483388086126	0.011859097698192137	0.018542716403531414	0.11253283029114079	0.23726632884209095	0.01973446322304005	0.3619590214739589	0.04976544802095662	0.21399271140404588	0.03452604549915652	0.0066262009779068315	0.1669575703411744	0.019196548021158843	0.10292288268755528	0.03618391505590874	18.885896682514282	0.3491178646632074	0.027171360601929293	0.060454082702667646	0.008521405293952925	0.00037489585281762905	0.3171444732751658	0.00620881105874829	0.8516901039003155	0.042332104359241625	0.0011389232003135368	0.013768135013651513	0.0762070579612986	0.008210273766008816	0.03010292363999301	0.002723897944491865	0.04199668041249651	0.0053672730665663615	0.39034730240374005	0.014438507968918803	0.3629785443642855	0.16009678146186868	24.029129055640553	0.021433594125002592	0.010045264773021449	0.030878767374128906	0.009808268666274393	1.628830654209416	37.717761990555864	2.1169159707722094	1.748648657946508	nan	nan	nan	nan	nan	47.56394673214885	0.9213396436427498	nan	nan	nan	374.9126320170364	339.32149250493984	2.8231244776823607	
BA	1.0965625730535462	0.0006678024339514483	5.011635091428719	0.0027105312704332903	38.688686789447985	0.4524826003586046	1.2197534915448074	0.5362289097164564	0.8983293044688084	0.004192399793533732	7.015726003966846	9.699577428506265	0.547980342645166	0.011492608477692573	6.695478646309077	0.03476641138717184	4.4277648124711675	0.7256252437398013	0.008076277202125672	1.0494882001098063	23.6961051717113	14.288004445860432	0.15955162052956026	0.0015376507271776024	35.48103780155325	4.59704110279464e-05	0.023149495064021582	0.13883289856759107	0.04534002167968692	0.03899382575031088	0.2108777657621963	2.255862747215019	0.37268324797419483	0.056110279123108835	1.1476991245861512	0.04462414163940265	6.249304326891768	0.43931451253376874	5.842289268558809	29.953734356679245	1.2258300546003984	0.19837309836896824	1.7621357927983219	4.670545957839932	2.8073763486528557e-05	0.0010499270422452234	0.39211762703833686	2.5003686406168915	0.0061104093086291585	nan	nan	nan	nan	nan	0.01575426936563094	2.3791737681448484	nan	nan	nan	211.37193657583794	221.31773950645152	129.79061015790342	
BE	0.004394228398993935	6.299621257648367e-05	0.5413966715689574	0.00046409703712325365	0.0077385189130166725	231.8067496503645	0.009550342384367165	0.1362356776121417	0.8167657115396443	0.0001082906368380329	0.8842185367104222	21.199846565950466	0.8552570580599022	0.009277679706361291	3.968940718889687	0.024887010638976286	101.13047889167501	19.477258319853934	0.0005712230525025706	0.009966518012116997	0.04937930091993417	0.13461074210704183	2.8460446199262392	0.008308856328123235	0.901671827050255	6.721890716880993e-06	0.004331182779621187	0.08507755854445186	3.2167330755551675	0.025472970125127087	0.017336800371474326	0.001662679394575401	0.0033448376132391763	0.0014752095011560124	43.98373013921067	0.07680207627252642	1.8328100059725507	0.37278997054074337	0.11518783035510378	0.06206818904781521	0.28697442832289344	0.15531867227029506	0.04705103531521648	0.11297559017975052	4.526206507755953e-06	0.00017816042137007033	0.016191770496648026	0.2235590435000747	0.0011371668027517037	nan	nan	nan	nan	nan	0.0010530441218410478	0.1709645012780481	nan	nan	nan	385.5704510295	408.46342669448603	383.4262853950617	
BG	4.663762036473012	0.03221128510316624	2.1268765536702685	0.15997605937236256	1.174717338818647	0.4025613028796693	153.7902704838423	2.2857672386482673	0.5244485708670791	0.06479171866667205	3.553153459852996	6.762753114068619	0.6231152375867658	0.05213385460415237	4.508611407409902	0.1304544038382968	2.727767039132162	0.5757155090521757	0.365154937170781	27.60506847970193	2.507423008125238	9.304996122097771	0.11503523772506093	0.0022589586560599986	13.774038667132382	0.0010433645513473798	0.3283549632739433	0.435822284995181	0.03949153945673661	0.12976797068974397	5.30492550807165	0.9947701400919972	9.163736806701408	0.05173702456570672	0.9088645642925944	0.07077342838245729	8.09269971825077	0.3110080954359639	92.58751219808472	42.44762975345716	22.913301143042123	0.3349989837490935	0.6039867852875292	3.4072283654486526	0.0006219644148923401	0.036590087178411	22.102760776971053	30.852763214401516	0.12183157842599779	nan	nan	nan	nan	nan	0.3586256618910783	2.9391528252593004	nan	nan	nan	437.072755067116	459.0018701160465	320.56420631046535	
BY	0.3789479148460279	0.06171344587997446	3.8040878828561464	0.37493429452580757	0.7665351445363323	3.290324491880858	2.5989593306272094	399.45283696820366	1.5050488982623307	0.030548111031113847	11.699204390559087	44.896905315534944	10.051909250781195	1.3069977510554232	3.509639275060285	2.3026346147362005	11.13904356637507	6.875115197128728	0.5483440154135122	1.4710064258410276	2.926606008712495	11.527505022412477	1.3799640829077922	0.014654758783814168	7.388841092320701	0.0049747069650626285	1.249589811807065	26.46515944057622	0.2184899365867452	5.74301124534083	7.402903348416413	0.22618114271077783	0.4450136167976501	0.00839797642322111	8.71725724906305	0.8086623729888612	145.45579006174265	0.3322511653225477	29.913501549227533	9.655855726139828	107.35255348949984	5.476847852894721	1.283622859589538	7.460508014890306	0.0041676595722271404	0.1444180517039452	7.933041440886665	144.1705386814904	0.5499769286393464	nan	nan	nan	nan	nan	0.7355816026902599	0.6590711565971691	nan	nan	nan	948.2725161251674	1004.4923968755096	349.306295658647	
CH	0.010739893023365895	7.167436597001801e-05	3.4001419395495716	0.0002542982156303123	0.023067238760641123	2.3198844675083197	0.018447317113040623	0.06278045219415664	271.9476985879199	0.00011825027815479975	0.7803251240722958	29.87330197549213	0.18873610860538517	0.003221088425044115	8.280272773813051	0.008092657895089296	45.201235355565245	2.3918331119216023	0.0005182978258498915	0.02151955534216068	0.170146628302683	0.16947445926641347	0.5358312432370157	0.0028151590013447635	34.43283580583171	4.391904519228911e-05	0.0016332532977040143	0.027431587697453925	0.30148282254100317	0.008823225207742055	0.011020645327042474	0.005651331111800319	0.006335888728544757	0.00401837947975686	2.475945447082887	0.021771014252366546	0.7666560024695022	0.5641671176450423	0.12517251347091143	0.14671228422472418	0.12177359313125151	0.04376334622779108	0.20700644334171994	0.09948411611968984	3.2923954693829826e-05	0.0001328744504485623	0.016186675406553806	0.19626004235239178	0.0007132119204762049	nan	nan	nan	nan	nan	0.0017567442029517001	0.6490577704660353	nan	nan	nan	397.01681266128327	421.092631585393	132.7070591411689	
CY	0.027795627920623175	0.0012586742710093426	0.017124232083488698	0.004074959245384203	0.008140967380342954	0.0046464772635581185	0.07644072883341531	0.0155938975418278	0.007217286705872372	14.516787327111993	0.0188047323307219	0.05276703214330675	0.003883579851747145	0.0003710630701152196	0.08020388839790325	0.0010242670589395864	0.05031413905643744	0.006197373490166447	0.012605431734748498	0.42366311032328124	0.01812907998633588	0.031295904125073916	0.0013719987343029617	2.7643606285195696e-05	0.19939846927265492	1.496168636324591e-05	0.0029293549425539415	0.0028950866535731464	0.0004249951410542169	0.0008087445340537331	0.016964275333526742	0.005975847889077477	0.029422549052375343	0.0029303665841964137	0.00920661946610721	0.00048322240690425503	0.04298034502121809	0.004824044541606862	0.13394035834513615	0.11402346782587085	0.3059906862091076	0.0022122229094516522	0.005494583697067206	0.012137401888320914	9.60316475019414e-06	0.0006904629889664015	5.648600339328309	0.17735073700284576	0.0017375097764108086	nan	nan	nan	nan	nan	0.9413822289366279	0.6461805714655563	nan	nan	nan	24.206385009312473	23.727351595472047	16.672650699272136	
