	AT	BA	BE	BY	CH	CZ	DE	DK	EE	ES	FI	FR	GB	HR	HU	IE	IS	IT	LT	LU	LV	MD	NL	NO	PL	PT	RO	RS	RU	SE	SI	SK	TR	UA	NOA	
HE8	0.16575508379878537	0.06308981825573902	0.23159039947680982	0.8016018577672236	0.08817015591465523	0.36515662809731436	2.997800579979003	0.8669354144447571	0.40820535958378534	0.3182221369410417	3.240635253426317	0.8758889449285011	0.6875883125690373	0.05173679109595561	0.273012701700572	0.13329653256098792	0.0035316268935568274	0.23010686718583617	0.6485007538867346	0.02168008188221855	0.4031553300893518	0.03611775397917408	0.48185248089497373	0.3099727445076711	3.1932323244228544	0.02394609245569566	0.2755813222845412	0.12560989959771773	2.006589590617192	2.5028651071794843	0.03815092840144218	0.1175548481183311	0.04384002996432249	0.8654552646393553	0.4152810406580705	
HE5	4.444653204923897	1.1999987195078095	6.904051163047849	12.126853191389946	2.3170660459501566	10.308451776722949	132.71164050305933	45.19099036991264	2.8794777727461427	7.067521683211699	4.28492135257173	21.746573164798374	15.420982280121484	1.377383106170843	5.670126920640688	2.756930428094391	0.09015014817192307	5.88426441973503	16.099071406747786	0.6681345880403392	6.539872468736799	0.5658846222182286	18.795972434270254	3.6255516155656586	112.49921995397283	0.5272035604909212	4.691413155130253	2.791306602859029	29.893995843180004	53.908339058636415	1.083480070565791	2.5864350595272274	0.9478900042620347	13.742287675152612	4.8167050027937375	
HE1	0.17695420306909557	0.04753612849812953	0.24659419351695303	0.6890282856957785	0.08909788258627628	0.3552853902094568	2.607712463412969	0.6963716142551468	0.27206083587737157	0.4051519039535121	9.167142524231938	0.9455404220123208	0.7195953428063556	0.038156469730847416	0.2051116943376221	0.13941404222711806	0.007105903142602479	0.2074834705251765	0.46295255765905546	0.021447218479576757	0.2585397443735795	0.03405714119073889	0.4357651439126489	0.5345703845905736	2.6445337159760425	0.02624005324641686	0.22920293972768965	0.09809975203536697	4.852305586036686	3.2141836463471063	0.035217863304529286	0.09972665557647754	0.07856938616894986	0.8893599431429055	0.711499597137581	
HE2	0.5773031068560801	0.15185416396641585	0.5903023785930174	2.3447524150832995	0.2785060963996449	0.9599757973871738	7.139895743999744	2.523544714697884	0.7913965253588499	0.89533622413872	8.302156522270868	2.502757570283802	1.9575016808269285	0.13867832082512557	0.7105533510421607	0.4012690704649555	0.012464644255217157	0.7732593614428742	1.5830221498991166	0.051564883493702335	0.9149701257703642	0.11031029100364703	1.181704721144023	1.5670691269686532	7.87032355994704	0.07342299699740493	0.8004000674497703	0.30998263649315083	8.061101513988037	10.877947356579734	0.11269763370342674	0.3643562772450972	0.14465426022606828	3.108951995117993	2.0940574405122954	
HE3	0.3290422007093498	0.11885095673017589	0.5310763330283055	2.7898318527687103	0.15313045509754	0.706932905163315	5.521741175959978	1.4577245376738983	5.423891978011507	0.6119785847305619	3.8875777624924663	1.616092545965379	1.3512493285187113	0.10050793416310543	0.45733845449968175	0.2666382086062346	0.009664177589531583	0.553633976628337	1.8512516475070626	0.042997650404574296	1.4907793192042416	0.08995399585363843	1.0247580052717604	0.44714231219744843	6.430642389908583	0.040517266454711924	0.6674537252961601	0.27897157776186593	13.2591969657564	2.54902496164356	0.08239893210809397	0.22456783327482388	0.1608566935722696	2.898706644937467	0.596616664992398	
HE4	0.3043341993864098	0.10706673412008877	0.46028391539590596	2.00018889969367	0.1390785012098618	0.7018351889108202	5.565426624525069	1.504847344747423	1.892687817166818	0.5479929216395837	0.5503929405159139	1.493798613411285	1.3315377406190343	0.10609855332101419	0.418711911240721	0.22165603719377733	0.007360242566064556	0.4781097897081148	3.0364584730143034	0.0438152613356507	4.226862792971455	0.07827675330882085	0.9447536915395824	0.2675903013807628	6.475714107515784	0.03243935705571247	0.5547282295140147	0.2620004430269814	2.682481721901493	2.1204219310074426	0.07968510262387715	0.1969486291218375	0.1265222846220002	1.315453144044078	0.35787449908183083	
HE7	0.45097402110907464	0.078685438814908	1.7431284675736312	0.41414624431882596	0.23791077723918178	1.0699596517676468	19.46836858089543	42.369140848136915	0.045394545888846866	1.3525917654210795	0.10524646318800855	4.903021295434578	4.971202989724817	0.08929043121042769	0.4205774777981015	0.8994519831539362	0.011640556117720434	0.7423690368840554	0.23732926982227628	0.1151582133333404	0.09964475060502288	0.01714131740686913	4.732417998383485	0.8719675544768634	4.973497065437718	0.09560737280435706	0.23888018574767214	0.1658864181031189	1.4293319889639349	6.389161377230422	0.08848627421404931	0.21020207797964527	0.04416869280860602	0.4033086462723976	1.1542202114047189	
HE6	0.060700651484697075	0.010172378575553895	0.19252143394716356	0.05297694583409517	0.03335486018361975	0.14373916308847406	3.0200336026572807	3.637221397163924	0.005100670469943896	0.1378087543077822	0.007566071502603039	0.5278292057476909	0.4224707875630418	0.012015789980268013	0.05272613067056419	0.07161126450683812	0.0013585794946855594	0.10308181084992042	0.03745275729958481	0.014409591781183742	0.016069790527986762	0.0021956805156271293	0.5608334325575927	0.042334254791025594	0.6882678645054648	0.009794742987711538	0.027100372421330714	0.018257455786217323	0.21757845954734753	0.9656314058683995	0.009713827126603358	0.024363096923735294	0.010740914448258329	0.04397480946142183	0.056076485463152026	
HE9	0.4404145106243911	0.1057109821048428	1.973332819492298	0.3437074482928815	0.2711767888659519	0.9432629800211919	52.05099360096521	34.777857609634445	0.03633869846378657	1.0517857628455032	0.05301731473669069	4.747181221511622	3.74005406981275	0.08972049745992622	0.38844353786484964	0.7012835042185767	0.012316030544970947	0.7286531614118719	0.2501165430181301	0.13303652703681232	0.10664376037359498	0.017395182768248897	6.745240147687674	0.28090764975359844	3.762608479419947	0.0883600410661211	0.22071208235139136	0.2006647448652393	1.4815553392633483	1.318588029024258	0.07897444804368181	0.17464941416166502	0.04721442377583277	0.35733106432980505	0.37151746046115647	
EEZ48	0.7569476951658242	0.35342506010681873	4.871531649864797	0.4035387452039343	0.9415592642562448	2.0062024331560377	14.79589062735356	1.1228796904556744	0.12909453190614076	42.640460692304565	0.18421051386820386	32.70014604722147	16.062366125563756	0.14206466919139446	0.5882954461385307	7.084810148230499	0.1982174731753393	3.5177981212825515	0.2880007838932948	0.4385068940654735	0.10566913629174433	0.08036537634595133	4.651662954557481	0.3622218898189559	4.182711696958741	9.137571463389525	0.35325321646647523	0.23758411032165494	1.370724790471524	0.5519257465668975	0.2463564841819261	0.3695653833284233	0.4432383572555662	2.3890575738371873	0.4782628595380867	
