 OXN dry deposition
 ARC            
      year       AT       BA       BE       BG       BY       CH       CZ       DE       DK       EE       ES       FI       FR       GB       GR       HR       HU       IE       IT       LT       LU       LV       MD       NL       NO       PL       RO       RS       RU       SE       SI       SK       TR       UA      ATL      BAS      BLS      MED      NOS      BIC
        1995   5.38224215E-03   4.24441852E-04   2.53635142E-02   1.72188086E-03   3.03253587E-02   3.68381967E-03   3.32447365E-02  0.240775049       7.82294944E-02   3.29468623E-02   4.53008898E-03  0.217175215       3.90605554E-02  0.181879476       8.55460879E-04   1.55178248E-03   3.12561635E-03   5.72276860E-03   1.43588819E-02   1.76772624E-02   1.82588887E-03   1.82529893E-02   3.28031671E-03   4.30489108E-02   4.14266661E-02  0.178350165       8.46280437E-03   1.14840327E-03  0.126008838      0.228771016       1.13644346E-03   7.66714476E-03   5.38997236E-04   6.20652549E-02   1.65799279E-02  0.328204960       1.05440915E-04   1.28644402E-03   8.36452767E-02   4.40597571E-02
        1996   6.60793018E-03   4.70160361E-04   2.07510106E-02   1.17747439E-03   4.53108810E-02   2.18316191E-03   2.96733081E-02  0.152715415       8.44367370E-02   6.42196909E-02   3.61008500E-03  0.263699710       3.08561567E-02  0.138687864       2.38689268E-03   1.18773466E-03   8.48453119E-03   3.71637801E-03   1.30598573E-02   2.32441016E-02   1.27629226E-03   3.39752659E-02   4.67939861E-03   4.90248166E-02   4.03416231E-02  0.162584931       1.18623050E-02   1.31266599E-03  0.185516968      0.250797302       1.70132588E-03   7.86394812E-03   1.73130049E-03   5.41348755E-02   1.70275271E-02  0.401146173       4.90938139E-04   3.02892574E-03  0.103348307       5.01759835E-02
        1997   4.62964969E-03   5.58355183E-04   2.13956367E-02   8.24431365E-04   2.56335400E-02   3.03131668E-03   1.40230060E-02  0.106483184       5.21747060E-02   4.60592210E-02   1.80004574E-02  0.215777457       5.05237505E-02  0.190088302       2.59118946E-03   2.00021407E-03   7.30468100E-03   5.12875291E-03   1.82791725E-02   1.62981693E-02   1.03515119E-03   1.94730684E-02   8.37858010E-04   3.19738388E-02   5.14638983E-02   9.29856822E-02   6.39501400E-03   2.11386010E-03  0.209775701      0.179477111       1.62832288E-03   4.34766151E-03   1.92504807E-03   2.58494839E-02   1.79077275E-02  0.342205733       2.91767938E-04   3.02935205E-03   8.03431198E-02   5.97352386E-02
        1998   3.33111780E-03   2.58981658E-04   2.53935866E-02   1.72885461E-03   4.37515080E-02   5.87645278E-04   1.81202143E-02  0.153432652       7.40378499E-02   4.00006250E-02   9.91113111E-03  0.199101776       4.10444215E-02  0.131049007       8.77710700E-04   7.64602912E-04   8.02896358E-03   4.31001605E-03   4.65134950E-03   2.25733891E-02   1.66978606E-03   2.40695663E-02   1.35694200E-03   3.44821513E-02   3.39038931E-02  0.148436487       1.25910956E-02   1.06916088E-03  0.206784651      0.187955216       9.70808091E-04   9.86654405E-03   1.44273741E-03   6.86674416E-02   1.29356096E-02  0.348435968       4.94515465E-04   2.24027364E-03   8.96888450E-02   2.65831761E-02
        1999   6.24798471E-03   4.54857276E-04   3.19587104E-02   1.06476364E-03   3.98602076E-02   1.35483115E-03   2.71370206E-02  0.180489972       7.52139762E-02   2.61444841E-02   1.26362713E-02  0.174740478       5.45700788E-02  0.156242549       2.89987569E-04   1.17838162E-03   9.88544244E-03   6.57438068E-03   1.17542557E-02   1.83464345E-02   1.61536527E-03   2.22429000E-02   1.24517246E-03   4.44354452E-02   3.69253084E-02  0.174717501       6.71932334E-03   1.44333078E-03  0.164710373      0.214989915       2.16634036E-03   6.76945923E-03   5.35618456E-04   3.87405530E-02   1.76262539E-02  0.420032084       3.84712999E-04   1.45757955E-03  0.109219715       3.51781696E-02
        2000   8.85722041E-03   2.71087885E-03   4.74910811E-02   4.37723985E-03   4.39676344E-02   3.11957416E-03   2.90185157E-02  0.248811096       5.75332381E-02   3.18027921E-02   1.25854677E-02  0.134109244       7.69880712E-02  0.163852572       2.61245156E-03   2.50533363E-03   1.02294590E-02   8.08678567E-03   1.97466668E-02   2.17237603E-02   2.84565054E-03   2.71420833E-02   1.49514840E-03   5.40007539E-02   2.83671338E-02  0.130906388       1.47321420E-02   4.34122048E-03  0.136260748      0.156849682       2.65245046E-03   6.26261393E-03   3.25073139E-03   6.99265823E-02   2.03092825E-02  0.405344248       7.57675502E-04   2.42687762E-03  0.111568429       3.97310033E-02
        2001   3.42656742E-03   8.30898003E-04   2.21973825E-02   1.38935330E-03   4.37380783E-02   1.13028218E-03   1.47524988E-02  0.160840422       4.84308712E-02   3.14211100E-02   4.04838519E-03  0.125134349       2.53418423E-02  0.141879395       1.10018905E-03   9.21737286E-04   8.02644715E-03   5.13757020E-03   7.54144182E-03   1.45650897E-02   1.33345521E-03   2.61172876E-02   1.22826523E-03   3.76400091E-02   3.41951661E-02  0.129153952       8.23458564E-03   1.30896061E-03  0.182208225      0.153311506       7.98917084E-04   5.68104070E-03   3.60779394E-03   4.75997142E-02   1.60162710E-02  0.447183102       8.10696627E-04   1.41969824E-03   9.25815552E-02   2.63158213E-02
        2002   4.49761748E-03   1.95250075E-04   1.93750504E-02   8.86461756E-04   3.38131078E-02   2.78394390E-03   1.48263127E-02  0.116235606       4.35026251E-02   5.68450317E-02   1.27714053E-02  0.195636943       4.12367620E-02  0.153339416       5.12719853E-04   8.95045465E-04   6.28783787E-03   5.01814997E-03   1.05145695E-02   1.57793593E-02   1.41692418E-03   2.17930451E-02   6.75078831E-04   3.78343649E-02   4.14298102E-02   9.80238765E-02   5.14435116E-03   1.19244028E-03  0.191238061      0.159608170       1.17713481E-03   6.08931249E-03   1.42365199E-04   3.97946835E-02   1.81843955E-02  0.471509546       2.42915150E-04   1.36796979E-03  0.105905786       3.82768251E-02
        2003   1.02964090E-02   2.68247747E-03   2.23449841E-02   3.01541062E-03   3.34248282E-02   1.96152017E-03   2.91010235E-02  0.118288219       4.76709977E-02   2.25874614E-02   1.16036963E-02  0.147440359       5.35135344E-02  0.159632593       1.47413230E-03   1.55829336E-03   2.16803961E-02   5.52015519E-03   1.21664451E-02   1.72017347E-02   1.33920065E-03   1.67283714E-02   2.94350367E-03   2.78803241E-02   3.95337306E-02  0.203277215       2.99795512E-02   4.34949063E-03  0.100631639      0.153106332       2.04237574E-03   1.25595238E-02   3.18390271E-03   5.50663993E-02   1.81479696E-02  0.400840074       1.55465887E-03   3.53736989E-03  0.115357742       2.42761802E-02
        2004   4.78468603E-03   8.95665609E-04   2.41261479E-02   3.23863886E-03   2.91423220E-02   1.41702278E-03   1.99580621E-02  0.172800988       4.61719483E-02   3.23830508E-02   4.75930003E-03  0.143563405       3.77143100E-02  0.112635687       7.59442628E-04   1.01930229E-03   6.63044723E-03   4.61460417E-03   6.43933890E-03   8.19881447E-03   1.41219073E-03   1.94368809E-02   2.73347297E-03   3.43020149E-02   3.61457579E-02   9.89583358E-02   1.77376475E-02   1.80672971E-03  0.176293299      0.148931310       9.18975158E-04   4.26617358E-03   1.14287355E-03   6.61813244E-02   1.58127882E-02  0.430106521       1.13697152E-03   1.54407625E-03  0.108119413       3.95600088E-02
