
	AT	BA	BE	BG	BY	CH	CZ	DE	DK	EE	ES	FI	FR	GB	GR	HR	HU	IE	IS	IT	LT	LU	LV	MD	NL	NO	PL	PT	RO	RS	SE	SI	SK	TR	UA	ATL	BAS	BLS	MED	NOA	NOS	BIC	RU	
HE8	9.381003080053726e-05	7.188441233937265e-06	0.0004343364454899446	4.099613150494059e-06	0.000920396458825318	3.552002531496027e-05	0.0007745535085697796	0.00599223812648728	0.002505173702260502	0.0026735393089968324	1.054973141020232e-05	0.016769899417759165	0.0003258719419531714	0.0010905863665940858	8.187937073711638e-07	1.4808782942222776e-05	0.00012820623372035187	4.377886343868631e-05	2.821509806386146e-07	1.0136412451526196e-05	0.0029610045291706684	4.161956550795425e-05	0.003218671166659975	3.065277374109429e-05	0.001052264266993629	0.0009734383166412919	0.008834268603819287	6.23463908977214e-07	8.167812835584998e-05	3.6476358237302765e-05	0.020260938447947078	1.1038113283932331e-05	0.00014937917724388032	2.180315610585239e-06	0.000433263192867013	4.940717253660298e-05	0.10136230417102121	2.1780153205711923e-06	3.472535916256751e-06	8.975088981804611e-07	0.004097901740824742	nan	0.0005966264585838059	
HE5	0.07981442102947146	0.004326454452260761	0.31738439289885273	0.0009721754412322913	0.1121163299710244	0.016047305828883546	0.47183055866576024	4.712453701059573	1.4044870412514507	0.06335513880406063	0.004686954682661104	0.17077726015687633	0.19488703362004642	0.534721749925316	0.00021593116456062252	0.00890198584534709	0.07547419747280391	0.016933239254806436	8.65044640348081e-05	0.007553662839178722	0.3717207616392855	0.025639214929502014	0.1885319621796345	0.005231332419603281	0.7420544849617849	0.13490843935058602	4.235063117967087	0.00037184694728073384	0.019104402356202865	0.016136323538213957	1.6211727528934692	0.008627562724620588	0.08444989152992695	0.00035555727867350354	0.07061022154699372	0.015042624097318389	15.312497863230414	0.00038793944476383607	0.0016632159188937313	0.00044213433686093737	2.0001068995454223	nan	0.0414385293395428	
HE1	7.392176201664302e-05	1.107191512114825e-05	0.00033730796200459335	3.540563048696804e-06	0.0013375588248136737	1.3702221263360427e-05	0.00034889546784949954	0.0031581349577550523	0.0016056800099488154	0.003833763954628705	8.319245169836989e-06	0.18090246600461643	0.0002224810719661447	0.0010045951421532486	1.5770348257642686e-06	9.905892446430466e-06	8.166302373776239e-05	4.1074462117365926e-05	1.1396498021003275e-06	8.466298644851804e-06	0.0017741879696921835	2.6186993418803514e-05	0.0021697037386447966	1.964058211337917e-05	0.000805055365852572	0.0037418437740894595	0.004691842717196297	6.641007398887693e-07	5.7607831216845455e-05	4.28157944106406e-05	0.046232920688050544	8.46012392398451e-06	8.988105040181535e-05	3.467097088837859e-06	0.00043004144109982023	0.00021532000842593561	0.042679796675751086	2.1668826471112186e-06	4.628336306523616e-06	6.451776933805703e-07	0.00500404147455803	nan	0.002743897599214561	
HE2	0.0006109269000632385	8.272497585400615e-05	0.003139779563421027	2.909734553830668e-05	0.007978309835438997	0.0002253876329776541	0.0034213031927546084	0.035604493423323315	0.02118139819652345	0.015241525193207942	8.490631818286985e-05	0.21405003179160068	0.0023617403500274478	0.008090158664121945	7.782930838274054e-06	0.00011066891232107665	0.000984329367285359	0.0003124399452997277	5.0635479558505976e-06	0.00013688236556607717	0.014712171965681526	0.00025929439978199194	0.016212572771412834	0.00027191402749989066	0.008518570814228563	0.019981063615112052	0.044066308855678055	6.348763671352153e-06	0.0007735703002415447	0.00028780437517848275	0.3613625193225556	7.71502036135557e-05	0.0009927697022732475	2.7015802486105495e-05	0.0038810861943310107	0.0006840377962613015	0.42439993676854376	1.7030438464371e-05	3.740180255585926e-05	9.180312960104206e-06	0.04157357423837677	nan	0.0071365703286194165	
HE3	0.0003555423926551355	2.725105685369463e-05	0.0013914716524906412	2.8797771381426974e-05	0.011122065566753646	8.845769298896837e-05	0.0018346361953003598	0.015445411566843132	0.005684483127182845	0.12822567481050268	3.827212006594365e-05	0.11649959210232347	0.000931343327207297	0.0030838964311016123	7.307986015025073e-06	5.658268743199443e-05	0.0005396713859808657	0.000125245647369039	1.097296832748755e-06	5.5861294150038405e-05	0.017513184933436305	9.061450953578312e-05	0.028831410700690657	0.00022759750139690821	0.003192074554552979	0.002085577974919522	0.024822914130078148	2.4339035419970066e-06	0.0004933497381614959	0.00016918398457084268	0.023668904270817536	4.4286110381077294e-05	0.000561028516753218	2.5155397684402755e-05	0.003320001043973051	0.00017936646383607513	0.32637763971080486	2.3036744040835942e-05	1.849156151937352e-05	3.0738219724356335e-06	0.009877281457356007	nan	0.019462691318148644	
HE4	0.00046163131253165187	2.9985678814457296e-05	0.0008265370827302369	1.0359547740226228e-05	0.0031670028755225884	7.55503830756019e-05	0.0020299990265716782	0.01195699423324159	0.0057805885195030245	0.005821995595303105	1.9722837586470395e-05	0.00661284766655229	0.0006245964759378884	0.0019341243565474595	2.559174756999587e-06	6.2725522511842e-05	0.0004987855975019177	7.467777275143834e-05	4.5796671623333006e-07	5.3953496221745494e-05	0.01804840227667232	7.678451649692057e-05	0.038082144323942614	0.00011371632661567845	0.0020466800259527616	0.0010415014318356727	0.02529941814141334	1.1417768998141716e-06	0.0002612088065387153	0.00011867012914554997	0.011503016213084527	6.594511411218714e-05	0.0005962941798229848	8.068781127172056e-06	0.0013062477768334057	7.998356559188596e-05	0.09235739299860256	8.016670893295695e-06	1.1368454268079545e-05	2.143323100230267e-06	0.00662997701060767	nan	0.0008795092386233536	
HE7	0.0010606455074556544	6.372696559411533e-05	0.015297773500152378	1.683640775647709e-05	0.00021474442674203752	0.0003242060083461321	0.005499817340873995	0.11059215010226338	0.16669511325000738	6.566466182315329e-05	0.0001977124941537746	0.00021347374215025905	0.008860007306599315	0.044480620788151154	5.5648092410656235e-06	8.223489630601958e-05	0.0008551442721811448	0.0014275773598802944	3.565112495826396e-06	9.152719486768317e-05	0.00046308807575290103	0.0009154893793478945	0.00015786478809706378	2.8761013654916883e-05	0.0394014485097268	0.005331946471551015	0.02883189059920198	1.3042758150940209e-05	0.00018821925775290062	0.00027590952752434096	0.021024442677973296	7.400797607324702e-05	0.0008676177463273735	1.4676806383435189e-06	0.0002833860078393329	0.0007596526694053944	0.20835629923455934	1.9544170300184293e-06	3.363635654121167e-05	1.3182367340953854e-05	0.18095902096040237	nan	7.410322872949002e-05	
HE6	1.822331492449392e-05	7.013085500226776e-07	0.00017560907724483796	7.705287656968766e-08	1.8242017924519643e-06	5.022087246001162e-06	8.971115650229097e-05	0.0018596502830830846	0.002889365474758597	9.125418284310757e-07	2.643170658552731e-06	2.309642479545131e-06	0.0001173470182222346	0.0003507191906088702	2.061563130376403e-08	1.38274139103985e-06	1.0112878944272151e-05	1.008887641419163e-05	5.2358054120083e-08	1.810135128043801e-06	5.012534784575951e-06	1.3065458809252383e-05	2.0734343838664446e-06	3.1765574803044886e-07	0.0004847553157974937	2.885824301403469e-05	0.0004164221523674904	1.8484697055856906e-07	1.3668515080595389e-06	2.3554360881875996e-06	0.0003063206263469403	1.6680019581295872e-06	1.055550609601793e-05	1.4142390663053262e-08	3.100360983076883e-06	6.787263912661993e-06	0.0039286438323872545	1.852604084567761e-08	5.449027916481867e-07	2.2734863130858963e-07	0.0013371078806521848	nan	1.020031711659162e-06	
HE9	0.0013075340256429643	4.1772376881217165e-05	0.015566822968182644	6.064178415748967e-06	4.6647367278920014e-05	0.00033554420801399086	0.004925540948390882	0.13700327764368325	0.05296773905016631	3.675211883159072e-05	0.00019868008618871062	8.368903093392531e-05	0.009146706309322093	0.028408730143839836	1.930304395739839e-06	5.228897447236374e-05	0.0004120754041074333	0.0007394981218289041	2.3866915725861746e-06	8.767821103981015e-05	0.0001448836214565605	0.0010447437297595003	7.657837571235263e-05	7.043687352428921e-06	0.04565228464117951	0.0010629375786591255	0.013693667142969324	1.546370771163442e-05	6.353700644633026e-05	0.00013354337313927148	0.0024101717728309507	6.263793607535368e-05	0.00037312830956541727	2.9931427872557224e-07	8.246902937324152e-05	0.0005564340654611753	0.13207961557671477	4.7118130542512423e-07	2.962695969313219e-05	1.299290956978597e-05	0.11215957389616343	nan	3.7889930535104045e-05	
EEZ48	1.0895677703022136e-06	4.20121329149183e-08	0.00011081058938180786	1.7263851814851205e-08	1.3842812824604777e-08	4.288131082769628e-06	5.214049204120417e-07	7.196978450861725e-05	1.1838504909403878e-06	4.782799625345913e-09	0.004193389152296829	4.268663399534403e-08	0.0015515980678050326	0.0007216443403094837	4.116631868039573e-08	1.5144300078900128e-07	7.256467800251027e-08	0.00022475712598150067	2.23083796584079e-06	6.069583353626858e-06	5.618732121505811e-09	9.659824098821185e-06	7.775606405163984e-09	2.2818142166915226e-09	7.09909740948921e-05	2.972486461851575e-06	1.219804717396041e-07	0.026240940838046217	1.2920592567178116e-08	3.8869988222150146e-08	3.028513858916053e-07	2.744844368340551e-07	4.14783332395067e-08	3.3334130951285863e-09	7.723933531011033e-09	0.376543562676895	2.4064792196017384e-07	9.3958146345495e-10	6.646147604176835e-05	3.948450345565634e-05	0.0004465824189282735	nan	4.478479666528879e-08	
