----------Receptor tables----------


DDEP_OXN_m2Grid

      EEZ048  EEZ065  EEZ071  EEZ091  EEZ099  EEZ100  EEZ108  EEZ109  EEZ110  EEZ119  EEZ123  EEZ185  EEZ187  EEZ188  EEZ189  EEZ190  EEZ191  EEZ209  EEZ212  EEZ213  EEZ215  EEZ216  EEZ224  EEZ273  HE1  HE2  HE3  HE4  HE5  HE6  HE7  HE8  HE9  OR1  OR2  OR3  OR4  OR5  
1995  8.5146  4.5675  7.2841  23.4196  0.2749  0.2081  19.6471  1.3251  0.4429  0.0155  0.3339  2.0339  0.0154  1.0805  14.8531  8.2519  11.2574  33.6692  4.8870  67.0773  6.0524  26.4747  2.1277  25.4120  1.7974  4.3351  4.1844  2.2375  30.6131  0.6479  4.1222  2.1289  4.2196  48.3311  104.2811  34.8963  58.5017  90.8087  
1996  7.1155  6.7423  8.9703  21.1558  0.3028  0.2968  28.6440  1.5644  0.5235  0.0210  0.4616  2.0655  0.0164  1.0938  15.6107  8.5761  12.7272  38.3264  4.8879  82.4452  6.0214  34.5869  2.8228  25.3895  1.8753  4.6109  4.4077  2.3414  32.3305  0.6375  4.2513  2.2970  4.1840  58.6668  120.6785  45.0049  60.7189  95.0712  
1997  7.6071  5.7663  8.9331  22.5986  0.2807  0.2596  26.0323  1.4419  0.4608  0.0217  0.3607  1.8454  0.0145  1.0509  14.4779  7.8271  11.1951  34.6114  4.2884  73.7889  5.9694  28.9526  2.2217  25.4454  1.5033  3.7618  3.8460  1.9367  27.4544  0.6015  3.8139  1.9047  3.9254  49.7372  106.6498  41.3847  58.7659  96.7383  
1998  7.7493  3.3591  6.2801  25.5794  0.2742  0.1509  15.5697  1.1637  0.3996  0.0124  0.2790  1.7056  0.0133  0.9926  13.7093  7.3500  9.9731  31.4719  4.1862  56.3172  5.6286  25.6442  1.7793  24.6266  1.7758  4.2642  3.9618  2.1069  27.9449  0.5614  3.5077  1.9935  3.7445  43.7726  92.6878  28.0701  59.6575  78.7144  
1999  7.6310  4.1896  7.7662  24.2478  0.2390  0.1831  14.4591  1.1611  0.3777  0.0150  0.3236  1.8646  0.0142  0.9923  13.5166  7.3231  10.3674  28.5236  4.5059  57.7869  5.4122  25.2974  1.9555  22.9197  1.8171  4.3439  4.0894  2.1082  28.1935  0.5917  3.8334  2.1176  3.8532  46.0406  93.6057  27.4170  53.6708  77.3862  
2000  7.7477  3.7631  6.7815  21.7524  0.2104  0.1582  12.7868  0.9882  0.2950  0.0130  0.3112  1.9346  0.0140  0.9444  13.1401  7.3787  10.3013  23.9341  4.2993  53.0656  5.3206  25.3935  2.0596  20.3349  1.8032  4.2742  3.9928  2.1627  29.7947  0.6125  3.9564  2.1026  3.8976  45.4362  90.2281  24.1144  47.8083  70.7783  
2001  7.0219  5.2780  7.5628  23.6675  0.2766  0.2457  18.2513  1.2421  0.3996  0.0179  0.3134  1.6801  0.0128  0.9383  12.5591  6.8021  9.7834  31.2328  4.0926  61.1889  5.3198  25.0844  1.9181  24.7150  1.6000  3.5654  3.6604  1.8391  25.8926  0.5568  3.5135  1.8109  3.6179  45.8441  91.6502  31.4830  57.2661  78.8550  
2002  7.3916  5.7628  7.9298  20.7304  0.2639  0.2588  17.5031  1.1346  0.3797  0.0202  0.3687  1.6461  0.0130  0.9733  14.1456  7.6178  10.6236  29.3004  4.0207  64.8634  5.0880  27.8008  2.1437  23.1165  1.4204  3.7218  3.8297  1.8340  26.4293  0.5405  3.4919  1.8958  3.8172  45.7295  101.0196  30.8261  53.5928  76.2533  
2003  6.7252  7.2235  8.8137  22.3866  0.2589  0.3493  22.0747  1.2554  0.3989  0.0268  0.4188  1.9537  0.0156  1.0202  14.2333  7.6427  11.5455  32.1672  3.9126  74.7217  5.3042  31.4563  2.3723  23.6446  1.6194  3.8244  3.7690  1.9092  28.0392  0.5737  3.9230  1.8868  3.9171  51.9702  107.4545  38.7531  56.7579  79.7832  
2004  6.7983  4.1230  6.9206  25.9409  0.2525  0.1818  12.5450  1.0852  0.3622  0.0152  0.3572  1.5735  0.0121  0.9260  12.3053  6.2179  8.6961  28.6661  3.8935  52.8393  4.7254  24.3344  2.0854  24.3399  1.5587  3.8429  3.6223  1.7960  25.3753  0.5002  3.2093  1.7925  3.3178  43.9482  85.0440  24.4756  56.7112  71.6207  
