	AL	AM	AT	AZ	BA	BE	BG	BY	CH	CY	CZ	DE	DK	EE	ES	FI	FR	GB	GE	GR	HR	HU	IE	IS	IT	KZ	LT	LU	LV	MD	ME	MK	MT	NL	NO	PL	PT	RO	RS	RU	SE	SI	SK	TR	UA	ATL	BAS	BLS	MED	NOS	ASI	NOA	BIC	DMS	VOL	SUM	EMC	EU
AL	1.5459639296	0.00441410186666667	1.4339575808	0.0093380832	1.79727960746667	0.6701426688	5.02467188053333	0.1277866752	0.6136492032	0.00593691733333333	1.7625874432	5.65287540053333	0.225007530666667	0.00287917306666667	4.7173124096	0.0654902997333333	6.20810294613333	2.0264239104	0.00556346613333333	16.4649336832	1.30639366826667	2.05476468053333	0.0771383637333333	0.0033710752	35.2187951786667	0.0407483733333333	0.0378275413333333	0.0762369109333333	0.0166276426666667	0.236895965866667	1.35727609173333	3.52261761706667	0.1618381824	0.864108612266667	0.153947426133333	2.59460027733333	0.3188033536	3.32758657706667	5.54849949013333	0.964749994666667	0.140509013333333	0.5499613184	0.8561854464	1.2607451136	2.4375222272	0.5930350592	0.224027904	0.296535074133333	25.0576109568	0.781904554666667	0.0132110528	0.2395691008	4.196470784	-0.0125904597333333	0.127518267733333	143.009359346933	111.492067052533	82.2030464850666
AM	0.00936336426666667	6.34007988906667	0.0503651242666667	4.6453604352	0.0315406144	0.0483439744	0.174608674133333	0.0875354282666667	0.0286179242666667	0.1219104	0.0817128448	0.3409774592	0.0432957098666667	0.0039092784	0.1761642496	0.0322175936	0.2456567808	0.220528981333333	0.455965866666667	0.221934318933333	0.0288641109333333	0.0593122474666667	0.0106615541333333	0.0006892214	0.486434304	0.401574741333333	0.0190438293333333	0.004852816	0.0078967792	0.0392745429333333	0.0123054741333333	0.0207904874666667	0.00277729013333333	0.0736426410666667	0.0386862805333333	0.225487940266667	0.0217805994666667	0.274224708266667	0.0735710037333333	2.28273575253333	0.0445489408	0.0126013546666667	0.0506721792	15.2152768512	0.8536569856	0.0756619178666667	0.056738048	0.171082666666667	0.830930397866667	0.0853744469333333	2.30998480213333	0.0778230954666667	5.34685723306667	-0.00401193546666667	0.0444906624	42.6163828822	33.6214515472667	2.60672919093333
AT	0.136491707733333	0.01003112	57.4342124885333	0.0396484778666667	1.114104832	8.7824384	0.714805998933333	0.4475460608	12.0836784128	0.00440728773333333	23.3367382698667	125.1083812864	1.3771710464	0.155137655466667	11.7758175914667	0.408155272533333	41.4237895338667	18.3718925653333	0.0300864256	0.946419780266667	4.34531505493333	6.76705129813333	0.723360699733333	0.0163760981333333	108.588686813867	0.18449408	0.325493009066667	1.29374767786667	0.158935722666667	0.3837116416	0.246095445333333	0.2085812224	0.0299657237333333	9.26024881493333	0.785951402666667	13.8707227989333	0.755169416533333	2.875138048	1.97496886613333	1.98800684373333	0.684871338666667	17.9944532650667	3.00954883413333	0.505326455466667	4.4792430592	2.29708731733333	1.40892351146667	0.0651479765333333	9.5186845696	7.37257990826667	0.0229935402666667	0.182061312	12.4781516117333	-0.0442356821333333	0.0779296512	518.5357415608	485.156417844533	452.5868165912
AZ	0.0216268010666667	3.8658105344	0.196576085333333	29.1054398122667	0.0537030784	0.2621486592	0.521924164266667	0.660155460266667	0.0785715285333333	0.154500693333333	0.507033736533333	1.85851712853333	0.3186404352	0.0202949098666667	0.2609527296	0.234568192	0.634652945066667	1.25565556053333	2.311241728	0.4671519744	0.0868643754666667	0.230038664533333	0.0399006890666667	0.0033175056	1.18888666453333	2.1926797312	0.1195093248	0.0232006378666667	0.0578599808	0.164345480533333	0.0263788266666667	0.0497899392	0.00449319573333333	0.435303867733333	0.214171562666667	1.61099885226667	0.0201752469333333	0.919615624533333	0.1956424192	23.077617664	0.275444599466667	0.0376031018666667	0.268261546666667	18.7197489152	6.945947648	0.291849454933333	0.412290935466667	0.516621824	1.37484752213333	0.5743323136	7.6214960128	0.0967941290666667	8.7027073024	-0.0168307722666667	0.0736833706666667	119.344754314133	99.6969622213333	10.4823694218667
BA	0.7041007616	0.00502304586666667	7.55284104533333	0.0144244	14.4680637781333	2.39444104533333	3.21426909866667	0.441214464	2.31189490346667	0.00518900693333333	10.365550592	25.028886528	0.735858210133333	0.01981616	13.2498937173333	0.217324834133333	19.9529485653333	6.34416059733333	0.0110251210666667	3.5136741376	7.4097737728	11.3731840682667	0.2124342784	0.00881097226666667	89.1083205290667	0.0905630293333333	0.0952721664	0.282018542933333	0.0449051392	0.3964914688	2.65440651946667	1.15397932373333	0.2048940032	2.6520379392	0.402743125333333	10.656940032	0.855232512	4.7683272704	12.2174909098667	1.51830842026667	0.527373038933333	2.77701236053333	3.98540417706667	0.6813026304	4.30894339413333	1.4378426368	0.6622072832	0.201669768533333	26.9159781717333	2.26686757546667	0.0099520384	0.333481198933333	8.63783212373333	-0.0483758805333333	0.128212309333333	309.482436861867	268.936769636267	212.155613226667
BE	0.0058048832	0.00412267466666667	0.549401736533333	0.0206600384	0.0119914474666667	22.4969271978667	0.0626904405333333	0.1568497152	0.831898760533333	0.00104195273333333	1.66610930346667	20.7554762069333	0.740782148266667	0.0382455722666667	9.15824913066667	0.196354304	52.6596614826667	47.5685978112	0.00785437813333333	0.0509258794666667	0.0612109610666667	0.233816132266667	1.9872882688	0.0586596181333333	2.52793951573333	0.0305455317333333	0.0696568277333333	1.5506137088	0.0334096938666667	0.0238902826666667	0.0054289216	0.0120543189333333	0.00259564133333333	7.27590720853333	0.784014472533333	2.82701632853333	1.28361472	0.1696830464	0.0316704810666667	0.5632553984	0.427613730133333	0.0880525056	0.236091579733333	0.0676006016	0.445059618133333	5.43938914986667	0.637723716266667	0.00876117173333333	0.900178466133333	13.5906219349333	0.00884044053333333	0.0390284202666667	9.02890728106667	0.373955754666667	0.0327463744	207.8404868874	177.780334177533	174.425388587133
BG	2.50200009386667	0.0794917973333333	6.7831054336	0.166897954133333	4.3424104448	2.90126533973333	100.773335313067	2.1151023104	1.7177075712	0.103382485333333	11.7262964053333	29.3850251264	1.62550388053333	0.0461679914666667	5.92020712106667	0.385696085333333	12.0225562624	7.78878593706667	0.0965817856	38.561579008	3.5226165248	13.4277616981333	0.2354528256	0.0121156544	37.4300431701333	1.6224268288	0.4302331904	0.371652437333333	0.159610743466667	3.91855172266667	2.00168994133333	7.3339240448	0.142761472	3.27875597653333	0.817079842133333	18.241978368	0.445269060266667	55.0822783658667	19.6204385621333	16.9654637909333	1.13140224	1.69888631466667	5.49937588906667	12.2459990698667	44.0879939584	1.19970051413333	1.64017452373333	7.15670432426667	22.9897863168	3.1735472128	0.122449408	0.356366574933333	8.28864539306667	-0.0983702442666667	0.182449800533333	523.7783138624	478.7668600384	199.742754461867
BY	0.218227575466667	0.156160836266667	10.4023479637333	0.498210133333333	1.09801915733333	12.7369303381333	3.6049723392	56.9251987456	3.13923693226667	0.00554869333333333	33.4798432938667	104.129250372267	11.2756938069333	2.61971203413333	8.0435314688	8.24644184746667	33.9605017941333	46.3301115904	0.134340104533333	1.9705790464	2.58904855893333	15.0692025685333	1.404235776	0.0649290154666667	18.8861207893333	1.45289557333333	12.240912384	1.20654288213333	3.91364608	3.64029187413333	0.3227906048	0.5139480576	0.00975536853333333	16.2887401472	3.3763475456	156.8922402816	0.7624460288	17.3219195562667	3.05942063786667	75.6624304810667	7.96742997333333	2.51615532373333	12.9063135914667	2.0317925376	91.9208372906667	3.64846885546667	15.4761658368	1.3424562176	3.1704752128	17.6289579008	0.206834466133333	0.0620577706666667	15.6901234005333	-0.186130858666667	0.0291193216	848.063779125334	790.9952510016	523.264233444267
CH	0.0249294378666667	0.00497747146666667	1.98419920213333	0.0180138538666667	0.1067410432	5.462802432	0.0811529642666667	0.0397050496	20.2069879466667	0.0018492752	0.773040605866667	22.8766165674667	0.217136981333333	0.0186407893333333	13.5529605802667	0.0555236266666667	50.3359821141333	14.1796507648	0.00904601706666667	0.1632937472	0.276429312	0.392214766933333	0.439213329066667	0.00633631733333333	57.0582106112	0.0237793792	0.0185018453333333	0.765714090666667	0.0122260021333333	0.0264378474666667	0.0239484053333333	0.0307659434666667	0.0227044736	3.87336082773333	0.209951197866667	0.800151210666667	0.609021678933333	0.194845320533333	0.0866880938666667	0.1894954496	0.133701777066667	0.530640247466667	0.201153723733333	0.0836106496	0.2914900992	1.98475380053333	0.160825975466667	0.0100763829333333	6.15183919786667	3.9465664512	0.00969121066666667	0.130863650133333	6.97176337066667	0.005601016	0.0745743274666667	215.860398453333	196.4138430704	174.478511270933
CY	0.0172445365333333	0.00867530293333333	0.101890491733333	0.0144433632	0.0236912512	0.0867090261333333	0.262034210133333	0.0335978154666667	0.0334113258666667	1.91511292586667	0.1240443392	0.4473965568	0.0403548288	0.00146631346666667	0.209511867733333	0.0151376352	0.342633915733333	0.2561454592	0.00609543306666667	0.962334378666667	0.0462215978666667	0.0781203541333333	0.00712287573333333	0.000581545533333333	0.687375086933333	0.0058564128	0.00662114933333333	0.00899224106666667	0.00365977093333333	0.0327095765333333	0.0156548437333333	0.0463935317333333	0.0101088842666667	0.100655377066667	0.032028576	0.2547337728	0.0174506944	0.2351494144	0.0930816170666667	0.266086365866667	0.0244338090666667	0.0216546346666667	0.0632556032	7.81884566186667	0.342128366933333	0.0701742165333333	0.0425054293333333	0.128051131733333	5.20932447573333	0.130821768533333	0.282250513066667	0.138657339733333	0.535637742933333	0.000469124	0.0033129016	21.6620573840667	15.1208527408667	5.78692199213333
