	AL	AM	AT	AZ	BA	BE	BG	BY	CH	CY	CZ	DE	DK	EE	ES	FI	FR	GB	GE	GR	HR	HU	IE	IS	IT	KZ	LT	LU	LV	MD	ME	MK	MT	NL	NO	PL	PT	RO	RS	RU	SE	SI	SK	TR	UA	ATL	BAS	BLS	MED	NOS	ASI	NOA	BIC	DMS	VOL	SUM	EMC	EU
AL	63.2064660821333	0.00533215573333333	0.531728725333333	0.0259795925333333	-0.119772373333333	0.0963544917333333	1.4626533376	0.138897186133333	0.195849608533333	0.0117236362666667	0.461167172266667	1.68326157653333	0.0425280341333333	0.00972903786666667	3.74400969386667	0.0117658208	2.10013975893333	0.2034574848	0.0132490677333333	15.7842898944	1.29704086186667	1.4222778368	0.02966432	0.000163425583333333	10.4843378688	0.203495918933333	0.0385873578666667	0.0119851658666667	0.00661786293333333	0.171589051733333	4.37123945813333	4.59597469013333	0.037226112	0.0896835328	0.0037145728	1.07313902933333	0.280682171733333	3.35524932266667	7.67504984746667	0.561032533333333	0.0213228714666667	0.189535624533333	0.322323797333333	0.8605446144	1.878659072	0.100397448533333	0.0298378453333333	0.0413833088	-0.474144426666667	0.0736353962666667	0.0541200213333333	2.93237746346667	1.6778719232	0.0643739605333333	-0.190486698666667	132.89931314665	128.589946904517	38.6875388784
AM	0.0191399381333333	43.1914265258667	0.0139901472	20.9104295253333	0.0131205621333333	0.00419656133333333	0.149873373866667	0.152535517866667	0.0106370208	0.1848559616	0.0194941525333333	0.0893789866666667	0.0114661898666667	0.0095887776	0.0898248874666667	0.0104665066666667	0.0609877290666667	0.0178788864	5.40969151146667	0.1910255616	0.016806192	0.061391744	0.0037338088	0.0001675545	0.127654801066667	1.53762228906667	0.0212170688	0.0003394649	0.00290578053333333	0.046008832	0.00527764	0.0176485994666667	0.00238087706666667	0.004374436	0.00191688653333333	0.228240708266667	0.0113587616	0.331500509866667	0.0497169621333333	1.70310751573333	0.0072012368	0.00788303626666667	0.0169983786666667	48.2077267285333	1.53631812266667	0.00703806293333333	0.011281808	0.0621863381333333	0.192695261866667	0.00545937866666667	28.7740941653333	0.5104287744	1.73945023146667	0.0504837418666667	-0.337839684266667	155.524784337133	124.509506258733	1.19883445076667
AT	0.271658973866667	0.000298067966666667	198.279709764267	0.00104503753333333	0.521854327466667	3.346321408	0.116821034666667	0.690918331733333	26.9480929962667	0.000741448733333333	26.0757695146667	167.797762730667	1.27382050133333	0.115775240533333	7.01717490346667	0.149161335466667	28.2771084629333	5.22500396373333	0.000992641333333333	0.560781038933333	8.33263315626667	12.0869268138667	0.8244117504	0.0043716688	89.6073291093333	0.0514496469333333	0.393017309866667	0.551804859733333	0.0888342528	0.0478617344	0.118422621866667	0.157543168	0.0448834176	5.10694085973333	0.150532232533333	13.0358738944	0.4791999488	3.65700191573333	1.7426395136	0.647317435733333	0.611661550933333	17.3976704341333	5.33330548053333	0.4772601856	2.63000200533333	0.8642400256	0.2722344448	0.0110337248	1.174403072	1.0157869056	0.0169193930666667	1.32680717653333	4.576157696	0.7564791808	0.0649455658666667	640.328713875567	630.2497066905	583.680989994867
AZ	0.0341224533333333	14.5299767296	0.0359144789333333	126.415675938133	0.010288672	0.00559771306666667	0.179980868266667	0.3728832512	0.0241749162666667	0.257672465066667	0.0468007978666667	0.190058530133333	0.0326686101333333	0.0704164224	0.15672576	0.0531861248	0.111780138666667	0.0257084010666667	10.7098363221333	0.362365986133333	0.0347851221333333	0.113062237866667	0.00666848373333333	0.000403050033333333	0.2197119488	11.4505525930667	0.0675327957333333	0.000897575333333333	0.0118210656	0.0885561173333333	0.00622855733333333	0.0210178325333333	0.00266274826666667	0.00921481066666667	0.0101592128	0.481845521066667	0.0179918464	0.598742016	0.0808240384	13.9610084693333	0.0327179008	0.0159244810666667	0.0307790058666667	32.4714255701333	3.798749184	-0.00349745226666667	0.0450749141333333	0.0607837184	0.283833002666667	0.0186215146666667	35.2713550506667	0.871728810666667	2.86606513493333	0.0798897749333333	-0.0927032405333333	256.560267991766	217.1591167635	2.35972584946667
BA	2.21909551786667	0.00114409613333333	4.72212821333333	0.00468926773333333	49.1176897194667	0.458856925866667	2.14434338133333	0.243025322666667	1.31805088426667	0.0357120277333333	4.08862010026667	9.24870792533333	0.2887894016	0.0298691328	8.4901429248	0.0808294058666667	8.8434917376	1.3136642048	0.00143751933333333	3.66467590826667	33.6793195861333	12.4380326570667	0.143072964266667	0.0033561688	44.3037209941333	0.0857592490666667	0.1435336192	0.0490952234666667	0.0248675413333333	0.0901942186666667	4.09749940906667	0.7662821376	0.0396742570666667	0.7490658304	0.0458694528	7.643987968	0.6404032512	6.43579303253333	11.1479095296	0.547094493866667	0.2037356032	1.49310027093333	3.13240343893333	0.4189285376	2.56976513706667	0.403509009066667	0.264608324266667	0.0522263168	1.2532097024	0.394495419733333	0.0508355754666667	2.80684817066667	3.2234389504	0.369339050666667	0.175442807466667	236.201381516	227.207428189067	112.270181527467
BE	0.00193703066666667	0.0007191662	0.305376631466667	0.0013336956	0.0205986069333333	140.782268142933	0.0162841408	0.0164107285333333	1.1815247872	1.95685020833333e-05	0.399627707733333	24.4849683114667	0.898961954133333	-0.0017452616	3.64462789973333	-0.0042314056	77.8911787690667	15.5565184341333	-7.89001416666667e-05	0.0289671978666667	0.0425744810666667	0.0363004373333333	1.67936518826667	-0.0016383356	0.969557947733333	0.00938032746666667	0.0752847786666667	4.76273923413333	0.00556367946666667	0.00185904653333333	0.00172075426666667	0.0025098032	0.00131135626666667	31.995854848	-0.0500515242666667	0.507694421333333	0.345243374933333	0.0346910805333333	0.0120556917333333	-0.032664512	0.126319428266667	0.0197059562666667	0.0404517888	0.0213907093333333	0.081927936	0.243284753066667	-0.0318060544	0.00175776506666667	0.193413290666667	-1.4988075008	0.00225978693333333	0.202973883733333	0.274212539733333	0.300316706133333	0.0320124181333333	305.634032691627	305.91441510336	304.551930389302
BG	5.46781975893333	0.053834752	1.7918779392	0.197407010133333	1.93196578133333	0.284713335466667	143.9490899968	2.145243136	0.680399394133333	0.0887999658666667	2.31531178666667	6.28397397333333	0.2987958272	0.102679313066667	6.47138945706667	0.1073517568	3.54037159253333	0.718530833066667	0.136799240533333	41.2297418069333	2.77561698986667	8.38851734186667	0.0930041002666667	0.00145145093333333	14.8068390229333	1.5670636544	0.4874477568	0.0397056469333333	0.113473646933333	3.84709973333333	1.65554858666667	11.1463563264	0.0762359978666667	0.519923473066667	0.0317535616	7.84117486933333	0.496289723733333	88.5137517226667	21.2927097514667	5.54532645546667	0.1646327296	0.599290606933333	2.09891109546667	9.71217851733333	32.6498036394667	0.281877060266667	0.1882616832	-0.266770619733333	1.36934782293333	0.293142801066667	0.505841937066667	4.6360477696	4.52849718613333	0.293626743466667	0.0939032746666667	444.183978717067	432.2602030584	98.9589835989333
BY	0.771987114666667	0.0928841898666667	4.37581714773333	0.413858030933333	1.83982598826667	2.00186538666667	5.18549230933333	420.354160503467	2.70371607893333	0.0186428864	10.8283112106667	44.3876420266667	7.15357334186667	0.0471157248	5.24130167466667	0.701916842666667	13.8555839829333	6.0969336832	0.227014826666667	2.20653841066667	4.00386239146667	12.9220717226667	0.992543061333333	0.0170582517333333	14.4269486762667	5.588361216	34.9550499157333	0.244169045333333	5.04286958933333	5.9198685184	0.588508091733333	0.8446287872	0.0107348085333333	3.63944782506667	0.679420654933333	138.028261922133	0.362957243733333	38.9350861482667	6.25809435306667	37.5315628032	3.77961376426667	1.29969657173333	4.82491214506667	5.72796491093333	201.345728512	0.724354048	-0.816598971733333	0.250681275733333	1.08045796693333	1.22921096533333	0.9596573696	0.859032849066667	7.3031335936	0.680565691733333	0.1868751872	1068.93097226667	1056.4736022912	317.444518610133
CH	0.0677904085333333	0.0002039853	3.15137119573333	0.000681052466666667	0.0357080384	2.510241792	0.0293905322666667	0.160022289066667	191.115104529067	0.00163312106666667	0.680845312	41.4111279786667	0.392560571733333	0.0119181002666667	11.1055896576	0.0280667754666667	61.2883890176	3.4759139328	0.0003043049	0.128340283733333	0.6676297728	0.4581554176	0.583936	0.0089590432	52.8802032298667	0.00664722026666667	0.0774632789333333	0.353145344	0.0199316074666667	0.00696055093333333	0.0189811050666667	0.0269725994666667	0.0118082741333333	2.77897188693333	0.0653744042666667	1.95393440426667	0.7213185024	0.310634222933333	0.2254623744	0.134084497066667	0.150967432533333	0.455203703466667	0.166530286933333	0.2112003584	0.247280401066667	0.786791970133333	0.141672814933333	0.00166548386666667	0.535336721066667	0.745158109866667	0.0150083797333333	1.39351313066667	3.12013728426667	0.570570820266667	-0.0294476544	385.417365857467	378.136958797067	184.7975671072
CY	0.0163379210666667	0.002104726	0.0124914944	0.00177671853333333	0.0104996064	0.0058851696	0.0123738346666667	0.0179400853333333	0.00700137706666667	3.4019393536	0.0327837738666667	0.0657530709333333	0.0069827664	0.00207904133333333	0.130939511466667	0.00576130613333333	0.0532658304	0.0101635850666667	0.00443527173333333	0.015457728	0.017554064	0.0454791552	0.000670246133333333	0.000116846558333333	0.0864508501333333	0.0075742032	0.0081923584	0.0004816619	0.0022300092	0.00884073866666667	0.00443416986666667	0.0105743264	0.000935121266666667	0.0060467936	0.00293167733333333	0.0639708842666667	0.008305432	0.155685461333333	0.0487290496	0.0376189824	0.0061795968	0.0040491424	0.0134049312	3.66820829866667	0.1439295488	0.0016847184	0.00650307626666667	-0.00927923413333333	-0.2391230976	0.00638996053333333	0.925520622933333	0.559670920533333	0.212616516266667	-0.0415196288	-0.0511206869333333	9.53990888879167	8.168565721325	3.9898988137
CZ	0.202790912	0.000918536733333333	34.5277355349333	0.0050902896	0.389840145066667	4.23312534186667	0.234727936	1.48237161813333	6.15904433493333	0.0030064128	198.681069704533	174.305767150933	3.3470242816	0.197164151466667	4.524199936	0.257111005866667	23.7914707285333	6.1076553728	0.00491157546666667	0.626616183466667	4.37353376426667	7.98354855253333	1.14703209813333	0.0034252704	17.6455658154667	0.1139679232	0.823989111466667	0.7271041024	0.202260445866667	0.163443421866667	0.117707101866667	0.141206843733333	0.0155596042666667	7.98283912533333	0.207941154133333	38.4190556842667	0.433344989866667	3.7675343872	1.444575232	1.67461246293333	1.0697783296	1.99639954773333	11.9751540736	0.6003202048	4.33528886613333	0.637173828266667	0.124970769066667	0.0214896533333333	0.613862741333333	0.624104106666667	0.0283298858666667	0.767815611733333	2.30110931626667	0.5699218432	0.0907204181333333	572.226327439666	566.4468292658	541.023577285333
DE	0.2282930176	0.00158121733333333	34.4841803093333	0.00304156906666667	0.0898083669333333	101.082595328	0.5122702336	4.86546199893333	77.2458763605333	0.0131149632	28.0324560213333	2542.14053123413	38.6531764906667	0.182204859733333	37.6960712704	0.193025262933333	293.685096174933	71.408615424	0.008545384	0.536634299733333	1.97031799466667	2.64029006506667	11.6607363754667	0.0119404512	37.9103608832	0.182863889066667	3.10737988266667	18.93056512	0.535283234133333	0.240151586133333	0.0967668138666667	0.121865898666667	0.0378701994666667	295.7211860992	0.770243584	54.0966169258667	3.52869034666667	2.47594134186667	0.7731812352	3.50152485546667	5.79488208213333	1.10064592213333	2.10943453866667	1.15317295786667	7.58061847893333	2.8366209024	-5.01553343146667	0.0679449301333333	2.30424849066667	-12.7124122282667	0.0758560170666667	3.02235511466667	7.46359466666667	1.321388032	0.1843507712	3686.66352381306	3687.115110548	3585.28164331307
DK	0.0225016789333333	0.000376817966666667	1.36743171413333	0.00256494426666667	0.148220074666667	3.32008106666667	0.160032068266667	0.6979125248	0.4728282112	0.000852832666666667	1.6433127424	55.1532451157333	193.484729002667	-0.0361471061333333	1.99210461866667	-0.0010432508	11.4581722453333	10.8479239509333	0.00397808853333333	0.061798144	0.235625147733333	0.526102698666667	1.46220223146667	0.0137539328	1.88909131093333	0.0294737066666667	0.657399534933333	0.1967030784	0.1068040192	0.0351051904	0.0212276437333333	0.0269878613333333	0.000440504466666667	9.572335616	0.676817237333333	6.69488687786667	0.2410285568	0.5443286016	0.1876760576	0.569912593066667	3.15419989333333	0.153514990933333	0.321313518933333	0.0667772629333333	1.51490819413333	0.159954158933333	-3.19771497813333	0.0111933333333333	0.129102404266667	-4.10544237226667	0.003856044	0.0619800746666667	1.08473849173333	-0.7989618688	0.0138749578666667	303.062071991767	309.699491746167	304.2684839082
EE	0.0224165546666667	0.007574248	0.627894408533333	0.0309172949333333	0.176320187733333	0.848584772266667	0.1519514624	6.19789298346667	0.4688616448	0.00172280386666667	2.1658271744	13.1230225749333	3.5688685568	24.7444428117333	1.41922208426667	2.0250038272	3.6114563072	2.79057175893333	0.0252209472	0.161195451733333	0.392432981333333	1.19507380906667	0.399653376	0.0124944021333333	1.15849639253333	0.320311944533333	7.04275360426667	0.0787533568	5.5983276032	0.2056108544	0.0306231189333333	0.0298470037333333	0.00116818986666667	1.81713373866667	0.6148237312	14.6510905344	0.0970619306666667	1.7803505664	0.3936872448	6.2151458816	4.62882679466667	0.1992018944	0.603675374933333	0.413304388266667	6.31894452906667	0.2578172928	-0.239719901866667	0.0116543648	0.14339072	0.744791722666667	0.0329517418666667	0.0878335573333333	1.67057148586667	0.184075025066667	0.0227813013333333	119.2839084108	116.367761100933	92.5590291313333
