	AL	AM	AT	AZ	BA	BE	BG	BY	CH	CY	CZ	DE	DK	EE	ES	FI	FR	GB	GE	GR	HR	HU	IE	IS	IT	KG	KZT	LT	LU	LV	MD	ME	MK	MT	NL	NO	PL	PT	RO	RS	RUE	SE	SI	SK	TJ	TMT	TR	UA	UZT	ATL	BAS	BLS	MED	NOS	AST	NOA	BIC	DMS	VOL	SUM	EXC	EU
AL	69.0505097712502	0.00159227329067708	1.00177629002004	0.003858840611625	0.12634216067951	0.0679567664777812	0.274982658259635	0.115392578494281	0.21641042856526	0.00296178574775	0.453846511399281	1.49671075811597	0.0925046263211354	0.00212410790908333	1.16179983309959	0.00285880397717708	0.789995716478364	0.121558396313875	0.00400080729015625	10.1810443813849	0.833385513011302	1.09846149877451	0.0148280840157187	0.000414687583145833	7.34532828387585	0.00022552369271875	0.137908532188073	0.0142397624744583	0.00662486898078125	0.00371565469403125	0.0947664609649792	0.880286052954844	3.19405436392788	0.0516837579030208	0.147915379762677	0.00656449677258333	0.754757624094052	0.0501349278800104	1.90112288154042	16.0417796732353	0.415279986444437	0.0352792311844583	0.275443709608271	0.249119027613938	0.00019336698503125	0.000361555529197917	0.478248651448115	-0.174968481155323	0.00022915293903125	0.0113227772287083	0.00115232467971875	-0.0180562071133542	-0.350441522126886	0.0194318443253021	0.00161633794047917	1.6765580037446	4.56656651774474	-0.000167211496281251	-0.115228239105698	124.818366350431	119.02561172461	27.5987753279068
AM	0.010388902389868	59.8427801215862	0.0168150092083263	41.7302360870026	0.0261592338282409	0.00274630155049959	0.0270795921671993	0.0265196766777917	0.0149510934624296	0.0762959617218987	0.01021624677187	0.057149166030933	0.00276101096081209	0.000975638326676671	0.0258552970981188	-2.29554090729166e-05	0.0512235495204239	0.0057585442744825	5.6749792876314	0.0570810888436807	0.00824029505352919	0.0113129319328096	0.000892932864864583	-0.000133588565920001	0.116382116755154	0.000688809884336668	1.67182081785025	0.0018756568799025	0.000234900478326251	0.000530024502579998	0.00736444925856793	0.001864833265385	0.00715075296176461	0.000587874168065835	0.00439909015160001	-0.000502545370308753	0.0413891944482672	-6.63001393645834e-05	0.062921464860761	0.0271236089730993	0.91160385183646	0.00183968063148584	0.00325279395605501	0.0048378116535996	0.000148801718552083	0.316319533724223	56.8185486703813	0.0918873312758565	0.056150778190859	-0.00221346575850251	-0.00166793342517334	0.00485537302129043	0.0764568052032486	-0.00322851794132543	34.3764094030209	0.377793300007118	7.44097406998838	0.00782192469851795	0.114838655882171	210.220655041923	167.828615427227	0.584324624209955
AT	0.175683129486396	0.00198448833783333	179.266980603135	0.00750870255272917	0.747836198855083	1.90594563352694	0.436458424946479	0.393271893981021	23.5441668767314	0.00288244207754167	18.6767088567966	122.007490125871	0.524468576523542	0.0368514441810208	5.51905433686581	0.0388669870043125	22.2465007412013	1.91773809133379	0.00569478317958333	0.195123017061417	6.24684076180379	9.92351400139898	0.242139852352854	0.003592977723	59.0199427538826	0.000277643715083333	0.352971341351	0.152657387699208	0.283365237767375	0.0473645699665625	0.139762227461187	0.0351648047310417	0.101047406834104	0.002254034661125	3.67806916573783	0.0330081675836458	6.26802443535681	0.226472550963833	3.57005659345219	3.23924816633119	1.59621743124467	0.14910655584725	16.5701378501187	4.042564782694	0.00024182306575	0.00256968846429167	0.107310481547896	0.446513526145	0.00300703631595833	0.156773581516021	-0.00256653503316667	0.00881685738952083	0.478384909004	-0.0343701912386042	0.00436390192666667	0.319918395369854	9.11110545268663	0.0332539613676458	0.014569783182125	504.224908726036	494.134658609865	456.950739052424
AZ	0.0103205554528668	14.7364819338175	0.0185204108690818	261.943540164571	0.022693732632324	0.0150230669300532	0.0376098059324425	0.416431696581464	0.0165464629035915	0.0632378625619744	0.0380071833050235	0.231036863560154	0.0268401691898579	0.0107280895994474	0.0311510290621619	0.00673965754756009	0.0514814241614879	0.0333266589104133	12.2607337145322	0.0708280293660102	0.010316744145517	0.0350470906961426	0.00681164754544284	0.000635427021859945	0.0984634262447766	0.0179830776919227	18.5721263538526	0.0235117236432163	0.000304380172959995	0.0060792082613959	0.0340575489798963	0.00193433677118422	0.0076835713124855	0.00159895060719463	0.0268270679812846	-5.4316568793906e-05	0.51803411974744	0.00078550436185089	0.165797050516036	0.0324917195459541	22.9782691637855	0.0099527489133315	0.00449837343245408	0.0206803808460551	0.0274673000125325	2.24278260302423	21.3973962707919	0.593036741665085	0.628287559533799	-0.00519313312967357	0.00490621898249346	0.016057732359547	0.0843586185866742	4.66590192357288e-05	24.1388640908502	0.268078343992178	7.55822428305806	0.0144726387418389	0.099705767866095	389.683605506348	357.504084286022	1.55292192396525
BA	1.76113975652061	0.00393766570257854	5.4424564153791	0.0122915401019391	51.1903597058909	0.220900950896653	1.16458988032643	0.719730286732396	0.782140067072051	0.00391752945500816	4.15231254973761	8.50457397821846	0.333629452804727	0.0262625921937053	3.19313682907366	0.0307078455849571	2.28497848943867	0.407888740408781	0.0128754696523398	1.6114479882995	26.4332572792293	12.3454447213777	0.0537363386120024	0.000999048558501659	19.7729773301858	7.23853779574957e-05	0.294639740781157	0.105308030695462	0.0282922416720047	0.0327575928666755	0.228135974194792	1.30484352646676	0.442906279499115	0.0155341386041751	0.535447744058727	0.0223194878991429	5.39257331284722	0.171240866707349	5.87806695909224	20.5604581374755	0.955460998755828	0.10321143204252	1.07305147466488	2.6336578706765	1.5128752197079e-05	0.00220596224097291	0.402917250198605	0.324289793742261	0.00315582840026268	0.0337822265249177	0.00500834203643077	0.0182330038402014	0.146139599218992	0.0628229312541856	0.00446315727461062	1.09790517169915	5.36170360213027	0.0151709073173608	-0.0111391486559084	187.710344401806	180.976254609166	75.5181032959205
BE	0.00495779227464932	0.000217500020942685	1.51454831133001	7.66802406823146e-05	-0.0419552021857137	127.571091592169	0.017748657788062	0.11277854025883	1.13219808069259	4.61136635260188e-05	0.826609999842399	24.0882659622077	0.485670073281295	0.00895247973758822	3.66919576532701	0.0118601169321994	84.0425919318989	13.8619122967367	-0.000102855273677978	0.00153267566289141	0.143903156069727	0.31331209237167	1.78069436945583	0.00238258545744175	0.865950851853466	-0.000212828745473981	0.02360113497467	0.0589533451329667	3.76856103978814	0.0138076774270024	0.0375581702829128	0.00239435494632806	0.00624562554892194	0.000436418632442686	25.4182157466034	0.0311257822492505	1.09625967052037	0.171286752319095	0.194329716138354	0.0556121545757624	0.183235568165182	0.0594412661954897	0.118343554101889	0.256795441582821	-5.86240989323146e-05	0.000601075158807314	-0.000596284973245663	0.032075103732491	0.000304335364348981	-0.163115005277244	0.028160548824314	2.29560296397075e-05	0.0239961487760936	-0.800881604366918	4.95917300303554e-05	0.0906361931622933	3.54928192902811	0.026421502106415	-0.00378851387652262	294.693539509573	291.942755763437	290.216413918701
BG	3.46976690646256	0.0266851920234172	2.1283250891802	0.0971097303886568	1.44888635333992	0.188973322881014	156.58737979814	3.51457345517979	0.53166540816559	0.00570774696423208	2.08291489284606	6.2882065722928	0.59021429505612	0.0628617157793836	1.44400477503721	0.0856078082139513	1.78626145866613	0.646584076759628	0.184783268066404	25.7503707706195	2.12916508461478	6.61445192326444	0.0746018098321993	0.00250180557993679	5.3576430247183	0.00249303845452908	4.86336861442782	0.407241817956242	0.0296510677046667	0.0855541455004986	5.28579681698048	0.270572959304217	5.06587523928514	0.0143430326710426	0.539083007059861	0.0438534468059062	7.51839177988203	0.0546998264126395	62.8139048122103	27.3027125198392	15.1465507338435	0.354232023563328	0.411515086796222	1.8366447143738	0.00223092897302536	0.018866765142647	13.3093901448632	2.18242491425751	0.0314959031878487	0.049333629306051	0.0490842063984011	-0.101076718470476	0.473935902881003	0.106474782739473	0.0391844662216978	1.06813334160258	8.74428296455938	0.0340136508449438	0.162359093897788	379.315864943549	368.690139623568	283.759370394382
BY	0.246719970138984	0.0257639140020165	3.3168877671058	0.135992039365442	1.10677011594247	2.93940567348581	0.849964495986357	524.269467926949	1.51396508998634	0.00146244177670499	7.77369289460966	41.1311624457686	6.23828631826021	1.23294144168099	2.99762610335738	1.4977205782969	10.8861344090773	9.08608234847671	0.0453969155961816	0.153306975254092	2.51615215245506	8.03792886189643	1.33474413215246	0.0239980536171563	5.10556151801509	0.000548458574207843	13.8248233467876	20.8523405844206	0.230657949662551	5.39799294132458	4.23226740139986	0.0824913260201538	0.139233108796196	0.00456836656498449	6.04483804869847	0.54999352321293	108.716992183194	0.153298274341173	15.0272174160661	4.06808120851438	53.9059602964121	4.29679779583379	0.897165467838912	4.07612884829085	0.000324242495743697	0.042759688087543	0.511784569210695	5.25269197074319	0.0599860567903596	0.443599883151829	-0.735404098942132	0.00737969391111388	0.245092311196579	0.230103782785562	0.118564389375491	0.19870603064935	15.0965659536659	0.13042766805765	0.0854294582646305	896.65654272865	880.836077656534	268.280906281437
CH	0.0123931441704831	-0.000102167365760417	2.69355896271002	0.000847924998597757	0.0376346540522548	1.36884885904232	0.00212952507647273	0.0227503011131968	247.921716753583	7.73610104583333e-05	0.268488120908493	22.0580269126547	0.0238254912006181	0.00293777250585112	5.34243960064911	0.00272655667597348	43.7432711586101	1.63603534790756	0.000245629007781571	0.00579479404285783	0.157240535221339	0.17482799194549	0.23232643511234	0.0026379183352883	36.4395706894178	5.72110090416667e-05	0.00499142015271164	0.0125513553888322	0.139388568397341	0.00434360926523158	0.00428433909680677	0.00171812101905482	0.00363264173358569	0.00144826367377213	0.500150132642062	0.00182014222717035	0.245042776864417	0.167514433970702	0.0957566223584195	0.103054455363865	0.0351091303151027	0.00668427277188206	0.273694069687159	0.0623502521979443	5.79100719583333e-05	0.00016317717725	0.00729676869829801	0.00580183196121435	-0.000304194842979167	0.103083024360225	-0.00114718680853166	-0.000321066569426762	0.168767115300348	-0.0338085037811811	0.000160513866315141	0.132933189894059	6.95393707266388	0.0271903248407654	-0.0567627417227882	371.120889325831	363.826857583787	115.503809936688
CY	0.0231840053322917	0.00121101843113802	0.0304927108713802	0.00273247778861979	0.0122101511617188	0.00332571228852344	0.0667386350042995	0.0131747434216198	0.00877938436848698	6.09010873915408	0.0157451383415651	0.0737069723457213	0.0019790570019375	0.000287637867611979	0.0255642618700964	0.000416039456143229	0.0392973036573255	0.00723728940661719	0.00459448921658073	0.160494914043984	0.0177133266027865	0.026526616546263	0.00109047129121094	3.84901352005208e-05	0.145868590687268	-2.18580265364583e-05	0.0276551390237292	0.00154531978823437	0.000448915830867187	0.000307126771028646	0.00832075570975781	0.00156918314126823	0.0133212855473464	0.00276617912384635	0.00796499549167969	0.000331566496861979	0.0442283473559036	0.000804743412148438	0.0872737967153802	0.0695184873962578	0.117436374048898	0.00134540531174219	0.00547640692830729	0.0106694309706042	-1.69916633802083e-05	0.000431258457651042	4.36969099500458	0.0310184906026068	0.000404362443549479	0.00102130570611458	0.000368513080963542	0.00515179931777344	-0.0755585190731875	0.00143996849352604	0.706277699902424	0.86493453890943	0.976461584947135	-0.00323682004703646	0.00205735923264323	14.0539253226446	11.5750078921748	6.85171075753377
