	AL	AM	AT	AZ	BA	BE	BG	BY	CH	CY	CZ	DE	DK	EE	ES	FI	FR	GB	GE	GR	HR	HU	IE	IS	IT	KG	KZ	LT	LU	LV	MD	ME	MK	MT	NL	NO	PL	PT	RO	RS	RU	SE	SI	SK	TJ	TM	TR	UA	UZ	ATL	BAS	BLS	MED	NOS	AST	NOA	BIC	DMS	VOL	SUM	EXC	EU
AL	18.975007447938	0.00589457039809739	0.510249433125958	0.0343484267652974	0.813672188007226	0.126436484614538	0.93980987425381	0.0699613172802658	0.13308238188627	0.00187664211090763	0.48233779728366	1.48366772537111	0.0486906651149836	0.00430962343885501	1.96287243708292	0.0174668500207892	1.59946790951959	0.273121214798852	0.0057469352778128	5.29733117231685	0.558246553861279	0.748864514196081	0.0297648260753638	0.000857954504148569	10.0498395819484	2.76907537311005e-05	0.0505818320551185	0.0211691229571143	0.0197081919765094	0.00896948956085664	0.09943155983229	1.24698700086484	2.19773121788157	0.0583166843657655	0.162200975112237	0.0408614126525686	1.07354969448147	0.176647592599289	0.993240424637704	5.08259175075244	0.625893333725798	0.0385431606431287	0.0900505604731751	0.277494064148146	2.07773511464087e-05	0.0203515040805393	0.554156018900883	0.723867171028329	0.00894531588425317	0.46973733092536	0.120225489626452	0.0900134641502413	16.0251487852389	0.351368147312965	0.225976054156849	4.02086101445125	12.6139071755811	-0.00970722701895936	0.0029230620324725	91.6547143703666	57.74426107391	27.0542432660894
AM	0.00807122428637044	27.0188060667379	0.0219374110347993	30.4361243548645	0.00886260834765403	0.0105336949246177	0.026360665216621	0.0142671571314769	0.00978114860542926	0.0790722863077113	0.0217653093235993	0.117940911885235	0.00461623951591194	0.0011008642311357	0.0838449845199052	0.00507309306808825	0.076881303127757	0.0223243098418598	2.77686605044282	0.19059947027604	0.00743614425353054	0.0165139606985125	0.00220065548295015	0.000169279971450878	0.0962164997543432	0.000332589078217745	0.324415582394848	0.00330038164950768	0.00178091611361038	0.00198811180275275	0.00674699786269836	0.00361215318723628	0.00911746301359435	0.00116922448525717	0.0113427375545936	0.00576011946663229	0.0590615122707277	0.00834689335358609	0.0380486141086441	0.0296985601627574	0.911471815915265	0.00574794171680308	0.00405054392405677	0.00892817291850038	0.000447187026173808	0.622692366548688	10.1088993034715	0.13837212551673	0.116133685180013	0.0264166916429015	0.0114793385434734	0.123060665103798	0.867134202852091	0.0190414045774606	36.3388498819684	0.67501945683761	14.3474486814919	-0.00139324115366954	0.0188966785201756	125.904784452957	73.4788306925726	0.928182853360657
AT	0.129254749429155	0.00193969576557198	104.058517160196	0.0109798408353625	1.51125047633215	3.40921845534537	0.297774733993152	0.234634003915453	9.91118791717815	0.000328541312498797	16.461919349397	86.353417934819	1.0629339134686	0.0181097073012466	3.45822421569727	0.104639070752865	17.3173880436044	5.1335707366443	0.00327621925749752	0.273539272873871	3.1330730536666	5.00958728793918	0.304019188823106	0.00742774685826253	23.4483174254321	3.62947227971163e-05	0.007155396991201	0.168051994030159	0.727504044733637	0.0549219230599275	0.0493120531758968	0.13494815127194	0.107398705671766	0.0163404916131632	4.87329614820465	0.606035410809311	14.131558097409	0.258780597346032	1.15958273797501	2.6723766726654	0.705589687969414	0.470088042453484	5.82737256432233	3.45542864092211	7.97532925936781e-05	0.00389392600765539	0.145421688779292	0.882411898029803	0.00156568557413669	1.29895064810929	2.23869142641422	0.0469975275008623	7.43402976565225	7.78254623798037	0.0575623049764218	3.08895826468366	21.5269018681335	-0.0441544840204847	0.0246673434070136	361.568830250706	318.113679347869	300.987503373336
AZ	0.015905691233072	12.1500454922485	0.0461009545330842	243.70167205363	0.0213658855060497	0.0359537361128015	0.0684880129358809	0.11872510381891	0.0220305292199588	0.0958207779721182	0.0660508151626259	0.37334791857289	0.0297724288772494	0.0091061942391768	0.171606871145158	0.0463748177808351	0.202544377528412	0.133603631273717	11.2202027815743	0.254885272000407	0.0159934533421147	0.0435194043946142	0.0169258600916634	0.00110126511726994	0.19310226826582	0.00517995036564209	3.10450906067664	0.0242072349864421	0.00461066468190604	0.0148895549296869	0.0373005762145843	0.009051221227895	0.0170219280565583	0.00145345875402198	0.0556597568978394	0.0434739803848884	0.325315076179926	0.0189501140006073	0.154720303745194	0.0578537284865013	13.3125331241916	0.0455357450812136	0.00779717108705376	0.0297795688392149	0.00804412187988699	4.64415515945758	11.706441830263	1.05721883974595	0.913805193452157	0.0871718347074229	0.0877458007471329	0.441624557028288	1.17224375804538	0.103766543508002	103.912882599606	0.900938538284627	26.3315910741002	-0.00794954694401054	0.0200843725915576	437.703852491837	304.653752960163	2.48611544341167
BA	1.37062540473896	0.0104454297514682	6.0567995010919	0.0617202734748867	35.1322714832949	0.613565497293302	0.977719776408613	0.198442846193521	0.670435943573992	0.00202290305998021	5.52859134517549	11.5534809031719	0.247931610335199	0.0223288654385063	3.25077603519976	0.100754383474848	4.17728139937238	1.19533435180038	0.0139473951824776	1.43505643602096	8.65142906951579	8.58083797564903	0.0772474179216071	0.00329447072488597	20.4277146876456	4.47987053580582e-05	0.0587420534982464	0.0829631794900438	0.10168003645579	0.0394244659943009	0.148516698309102	2.38655023622389	0.383040813851619	0.049966943549783	1.02404545405107	0.193633918912136	8.48268198562133	0.284578239271876	3.20067326821077	11.9822188717207	1.10157523333507	0.22301783267432	0.913420438641131	2.68908796929343	3.94197204457596e-05	0.0257145540392017	0.46886765082766	1.61073667642211	0.00958136471730533	0.793194000805414	0.805086563106238	0.11018431272746	15.4311800705911	1.92709208861188	0.29425152508309	5.61245494818111	17.6883584650053	-0.0284158094849816	-0.0118363003917535	188.442407373282	145.820857509047	89.9904119718291
BE	0.00839304434670011	0.00019174237861298	0.686357703040857	0.00176748042025541	0.0158106592492315	41.1878429217425	0.0367562297950179	0.036588170200206	0.640320238957626	6.56173225057622e-05	1.13753268248131	21.0831725433119	0.266710808498783	0.00921644967560657	2.78083512408613	0.0399567094423957	35.5212322028882	19.6530963737726	0.000247986912892821	0.0317631370708402	0.0385993145138776	0.114780657450802	1.1161587774304	0.0183056216507529	0.711176160966907	2.08134796821202e-05	0.00186038313681788	0.0239292226207995	3.76081454950219	0.0151837524823304	0.0112869659541218	0.00405866176279541	0.00878392937240905	0.000423747792861424	11.3182912450984	0.327471226429884	0.976598564164836	0.31516963306572	0.09280751343081	0.0375377007562919	0.168265790812004	0.126400675025427	0.0499922323077827	0.103316680273641	5.57156513634448e-05	0.000447159999274028	0.01442371393089	0.0811677799857948	0.000331375225099114	4.0822495163979	0.483879371540588	0.0121503430692622	1.06118711676579	27.7756062018115	0.00769566887835537	0.507519856785921	11.764332387985	0.101711437001933	-0.000220502954726107	188.37162878715	142.575517389868	141.198181229256
BG	1.99278293062693	0.177954537538875	2.19151129722285	0.7116385481323	1.70499096925632	0.544587208927802	79.0706732183104	0.828090364061988	0.368317112129069	0.0794137555013435	3.09320457997358	8.35757012213139	0.397504420036408	0.0474425852351503	2.28191813441474	0.168884627460599	2.78273458506295	1.27211723160019	0.3965142579385	19.9609154343091	0.962820312023536	5.28951702356204	0.0954932416894591	0.00594147499770174	6.53802298652832	0.000380045890788548	0.511461042642648	0.242363841049243	0.0810275635917584	0.0972688210718088	2.9125128935167	0.758303063776668	3.30179680374114	0.0260181429075291	0.83627438669096	0.289461444676398	10.8119828239464	0.199316213937329	33.3944418259747	17.1710378226361	10.4450345149049	0.31542004664521	0.283403690529461	2.0754445056796	0.000289526482415696	0.160903883419514	33.9782168506	14.2077527400415	0.0558323150659287	0.645298269771987	1.08626311322333	8.37035466102885	20.9573559677463	1.74382803417407	5.10422781205301	5.49002112078347	30.3385821577782	-0.028048644098583	0.0450493441800211	345.229437604731	271.47650576809	181.497292626014
BY	0.323347613026538	0.144648699598715	4.98868242372693	0.606199979126865	1.39451729681974	3.65095508982115	2.37682129435189	73.1540149558765	1.24702330959691	0.0172811407924263	11.7289108270906	48.50898434834	5.05875683617025	1.82056176011126	2.60350195148171	4.07773430879892	9.99623214017778	11.0755647835904	0.347309662567095	1.8570756769868	1.46314108207556	6.50041326980053	0.741597510025105	0.0311238122020161	6.39223655844903	0.00170870112593255	0.446617069529889	13.1602865897996	0.518243745699765	5.00920796716249	4.16203802649479	0.278522227856287	0.381692647624092	0.00806224012031329	6.41930882926637	2.48295513662938	97.8808136575961	0.306855554177744	12.664662197413	4.72004346374482	55.3717281725443	4.80979615920299	0.863535803532009	4.76932784971608	0.00160557221662051	0.101998130259349	8.55973525257285	68.6465306450537	0.0410957411916373	2.38106696777023	22.3110471475727	2.56410870529874	5.9790556951836	14.9706257590093	1.82845698650773	1.93996950566551	44.737161011356	-0.0645313647384588	0.0380198224971152	588.397987947257	491.713007711135	269.268551595477
CH	0.00641183514246015	0.000125425900762784	2.02742070955831	0.000908968213539726	0.0297865622471976	2.41124933491359	0.00780633947899693	0.00706676811264339	45.4763340194052	4.10950963456028e-05	0.610616479987292	21.0012412236664	0.154101323941209	0.00279463207677934	4.28667617099583	0.0135703718576081	30.0928295982756	3.37840758744732	0.000218684432393367	0.0195551477570504	0.148690007945163	0.150390784109759	0.311051170971553	0.00255234541792749	17.2159779733169	6.83354823943227e-06	9.72382943917376e-05	0.0117750842879139	0.427979363862567	0.0078204980966214	0.00205099804093398	0.00287681302510167	0.00148896124540324	0.00502267617003915	1.75460316613895	0.116093020315306	0.855369201803472	0.361454118683944	0.020853451652861	0.019263063100751	0.0414469263624306	0.0488891984662197	0.21229072127906	0.0824480554019266	2.26552018375757e-05	0.000212571524499256	0.00791316763669279	0.0264290865968072	8.09844573267813e-05	1.53773597922326	0.245599041882555	0.00206801242864062	4.66736115324239	4.51817493437697	0.00486961159817199	1.71275383031257	12.2768574407414	-0.00723529573813461	-0.00209090210660547	156.318406221422	131.362312415461	85.6209254872392
CY	0.0170943339059278	0.0109939653775794	0.0180960333928096	0.0500215419010371	0.0128283030347067	0.00867089105731963	0.0556228875872654	0.00876538674708922	0.0078912737549382	4.62565598796169	0.0200589142409678	0.0931077197893724	0.00351286468269366	0.000483624015815867	0.0730211629499132	0.0020151686779776	0.0752776216708723	0.0221796970116493	0.0151860769408559	1.04663073944263	0.00993279544341068	0.0212578091221206	0.00228036910915126	0.000173854537798402	0.16326379236391	2.56288757643973e-05	0.0111824525540552	0.00223589707866373	0.00135988250090865	0.00106335198493612	0.00895805647041587	0.00541719254663463	0.0167616099982224	0.00450558111421485	0.0135127557283814	0.00337583680253414	0.0662908728689458	0.00628143345073828	0.068798731102121	0.0504919306786933	0.207390739517197	0.00329500564215115	0.00335451259954739	0.00970555866427782	1.67156581205005e-05	0.00615309671649399	5.69008741780936	0.112337685001261	0.00166755298791857	0.0187348094518386	0.00931258877956029	0.132515359295869	5.54325368932095	0.0241461227000331	5.31958997047159	1.08202574233186	5.88823260030882	-0.00434688425084266	-0.00620607247694489	30.6655502390038	12.6582923130711	6.42147166125446
