	AL	AM	AT	AZ	BA	BE	BG	BY	CH	CY	CZ	DE	DK	EE	ES	FI	FR	GB	GE	GR	HR	HU	IE	IS	IT	KG	KZ	LT	LU	LV	MD	ME	MK	MT	NL	NO	PL	PT	RO	RS	RU	SE	SI	SK	TJ	TM	TR	UA	UZ	ATL	BAS	BLS	MED	NOS	AST	NOA	BIC	DMS	VOL	SUM	EXC	EU
AL	67.9788969528438	0.0097996495224104	0.417983296043217	0.0406294183444236	0.64696001021162	0.0457155676503011	0.639945019844764	0.10306757199781	0.149920413728401	0.00678978960110247	0.437663980101997	0.809959584809315	0.0512379044407878	0.00519027615052011	4.94245458282896	0.00677655912031233	1.00595840209193	0.0767691502698779	0.0250667162040767	3.47286565878032	0.592351048502941	1.07148984578309	0.0198277876631582	0.000247498877508255	10.7253109744661	1.78048262723411e-05	0.0513153647879564	0.034386498179713	0.00701982983309201	0.0111219626405506	0.118938384464454	0.672801421514534	-0.162499487863802	0.0379228846339354	0.0622443173549542	0.00486072575502532	0.992087041520283	0.238049779224245	1.46731899092307	6.71226126207666	0.72367325356654	0.0192914202326443	0.111073308969799	0.261840101305476	2.58340556488062e-05	0.00267366229928688	1.29598007990336	0.720879438066656	0.0125504760788682	0.0243822950072754	0.00611803137385581	0.00277224766500248	0.074054725346069	0.0099834964761956	0.0502212010181681	2.73214528907375	1.75935201032986	0.144555759327768	-0.334514876173007	111.147782193673	106.678712014228	27.4938764126966
AM	0.0241566764627119	47.8937786350308	0.0259463268067132	26.3386952884065	0.0139240057564327	0.00659799131213268	0.0453992301949994	0.0355554342912766	0.015400212384359	0.20559166045575	0.0123214935788385	0.0816478919720769	0.00503942034780048	0.00128113397923609	0.200664991646657	0.00244677894936688	0.0455033005051908	0.00626969763609022	4.3083996016436	0.142809158700548	0.0124999868786787	0.0240255495688678	0.0023762765873118	0.000396784729582258	0.145141183066456	0.00139521099906337	0.24868328667381	0.00628290377101861	0.00144074856635043	0.0017691449670787	0.0154876104851638	0.0051672931895537	0.0149932549519013	0.000713075736480455	0.00593548370713678	0.00145926731843113	0.0564693446300641	0.0117899421156653	0.123451666708158	0.104380171110902	1.76412899976681	0.00358136110700263	0.00546405180185211	0.00661674540438255	0.000990205880734604	0.583678325637077	59.9381895525911	0.271867827912628	0.322541662446832	0.000634162193226938	0.000720073832717258	0.00935241165255072	0.0359597781502758	0.000832764742285324	25.5602072541447	0.84444627015731	1.96380864301649	0.0715858254167745	-0.0503397459528662	171.529553285725	143.092345848371	1.18280684306581
AT	0.0581392703853553	0.0102405301039758	271.265140306129	0.0570609748918369	0.811114392686647	2.32580106155174	0.202919530192711	0.437452767581615	22.2113067192311	0.00188302480997355	24.6668458472843	114.118973938873	1.10394444166059	0.0236941123411715	4.58265685898626	0.0801697499257899	25.6545901542777	2.11160400561124	0.0594843430342734	0.0722475946187869	4.20713292590711	8.45904913284458	0.470312664939223	0.00607566697823466	43.3322345426991	3.50397126938527e-05	0.0291727422303179	0.233277279145785	0.569191626090132	0.0669698733378288	0.224405867660785	0.0293537350685228	0.0497472556717976	0.00243746340392677	3.14267723591258	0.0869493134510469	11.1567019324886	0.270227617909188	2.44759636580618	1.81095842557899	1.83812214552083	0.345031705598388	12.1898056069161	3.23784088670498	1.88985448998089e-05	0.00696173091220681	0.890255503417919	2.03235838730351	0.0243335269887691	0.0665304095316384	0.0404199944345763	0.000587764418479055	0.166104602830207	0.262721308306886	0.124816077570253	0.751147331074955	3.34680358497916	0.396069790005619	0.00827558814918281	572.177981174222	567.014504722921	534.229353480354
AZ	0.0415268100035046	15.7658803069552	0.041789995047979	284.985932130696	0.0257136943828854	0.0160060564238605	0.126331573797163	0.224709601996927	0.0227035073702987	0.203323447533481	0.0406902107921242	0.201870109140814	0.0208386548097448	0.0105873413197492	0.231850851738133	0.0220412287937215	0.0745377553099285	0.023545863434341	12.2346921516865	0.210740049620524	0.0237221854031219	0.0708883461106809	0.00582500968068582	0.00129943405711488	0.215377055960104	0.0137959331605459	0.686954710793002	0.0386850969900684	0.00240302779036085	0.0117033585926451	0.0484927295769226	0.00649770083266978	0.0268297699401234	0.00086633931583461	0.022115736966923	0.00818346482925823	0.283319076090942	0.012643485822569	0.386553687433259	0.192631925062842	25.5948870608946	0.020382156636399	0.0101929472769053	0.0216361577715613	0.0159891000317178	5.14267051753002	42.0703385334052	1.53889497238665	3.09716877357067	0.000834302017708619	0.00706715751835634	0.0217707476929331	0.0412006096310492	0.00575594119122391	61.9523531163749	1.07180992005605	2.91508813154241	0.115947410777505	0.00417475171570704	460.232261723284	394.096259634766	2.32692094216928
BA	0.954319026243038	0.013997768457237	4.34115858886013	0.0536382135106136	76.412803314235	0.253655967529857	0.790006270600522	0.3829861640735	0.892168902726399	0.0101271704006729	4.20121572688512	6.91749826087784	0.524305637589069	0.0329654138963514	6.28552299342645	0.0409167303671924	3.25951639613764	0.452785737992683	0.0342712768297303	0.47866339268364	19.9059860639015	13.6623444383217	0.119811724039085	0.00265655902207953	30.2551684544537	5.97636711612965e-06	0.10624761447403	0.221960583315194	0.0493998612124991	0.0737638929763413	0.275866902459548	0.878779195608466	0.10993881525391	0.0347513602093171	0.404165525008884	0.0259382774034872	6.53340561086921	0.314301622494945	5.19239171307076	18.6825350699888	2.10857687917931	0.109086394373154	1.40255387769765	2.8988224803231	4.19853920582682e-07	0.0031085718332765	1.68270108295601	1.98785681654224	0.0212609799736979	0.0399814788584692	0.0206214573571223	0.00297686892595437	0.252842423805249	0.0416807508939295	0.151186982450895	2.6788689415742	2.45976270241941	0.298798931597703	0.0486416918914186	219.39127194628	213.395909716506	108.313466151521
BE	0.00194896377167913	0.000533147877684484	0.311427918695255	0.00535615348126988	0.0112304054912701	149.285499626564	0.0109508967935865	0.0490770952746899	0.525310838573533	1.14396959394217e-05	0.536806769394072	19.036155097024	0.433326989679898	0.00634824338368451	3.60710223762841	0.0155000795462579	87.1201004962426	8.63389247398265	0.0050672248859064	0.00439793133635757	0.0232853636447862	0.0597185637567453	1.55403969055213	0.00599895060013359	0.857444982795665	-4.62623745203018e-07	0.00691740926509909	0.0252809761638511	3.94257282973511	0.00800773079520588	0.0141864685702467	0.00255957917174386	0.00532563425769036	0.000152629233091449	22.6962781839835	0.0449389780431669	0.609986938070092	0.273633383120244	0.0978082580494074	0.0290967098891083	0.156176380590882	0.135367245935348	0.0256492745854997	0.0626711892203633	-2.14264921098948e-06	0.000987631423347319	0.0448361013516964	0.208117580360113	0.000476871336032326	-0.0750289307684209	0.0141685387787825	0.00095181611141252	0.0148699486875006	-0.76742379006608	0.00188465689483347	0.233780499463491	1.2271316222406	-0.0957869841989149	0.000264126965674882	301.046368462659	300.49155695855	290.739524965625
BG	3.4373158282069	0.0726975431048865	2.08362667166685	0.351221393929213	2.62318765788843	0.280902992559992	147.576128401625	2.34135583834247	0.509939391528179	0.0827569397501027	2.44760374171536	5.56816016572347	0.358542344206382	0.0504398044126748	2.89930696818281	0.0779591296385878	1.93043135002548	0.348742964138869	0.337097386219397	17.8160480201665	2.67483270101034	7.82762349897085	0.0988807655079422	0.00584261183449766	9.38333270346492	0.000549258046520564	-0.0850303869893248	0.444105134155783	0.0405584778304422	0.122973686456211	3.49179372758446	0.447061917543917	6.03787146821829	0.013632686283474	0.508546968234797	0.0595712867699897	6.67121388014017	0.165312132740253	65.3207838532263	28.5941296080838	11.3735637255356	0.180917099679143	0.772114190685916	1.79053052493627	0.000415915820246097	0.0228020122450513	33.8096666107983	15.6724202219459	0.0908786053904649	0.0280452167877126	0.0454262439625448	0.00190021252551535	0.329990855872057	0.069803626355952	0.428944636186283	2.6597048332204	3.53275915314058	0.165069431257772	-0.0678018176026978	393.924201810888	386.730359419183	277.187264832996
BY	0.583392288857582	0.14508358080195	4.77426097303127	1.20623815612743	1.76572027274272	3.06767836076116	2.45637019006098	418.56222624963	1.57791243025401	0.0782974475963826	11.9564936523302	51.2217949194579	7.33659656760906	0.881802437487394	3.83320429802778	1.25929716520619	15.0652647152285	5.45552410779938	0.758725992533738	1.76456722779941	2.60994965480233	10.7554600443369	1.19725417836608	0.0329572358598895	10.0077975001552	0.00895519785259152	1.72812188019152	25.0175914654133	0.345773611730483	4.46476386140999	5.89717253773422	0.280321595935569	0.458115954726447	0.00932344056438981	6.33569723179905	0.85736624856685	131.249600401581	0.240405905970207	22.889397222798	8.28942587794216	77.2460593417205	4.38401879451071	1.33441644886809	4.69528237057205	0.00454470657719679	0.672798783595605	19.851883569305	93.5919855725733	1.36135469292436	0.120420935595609	-0.236105240429645	0.08826802452218	0.298097431622136	0.431953003234351	1.89834796355984	2.41416001606185	7.22652957204665	0.750483204216671	0.659922806057539	983.220324078213	969.568246361725	329.232360087474
CH	0.00432185914533741	0.00280590178160168	3.27538573861622	0.0133993267133616	0.0230531616510593	1.12585052444393	0.0237981268418505	0.0308443447298982	227.108974838931	6.10934456005537e-05	0.556566721836086	25.1373462526863	0.0891590040653523	0.00238175036088874	6.2251799348346	0.00517189815319019	38.755333438342	1.39404116028646	0.0147175343974058	0.00353221996463571	0.0729533254057867	0.184343899835078	0.241153297701426	0.00172022674053488	20.2597968592735	5.93232772002618e-07	0.00709176894555062	0.0247854787315391	0.179099161423871	0.00693738043342057	0.0264052870051661	0.00444258731514549	0.00169044414402568	0.00104273215130895	0.990081303240536	0.0159448964765334	0.538290812033518	0.39251234759872	0.26296016543399	0.0636096362762322	0.266736822500989	0.0311672293004353	0.15934318573636	0.0924937654144319	3.3357826868693e-07	0.000752630933240755	0.157767766133966	0.215288038868486	0.00537229196409943	0.0516268773433523	0.0117011213925749	0.000121453524274053	0.089188652912686	0.114326647114409	0.00452529803883005	0.641777951222502	2.16862515269725	0.29401718462266	-0.0347602180042628	331.33685921992	327.995709099056	98.6367276473045
CY	0.0165492484025834	0.00277730702796454	0.00753370893761081	0.0082016129704779	0.00689972820894917	0.00119147220862207	0.0287006168962264	0.0131352451452909	0.00500858491999407	14.2388711863355	0.00612488133112124	0.0217734659123927	0.00239195512502904	0.000263208854045098	0.16567620983646	0.000645950985184405	0.0233963697251605	0.00236865972134657	0.0115714398116736	0.195641144327925	0.00628829240797041	0.0159256421203956	0.000614959606098632	2.98789045941085e-05	0.179826140644234	3.51915760010791e-05	0.00568002962301439	0.0025715282746988	0.000166231964267946	0.000620398924683997	0.00804937447136951	-0.000220383428678537	0.00415466402259003	0.00334830753616368	0.00244943173300025	0.000316083862888782	0.0253017866284586	0.00844439731581664	0.0567554133932292	0.0332139234926384	0.178103780544102	0.00122795400478737	0.00212648053109211	0.00445902285995024	6.04285981457991e-05	0.00152063167431656	6.27127492350727	0.0863348151905467	0.00133707267315763	0.00117778918845657	0.000215209861332551	0.00322231954666646	-0.0678284105399541	0.000281716017350554	1.949724712853	0.929109856858231	0.323722340613834	-0.0815463148133707	-0.099359952206703	24.6174576667192	21.6587383993404	15.0023361584201
