            ;    AT;    BA;    BE;    BG;    BY;    CH;    CZ;    DE;    DK;    EE;    ES;    FI;    FR;    GB;    GR;    HR;    HU;    IE;    IS;    IT;    LT;    LU;    LV;    MD;    NL;    NO;    PL;    PT;    RO;    RS;    RU;    SE;    SI;    SK;    TR;    UA;   ATL;   BAS;   BLS;   MED;   NOA;   NOS;   BIC
EEZ48       ;     0.006004;     0.001313;     0.088275;     0.001772;     0.007131;     0.002249;     0.006611;     0.149172;     0.009222;     0.001873;     0.059405;     0.003260;     0.433470;     0.530979;     0.001440;     0.000858;     0.003194;     0.085282;     0.007506;     0.003786;     0.004370;     0.008213;     0.003628;     0.000365;     0.086903;     0.029341;     0.032386;     0.026569;     0.003554;     0.003226;     0.014592;     0.013527;     0.000823;     0.004517;     0.003919;     0.004969;     7.930090;     0.008891;     0.000736;     0.003366;     0.000693;     0.247700;    32.733818
EEZ65       ;     0.044388;     0.015164;     0.369344;     0.008700;     0.132664;     0.018477;     0.120991;     2.101754;     0.758322;     0.028883;     0.033924;     0.123047;     0.753750;     6.005659;     0.008502;     0.002063;     0.035809;     0.442880;     0.140183;     0.015763;     0.061607;     0.036739;     0.038830;     0.002069;     0.638735;     2.037608;     0.698888;     0.008834;     0.012005;     0.008467;     0.255360;     0.510406;     0.003676;     0.033857;     0.029463;     0.181804;     2.862009;     0.887778;     0.002242;     0.008800;     0.018876;     4.343993;     0.909684
EEZ71       ;     0.062939;     0.062841;     0.587144;     0.019117;     0.164796;     0.028532;     0.153550;     2.800651;     0.721102;     0.036743;     0.029246;     0.173087;     0.890098;     5.885268;     0.009591;     0.003262;     0.040774;     0.547108;     3.935843;     0.040186;     0.073793;     0.054374;     0.047013;     0.003013;     0.982532;     1.949244;     0.796331;     0.005365;     0.012318;     0.014851;     0.408858;     0.553229;     0.005691;     0.041047;     0.037151;     0.216030;     5.170936;     0.897904;     0.003782;     0.012049;     0.063229;     3.592466;     4.880913
EEZ91       ;     0.199632;     0.008933;     0.921352;     0.006102;     0.015447;     0.120668;     0.190799;     1.794108;     0.077530;     0.003304;    33.531563;     0.015271;     8.957347;     4.695937;     0.014561;     0.021207;     0.041679;     0.410686;     0.019668;     0.742626;     0.011311;     0.082766;     0.009326;     0.002016;     0.746989;     0.055837;     0.269836;    28.792324;     0.030286;     0.012351;     0.078700;     0.043412;     0.045252;     0.035204;     0.033001;     0.060289;    72.007744;     0.097952;     0.001975;     2.251602;     0.064612;     2.656026;    13.368787
EEZ99       ;     0.001152;     0.000092;     0.050721;     0.000034;     0.000332;     0.000787;     0.003461;     0.081789;     0.002535;     0.000034;     0.251806;     0.000230;     0.304063;     0.192405;     0.000050;     0.000193;     0.000495;     0.020368;     0.000391;     0.004649;     0.000160;     0.007489;     0.000078;     0.000027;     0.040209;     0.001836;     0.012730;     0.025998;     0.000348;     0.000189;     0.000753;     0.000675;     0.000301;     0.000486;     0.000123;     0.001297;     0.482477;     0.004502;     0.000015;     0.007815;     0.000273;     0.160965;     0.012664
EEZ100      ;     0.002117;     0.000483;     0.015417;     0.000323;     0.003124;     0.001046;     0.006780;     0.108467;     0.029096;     0.001026;     0.002165;     0.003089;     0.036866;     0.361215;     0.000308;     0.000113;     0.001333;     0.031433;     0.003153;     0.000597;     0.001655;     0.001578;     0.001063;     0.000055;     0.028867;     0.048330;     0.028080;     0.000432;     0.000244;     0.000108;     0.005720;     0.013553;     0.000174;     0.001086;     0.000626;     0.005235;     0.121730;     0.028317;     0.000057;     0.000427;     0.000592;     0.169601;     0.020322
EEZ108      ;     0.088050;     0.029061;     2.251322;     0.007896;     0.023253;     0.108939;     0.196205;     3.820250;     0.490321;     0.007949;     1.175150;     0.026971;     4.640922;    32.939220;     0.003771;     0.006874;     0.020391;     5.380868;     0.133980;     0.208233;     0.014200;     0.127147;     0.024115;     0.003596;     2.407566;     0.334085;     0.418528;     0.301784;     0.020223;     0.006657;     0.085706;     0.154681;     0.007072;     0.022192;     0.025936;     0.076599;    21.511856;     0.606435;     0.001595;     0.087072;     0.039318;    10.827017;     3.473000
EEZ109      ;     0.004262;     0.000148;     0.204057;     0.000786;     0.003104;     0.008120;     0.013748;     0.226602;     0.029773;     0.001622;     0.122624;     0.003968;     0.293939;     2.139670;     0.000689;     0.000901;     0.002046;     0.150892;     0.002871;     0.023243;     0.002769;     0.007671;     0.002039;     0.000373;     0.171627;     0.013998;     0.044526;     0.017824;     0.003721;     0.001002;     0.019478;     0.012136;     0.000710;     0.001897;     0.001486;     0.005272;     0.827587;     0.043697;     0.000108;     0.018133;     0.000659;     2.781306;     0.139913
EEZ110      ;     0.001198;     0.000037;     0.075369;     0.000281;     0.000716;     0.002019;     0.005674;     0.084768;     0.006695;     0.000429;     0.043572;     0.000924;     0.084331;     0.627042;     0.000179;     0.000354;     0.000586;     0.042288;     0.000832;     0.008318;     0.000583;     0.002429;     0.000410;     0.000116;     0.064329;     0.003349;     0.015769;     0.005091;     0.001241;     0.000299;     0.005190;     0.002181;     0.000322;     0.000721;     0.000335;     0.002012;     0.255465;     0.012806;     0.000035;     0.006675;     0.000222;     0.835164;     0.027645
EEZ119      ;     0.000161;     0.000084;     0.001501;     0.000024;     0.000284;     0.000077;     0.000368;     0.008698;     0.002315;     0.000099;     0.000088;     0.000547;     0.002854;     0.019900;     0.000003;     0.000006;     0.000088;     0.001107;     0.001175;     0.000084;     0.000103;     0.000159;     0.000081;     0.000006;     0.002647;     0.004612;     0.001806;     0.000022;     0.000017;     0.000025;     0.000798;     0.001259;     0.000013;     0.000075;     0.000077;     0.000499;     0.011520;     0.002247;     0.000008;     0.000010;     0.000084;     0.012368;     0.004102
