          ;    AT;    BA;    BE;    BY;    CH;    CZ;    DE;    DK;    EE;    ES;    FI;    FR;    GB;    HR;    HU;    IE;    IS;    IT;    LT;    LU;    LV;    MD;    NL;    NO;    PL;    PT;    RO;    RS;    RU;    SE;    SI;    SK;    TR;    UA;   NOA
EEZ48       ;     0.042385;     0.114335;     0.891671;     0.027004;     0.145892;     0.059608;     1.779730;     0.232095;     0.058000;     1.945743;     0.021241;     9.256796;     1.481551;     0.039908;     0.095739;     0.425609;     0.018156;     0.426337;     0.035155;     0.157640;     0.028117;     0.011258;     1.145728;     0.049242;     0.202523;     0.628616;     0.046011;     0.089365;     0.180550;     0.050752;     0.093632;     0.054979;     0.038520;     0.062870;     0.049242
EEZ65       ;     0.008663;     0.010931;     0.089893;     0.027420;     0.009157;     0.014389;     0.295825;     0.312515;     0.014043;     0.023747;     0.029180;     0.500830;     1.669733;     0.006265;     0.011110;     0.731958;     0.031898;     0.014703;     0.013155;     0.008601;     0.008247;     0.006289;     0.183628;     0.085611;     0.036093;     0.010758;     0.011915;     0.007867;     0.024862;     0.097091;     0.008164;     0.007971;     0.009217;     0.015659;     0.085611
EEZ71       ;     0.027048;     0.045478;     0.334644;     0.029725;     0.023030;     0.055698;     0.637798;     0.244695;     0.032397;     0.089429;     0.034868;     1.462527;     2.168987;     0.029948;     0.043647;     0.864039;     2.242076;     0.033357;     0.024545;     0.032396;     0.022083;     0.020599;     0.562113;     0.059042;     0.056734;     0.045967;     0.036052;     0.034365;     0.044125;     0.095186;     0.036704;     0.038537;     0.035558;     0.036561;     0.059042
EEZ91       ;     0.145026;     0.052742;     0.389937;     0.037855;     0.229382;     0.053865;     1.225273;     0.094111;     0.016229;    15.997726;     0.027858;     7.188726;     1.686864;     0.060277;     0.054446;     0.432590;     0.013309;     0.645113;     0.017996;     0.045699;     0.019699;     0.019987;     0.478792;     0.029338;     0.117628;    32.533749;     0.052983;     0.034302;     0.042138;     0.042640;     0.038279;     0.040297;     0.020549;     0.046268;     0.029338
EEZ99       ;     0.000269;     0.000489;     0.000362;     0.000574;     0.003887;     0.000228;     0.023057;     0.002710;     0.000228;     0.131768;     0.000386;     0.865037;     0.006450;     0.000725;     0.000307;     0.028342;     0.000028;     0.005458;     0.000256;     0.000899;     0.000134;     0.000167;     0.006814;     0.000195;     0.000235;     0.033201;     0.000361;     0.001268;     0.000663;     0.001371;     0.000228;     0.000237;     0.000228;     0.001240;     0.000195
EEZ100      ;     0.000258;     0.000340;     0.002307;     0.001346;     0.000353;     0.000518;     0.011417;     0.014381;     0.000347;     0.000913;     0.000547;     0.018481;     0.112182;     0.000329;     0.000426;     0.061787;     0.000310;     0.000412;     0.000526;     0.000214;     0.000326;     0.000151;     0.005287;     0.002855;     0.000946;     0.000201;     0.000376;     0.000340;     0.000376;     0.004098;     0.000353;     0.000466;     0.000274;     0.000702;     0.002855
EEZ108      ;     0.080492;     0.032868;     0.627447;     0.061078;     0.102019;     0.175401;     2.474056;     0.432627;     0.028049;     0.393758;     0.033344;     6.571119;     9.466656;     0.037240;     0.050009;    52.138786;     0.011230;     0.256047;     0.048922;     0.064202;     0.021908;     0.022057;     0.834855;     0.036335;     0.349031;     0.221806;     0.046490;     0.032065;     0.059634;     0.099682;     0.037207;     0.039692;     0.026497;     0.060058;     0.036335
EEZ109      ;     0.000143;     0.000217;     0.019730;     0.000217;     0.000869;     0.000217;     0.010481;     0.002044;     0.000217;     0.000217;     0.000217;     3.471155;     0.660686;     0.000189;     0.000217;     0.102899;     0.000217;     0.000518;     0.000217;     0.000177;     0.000217;     0.000075;     0.023055;     0.000217;     0.000217;     0.000222;     0.000217;     0.000217;     0.000217;     0.000217;     0.000217;     0.000217;     0.000320;     0.000318;     0.000217
EEZ110      ;     0.000068;     0.000071;     0.001726;     0.000071;     0.000479;     0.000071;     0.000166;     0.000139;     0.000071;     0.000071;     0.000071;     2.257311;     0.059885;     0.000071;     0.000071;     0.024501;     0.000071;     0.000071;     0.000071;     0.000075;     0.000071;     0.000022;     0.003916;     0.000071;     0.000071;     0.000071;     0.000071;     0.000071;     0.000071;     0.000071;     0.000071;     0.000071;     0.000075;     0.000078;     0.000071
EEZ119      ;     0.000057;     0.000041;     0.000159;     0.000068;     0.000057;     0.000059;     0.000342;     0.000776;     0.000066;     0.000066;     0.000082;     0.003527;     0.007562;     0.000048;     0.000049;     0.002452;     0.000428;     0.000118;     0.000047;     0.000044;     0.000042;     0.000000;     0.000147;     0.000059;     0.000060;     0.000058;     0.000048;     0.000039;     0.000109;     0.000172;     0.000039;     0.000021;     0.000039;     0.000061;     0.000059
