            ;    AT;    BA;    BE;    BG;    BY;    CH;    CZ;    DE;    DK;    EE;    ES;    FI;    FR;    GB;    GR;    HR;    HU;    IE;    IS;    IT;    LT;    LU;    LV;    MD;    NL;    NO;    PL;    PT;    RO;    RS;    RU;    SE;    SI;    SK;    TR;    UA;   ATL;   BAS;   BLS;   MED;   NOA;   NOS;   BIC
EEZ48       ;     0.006958;     0.000546;     0.076947;     0.000341;     0.000274;     0.012433;     0.003114;     0.139515;     0.006866;     0.000187;     1.651392;     0.001011;     0.909941;     0.693792;     0.001378;     0.001668;     0.001487;     0.133436;     0.008121;     0.046951;     0.000143;     0.008321;     0.000200;     0.000071;     0.065893;     0.018254;     0.002753;     1.768313;     0.000332;     0.000672;     0.003895;     0.002317;     0.002287;     0.000659;     0.000586;     0.000407;    15.455402;     0.002949;     0.000097;     0.279360;     0.203490;     0.583790;   154.729446
EEZ65       ;     0.471633;     0.060005;     2.340137;     0.032770;     0.094521;     0.167683;     0.817064;     8.875759;     1.843666;     0.042577;     3.016448;     0.281466;     6.024236;    33.163906;     0.012881;     0.088939;     0.286350;     3.476622;     0.934185;     0.447202;     0.106868;     0.137284;     0.056440;     0.031278;     3.899426;     7.259225;     2.925228;     0.901978;     0.211395;     0.195910;     0.714875;     1.344894;     0.063088;     0.170097;    -0.000024;     0.328033;    14.224613;     3.121789;     0.010080;     1.658438;     1.000463;    24.307358;    36.594242
EEZ71       ;     1.066118;     0.120257;     5.327439;     0.098301;     0.246601;     0.393074;     1.525209;    21.476404;     3.177219;     0.101163;     3.073586;     0.523035;    14.568048;    50.925301;     0.066558;     0.188396;     0.541404;     6.804566;    14.958008;     1.299757;     0.237110;     0.447406;     0.144959;     0.071239;     8.961174;     8.610685;     4.921293;     0.947089;     0.481460;     0.339285;     2.097121;     2.284824;     0.146990;     0.352205;     0.028810;     0.946235;    28.818748;     4.959596;     0.035046;     1.527050;     0.865570;    34.742298;   117.506348
EEZ91       ;     0.082996;     0.006167;     0.300935;     0.002618;     0.002580;     0.043812;     0.028703;     0.741450;     0.016244;     0.000123;     4.853241;     0.001550;     1.809183;     1.033858;     0.006203;     0.018625;     0.015500;     0.259753;     0.004041;     0.267778;     0.000439;     0.044056;     0.000127;     0.000832;     0.198050;     0.039404;     0.025087;     4.043937;     0.003960;     0.006685;     0.013084;     0.008851;     0.017894;     0.007167;     0.004886;     0.006120;    33.747375;     0.022307;     0.000870;     2.829051;     2.413464;     0.967101;    37.466892
EEZ99       ;     0.001521;     0.000370;     0.024989;     0.000038;    -0.000104;     0.001416;     0.001338;     0.091620;     0.006183;     0.000112;     0.545568;     0.000446;     0.184296;     0.226352;     0.000142;     0.000531;     0.000460;     0.047433;     0.000317;     0.010431;     0.000077;     0.002211;     0.000076;    -0.000001;     0.029044;     0.003349;     0.003013;     0.118148;     0.000245;     0.000310;     0.000479;     0.004646;     0.000437;     0.000170;     0.000048;     0.000243;     0.914174;     0.012429;     0.000025;     0.041837;     0.027267;     0.188061;     0.640252
EEZ100      ;     0.018960;     0.001811;     0.064955;     0.001169;     0.002561;     0.006335;     0.039236;     0.348647;     0.056268;     0.001598;     0.098145;     0.006584;     0.189059;     1.374712;     0.000503;     0.004425;     0.012864;     0.175509;     0.022918;     0.021513;     0.002934;     0.004692;     0.001936;     0.001141;     0.112755;     0.147935;     0.108995;     0.022414;     0.010067;     0.005105;     0.021915;     0.031242;     0.002672;     0.006562;    -0.000152;     0.010561;     0.512940;     0.087412;     0.000180;     0.060152;     0.046364;     0.764015;     1.393389
EEZ108      ;     0.322390;     0.035742;     4.465791;     0.014724;     0.019123;     0.255433;     0.341513;    11.249125;     0.717387;     0.009109;     7.604967;     0.052112;    18.957565;    47.449638;     0.018228;     0.056705;     0.102921;    18.273745;     0.497534;     1.202819;     0.025323;     0.316263;     0.013687;     0.006119;     6.190481;     1.133408;     0.567344;     2.589186;     0.075549;     0.043412;     0.147570;     0.379537;     0.049461;     0.058419;     0.012851;     0.088741;    50.668148;     1.219013;     0.005081;     4.566732;     3.503043;    26.670658;   108.312370
EEZ109      ;     0.021884;     0.001939;     0.241055;     0.000289;     0.000743;     0.025198;     0.035757;     0.738737;     0.025078;     0.000552;     0.404721;     0.003124;     1.699478;     2.023700;     0.000987;     0.003079;     0.005125;     0.242996;     0.001698;     0.054404;     0.000911;     0.024603;     0.000555;     0.000149;     0.237755;     0.019139;     0.058463;     0.074183;     0.001326;     0.001266;     0.005532;     0.011390;     0.003103;     0.004551;     0.000372;     0.002614;     1.779859;     0.049670;     0.000103;     0.073140;     0.041900;     2.425860;     1.663014
EEZ110      ;     0.006607;     0.000468;     0.055860;     0.000062;     0.000184;     0.008741;     0.011481;     0.194859;     0.007054;     0.000199;     0.182788;     0.000861;     0.706454;     0.554109;     0.000243;     0.000826;     0.001322;     0.080720;     0.000740;     0.016386;     0.000270;     0.009068;     0.000166;     0.000030;     0.051138;     0.004735;     0.013088;     0.034209;     0.000334;     0.000312;     0.001331;     0.002937;     0.000894;     0.001108;     0.000112;     0.000690;     0.616299;     0.012261;     0.000021;     0.034491;     0.022577;     0.718030;     0.558935
EEZ119      ;     0.001417;     0.000091;     0.007962;     0.000033;     0.000534;     0.000587;     0.002529;     0.033112;     0.007700;     0.000231;     0.008313;     0.001200;     0.022772;     0.141555;     0.000008;     0.000210;     0.000844;     0.012419;     0.007638;     0.001310;     0.000611;     0.000458;     0.000242;     0.000067;     0.017394;     0.032574;     0.010683;     0.002803;     0.000327;     0.000528;     0.003670;     0.006687;     0.000203;     0.000549;    -0.000043;     0.001233;     0.063932;     0.013686;     0.000036;     0.004719;     0.002875;     0.098290;     0.165012
