          ;    AT;    BA;    BE;    BY;    CH;    CZ;    DE;    DK;    EE;    ES;    FI;    FR;    GB;    HR;    HU;    IE;    IS;    IT;    LT;    LU;    LV;    MD;    NL;    NO;    PL;    PT;    RO;    RS;    RU;    SE;    SI;    SK;    TR;    UA;   NOA
EEZ48       ;     1.201620;     0.084939;     3.351493;     0.148697;     1.230260;     1.197934;    11.369240;     0.613921;     0.037592;    30.239189;     0.105313;    34.990154;    19.414278;     0.054356;     0.564664;     3.798230;     0.105771;     1.682131;     0.016082;     0.301766;     0.003099;     0.017881;     3.728305;     0.131184;     2.450746;     7.622062;     0.610931;     0.097561;     0.277509;     0.232810;     0.054380;     0.532768;     0.080326;     0.730618;     0.131184
EEZ65       ;     0.957281;     0.101649;     2.677001;     0.179213;     1.179875;     1.039394;    14.410032;     1.658803;     0.018265;     3.655627;     0.103389;    18.057001;    35.218521;     0.113983;     0.334953;     9.218506;     0.992467;     2.479514;     0.056933;     0.186158;     0.014707;     0.034249;     4.347920;     1.123347;     2.199635;     0.273612;     0.400696;     0.221412;     0.145828;     0.346773;     0.123589;     0.176254;     0.009871;     0.138194;     1.123347
EEZ71       ;     1.744841;     0.330781;     3.822194;     1.044577;     1.968188;     2.055154;    26.621321;     3.175289;     0.125927;    14.141984;     0.500771;    33.837238;    52.874470;     0.284049;     0.838206;    17.980326;    24.368227;     5.397694;     0.308978;     0.308680;     0.090025;     0.193278;     7.019077;     1.288283;     6.966630;     1.174924;     1.050529;     0.499969;     1.180354;     1.082235;     0.314514;     0.422834;     0.029164;     1.289987;     1.288283
EEZ91       ;     0.201609;     0.080981;     1.053892;     0.158184;     0.213637;     0.283558;     5.030442;     0.270339;     0.003718;    36.722328;     0.006374;    11.731826;     2.197148;     0.044757;     0.062286;     0.948632;     0.004557;     0.827690;     0.040879;     0.099039;     0.005027;     0.045682;     1.234214;     0.012388;     1.014359;    29.569855;     0.092378;     0.050565;     0.080041;     0.030661;     0.039044;     0.064285;     0.021373;     0.109862;     0.012388
EEZ99       ;     0.008847;     0.001025;     0.027192;     0.000398;     0.020452;     0.011501;     0.097067;     0.002319;     0.000035;     0.789011;     0.000033;     0.973786;     0.078909;     0.000629;     0.002743;     0.039161;     0.000359;     0.024265;     0.000058;     0.000363;     0.000039;     0.000128;     0.038831;     0.000347;     0.010433;     0.095452;     0.003387;     0.001192;     0.001387;     0.000156;     0.000334;     0.003755;     0.000259;     0.000799;     0.000347
EEZ100      ;     0.024907;     0.002293;     0.071584;     0.002164;     0.018236;     0.018600;     0.314063;     0.028788;     0.000328;     0.116299;     0.000980;     0.504597;     1.728601;     0.004144;     0.009085;     0.447232;     0.018466;     0.083649;     0.000646;     0.003154;     0.000225;     0.000313;     0.132318;     0.009707;     0.025609;     0.008431;     0.007330;     0.004719;     0.002062;     0.003404;     0.003994;     0.004699;     0.000164;     0.001503;     0.009707
EEZ108      ;     0.511966;     0.184117;     2.302252;     0.157878;     0.382234;     0.317467;     8.598297;     0.319831;     0.072444;    19.526779;     0.129187;    46.805973;    37.541634;     0.208092;     0.228959;    75.995705;     0.183254;     3.416075;     0.114877;     0.158896;     0.042971;     0.018057;     3.100025;     0.063690;     1.524264;     2.493703;     0.262444;     0.168391;     0.198312;     0.165910;     0.211555;     0.162738;     0.008536;     0.328786;     0.063690
EEZ109      ;     0.017208;     0.003368;     0.134648;     0.002118;     0.012505;     0.027282;     0.346557;     0.061798;     0.000581;     0.455724;     0.001380;     6.249385;     0.872959;     0.004492;     0.007074;     0.308968;     0.000465;     0.024601;     0.001099;     0.005232;     0.000448;     0.000320;     0.132832;     0.001290;     0.060015;     0.041509;     0.007491;     0.005673;     0.004161;     0.004627;     0.002537;     0.004042;     0.000321;     0.005998;     0.001290
EEZ110      ;     0.002292;     0.000156;     0.020404;     0.000365;     0.001344;     0.004154;     0.047798;     0.014016;     0.000032;     0.158206;     0.000145;     2.753854;     0.211937;     0.001286;     0.001618;     0.111991;     0.000202;     0.008004;     0.000113;     0.000450;     0.000061;     0.000054;     0.023312;     0.000334;     0.009175;     0.012258;     0.001182;     0.000995;     0.000474;     0.000753;     0.000666;     0.000537;     0.000050;     0.000448;     0.000334
EEZ119      ;     0.005464;     0.000565;     0.007500;     0.001176;     0.005373;     0.003962;     0.051347;     0.002655;     0.000063;     0.014726;     0.000365;     0.077511;     0.150966;     0.000667;     0.002164;     0.047976;     0.008780;     0.020615;     0.000318;     0.000537;     0.000076;     0.000269;     0.017870;     0.002813;     0.008254;     0.000463;     0.001991;     0.001029;     0.001236;     0.001250;     0.000992;     0.000937;     0.000035;     0.001243;     0.002813
