            ;    AT;    BA;    BE;    BG;    BY;    CH;    CZ;    DE;    DK;    EE;    ES;    FI;    FR;    GB;    GR;    HR;    HU;    IE;    IS;    IT;    LT;    LU;    LV;    MD;    NL;    NO;    PL;    PT;    RO;    RS;    RU;    SE;    SI;    SK;    TR;    UA;   ATL;   BAS;   BLS;   MED;   NOA;   NOS;   BIC
EEZ48       ;     0.004925;     0.000528;     0.143513;     0.001370;     0.006307;     0.003025;     0.031446;     0.459987;     0.032429;     0.030268;     0.408585;     0.005947;     0.746665;     0.593951;     0.003793;     0.001203;     0.002669;     0.042677;     0.008004;     0.029927;     0.013719;     0.027290;     0.025290;     0.000875;     0.131601;     0.030102;     0.029044;     0.107629;     0.004547;     0.002072;     0.009974;     0.009136;     0.000698;     0.001551;     0.002204;     0.003530;     7.678527;     0.040123;     0.000336;     0.025244;     0.000277;     0.455495;    33.145523
EEZ65       ;     0.032950;     0.006337;     0.370186;     0.001805;     0.032631;     0.027629;     0.120325;     2.109649;     0.767917;     0.021016;     0.095508;     0.251129;     0.975729;     9.483911;     0.004782;     0.003766;     0.017902;     0.587178;     0.272496;     0.042589;     0.029277;     0.035880;     0.019681;     0.000517;     0.650796;     1.866395;     0.825694;     0.021402;     0.019532;     0.004605;     0.273488;     0.423480;     0.004047;     0.024460;     0.005831;     0.030560;     3.509930;     0.867399;     0.001729;     0.022328;     0.000575;     4.960067;     1.487896
EEZ71       ;     0.048496;     0.046706;     0.736345;     0.003131;     0.078828;     0.049707;     0.097414;     2.382321;     0.846489;     0.022943;     0.172327;     0.401706;     1.969147;    10.672180;     0.006628;     0.007763;     0.022361;     1.402405;     3.583651;     0.064728;     0.042015;     0.069667;     0.045687;     0.006708;     1.029156;     1.888182;     0.428015;     0.021227;     0.096558;     0.007462;     0.716338;     0.520158;     0.008475;     0.023540;     0.011429;     0.077760;     6.229272;     1.189310;     0.004332;     0.054834;     0.021916;     4.608117;     7.349563
EEZ91       ;     0.152580;     0.009041;     2.125525;     0.020111;     0.037668;     0.147478;     0.183680;     4.312586;     0.234173;     0.003807;    36.309982;     0.029857;    13.215480;     8.779632;     0.032605;     0.031228;     0.022918;     0.760174;     0.043591;     1.152494;     0.021605;     0.223349;     0.037372;     0.035437;     2.208552;     0.196985;     0.335442;    21.939423;     0.037195;     0.015138;     0.040766;     0.037322;     0.032515;     0.014342;     0.025106;     0.038397;    54.746941;     0.358902;     0.002711;     1.859184;     0.041281;     4.735532;    11.584874
EEZ99       ;     0.004721;     0.000361;     0.066389;     0.000325;     0.000209;     0.001976;     0.012960;     0.194007;     0.007059;     0.000386;     0.171261;     0.001437;     0.445747;     0.290927;     0.000047;     0.000165;     0.001033;     0.031916;     0.000753;     0.004881;     0.000412;     0.013386;     0.000624;     0.000171;     0.053044;     0.004016;     0.021886;     0.026185;     0.000361;     0.000059;     0.000599;     0.003236;     0.000282;     0.001435;     0.000361;     0.000916;     0.333720;     0.009111;     0.000053;     0.005639;     0.000117;     0.172359;     0.000466
EEZ100      ;     0.002562;     0.000034;     0.020445;     0.000136;     0.000675;     0.001969;     0.006728;     0.121555;     0.037272;     0.001197;     0.008884;     0.010172;     0.052908;     0.496405;     0.000281;     0.000442;     0.001292;     0.032140;     0.006010;     0.003605;     0.001186;     0.002049;     0.000869;     0.000155;     0.031127;     0.063021;     0.034487;     0.002344;     0.000322;     0.000402;     0.008949;     0.022920;     0.000404;     0.001379;     0.000319;     0.000504;     0.155449;     0.038034;     0.000059;     0.001364;     0.000043;     0.227753;     0.038149
EEZ108      ;     0.151158;     0.016409;     3.292273;     0.020502;     0.341937;     0.217680;     0.364364;    10.587963;     1.565011;     0.108979;     2.363408;     0.478257;    10.558386;    43.939766;     0.047090;     0.017841;     0.042617;     5.212187;     0.140505;     0.319590;     0.248360;     0.278768;     0.157747;     0.006573;     4.678375;     1.308292;     2.231500;     0.569112;     0.052635;     0.025361;     0.644471;     0.951625;     0.016542;     0.049928;     0.066568;     0.228191;    18.529022;     1.900193;     0.008952;     0.431621;     0.013393;    13.696719;     3.492121
EEZ109      ;     0.015415;     0.000703;     0.392089;     0.001528;     0.027841;     0.018066;     0.059623;     0.961612;     0.077488;     0.008415;     0.117184;     0.032211;     0.667372;     1.754869;     0.002929;     0.001074;     0.004769;     0.140304;     0.005881;     0.017491;     0.015540;     0.041251;     0.012763;     0.000634;     0.432437;     0.047336;     0.296971;     0.022072;     0.006061;     0.001719;     0.063087;     0.050856;     0.001112;     0.007003;     0.006542;     0.020008;     0.718596;     0.093195;     0.000615;     0.016148;     0.000529;     2.279059;     0.261603
EEZ110      ;     0.005599;     0.000216;     0.148861;     0.000626;     0.006480;     0.006674;     0.021349;     0.304520;     0.016676;     0.002366;     0.048839;     0.007470;     0.199405;     0.569639;     0.001055;     0.000353;     0.001888;     0.036261;     0.001849;     0.006382;     0.003463;     0.015042;     0.003109;     0.000237;     0.152864;     0.011654;     0.091796;     0.008044;     0.002121;     0.000586;     0.019333;     0.011417;     0.000405;     0.002703;     0.002684;     0.006210;     0.227160;     0.023243;     0.000274;     0.006821;     0.000191;     0.815343;     0.071791
EEZ119      ;     0.000076;     0.000120;     0.002169;     0.000004;     0.000101;     0.000107;     0.000352;     0.006354;     0.001843;     0.000039;     0.000316;     0.000923;     0.004711;     0.039942;     0.000016;     0.000007;     0.000072;     0.001988;     0.002327;     0.000136;     0.000055;     0.000205;     0.000035;     0.000001;     0.003524;     0.005828;     0.001676;     0.000039;     0.000161;     0.000009;     0.001124;     0.001167;     0.000011;     0.000096;     0.000025;     0.000101;     0.015908;     0.002487;     0.000007;     0.000084;     0.000002;     0.015943;     0.007910
EEZ123      ;     0.001548;     0.002332;     0.029705;     0.000228;     0.005655;     0.000611;     0.003611;     0.066860;     0.037687;     0.001553;     0.002833;     0.025275;     0.052329;     0.323008;     0.000329;     0.000116;     0.001120;     0.023912;     0.052580;     0.005981;     0.002552;     0.002865;     0.001997;     0.000061;     0.027193;     0.133913;     0.026313;     0.000350;     0.006039;     0.000519;     0.064829;     0.028491;     0.000172;     0.001752;     0.000584;     0.007455;     0.167139;     0.060902;     0.000286;     0.001951;     0.006039;     0.199900;     0.427423
EEZ185      ;     0.014175;     0.000922;     0.167062;     0.002158;     0.075412;     0.014145;     0.055840;     0.903694;     0.590791;     0.037150;     0.043366;     0.162724;     0.347029;     1.301041;     0.002485;     0.001520;     0.010243;     0.069643;     0.007269;     0.028317;     0.056020;     0.013140;     0.051293;     0.001377;     0.308768;     0.591025;     0.729070;     0.006530;     0.010366;     0.002831;     0.206147;     0.754515;     0.001537;     0.012221;     0.003837;     0.067912;     0.197831;     2.095329;     0.001178;     0.011730;     0.000346;     3.162694;     0.296315
EEZ187      ;     0.000061;     0.000005;     0.000914;     0.000018;     0.000438;     0.000061;     0.000273;     0.005263;     0.004081;     0.000343;     0.000283;     0.001385;     0.002445;     0.012763;     0.000019;     0.000008;     0.000043;     0.000656;     0.000060;     0.000136;     0.000352;     0.000059;     0.000270;     0.000011;     0.001892;     0.009141;     0.004383;     0.000060;     0.000077;     0.000019;     0.001520;     0.005399;     0.000006;     0.000063;     0.000027;     0.000279;     0.001839;     0.008257;     0.000010;     0.000063;     0.000002;     0.031094;     0.001923
EEZ188      ;     0.015474;     0.000759;     0.223156;     0.001931;     0.029873;     0.019026;     0.064213;     0.935198;     0.071021;     0.008756;     0.066012;     0.026784;     0.752295;     1.565021;     0.002593;     0.001587;     0.009880;     0.056217;     0.004144;     0.024761;     0.026076;     0.017412;     0.017937;     0.000831;     0.173519;     0.045031;     0.323622;     0.008704;     0.009730;     0.001920;     0.068972;     0.043890;     0.001400;     0.010864;     0.004384;     0.024233;     0.236009;     0.102693;     0.000374;     0.013986;     0.000556;     2.059892;     0.348268
EEZ189      ;     0.162799;     0.015523;     2.085622;     0.015921;     0.458068;     0.173524;     0.601528;     8.348917;     1.815338;     0.168212;     0.741942;     0.559976;     5.724475;    23.538010;     0.020920;     0.025031;     0.098028;     0.883949;     0.055710;     0.238906;     0.433262;     0.179030;     0.379601;     0.008654;     1.473953;     1.214040;     5.087307;     0.109868;     0.076802;     0.039768;     1.250137;     1.075801;     0.023124;     0.100646;     0.029242;     0.376600;     2.904104;     2.682480;     0.007569;     0.130336;     0.004439;    23.627468;     3.262390
EEZ190      ;     0.118322;     0.009238;     0.946498;     0.008203;     0.282099;     0.091370;     0.363427;     4.675433;     1.416855;     0.126223;     0.332827;     0.416288;     2.691481;    10.045623;     0.011163;     0.017462;     0.080072;     0.456577;     0.027703;     0.142643;     0.259434;     0.090158;     0.232568;     0.004314;     0.890206;     0.855069;     2.753323;     0.046906;     0.042011;     0.024073;     0.767212;     0.879700;     0.016469;     0.072561;     0.014907;     0.268017;     1.208976;     2.392237;     0.003937;     0.069568;     0.002456;    13.279532;     1.458864
