            ;    AT;    BA;    BE;    BG;    BY;    CH;    CZ;    DE;    DK;    EE;    ES;    FI;    FR;    GB;    GR;    HR;    HU;    IE;    IS;    IT;    LT;    LU;    LV;    MD;    NL;    NO;    PL;    PT;    RO;    RS;    RU;    SE;    SI;    SK;    TR;    UA;   ATL;   BAS;   BLS;   MED;   NOA;   NOS;   BIC
EEZ48       ;     0.090244;     0.036727;     0.369746;     0.054879;     0.046314;     0.076018;     0.154035;     0.571065;     0.070491;     0.035731;     0.189081;     0.062380;     4.520704;     2.375611;     0.027506;     0.052444;     0.085763;     1.588349;     0.028473;     0.282858;     0.002791;     0.024730;     0.012468;     0.008596;     0.597016;     0.057286;     0.106840;     0.049714;     0.056206;     0.043618;     0.041412;     0.070936;     0.031360;     0.031279;     0.010826;     0.063824;     0.212789;     0.128965;     0.119154;     0.135186;     0.019243;     0.235879;     1.027464
EEZ65       ;     0.028984;     0.012083;     0.242354;     0.015140;     0.118143;     0.042414;     0.026648;     1.213197;     0.862767;     0.011792;     0.052927;     0.041104;     1.414515;     2.566762;     0.006701;     0.010277;     0.021966;     1.499530;     0.057008;     0.071519;     0.048542;     0.014425;     0.017663;     0.009855;     0.469841;     0.178906;     0.277423;     0.020808;     0.030200;     0.011555;     0.111131;     0.312128;     0.007637;     0.019894;     0.010250;     0.159044;     0.035157;     0.055241;     0.010465;     0.029517;     0.006987;     0.045396;     0.062107
EEZ71       ;     0.026788;     0.021602;     0.347299;     0.040722;     0.128624;     0.057454;     0.059968;     1.419071;     0.690840;     0.030651;     0.071496;     0.055777;     1.732194;     2.867734;     0.020226;     0.006852;     0.033275;     1.656991;     1.895717;     0.083485;     0.062274;     0.018887;     0.032675;     0.015022;     0.299172;     0.226967;     0.261160;     0.032865;     0.039582;     0.013483;     0.135771;     0.278274;     0.011903;     0.025075;     0.018886;     0.101132;     0.063716;     0.097069;     0.027375;     0.054253;     0.016764;     0.155974;     0.099956
EEZ91       ;     0.039757;     0.022066;     0.823435;     0.021019;     0.010428;     0.045024;     0.031683;     0.861511;     0.230050;     0.017050;    10.311831;     0.018678;    11.182707;     1.156853;     0.016404;     0.020303;     0.025053;     0.902885;     0.009997;     0.216701;     0.008105;     0.078704;     0.012240;     0.016597;     0.799390;     0.027808;     0.031060;    25.817520;     0.022567;     0.024098;     0.019555;     0.041025;     0.016779;     0.019930;     0.017683;     0.024141;     0.027401;     0.027026;     0.020758;     0.033290;     0.032413;     0.273767;     0.057704
EEZ99       ;     0.002986;     0.000541;     0.013137;     0.000234;     0.000752;     0.002095;     0.001249;     0.027238;     0.006115;     0.000408;     0.067506;     0.000132;     1.104847;     0.007016;     0.000467;     0.001354;     0.001042;     0.025761;     0.000321;     0.002998;     0.000225;     0.002270;     0.000280;     0.000441;     0.031416;     0.000787;     0.002256;     0.007517;     0.002290;     0.000758;     0.000420;     0.001717;     0.000314;     0.000767;     0.000318;     0.003075;     0.000234;     0.000234;     0.000234;     0.000234;     0.000133;     0.000234;     0.000649
EEZ100      ;     0.001168;     0.000353;     0.003160;     0.000391;     0.004092;     0.001124;     0.000413;     0.045895;     0.046389;     0.000397;     0.000459;     0.002066;     0.061926;     0.143403;     0.000176;     0.000387;     0.000343;     0.101722;     0.001224;     0.002248;     0.001513;     0.000272;     0.000480;     0.000565;     0.019461;     0.004370;     0.012993;     0.000467;     0.001186;     0.000355;     0.003414;     0.013948;     0.000152;     0.000842;     0.000338;     0.006469;     0.000856;     0.001920;     0.000278;     0.001263;     0.000306;     0.001390;     0.000826
EEZ108      ;     0.187588;     0.039112;     1.643512;     0.043139;     0.132363;     0.168661;     0.359784;     5.475684;     0.561738;     0.032188;     0.115778;     0.031669;    15.199698;    18.801973;     0.026999;     0.057551;     0.150984;    51.206776;     0.028669;     0.321792;     0.068489;     0.078918;     0.035829;     0.030875;     1.877436;     0.080434;     1.079618;     0.087117;     0.140824;     0.042694;     0.173815;     0.200201;     0.042270;     0.136029;     0.025846;     0.258534;     0.026836;     0.053384;     0.022573;     0.030961;     0.022543;     0.040015;     0.103118
EEZ109      ;     0.008691;     0.000374;     0.210751;     0.000374;     0.001864;     0.011319;     0.001813;     0.150674;     0.013134;     0.000374;     0.000374;     0.000378;     3.706788;     0.809121;     0.000374;     0.001292;     0.001973;     0.120882;     0.000312;     0.003941;     0.000585;     0.006338;     0.000252;     0.000382;     0.122232;     0.000428;     0.009706;     0.000757;     0.001896;     0.000392;     0.000374;     0.001037;     0.000311;     0.003161;     0.000374;     0.004450;     0.000374;     0.000374;     0.000316;     0.000374;     0.000330;     0.000374;     0.000374
EEZ110      ;     0.001886;     0.000125;     0.063446;     0.000125;     0.000432;     0.004677;     0.000125;     0.038411;     0.002486;     0.000125;     0.000125;     0.000125;     2.426044;     0.131666;     0.000125;     0.000433;     0.000125;     0.029212;     0.000125;     0.000125;     0.000214;     0.002705;     0.000123;     0.000143;     0.046708;     0.000125;     0.000146;     0.000125;     0.000126;     0.000125;     0.000125;     0.000127;     0.000037;     0.000093;     0.000125;     0.000136;     0.000125;     0.000125;     0.000125;     0.000125;     0.000125;     0.000125;     0.000125
EEZ119      ;     0.000046;     0.000053;     0.000896;     0.000053;     0.000177;     0.000090;     0.000059;     0.003253;     0.001716;     0.000021;     0.000108;     0.000137;     0.004949;     0.007443;     0.000041;     0.000013;     0.000058;     0.004599;     0.000724;     0.000168;     0.000064;     0.000017;     0.000012;     0.000021;     0.000695;     0.000342;     0.000238;     0.000074;     0.000060;     0.000053;     0.000317;     0.000531;     0.000032;     0.000033;     0.000003;     0.000170;     0.000053;     0.000124;     0.000052;     0.000049;     0.000014;     0.000316;     0.000122
