            ;    AT;    BA;    BE;    BG;    BY;    CH;    CZ;    DE;    DK;    EE;    ES;    FI;    FR;    GB;    GR;    HR;    HU;    IE;    IS;    IT;    LT;    LU;    LV;    MD;    NL;    NO;    PL;    PT;    RO;    RS;    RU;    SE;    SI;    SK;    TR;    UA;   ATL;   BAS;   BLS;   MED;   NOA;   NOS;   BIC
EEZ48       ;     0.072560;     0.008362;     0.549472;     0.007465;     0.004773;     0.049835;     0.051131;     1.825182;     0.061255;     0.001187;     4.228212;     0.009654;     2.972517;     2.397528;     0.006403;     0.010240;     0.013015;     0.433685;     0.020957;     0.235484;     0.001258;     0.055229;     0.000963;     0.002617;     0.788066;     0.070023;     0.045369;     3.174162;     0.023983;     0.027505;     0.036716;     0.051661;     0.010228;     0.007208;     0.014096;     0.028013;    26.868931;     0.090560;     0.002077;     0.764360;     0.581027;     2.502066;   103.901962
EEZ65       ;     0.190986;     0.006550;     1.899915;     0.011643;     0.207146;     0.106222;     0.434082;     9.188766;     1.803143;     0.044122;     1.124750;     0.205675;     4.621508;    31.156912;     0.006655;     0.019277;     0.097832;     4.902568;     1.498962;     0.182600;     0.138952;     0.141652;     0.088760;     0.013221;     3.762114;     6.044795;     1.423780;     0.424119;     0.065496;     0.041516;     0.751238;     1.162696;     0.018336;     0.072793;     0.020703;     0.317044;     9.689635;     2.195908;     0.007702;     0.195861;     0.104673;    19.207462;    21.998215
EEZ71       ;     0.243238;     0.014724;     2.385211;     0.024269;     0.344334;     0.119645;     0.649297;    10.834883;     2.309267;     0.088278;     0.847186;     0.521244;     5.335827;    26.943930;     0.008566;     0.030860;     0.147987;     4.019101;    14.295129;     0.236536;     0.246684;     0.175392;     0.177252;     0.025594;     4.368363;     8.146410;     1.822254;     0.220132;     0.123822;     0.082118;     2.257942;     1.694664;     0.028542;     0.114245;     0.051966;     0.548254;    16.967415;     2.880122;     0.014852;     0.168016;     0.092704;    19.245329;   117.631409
EEZ91       ;     0.112771;     0.013339;     0.463397;     0.007077;     0.011444;     0.096283;     0.163455;     1.872598;     0.051405;     0.001861;    13.882902;     0.010333;     2.518330;     1.879622;     0.012133;     0.020937;     0.039618;     0.473719;     0.014840;     0.495252;     0.008539;     0.050344;     0.004420;     0.003092;     0.939154;     0.051865;     0.443295;    12.761363;     0.024100;     0.031138;     0.097376;     0.050824;     0.016036;     0.034107;     0.017155;     0.040394;    47.212940;     0.133481;     0.004231;     6.785436;     4.329274;     1.846372;    13.926731
EEZ99       ;     0.002736;     0.001085;     0.033771;     0.002773;     0.000315;     0.002436;     0.005104;     0.093406;     0.006726;     0.000177;     0.583310;     0.001732;     0.210728;     0.179551;     0.003174;     0.000853;     0.002088;     0.054026;     0.000780;     0.015528;     0.000171;     0.002984;     0.000109;     0.000442;     0.050839;     0.006268;     0.009180;     0.143456;     0.003345;     0.003850;     0.005381;     0.007995;     0.000383;     0.001138;     0.002355;     0.004661;     0.693457;     0.009875;     0.000450;     0.057735;     0.053315;     0.155268;     0.216045
EEZ100      ;     0.008713;     0.000214;     0.090935;     0.000280;     0.006960;     0.005438;     0.018165;     0.373071;     0.049954;     0.001504;     0.042528;     0.004719;     0.191889;     1.441324;     0.000071;     0.001026;     0.004819;     0.298603;     0.035156;     0.013824;     0.004223;     0.007768;     0.003094;     0.000187;     0.160652;     0.150760;     0.041229;     0.014519;     0.002081;     0.001065;     0.020553;     0.035330;     0.001159;     0.003377;     0.000203;     0.008815;     0.413731;     0.064289;     0.000171;     0.009362;     0.006683;     0.737967;     0.766589
EEZ108      ;     0.259114;     0.045734;     3.982234;     0.012158;     0.036304;     0.360442;     0.485516;    12.714809;     0.735855;     0.016250;     9.770356;     0.114143;    16.579674;    42.331577;     0.012893;     0.068248;     0.092439;    20.622478;     0.488459;     1.644352;     0.042364;     0.338105;     0.023580;     0.003409;     5.991168;     1.271180;     0.997745;     2.842718;     0.040146;     0.077214;     0.169687;     0.386737;     0.056020;     0.054901;     0.011543;     0.058660;    35.230522;     0.850760;     0.003760;     2.054353;     1.327412;    21.650558;    59.350426
EEZ109      ;     0.011489;     0.001214;     0.249314;     0.000783;     0.000487;     0.024920;     0.022913;     0.478003;     0.038043;     0.000679;     0.619709;     0.006264;     1.427199;     1.855810;     0.000685;     0.002297;     0.003611;     0.321541;     0.002447;     0.046858;     0.000409;     0.015945;     0.000360;     0.000230;     0.265920;     0.020334;     0.025007;     0.120505;     0.002718;     0.003273;     0.006402;     0.021588;     0.002237;     0.001408;     0.000651;     0.002105;     1.413255;     0.040440;     0.000217;     0.107813;     0.063713;     2.396302;     0.517901
EEZ110      ;     0.003696;     0.000624;     0.051798;     0.000372;     0.000217;     0.007979;     0.007632;     0.101858;     0.008747;     0.000261;     0.224983;     0.001753;     0.541522;     0.465085;     0.000207;     0.000948;     0.001566;     0.133720;     0.001227;     0.015714;     0.000134;     0.002859;     0.000125;     0.000133;     0.063253;     0.006322;     0.009923;     0.033866;     0.001499;     0.001662;     0.002798;     0.004817;     0.000818;     0.000640;     0.000584;     0.001620;     0.457758;     0.010087;     0.000136;     0.029239;     0.018237;     0.667833;     0.167748
EEZ119      ;     0.001252;     0.000005;     0.005229;     0.000072;     0.000764;     0.000486;     0.003326;     0.043178;     0.007452;     0.000235;     0.005216;     0.001004;     0.017889;     0.094686;     0.000028;     0.000097;     0.000597;     0.019764;     0.015426;     0.000575;     0.000462;     0.000714;     0.000381;     0.000060;     0.008242;     0.021564;     0.008424;     0.001221;     0.000339;     0.000205;     0.004264;     0.005168;     0.000101;     0.000495;     0.000049;     0.001281;     0.045345;     0.008823;     0.000034;     0.000872;     0.000495;     0.059459;     0.119725
