            ;    AT;    BA;    BE;    BG;    BY;    CH;    CZ;    DE;    DK;    EE;    ES;    FI;    FR;    GB;    GR;    HR;    HU;    IE;    IS;    IT;    LT;    LU;    LV;    MD;    NL;    NO;    PL;    PT;    RO;    RS;    RU;    SE;    SI;    SK;    TR;    UA;   ATL;   BAS;   BLS;   MED;   NOA;   NOS;   BIC
EEZ48       ;     0.090278;     0.036352;     1.256088;     0.017898;     0.095546;     0.083491;     0.288213;     3.196173;     0.179734;     0.056981;     2.747225;     0.087972;     6.115596;     4.478443;     0.022787;     0.041330;     0.106540;     0.880395;     0.034525;     0.189423;     0.082668;     0.067044;     0.031176;     0.029514;     1.084041;     0.075680;     1.168250;     0.492938;     0.093249;     0.052989;     0.281647;     0.130855;     0.041157;     0.080460;     0.036537;     0.088163;     0.695684;     0.174440;     0.027145;     0.099702;     0.150843;     0.810975;   113.001854
EEZ65       ;     0.402333;     0.071269;     3.674203;     0.134374;     0.702273;     0.433528;     1.404338;    17.333233;     4.988434;     0.274131;     3.953216;     0.512118;    15.237921;    29.367144;     0.028658;     0.074221;     0.504515;     7.193422;     0.351413;     0.633435;     0.432662;     0.186889;     0.135680;     0.039389;     5.619990;     1.165705;     8.622204;     0.608585;     0.781207;     0.092606;     1.614433;     1.677293;     0.071012;     0.417733;     0.033787;     1.254239;     1.519959;     1.010911;     0.005693;     0.120046;     0.104935;     2.681993;    11.990853
EEZ71       ;     1.150391;     0.109414;     6.613177;     0.106354;     2.314908;     1.255331;     3.312874;    35.962666;     6.339308;     0.337750;     7.047648;     0.928060;    24.584455;    41.333435;     0.030834;     0.125733;     0.661768;    10.483604;     4.682992;     2.546184;     0.918256;     0.383739;     0.185031;     0.047366;     9.422723;     2.174228;    17.245869;     1.218275;     0.564972;     0.127489;     3.271010;     2.285673;     0.236506;     0.493359;     0.137096;     1.979621;     2.469134;     1.921169;     0.018292;     0.230340;     0.150090;     4.837240;    40.332619
EEZ91       ;     0.265544;     0.028467;     0.935692;     0.023021;     0.121000;     0.216598;     0.335455;     3.493380;     0.071867;     0.030371;    14.434919;     0.016766;     8.528204;     3.315878;     0.016903;     0.040694;     0.190858;     0.564039;     0.004451;     0.783557;     0.128862;     0.049707;     0.048925;     0.004863;     0.828612;     0.042376;     2.095800;    18.031670;     0.087993;     0.029341;     0.639674;     0.045892;     0.041616;     0.157753;     0.042238;     0.404687;     0.744885;     0.107883;     0.004043;     0.420454;     1.154675;     0.718221;    15.012161
EEZ99       ;     0.032172;     0.001878;     0.072650;     0.001352;     0.011720;     0.016669;     0.044611;     0.261065;     0.007999;     0.001368;     0.787437;     0.000956;     1.128393;     0.196054;     0.000536;     0.001662;     0.017077;     0.037616;     0.000332;     0.025067;     0.010651;     0.006631;     0.002803;     0.000450;     0.051954;     0.002956;     0.154374;     0.132083;     0.003364;     0.001276;     0.037202;     0.003388;     0.002563;     0.017757;     0.004116;     0.026572;     0.024209;     0.004593;     0.000071;     0.008046;     0.018980;     0.028516;     0.165829
EEZ100      ;     0.011554;     0.002457;     0.076678;     0.004331;     0.022416;     0.010013;     0.038356;     0.457762;     0.096212;     0.009617;     0.148648;     0.010468;     0.678102;     1.220999;     0.001085;     0.001504;     0.018663;     0.347985;     0.008321;     0.018007;     0.012334;     0.006179;     0.004049;     0.001690;     0.105675;     0.030060;     0.224311;     0.023050;     0.034496;     0.002870;     0.045725;     0.037324;     0.002009;     0.011312;     0.001172;     0.037766;     0.068961;     0.025289;     0.000217;     0.005475;     0.006011;     0.080262;     0.409583
EEZ108      ;     0.934735;     0.220144;     5.487851;     0.231681;     0.946511;     0.763810;     2.166287;    16.529230;     2.225482;     0.076454;    17.431969;     0.182184;    40.232273;    46.113701;     0.059588;     0.241334;     1.593687;    69.672363;     0.184487;     3.010759;     0.213153;     0.295666;     0.047972;     0.149711;     6.037210;     0.353950;     7.131324;     3.523457;     1.992683;     0.284416;     2.299250;     0.740145;     0.296772;     0.589893;     0.203483;     2.915965;     2.191092;     0.640898;     0.021116;     0.525520;     0.668663;     2.257661;    34.462444
EEZ109      ;     0.023181;     0.002098;     0.116717;     0.002338;     0.030244;     0.028355;     0.047136;     0.422023;     0.017349;     0.001744;     0.811278;     0.001348;     7.751396;     1.135422;     0.000691;     0.004716;     0.021682;     0.252387;     0.000691;     0.078203;     0.004420;     0.012841;     0.000998;     0.003184;     0.100176;     0.001146;     0.148882;     0.119766;     0.023172;     0.004050;     0.066906;     0.003641;     0.003564;     0.016653;     0.007116;     0.088823;     0.159801;     0.005743;     0.000141;     0.013998;     0.023613;     0.002554;     0.347814
EEZ110      ;     0.005312;     0.002010;     0.018588;     0.000592;     0.005945;     0.006033;     0.005137;     0.073330;     0.006409;     0.000538;     0.333360;     0.000351;     4.445288;     0.297715;     0.000191;     0.002128;     0.005721;     0.075878;     0.000310;     0.032046;     0.001103;     0.001688;     0.000185;     0.000561;     0.017482;     0.000757;     0.029077;     0.045634;     0.004489;     0.001395;     0.009825;     0.001055;     0.001222;     0.003146;     0.001995;     0.016709;     0.101132;     0.002020;     0.000020;     0.006199;     0.010210;     0.013695;     0.125516
EEZ119      ;     0.000490;     0.000197;     0.011894;     0.000282;     0.003065;     0.000619;     0.001654;     0.033955;     0.017258;     0.001344;     0.027691;     0.002586;     0.065733;     0.114190;     0.000092;     0.000087;     0.000793;     0.029520;     0.002474;     0.001714;     0.001441;     0.000312;     0.000466;     0.000071;     0.022324;     0.004382;     0.013535;     0.002241;     0.001249;     0.000226;     0.007822;     0.006020;     0.000121;     0.000581;     0.000081;     0.003789;     0.006218;     0.004668;     0.000062;     0.000498;     0.000272;     0.011410;     0.058570
