	AL	AM	AT	AZ	BA	BE	BG	BY	CH	CY	CZ	DE	DK	EE	ES	FI	FR	GB	GE	GR	HR	HU	IE	IS	IT	KG	KZ	LT	LU	LV	MD	ME	MK	MT	NL	NO	PL	PT	RO	RS	RU	SE	SI	SK	TJ	TM	TR	UA	UZ	ATL	BAS	BLS	MED	NOS	AST	NOA	BIC	DMS	VOL	SUM	EXC	EU
AL	9.20769144834592	0.000338408386434118	0.236573916728639	0.000879807533004942	0.253346948057813	0.0532202217285801	0.222420612972963	0.0278318854113768	0.0414491511939849	0.000204696336100809	0.202427360212731	0.743382666864296	0.0176130545148913	0.0024623945628431	0.128473622674836	0.00405666745913137	0.247873216800559	0.11706763400055	0.00149968315038752	1.81316667729055	0.24528971120458	0.339775346273711	0.00718930421168093	0.000407963492055889	1.56938439258108	4.91801746706478e-05	0.00120311301192176	0.0056649518270952	0.00663663891882977	0.00328129660885843	0.0144362286867538	0.6103618673074	1.22393080722761	0.00412120855390063	0.0898794466005627	0.0139467263468696	0.457780717258647	0.00978924284738085	0.295759298082588	2.96751745349736	0.100496801260166	0.00994347353424396	0.0380374299220182	0.125771048466888	8.61891847802326e-06	0.000275469501807044	0.0823133107078678	0.133982280784345	0.000280078007261424	0.0256156097625013	0.022827783998915	0.0161865245742397	1.93435018987978	0.0947527224367289	0.0115579348017081	0.19560334094541	0.714162108383449	-0.00502378425357072	-0.00313920710872905	24.6863867034627	21.6794934800422	6.99724624903874
AM	0.00100039098212558	5.78977431798883	0.00218437501979092	1.40948663597974	0.000645644323495372	0.00229040449069828	0.00486535125549122	0.00377104040392954	0.00125516778617042	0.00466779502252132	0.00432640656645099	0.0216620143827746	0.0015019864698234	0.000322423971721126	0.0105159299490123	0.00125433985972653	0.00862121383095517	0.00916312270840971	0.425327211340147	0.0113256926909336	0.000919871595276054	0.00355524173953322	0.000740264954809099	0.000118166677666673	0.0135785719667055	0.000194732792116546	0.0545052007597677	0.000892255827667968	0.000217075535094676	0.000583960543201771	0.00267406468160714	0.000596283584265814	0.00121653707576916	4.77844474463103e-05	0.00383981949875876	0.00249883941186173	0.0222962272814456	0.00157143221838974	0.0126389864874741	0.00340858906940774	0.167880757123818	0.0020721942221766	0.000413831095288663	0.00252931166001332	1.27156480705986e-05	0.0372699807012671	0.944594350577659	0.0403412296133967	0.0122662710465317	0.00255822755963666	0.00230952670315358	0.0210084073781146	0.0297356090453596	0.00468041752208831	4.69677730088282	0.0343921413658221	0.403370301155296	-0.000315237657874978	0.0046168592550812	14.2465695660687	9.04743601285923	0.148597885291591
AT	0.00579645586109103	8.91158454847367e-05	52.6454750338208	0.000495235572503705	0.167900268988423	1.08347796202465	0.0823068303730839	0.0598648431233419	2.1531132743009	0.000158685538252757	4.55894379753969	24.7395054422013	0.1465424639805	0.00615498996977887	0.386950853451063	0.027925380548573	4.2410939418201	1.68421287655394	0.000433435767464961	0.0310935077989379	1.0836683259896	1.84396859183421	0.105581579355332	0.00412246139755686	5.5402825389995	5.10937574745622e-05	0.00353348846522461	0.0242946219011487	0.207623150337657	0.0112687337102048	0.0365171192557751	0.00977251933988859	0.0188232605420736	0.000387288343073005	1.4575244167502	0.0909757665686672	3.94672403202946	0.0461833657224311	0.603164460947018	0.963640339342961	0.238492429908434	0.0759332186598346	2.97101633688089	1.17936425165391	-1.07312877041598e-06	0.000298689170401912	0.0274478711723283	0.407974652941306	0.000395357890944404	0.212581513993894	0.265981347697825	0.0132657589677037	0.597472174713443	1.59103405795898	0.0105462578221473	0.131111152754845	1.99807595883631	-0.0124466711615219	0.00474042374994933	117.732925260152	112.920563284819	108.730826678735
AZ	0.00326741812881362	1.0815573747568	0.0105787689956507	26.0934375608524	0.00248195034674648	0.00987620279898758	0.0201539150611626	0.0372110132603	0.00472397684289026	0.00545753948698806	0.0243014906089431	0.112249735051356	0.0125946336514728	0.00292686717873292	0.0286929266181265	0.0117621080217693	0.0362436615893927	0.0516227159710447	3.21913930306633	0.0291006167573388	0.00472220632017474	0.0196013593118665	0.00459580156518239	0.000951170117735785	0.0456023979567383	0.00274273996909219	0.5984881629808	0.00833147748804007	0.000996629874068856	0.00588774576218442	0.0165704207721765	0.00161601968313443	0.00338586258998731	0.000114537721592234	0.0173575354130333	0.0200779104261363	0.151531556604866	0.00469017908092674	0.0738547514418851	0.0131193990759789	2.73580502493324	0.0191209299477389	0.00220967969939369	0.0143879535899793	0.000503592963678685	0.281700584816484	1.1501071590699	0.386223863560593	0.0952016543912204	0.0127557102594762	0.0222622042202106	0.124865593037909	0.0475163550696103	0.0219494066989857	16.1604764717496	0.0574050911437206	1.63185362226718	-0.00191623785702845	-0.00299794127559173	54.5510483614871	36.4768780861731	0.728565923568637
BA	0.211029000678604	0.000294011021839144	1.81659732604312	0.000587901217521789	8.3056401395504	0.302644905092121	0.249879043116498	0.0868704747099644	0.156558686943575	0.000105144658352559	1.7265865439146	4.52255613304988	0.0834122832458591	0.00900545990602113	0.321052065370343	0.018587147430599	0.961852577788881	0.555089742827474	0.00130282318097943	0.260983519024176	2.84300259285665	2.03350343949786	0.0264756447884754	0.00173303986464813	4.14393098020862	2.59233224838972e-05	0.00174446613517621	0.0261079515701821	0.0399120385184158	0.011373525449434	0.0304511519498502	0.834220273066894	0.0878700818278832	0.0032554252829738	0.437812609292329	0.0530975189257457	2.91902433470779	0.0244530143158557	0.879505935976926	4.21948770197718	0.232187352915484	0.0418854428676953	0.330181459814311	0.798591908856647	3.07904837684085e-06	0.000186374652942643	0.0455674989158303	0.388755046126408	0.000224935650973891	0.067306687135593	0.139039266208072	0.0220176051408627	1.69616126588129	0.518656741974365	0.0066105592364911	0.237916089989014	1.13761213145861	-0.00881918674646753	0.000423207475478762	43.8621300449082	40.0452056771548	25.3873681954721
BE	0.00149482908280287	9.83213131809607e-05	0.143579223333999	0.000346335629738246	0.0036084135458457	33.7651530399842	0.00718833123891366	0.0161612427424214	0.0938398132625542	7.88484834038342e-05	0.252995499708781	9.1798166317618	0.0684590235182922	0.00298899046770452	0.413553022441479	0.01998749816796	13.4347732476507	7.49066294381397	0.000311360780560722	0.00888991147832231	0.00745808898281275	0.0245649734208525	0.388043731396525	0.00836600379958563	0.10449510758261	4.84549788444613e-05	0.00103124477576216	0.00672057072765132	0.987775514980149	0.00503834104085745	0.00382630912776912	0.000770402855335114	0.00167271584062371	0.000127083153784275	5.537542340212	0.0833095883043489	0.276659758514304	0.0561409804316135	0.0263166986461381	0.0313043083816137	0.0974953926204738	0.0459336450276499	0.00777648767332981	0.0162862926152383	7.55518483246366e-06	0.000243994677560093	0.00787513235470497	0.0401590071538134	0.000258346027088352	0.880000831852031	0.0955221650902946	0.00145055694176815	0.0963572982029558	10.5351341193071	0.0053423105376695	0.0520415839239344	1.69667132805654	-0.00545761443715294	0.00117262450733533	86.029469802877	72.6712345988944	72.2790058264549
BG	0.29991672674413	0.00975826517242286	1.71674587646526	0.0386481276803225	0.673687402228905	0.498371064038454	42.8521724011828	0.478719827987995	0.207468964670926	0.00171134574901592	1.79192179914251	6.03381958783092	0.171544781484125	0.0308548046208868	0.226604217096003	0.0609214283369373	1.09024563020798	0.865046567116738	0.0473137928385157	5.84746041184976	0.6408154393665	2.64718139686026	0.0529679176195152	0.00361168041300743	1.79443446372038	0.000285138325890526	0.0886195528318553	0.0851112201833722	0.0607279422593939	0.0385231724107035	0.787924773591703	0.223992562081305	0.689769833268892	0.00279709621456948	0.620743101158608	0.124716804476381	4.20364168556462	0.0314106693346786	11.3321930955357	11.9901259660925	3.25668507195782	0.104880003252758	0.273617762588524	0.971019917339003	2.51052228920162e-05	0.00959622094608719	5.8524597042434	6.609428418005	0.00571792812629199	0.126442075269631	0.308929347898786	3.19615127957654	2.73444202493999	0.797878002930777	0.130734806673794	0.390617424229643	2.98103909617608	-0.0141084593540039	0.018068902929654	126.116151166707	115.445956665436	84.04748479853
BY	0.0293461591806273	0.00371941084763889	0.663809284043831	0.025735193317189	0.15264004061473	1.20260726956585	0.306192600447798	42.1936413542666	0.160532053462674	0.000177130134432344	2.85071616677727	14.6046102255622	2.22520200907335	0.845916309821678	0.260289262621798	1.56345533477136	1.93722135878884	3.7335086128842	0.0187831953915301	0.191575716333672	0.214387996952508	1.23350582008826	0.299549582054173	0.0261418693822031	0.770730935178569	0.00128633454439385	0.194461753547713	6.29653671160883	0.106229211373894	2.51974387828097	0.678458576781869	0.042315049374522	0.0581331657978798	0.000520798088656816	2.05432578316316	1.09179948227219	44.5070720854314	0.0432300746788883	2.54007925727877	0.801762072124402	28.7494893248855	2.29932164509492	0.134940849568046	1.26598235435627	0.000157170986392225	0.0216424138465066	0.460674426064243	14.5380629498432	0.0190142491903006	0.695876774952927	7.77227293911581	0.253221209243623	0.341807358669793	3.98371026455396	0.117181521842417	0.0840456207934467	4.9640353850854	-0.0728844431615084	0.00537392426834659	202.08387506511	183.939234509746	94.6714382640235
CH	0.00114737784594123	2.34037793971753e-05	0.764124363469684	9.6130206446241e-05	0.00347083236627129	0.289308445432285	0.00243208212619042	0.00420853095533454	21.3840215109996	4.22491159183361e-05	0.150874714774353	4.73242939107975	0.0107367524638094	0.000995858584696272	0.315118388640727	0.00580200167950029	6.10782883326481	0.504693077195204	0.000103652489160265	0.00798032592249704	0.019263999718652	0.0121722297015735	0.0386768400307111	0.00114298608520371	2.90847108104398	1.53057453510119e-05	0.000210250519588978	0.0021817851818476	0.056575582671273	0.00140410457753712	0.00123415708193722	0.00109229169161005	0.0012351445721259	0.000192365295769569	0.342379984825865	0.0182239873549916	0.125629578447716	0.0299445880553747	0.00964569554834568	0.0107513935554903	0.0201705175771549	0.0105105647248308	0.0318371137720075	0.00892881376651236	2.34057786129415e-06	7.11180058398362e-05	0.00477441455415629	0.012144084193175	8.17280944176406e-05	0.124188755469515	0.0199755451030834	0.000727027707024439	0.262726927254386	0.38733025283585	0.00130055359000367	0.0750113709638407	0.926959367199879	-0.00103844178537462	0.00778124851403153	39.7593645762147	37.9544019693625	16.4901808111114
CY	0.00593536907783461	0.000595749649240325	0.0109597424471242	0.00234565605920833	0.00339866657467869	0.00419073774654449	0.0359021230662173	0.00628981839847254	0.00360933198883819	2.65391458495072	0.00980666114481601	0.0477189796625944	0.00175462648685152	0.000321905351798361	0.0200788338532193	0.00102040481244369	0.0254216387711475	0.0133069412905636	0.00255677588601566	0.391348596135004	0.00524425832758223	0.0126047866180325	0.00129386975081606	0.000123953804219762	0.0844579874514456	3.3204336546051e-05	0.002356371293971	0.00102251991887546	0.000518892731852829	0.000597768876584247	0.00476555621820223	0.0020721541145267	0.00598882906207784	0.000558874310287337	0.00664313199184804	0.00220954157107882	0.0296831328474637	0.0025050680374441	0.0452290208904691	0.0212465920497837	0.0727155673979248	0.00182708186221526	0.00214643609433776	0.00544120895362987	5.15055291075259e-06	0.000573052008441649	2.78875651874378	0.0541254056044833	0.000353755438758992	0.00443230479793095	0.00290586938553738	0.0452630019269157	2.12370858856726	0.00713134926276344	1.21901960719693	0.147832942706147	0.274987908835211	-0.0017334220082496	-0.00301375838145365	10.2161112265019	6.39557683421292	3.41551981438193
