	AL	AM	AT	AZ	BA	BE	BG	BY	CH	CY	CZ	DE	DK	EE	ES	FI	FR	GB	GE	GR	HR	HU	IE	IS	IT	KG	KZ	LT	LU	LV	MD	ME	MK	MT	NL	NO	PL	PT	RO	RS	RU	SE	SI	SK	TJ	TM	TR	UA	UZ	ATL	BAS	BLS	MED	NOS	AST	NOA	BIC	DMS	VOL	SUM	EXC	EU
AL	7.94854729609323	0.00204268034254822	0.426508117999744	0.00542435471994088	0.52832705099152	0.112884837500297	0.445122473274858	0.0314472618417054	0.139690525040447	0.00132307872882268	0.251114217774612	1.07062528681991	0.0238965073300647	0.00197764220879724	1.21165648061568	0.00380640975606038	1.57197147787251	0.313040367526421	0.00777534383930732	5.27747856631851	0.537140432658864	0.4974539518468	0.0325757955812253	0.00108879481737005	9.79664207456221	-3.82436785846949e-06	0.00346065446079119	0.00751047398864323	0.0147288426881793	0.00350221236863515	0.016259017447119	0.903533923610464	1.67206057982498	0.0578908649176167	0.163861526157763	0.0123884030878053	0.608507000229022	0.0921799769536375	0.449615333007585	3.7021178339251	0.14244873011885	0.0098028225392752	0.101279430286369	0.163338958384533	2.91957854603728e-07	0.000424871858431958	0.675709062554161	0.214703946616345	0.000303742668064001	0.206401096229218	0.0410472178677625	0.0658938652546645	10.0013654897221	0.244906480021887	0.0440130716200667	4.92611748378012	1.38709943537229	-0.00224542463141556	0.00108114806825233	56.1708655646498	39.2551857013448	23.2474351598966
AM	0.00683369277209106	7.96230854725931	0.0113367022833116	4.44330690551141	0.00330935950478166	0.00778675008124051	0.0220366859661968	0.00908699418598724	0.00964412546668512	0.10480870790193	0.00745246622167776	0.068748086742801	0.00304406908015658	0.000700924251085768	0.0622762941780767	0.00255231533683526	0.0415734371031001	0.0132318924700382	1.41903564206824	0.161398205495078	0.00379223679253149	0.0104029190736028	0.00135395035295251	0.000358524010535951	0.126990723913647	0.000213763467550278	0.175949128738242	0.00207934933259524	0.000728006683730831	0.0010299797547621	0.00537311695984378	0.00262281465976934	0.00546451110253235	0.000733312348953759	0.0114484322408369	0.00199226896607503	0.0513814238979301	0.00557505257569253	0.0432261707072469	0.0141438711247426	0.522635726527136	0.00271636437718943	0.00194445319482436	0.00443895724701323	2.34365191031247e-05	0.126478652453748	7.6935232050477	0.144986851242372	0.0371372433701269	0.0125588102101286	0.00978199005924227	0.103369395889847	0.623505731431831	0.0202908705781202	46.8344938187178	0.676709662922034	1.662937443124	-0.00103521096192673	0.00240838586223871	73.3042371483963	23.359216250563	0.774787869605038
AT	0.0461570960215853	0.000121977948955881	43.8795336198597	0.000291777595869421	0.309048438317634	5.02437582359881	0.236505744548444	0.228007918779412	11.0437257822732	0.000197406467007628	8.60098491692276	76.5135809120329	0.269303485373291	0.0334724855816495	4.89246630960189	0.0705000450657667	25.2584914508137	7.94545995260839	0.000478872597594901	0.134136750089565	1.61107040767074	2.16142835133031	0.551142033775697	0.00782315234140617	27.7638259690787	6.65383804417215e-05	0.00427046016891906	0.127396529892496	0.945438732146011	0.0481502017297975	0.0236260913453096	0.0574255141658651	0.070977168664153	0.00453099885391801	5.36953168958468	0.210178213111159	5.98046554735695	0.608039767450985	1.0400734686917	0.958392327217843	0.188514416232396	0.131397270775355	4.43944593802949	0.867265177011741	2.51404380910099e-05	0.000248766797116802	0.0378539673355124	0.28161577753086	0.000347449270674183	1.30459757621584	0.53267895023491	0.0228272497112559	5.01309803871747	7.02700864288621	0.0100229337613906	2.52738818910336	0.921485137841126	-0.0187265484971132	0.00440543545060574	255.322193437901	237.977407832477	224.508210985943
AZ	0.00810266925070621	3.59642208070229	0.0247540723237271	34.4709424586264	0.00557116244430716	0.0188635296571298	0.0425857159720448	0.0514052706469776	0.0141376686705779	0.124117286073248	0.0198324141129889	0.206807913602181	0.0227426736429445	0.00465362017291163	0.106977417432137	0.017486190853135	0.0758780985682979	0.0390047868354842	5.88930388507863	0.216708003930742	0.00754799198546695	0.0268733651943002	0.00428301901524638	0.0018397515715224	0.180479496731659	0.00500469048580403	1.67585163680428	0.0119514267264642	0.00181093545424131	0.00727567654658606	0.0229744379568901	0.00439673619803352	0.00781680276955913	0.0009906214808623	0.029597110802887	0.0195264649302978	0.262122808952587	0.0103063661106875	0.147567664874117	0.0325895286092373	7.17683541134263	0.022756679038773	0.0045921831010431	0.0117651272229956	0.00194925272069561	0.77859794101975	7.73976697651362	0.947453777091664	0.27587205650261	0.0353103740585155	0.0604327736473686	0.31510170037187	0.801675946122496	0.0692429415003868	118.844030430999	0.802540331212075	1.79986837975785	-0.0030296520612333	0.00250981566562504	187.104375897625	64.3766928563514	1.65033219641489
BA	0.545762456400026	0.00166445679351067	6.44931478300267	0.0025084552282542	9.07260499873145	1.13203759147681	0.60659673427459	0.259092683912997	0.752580963463671	0.000289187590589126	5.72297845548226	14.5737338430026	0.239191964727063	0.0235813804202955	3.21005810848605	0.0300021148399611	4.56202909904197	1.75116088849332	0.00679560931185695	0.820351584190696	6.26196114203425	7.7731839129875	0.104208212790998	0.00503098253196602	24.5093125142583	-1.05709425043315e-05	0.00301865724813317	0.0401897110862546	0.145373203619969	0.0288402739604662	0.0974418705323153	1.20052311270672	0.228403425058177	0.0464462430800044	1.56444102121782	0.123805194816828	9.48477664031909	0.276106677270571	2.5588124283924	7.50544224586847	0.393033102670878	0.105687270905312	1.07446792927114	3.00967535651856	-1.62407354389628e-06	0.000199187196103856	0.25911091251826	1.03110349912119	0.000197546829077105	0.466591216550751	0.421552018192329	0.0704830191419038	9.88241576853809	1.78719787547841	0.0121544618278736	5.35883437992558	1.34813632325257	-0.00760084464031396	-0.00933750050295641	136.92354215643	117.593115438665	96.1048082727416
BE	0.00249707268103336	0.000129025869831443	0.17274655830119	0.000363304926209152	0.00232388771716878	9.08165627486459	0.00572104676245091	0.021411547911459	0.208073062145421	5.84096669877569e-05	0.234747555421816	8.25553390200838	0.104639221941611	0.00381801391146394	2.67273395009458	0.0292552761417286	24.62108614095	22.4221528733846	0.000365913904449592	0.00816192831715631	0.00688739740784528	0.0390245307029833	1.60938994655361	0.0250963396450486	0.322753384203517	5.15895956177264e-05	0.00115101874106688	0.00873232741002366	0.569180366600803	0.00621563173268425	0.00231537253181636	0.00142358815304811	0.00215062062633348	0.000208683524612958	4.74982791711941	0.225842535378055	0.387826773718282	0.321391619885826	0.0220937561339705	0.0117209261733964	0.0829263864209031	0.0606834240460874	0.00886545646165622	0.0337001052978685	1.39858667943627e-05	0.000281436677115659	0.00423801780728623	0.025559415982365	0.000296691459286337	3.48005367517042	0.101290803545255	0.00112280924497359	0.49307252787782	14.7534776977031	0.00539752374884238	0.272214885877103	2.38092952283043	0.0849462416013734	-0.00223027828236856	97.9475996220964	76.3773242127795	75.7590924725659
BG	1.42823882996407	0.0665307669731826	2.26453258628085	0.278143728686189	0.99177060898546	0.719168743371107	36.876815630588	0.948236310882151	0.441844256542496	0.0202906123198525	1.92972819978381	7.66823848798614	0.154456395413851	0.0342908893864602	2.12767659577055	0.0688220709174343	2.51601574164153	1.19750971667483	0.322470328073703	20.586259027397	1.04411554684775	4.49757768246227	0.0825804174332016	0.00440754626076917	7.01976493828162	0.00037247496659557	0.546925221287565	0.144931913179843	0.0955527401840674	0.0545638455400839	1.51418017989924	0.606273438146194	2.43732872443011	0.0301730717535447	0.884617171527003	0.103606891721605	6.35276954466167	0.242013474668973	25.1027023666612	15.5835874241885	9.29301719266958	0.108019479944632	0.499731772893882	1.50709077725574	1.31243619968494e-05	0.0771485368289525	21.4793639673221	15.124536162488	0.0447372389984143	0.438752553556682	0.42165822716232	4.42870351314747	12.6773684320958	1.17415665942401	1.17992428242799	5.5763646671462	2.46585944605031	-0.0101129617812708	-0.0130858163575108	223.462331397376	195.122742394504	123.830009440827
BY	0.363746977298205	0.0480497141639522	3.99864521737149	0.313975249122248	0.915124829632859	4.70845735246168	2.75534732865245	41.4295397375278	0.929499764359426	0.00294220055369722	10.3672085604052	52.8161210945514	6.46463193611398	1.19441267595409	2.57162606312635	2.17065932645189	9.02624651009902	13.4048648928267	0.231717173302071	2.70254244650887	1.46177446876027	6.16078962714267	0.878594390124194	0.0425260711980024	7.11750169697395	0.00143564496440347	0.926219141553405	9.73525093345484	0.465434282648435	3.55855807292066	2.85786903028929	0.342208784870619	0.552522433481289	0.0066792422352278	8.85918119648294	2.55172821862006	111.870298472831	0.26541654215054	13.7541124312564	5.34300662858606	35.1579411114643	4.83379706980995	0.935348357115983	4.51105953497203	0.000187316735889763	0.068374370884398	5.69522651156998	47.6055238964338	0.0423114755767435	1.9530988676133	16.2228708674389	1.767323901081	4.30316819708695	14.7840253410316	0.608110671930023	1.55364169012434	-1.40226526785435	-0.021240943422374	0.0172803018107411	471.802249632431	432.01623600559	286.597501923956
CH	0.00154118039244289	9.39847691201915e-06	1.0655606066687	3.40827425112948e-05	0.0125728181978331	1.53380170251402	0.00145579390366686	0.00360608135356444	25.114805307322	2.29427887365843e-05	0.279575340631498	11.8042026967383	0.0494906698306548	0.00163247595624439	5.27213666566478	0.00774648462196253	29.4832007324779	4.14593453037777	2.50173658812419e-05	0.00410849129734313	0.119746352268668	0.04554968689676	0.377017061000316	0.0030972966895268	19.8313639607731	9.14601876710852e-07	0.000213864414197393	0.0027492707558414	0.247143877765824	0.000445241428871639	0.000383805790945888	0.0024379430475502	0.00151326685791556	0.00121675474771671	1.56397297122801	0.0843845768838236	0.239909561537792	0.542745400980925	0.0135011588710547	0.0214523217618084	0.00381829951200448	0.0225926955201576	0.225651753297848	0.0189411556529989	0	3.18007121464858e-05	0.00099824061971313	0.00798253897191149	3.92582385850449e-05	1.17567664839747	0.0527103580638633	0.000505266880195898	3.28943076013394	3.14817720269216	0.001419278101321	1.41450349063232	1.53149056870057	-0.0102704371436608	0.00148881790942854	112.765496004518	102.160364050151	76.9014160361975
CY	0.00730677286558629	0.000809809853045891	0.0116171727089789	0.00338116682239094	0.00370227004183984	0.00488999566536987	0.0328089674479691	0.00422161084636363	0.00506121205193829	1.21961226182938	0.00607456590007804	0.0427197457265248	0.00114749540717558	0.000345852821202949	0.0379476671491113	0.000881629769363751	0.0288910520207736	0.00910240742700081	0.00465111962313391	0.276427697027529	0.00577607633761379	0.00924474608084621	0.000760712678760911	0.000105864208979222	0.110916593876608	-6.46220336978634e-08	0.00301240806138795	0.00066026746732307	0.000585856321858242	0.00043603882594717	0.00347197813677633	0.00240260117924213	0.00692740822641055	0.00113193914879734	0.00648317143448256	0.00101116110483247	0.0193752280554734	0.00312360674372222	0.033890987932647	0.0210964504318389	0.0716354541169799	0.000833377057132311	0.00262201963922816	0.00326203529832419	2.30488510647168e-06	0.000556282521995405	2.21561217824677	0.0371696546831417	0.000259992654531884	0.00602338043777055	0.00300966279499171	0.0534330680421336	1.75312097299139	0.00939842303140772	2.32644131638633	1.16051628479429	0.413950342208562	-0.000218215291257327	-0.000495394476741863	9.98914664465835	4.26396680373949	1.87156916779923
CZ	0.0214894143571183	5.13801689598089e-05	16.3936164497918	8.88017675932497e-06	0.518652362780945	7.26942542313613	0.273056862238775	0.250642848540563	3.17201145192637	0.00014913529462864	32.7562638431831	88.5917027044881	0.904957208996458	0.0376288106120797	3.5152246043775	0.0909058645200618	19.7092471338883	11.6047167227151	0.000327734557782921	0.113431811611327	1.92930533591424	4.00475024819186	0.692937343115771	0.0168251682729224	8.70824075452965	9.12118879711876e-05	0.00296258283313084	0.0908539397756581	1.15039436453966	0.0493459098522393	0.0320609908431179	0.0731993136718155	0.0556302576313503	0.00170454076457117	8.83052573146162	0.534982057619066	20.5373275398824	0.389121232713276	1.07939909913537	2.05834134762175	0.241933272491578	0.3320014894782	2.42573642267744	2.97567370959781	2.56556998677552e-05	9.05413260270531e-05	0.0358036103069621	0.382190795963431	0.000208170377494146	1.39465325524996	1.4771835703902	0.0218238265114157	2.39301627642871	11.1327966393066	0.00966620745769392	1.41617282300702	0.761890213451552	-0.0110675736977315	0.00186142464714746	260.453169948291	241.855173285538	234.457644236483
DE	0.0397132226287138	0.00149724391126695	16.8997962725542	0.0050170901832444	0.0917353857118661	79.1533035474644	0.158045851748215	0.712090718470065	21.8632169190428	0.000874295317968974	17.5409321692668	493.119906022748	6.8332728043851	0.170552933297617	22.1287284355031	0.601469826429258	190.078540319811	161.368105744744	0.00434148666260578	0.146229363789668	0.429434574306369	2.08172632011913	10.5433992731755	0.204814512668233	18.7740527002933	0.000591437252915775	0.0584946393323851	0.466252959007391	10.5595071955217	0.270621215334143	0.0567015385976011	0.0336660198994583	0.0674174627156506	0.00346305129741939	100.749630508532	3.68568366152657	26.156344912972	3.09923928866194	1.21950981697385	0.534352574810956	1.71202321988176	1.79418352491849	0.78437768302083	1.49376833531705	0.000139583149216448	0.00453169582185149	0.0683460501491012	1.31012399130498	0.00468237185139209	19.2735741196048	10.1028461844775	0.0296990679963337	7.45722674339949	130.556231190007	0.0705789854252338	5.53576127643689	15.8104749141598	0.365815907796102	0.00375957520088864	1386.29041773659	1197.08444977208	1166.62526894651
DK	0.00119249827601823	0.000355872560450186	0.853349063118069	0.00186973542430314	0.0222998449702679	4.72605065522914	0.00802490191996905	0.300188471507414	0.349409660323551	8.3948122985661e-05	1.84956805405072	33.1092535343002	8.85474485251095	0.0603179016425994	1.40986637408705	0.144420980420381	7.8238239450697	24.6335557982093	0.000962962201727554	0.00795311556777048	0.0844216127447375	0.420639859000413	1.50968965546479	0.0284689030106571	0.51279933445516	6.27841710851838e-05	0.0288133419831749	0.284048895510976	0.299202600847039	0.136500454068232	0.0289019437001403	0.00207269104889035	0.00221769102556631	0.000419251938750967	10.4170536686363	1.50297282038372	7.77058456714814	0.211173740056334	0.217581385619994	0.0959966605897689	1.1136086511813	1.10400761566515	0.0873473041980298	0.240150258964098	9.78418015316129e-06	0.00149205543652984	0.0162027009594428	0.666576080404076	0.0014559273510656	2.33831777680986	7.30130542551401	0.00723363068010472	0.344631474391572	23.5769688060108	0.0087943727992295	0.425243734556648	0.890903554809196	0.00470655772972542	0.00271024712335629	145.842579989681	110.941764409256	106.776633328567
