	AL	AM	AT	AZ	BA	BE	BG	BY	CH	CY	CZ	DE	DK	EE	ES	FI	FR	GB	GE	GR	HR	HU	IE	IS	IT	KG	KZ	LT	LU	LV	MD	ME	MK	MT	NL	NO	PL	PT	RO	RS	RU	SE	SI	SK	TJ	TM	TR	UA	UZ	ATL	BAS	BLS	MED	NOS	AST	NOA	BIC	DMS	VOL	SUM	EXC	EU
AL	29.4691726920159	0.00941131997760199	0.313090827446538	0.0392095100445996	0.544761926192509	0.0365400239582506	0.485267802679578	0.0751147584721533	0.125990097243954	0.00629535948486471	0.327851524469093	0.58394172020295	0.0286851985005435	0.00442421883183097	4.77229981424855	0.00622408976593893	0.914903995325891	0.0631928646128308	0.0237647877992565	2.68380698036775	0.409712461517336	0.717928844364327	0.0156007261659348	0.000410855666181073	9.53196941339675	1.80839618109167e-05	0.0543253253708975	0.0257358442296482	0.00562756966058537	0.00830330157076195	0.0880099101812731	0.531101945955377	0.168004621354375	0.0359537280062651	0.0438821795523809	0.00314225357218366	0.815412716548233	0.23197937512053	1.03428224067035	4.74450227391764	0.669869421897723	0.0112238416854544	0.0849566758049767	0.185426714571117	2.52729081542542e-05	0.00265325842380368	1.27230653478205	0.569755213971013	0.0118962727792521	0.0274521643075959	0.00538888423078538	0.00397560716261249	0.212823917562328	0.00909567373725027	0.0580171766805913	2.72930728487768	1.77495368114309	0.209450571325439	-0.00324646098116474	66.8151848892932	61.787966389247	23.3213271881464
AM	0.0225689161973701	29.6626753948593	0.0248025396190106	21.0737487817173	0.013877927565823	0.00640041447297235	0.043077759720423	0.0324834236777263	0.0144612284325156	0.201912138744395	0.0120261368015297	0.0786813618519151	0.0047296913707573	0.00121158668162363	0.194065815651252	0.00233246768289432	0.0446412074024075	0.00630699634670777	3.57294265268794	0.138576617792991	0.0117365186857457	0.0221759650334306	0.00231983649216096	0.000426848981912558	0.137801233206211	0.00135469475067469	0.321441681904625	0.00547507795119099	0.00140691054182562	0.00157055280534923	0.0143414302372995	0.00776981075637353	0.0176730112024539	0.000684440875679875	0.00560581520638925	0.00146791868909386	0.0537467793281488	0.0114236072550062	0.111709486128113	0.109201074882816	1.58462066227666	0.00331689875819658	0.00516759475794559	0.00637457530515579	0.000937040239823982	0.522606688059963	53.6685537618633	0.266669402259106	0.276445233328443	0.00114556762640116	0.00090240820834289	0.0122348148356943	0.0397316611050746	0.00104028049133345	24.7532702433377	0.832890586427607	1.98111744983169	0.0800311088803758	-0.000217641305708637	140.027694090478	112.32554761104	1.13297303012272
AT	0.0541489033725505	0.00823405641558549	129.675090979313	0.0471117697592376	0.666032134788951	1.96838728399296	0.164371834224908	0.297217792989782	18.8260787882721	0.00188045966444723	18.3576017044398	91.7858229465697	0.89652702257961	0.0174967516994632	4.36808445424504	0.0667395146209551	22.7030093583313	1.84165722980239	0.0496241806559491	0.0695770714073204	2.91675569470441	5.06617131206292	0.400966587621274	0.00579146397888024	36.6412652038955	4.02505367981891e-05	0.0351731925141141	0.183503464601846	0.491793150140203	0.0513388484790856	0.155861281931692	0.042923458972138	0.0560694959926939	0.00226288250469075	2.65707893550505	0.0644189165007778	9.10692585845401	0.26277642736466	1.69314067917467	1.67118293012131	1.45530812408087	0.277908202115122	7.4569152661291	1.97855676083519	2.2761728345106e-05	0.006491892445238	0.848966819816976	1.47845007045319	0.0189778651317343	0.0710796814437731	0.0246364079675398	0.00103546428802004	0.217872774840143	0.233587273293004	0.127356841148101	0.744858717419608	3.33995213016423	0.427328694040609	0.0717160988040915	372.151156118347	366.891732034937	339.261948654676
AZ	0.0380690490076278	10.7467828013688	0.0381297582403747	149.106690127431	0.02555833827629	0.014877742569323	0.118297689461729	0.196377291083648	0.0205637892910168	0.199381755322382	0.0394268322738418	0.186927158277678	0.0188569391641244	0.00991125621624632	0.222313977568712	0.0203862715730596	0.0732224399240157	0.0238963809024499	9.60791929927129	0.201324553758317	0.0211917113025583	0.0630212265774496	0.00558278904399245	0.00133028733420496	0.199255494768768	0.0133205270948435	1.37390123993926	0.0331377521754587	0.00227646150074775	0.00999291441070475	0.0420555414927999	0.0131379890493726	0.0337605651992671	0.000823651460921392	0.020001325621427	0.00809514216636587	0.264313125391477	0.0123456004952556	0.343456649045434	0.204534638308063	21.0997290234499	0.0187675605412697	0.00914600928241635	0.0207195043755996	0.0156411718808416	4.14787449924032	40.1177197059634	1.47840680762451	2.49551274046767	0.00324382602851714	0.0070680418087688	0.0299951388049725	0.0499292541511413	0.00577156168393573	55.7424490210989	1.05784435300206	3.01560256710724	0.130322103426839	0.100691459134645	303.120882432433	242.977965106187	2.16708815034329
BA	0.826108687451634	0.0118339135305037	3.43558645882768	0.0445467804153692	31.7477847015925	0.197277220268911	0.591195089817614	0.31643520845444	0.774763120519279	0.0100102467051459	3.45041566031153	5.44247296034343	0.398246723817381	0.0297846634959547	5.96822567150139	0.0367176665658311	2.83985340321565	0.374608380441542	0.0286830407517857	0.443162251081427	13.8846321651951	11.1619301199699	0.0968039671261553	0.00285020575829471	26.8072452007805	1.54216559367875e-05	0.125731604785681	0.194243342670546	0.0392488770213469	0.0632458133350685	0.198646030649058	0.592764963198821	0.140880960518529	0.0329323953196438	0.29661134825134	0.0179143274604424	5.57488194811775	0.30217310727654	3.83038852306012	13.7495023771665	1.86553731454827	0.075416181486285	1.10844300859288	2.4382680295652	8.03743059995274e-06	0.00269273180090015	1.65958648061058	1.59885083384116	0.0160955550210476	0.0436209587862908	0.0187366739537598	0.00452331165468134	0.340892232650757	0.0405738558927756	0.158299020295731	2.65263362640755	2.48262379765807	0.356852322512945	0.270685742619272	149.214694263755	142.845252721323	88.7494120437204
BE	0.00150175442848355	0.00034088567592452	0.226192589907311	0.00444622342800721	0.00977566117348212	56.7379300928589	0.0101632706631074	0.0259639788838197	0.343346170319751	1.00532697066665e-05	0.242725373670145	9.5951606284545	0.276590601711875	0.00286064974426044	3.33283685422969	0.00594851286525155	65.8638141159051	6.67237430115019	0.0032935811639335	0.00443197839605994	0.0170298073493882	0.0229075834161143	1.22963177028351	0.00581427547705981	0.586359585160829	0	0.00673454056117063	0.012126238893453	1.21749479813826	0.00351418760694812	0.0103646017332102	0.00274610424227143	0.00595338878582045	0.000124663201101124	10.6501625963592	0.019575079844997	0.174996553838975	0.264693964971648	0.0680117213254621	0.0258539778137549	0.0995137632661692	0.0773237304884195	0.0145481086671446	0.0172051417925494	0	0.000932980432300518	0.0391462719094418	0.141349871886159	0.000172308599449073	-0.0308283621503854	-0.00697174427881278	0.00101578607911741	0.0257191284908199	-0.858741550672062	0.00201405583095302	0.235484271423088	1.21113454153996	-0.0166075050514514	0.00815711072233878	158.644370625878	158.073994893944	150.654795173169
BG	3.07124515649854	0.0660552398209988	1.62827153618331	0.315951556215864	2.31266381715548	0.220796623431376	74.2023887678286	1.7193844093996	0.410262341993175	0.081154108306136	1.95906400014547	4.29375462207632	0.221286753142786	0.0389371065783817	2.74077098819146	0.0576565352089101	1.56972943681994	0.261756110003534	0.306026619780719	14.1333876045117	2.22066707823159	6.11163410008959	0.074528500377154	0.00524949974349079	8.32950375194029	0.00052708619342496	-0.0129968698193524	0.314038329136858	0.030777645873944	0.0868983925468183	2.59879116899571	0.561188844820064	4.91851707012694	0.0119999535235558	0.386360534265375	0.0402476229299847	5.26370215657105	0.159105747985685	48.3260653371775	23.3512713498045	9.07184780769766	0.119844308309466	0.639052712791257	1.41799418508938	0.000408537751885131	0.0194520991146701	29.7413924900619	11.9136192197374	0.0652089054216749	0.0310178918215279	0.03429779943871	0.0646751919899576	0.367123655390976	0.0515292942969066	0.446133592790992	2.63004260647029	3.48799936203234	0.271039090792832	0.183088771679694	272.944388156486	265.377440899782	174.639370816334
BY	0.549882891086073	0.134172229103996	4.31083528747376	1.1384892476923	1.64076524750363	2.711203998358	2.31591347328642	198.628536250279	1.43847506069906	0.0778638992051073	10.538540871283	44.1090243810243	5.80306661492719	0.618456958084681	3.68468487861524	0.917546221450747	13.9047523177281	4.358240679659	0.702010585221469	1.66960950861874	2.35383498510538	9.43982825543113	0.972493476885226	0.0265084406011331	9.16259548662752	0.00580286108743368	1.54285713764991	16.7838436225154	0.318046491953162	2.95927817029324	5.26391989679744	0.290336451856707	0.463285947573955	0.00905714663452748	5.31575206818867	0.666108659373488	102.745939224403	0.2338434162805	20.6174042330078	7.7503162539214	61.7985707421029	3.22414725009326	1.20483765116195	4.0574709976327	0.00295250586242105	0.628347704675517	19.2280754200682	75.2558757665832	1.21502238627775	0.10550433340644	-0.229763098940029	0.0878139601035388	0.291309512412083	0.306373409658107	1.71311737164748	2.3830467851426	6.96570256144221	0.666478727259667	0.69367300386206	665.771679817939	652.788423251945	270.059870886268
CH	0.00362658429659406	0.00265659840002718	1.80738103731412	0.0126180603315784	0.0206830721131923	1.00132164059909	0.0198107809144019	0.0173928518515931	111.388474492656	6.00835396964103e-05	0.410696529525391	15.5551280130279	0.0663049193756363	0.00188760356860453	5.9707779063154	0.00397659765539163	33.5076166142706	1.27319020403684	0.0137572105169824	0.00295357741040271	0.0527660884108522	0.119614230378823	0.213411478448796	0.00175450036992909	15.6386925441575	5.93232772002618e-07	0.0073660271573135	0.0180349492088606	0.158356079006262	0.00516755723541633	0.0206968935725984	0.00662222468347195	0.0032404310209152	0.000917366473704576	0.852502916122122	0.0128877077282872	0.412067417511812	0.382792109266913	0.19349287223491	0.0659610117595969	0.231613353784986	0.0222515331765202	0.110757793917319	0.0695468513200224	3.3357826868693e-07	0.000726727704104657	0.152405628502416	0.17137612063421	0.00507848110521305	0.0575206786255445	0.0110675874473496	0.000229700404076527	0.107703094434676	0.112558997250406	0.00463041340642174	0.638061468277403	2.17555995224158	0.318952553385035	-0.00295096196316711	193.433749682933	190.010416199424	76.5982870903864
CY	0.00896554411061139	0.00225020928132317	0.00496351607302607	0.00560106243994832	0.00502049054780323	0.000755564792062466	0.0171424575851451	0.00641726538317495	0.00356041656298811	4.18835586675102	0.00360594199645519	0.013792889254479	0.00107513278377211	0.000158663870265397	0.143166880959612	0.000409651517626519	0.018275625336968	0.00167812787736704	0.00732504315857931	0.121391991823106	0.00382409297575243	0.00939260645177184	0.000388147136805269	9.52536311776688e-06	0.13680314636728	2.9708010087721e-05	0.00450781141066148	0.00113812175809002	9.91350416565935e-05	0.000294532435115427	0.00382618998945629	0.00176665140849228	0.007584278097533	0.00282861626527521	0.00172360534982787	0.000175610872317726	0.0139121927100482	0.0072426453293028	0.0305612017207875	0.0296898183984819	0.089632691239474	0.000616779225568908	0.00149707485938134	0.00265318022546731	5.29496019703026e-05	0.0013737934353184	4.27742158937398	0.0468032934306168	0.00104591856542913	0.00146644238475896	0.000134311265671005	0.0023719150222633	-0.00466545051999018	0.000227160774358548	1.84236946114107	0.85064406273025	0.308484613108294	-0.017486585488944	-0.0220457827540807	12.192307396818	9.23080724915441	4.72606926059567
