
	AT	BA	BE	BY	CH	CZ	DE	DK	EE	ES	FI	FR	GB	HR	HU	IE	IS	IT	LT	LU	LV	MD	NL	NO	PL	PT	RO	RS	RU	SE	SI	SK	TR	UA	NOA	
HE8	2.9985543735008975e-05	7.729881952425967e-06	0.00010387833401833279	0.000780225955086465	1.8052575542920207e-05	0.00038198188472040126	0.002342524056102075	0.0008399161939112239	0.0009972345057996932	8.106068374296493e-06	0.0063559701968814945	0.00013090363518529938	0.000259047194107714	8.701087572338716e-06	7.012444404936762e-05	2.3798531428352748e-05	2.6344270042655233e-08	3.997850371576231e-06	0.0014090828921781277	9.045669309050336e-06	0.0011435218310201754	2.1748870981453026e-05	0.00034101714416114953	0.00016891055933294916	0.004456409852870599	3.001784856563793e-07	7.484923823893932e-05	4.124274136572384e-05	0.00014949727151792545	0.006480699868151985	6.343983047782276e-06	6.210997992256269e-05	2.7719292932513383e-06	0.0003456522994416981	5.160367681762662e-07	
HE5	0.03074714586356505	0.0024491565461849953	0.07512264307230745	0.09617072090809743	0.007133724293900893	0.1895939527725371	2.463600769148379	1.0350580366929172	0.02134083417995829	0.004313117557665167	0.029689695059478747	0.07113358287712059	0.09216377556293472	0.005856891036271625	0.04129707117492535	0.008241879100974304	2.7198248662061658e-05	0.0038311320957897473	0.29591342206702054	0.0038505643022592167	0.09135065811051557	0.0014465057227775358	0.23330865541944418	0.019626509055453212	2.794872285847681	0.00016182972746321429	0.01281372392066751	0.011102527936523677	0.011230868123646496	1.3493467633778164	0.004801144191060067	0.03901180700421127	0.00023087370759598475	0.03475603694329224	0.0001935026206789512	
HE1	3.389477834432632e-05	8.907303517202368e-06	5.481276022411617e-05	0.0009663407269434617	6.287815745548552e-06	0.00017142589684332457	0.001070899082571857	0.000570018212875683	0.0011685839613905964	9.185574524775298e-06	0.10782565586161394	9.166555406485122e-05	0.00014371478146514392	6.6276971964578235e-06	4.219693309235525e-05	1.3899649178514227e-05	3.2089534839853915e-07	1.6339906579938928e-06	0.0007784669671235941	3.70611235053635e-06	0.0006280249575428037	1.163127030115062e-05	0.00012118856374793571	0.0008338877862001666	0.003014197997601829	4.4620872087591395e-07	3.799673956356993e-05	4.912151579395566e-05	0.0004462259416269209	0.011708567626796607	4.448707582856985e-06	4.655361564838795e-05	5.4987400523991105e-06	0.00033406417023758495	3.925051505937344e-07	
HE2	0.00022290180871261148	7.417985703501866e-05	0.0006242899213515994	0.008865765438760338	0.00011160154125802018	0.00155432521691077	0.011167735190030937	0.00788757675392311	0.0046935588239083535	7.982634870426637e-05	0.10497920217572658	0.0008248796221147284	0.0015592188403036797	8.036775200673825e-05	0.000584633248630439	0.0002019995418499807	7.516512914575547e-07	7.64675636502659e-05	0.008526413211902511	3.594777018957625e-05	0.006770824041399572	0.00022995037460063616	0.001614517087863932	0.0043406908841569156	0.02780000889084874	3.3316984602274895e-06	0.0009589347388534535	0.00041842602408018837	0.0023657106313300378	0.1329471463449661	4.330831220317981e-05	0.000540353535469384	2.92865472709996e-05	0.004226068449814234	5.0120653284152175e-06	
HE3	0.0001457270881701556	3.496757128812896e-05	0.000384984330857089	0.008709340729782607	4.734261460688693e-05	0.0008626369955974965	0.007458856612114128	0.0024133256211549847	0.1292980326415423	4.0376286585927455e-05	0.03161606140595244	0.00041891052132369286	0.0007309901519054579	3.625698539520983e-05	0.00028534919865533844	7.108836878196323e-05	2.331635260324472e-07	2.6408478848098314e-05	0.00804250013697504	1.6103821988532333e-05	0.012313332655170584	0.00011678767906827552	0.0010507740281218577	0.0004434159807854598	0.012747682419503265	1.3848836787774377e-06	0.00036789751870161405	0.00019432807038228912	0.005473283002272516	0.008911625926487799	2.8901688444746198e-05	0.00022003370116127616	3.7619073502429444e-05	0.002127770096475271	1.7155183803150434e-06	
HE4	0.00021971715782197464	2.4980801754863836e-05	0.00020907964832141972	0.004007280721520133	5.268827287041441e-05	0.0008398513982998625	0.00482779321962154	0.002968830597459774	0.006762925395671101	1.7327454989758328e-05	0.0014582637808179405	0.0003030578464848625	0.0005022190207963843	3.805165219920559e-05	0.00026193500415624477	4.544021814703697e-05	1.0660525126818063e-07	3.280436473137399e-05	0.01887878389527356	1.4586827521793454e-05	0.03673306806630832	7.378453871429763e-05	0.0005812492897910717	0.0002617650419253916	0.011784522456246208	8.572776095586393e-07	0.00022518938463391997	0.00011342757091197898	0.0001777771126401851	0.007419555157256575	3.856883857080096e-05	0.0002437447790173763	1.0564832356444546e-05	0.0009210433628805967	9.049492533003843e-07	
HE7	0.0004307025237944922	3.1146554701800534e-05	0.004833387175095013	0.0001948039172747982	0.00017101082509276143	0.0036854783340642995	0.09276421931887639	0.8090068500322274	2.709668917874222e-05	0.00021381386627026609	3.2994060270606075e-05	0.004997092109457008	0.011298719207697904	6.084124917562407e-05	0.000432985797326847	0.000679884830354393	3.8143811165112e-07	5.135963460155915e-05	0.00035421204605580323	0.0001842223374275106	0.00011149463831712142	1.1886294880636271e-05	0.017024262944370767	0.0005157419894622393	0.017383937190186913	9.145315308445521e-06	9.556027830644718e-05	0.00013791048086050808	2.7294654796561322e-05	0.03684090446328762	4.297815685201734e-05	0.00039951341343070807	2.754874542136835e-06	0.00018930257340732092	4.504663074860333e-06	
HE6	7.44734874941265e-06	3.562371261113034e-07	5.265605740235173e-05	8.974398939406649e-07	2.8227206172806095e-06	5.2745183086991054e-05	0.001820224722714915	0.005293048805559379	9.998770037717516e-08	2.9690564479077883e-06	2.6461848939269175e-07	5.7145457632788675e-05	7.007777943089767e-05	1.0979707003613395e-06	4.849159059155698e-06	5.115333835311039e-06	9.431545080576997e-10	1.5976445972093063e-06	2.775279523076849e-06	3.6929096896473527e-06	5.702921342515746e-07	7.944559131025182e-08	0.0001741696136124412	2.7569588271498146e-06	0.00020897764347556664	1.1249981492762187e-07	7.016510843358122e-07	1.4565599802356916e-06	1.882470932481353e-07	0.0005364424178942839	1.1734572524743133e-06	5.742625517684118e-06	2.1625108847329007e-08	1.612957300720827e-06	6.166743540831024e-08	
HE9	0.0006021977641397665	1.6228154463739916e-05	0.004773738087899771	3.6619979265467215e-05	0.00018342844844120146	0.002701413607983786	0.32472758972210497	0.30194449549499836	1.3649859478495465e-05	0.0001961766055134577	1.080217252469245e-05	0.004352309044914551	0.005484472006536984	3.619617828199538e-05	0.00017565874614050006	0.0003269682119483391	5.8488324589846505e-08	5.874196288178451e-05	0.0001117412272651472	0.0002034272909860912	3.622404218691375e-05	1.0209278654863579e-06	0.024961434168726523	3.877307588141806e-05	0.006264837194271544	8.286993473727323e-06	2.675520738280039e-05	4.737982087860748e-05	7.325711702372424e-06	0.0014991517803078643	3.617721761542638e-05	0.00014194641408640297	1.7772671197865384e-07	3.3555892477673456e-05	2.6845869860452092e-06	
EEZ48	1.552087129153378e-05	1.6377367492232235e-06	0.001789186592053453	1.265408111116794e-09	0.00012222679554891973	1.7876699955511605e-05	0.0008113439727236222	4.5096184747095086e-06	8.176825509376944e-10	0.14385026378568702	4.0185498043528914e-09	0.06649246306683913	0.0180279000677781	2.3876929817375182e-06	8.208479096694442e-07	0.00927536660640848	0.0001504795214603696	0.00016683039310861	1.6333440759616236e-10	0.00011534094962387968	1.4731395345132208e-10	3.804689912758969e-09	0.0006009019558167032	1.5897674677483278e-06	1.2547240008038229e-06	8.217437597755541	5.360659663915282e-08	1.8989183729199586e-06	4.4480000079865615e-09	5.952070108538061e-08	6.6009540283206635e-06	2.032445390820135e-07	1.7963852605123706e-08	4.109991105215615e-08	0.0005327001119496428	
