,AT,BA,BE,BG,BY,CH,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IS,IT,LT,LU,LV,MD,NL,NO,PL,PT,RO,RS,RU,SE,SI,SK,TR,UA,ATL,BAS,BLS,MED,NOA,NOS,BIC
HE8,0.000127565345708,8.43856512825175E-06,0.00048517430385,3.39375176556957E-06,0.001053488023559,5.36932232485161E-05,0.000864748768451,0.00684311831963,0.002571630697104,0.002810841210706,1.35480010841076E-05,0.015428077336591,0.000402717287462,0.001330715797744,9.70553796565083E-07,1.85228668612313E-05,0.000155449022399,5.75734983846757E-05,6.70281751401989E-07,2.21691976276521E-05,0.002943536934643,4.43644252509222E-05,0.003099059274634,2.98662839480958E-05,0.001170208980689,0.001010119947779,0.009601395628715,7.46206503911468E-07,7.45141497477275E-05,3.43048737813071E-05,0.000721143941448,0.018982039190467,1.51101219548442E-05,0.000159120747751,1.9158767455482E-06,0.000432139887008,6.76909148613742E-05,0.083353787560441,2.26187410677054E-06,4.60949210541317E-06,1.74873787065371E-06,0.020228831626688,nan
HE5,0.093001867598699,0.0059634020453,0.327828385030126,0.001062801721866,0.129215492085385,0.021823933211134,0.505642534714715,4.80633914940881,1.32380638455662,0.076289426901692,0.007263876219689,0.188202235480906,0.243805212484737,0.581457485628131,0.00029936040378,0.011051964730445,0.083353617739963,0.019793096360344,0.000234352276085,0.013612029090105,0.383471962773166,0.028157057044143,0.196923226640071,0.005482297875384,0.729580252405343,0.139665969911581,4.30811262431418,0.000535799742954,0.021106509296548,0.017071438724254,0.054792015908511,1.46983137467312,0.01115515808329,0.08610065536256,0.000376003337487,0.077691113786951,0.021673032644508,13.3672739341945,0.000453790901081,0.002126033650572,0.000831174350625,8.92867899241535,nan
HE1,0.000100990350198,9.53151395322439E-06,0.000372005513842,2.58189044192093E-06,0.001265806654981,2.51727291279511E-05,0.000442193103724,0.003658284007571,0.001757686850693,0.004096310501218,1.42937675608311E-05,0.151247280554687,0.000275863147855,0.001258610003174,1.28001113078643E-06,9.11348715015711E-06,8.95601940282116E-05,5.49289217226431E-05,2.19731291925207E-06,1.43156530634328E-05,0.001654465616296,3.03339558916701E-05,0.001929406373461,1.85781700732976E-05,0.000898608823732,0.00380870327727,0.005023214575007,9.70999895235533E-07,4.52476048588207E-05,3.17378595556757E-05,0.003106305587841,0.04308800097595,9.61025130267891E-06,9.71866895130828E-05,2.48165125933766E-06,0.000447090687049,0.000238869427397,0.040397372281375,2.22317139191246E-06,4.94402490534539E-06,1.53266793398359E-06,0.020506503395893,nan
HE2,0.000794482734827,7.70171170739999E-05,0.003248928823809,2.173995606513E-05,0.008108904461004,0.00033472802169,0.003821177859414,0.03836253164466,0.020724288778345,0.016157750195731,0.000109318173406,0.197444317257923,0.002739827681308,0.009543752828197,7.29748893276515E-06,0.000115612433991,0.001044963472629,0.000405524251417,9.21873399964508E-06,0.00021425492059,0.013941292494334,0.000268089596078,0.015173496724812,0.000253732801199,0.008749927186541,0.019286860571928,0.045485766287849,7.0244457461529E-06,0.000594069633011,0.000215366539224,0.008396384725804,0.315458922793296,9.29993447905373E-05,0.001042146041772,2.01553894856973E-05,0.003689637793914,0.000814002718448,0.37382766001871,1.70420525407456E-05,4.14413501967618E-05,1.3469967658133E-05,0.172768099648474,nan
HE3,0.000515702746773,3.18635879312984E-05,0.001683278305753,2.85854160571303E-05,0.012395304343158,0.000130721649083,0.00227093947998,0.018675159667014,0.006240274068781,0.115826465773562,5.49557425978636E-05,0.103955184352125,0.001232053634772,0.004054135713141,9.0542431003437E-06,7.30583882665808E-05,0.000680059241144,0.000173731615033,2.4386394853405E-06,0.000107117877864,0.018216717269914,0.000109669720594,0.025912869545277,0.000218256254916,0.003817359871201,0.002316850675422,0.029130329890593,3.31554775768191E-06,0.000512294307086,0.000172675429548,0.020906924111939,0.023999952814538,6.45228681538302E-05,0.000699079595829,2.32749750612033E-05,0.003670580591489,0.000253424336813,0.261698218882051,2.53923630455647E-05,2.47673556913659E-05,3.97001565116153E-06,0.056312417916364,nan
HE4,0.000593754538411,4.01790209659645E-05,0.00097963279394,1.12608085783238E-05,0.003465016394946,0.000101370361189,0.002309118221914,0.013960031253743,0.00570989416336,0.005224710640642,2.97902499057466E-05,0.005883974785628,0.000845404374198,0.002277076597115,3.22265808321522E-06,7.59328905930003E-05,0.000582778478465,8.51584086276853E-05,1.01089718306337E-06,0.000100038368162,0.01674614915006,9.29277484221807E-05,0.02869776121348,0.000104741910653,0.002304031531933,0.001000318318245,0.026908076418191,1.59292756831936E-06,0.000278269423236,0.00013258491265,0.000989903189491,0.010493491335039,8.14828880081044E-05,0.000640843010321,7.37533973138381E-06,0.001326634439264,0.000108649044581,0.080420013142825,8.58175995406563E-06,1.47627491481546E-05,2.86490316775639E-06,0.033430486521446,nan
HE7,0.001011466673656,7.65117514910661E-05,0.016018049086039,1.45341618260809E-05,0.000210871505773,0.000399418301992,0.005336193533418,0.10701620760253,0.122668363785185,7.76976352485582E-05,0.000282783012225,0.000294475394512,0.01057373802535,0.048367620318876,5.50170454913006E-06,8.85253357386568E-05,0.000792173873827,0.001666619616291,9.35581547793906E-06,0.000160563615852,0.000414586669252,0.000924669889839,0.000161438446778,2.44460353687682E-05,0.038335483693031,0.005659810083699,0.027580391802999,1.69700190391571E-05,0.000178273649289,0.000240155239385,0.000113771302119,0.018790414577177,8.04520101607081E-05,0.000823961357456,1.45053320559446E-06,0.000268908523021,0.001127314168878,0.177917570668148,2.01626956572643E-06,3.75466199777536E-05,2.51033573410444E-05,0.703743640930352,nan
HE6,1.72802081442319E-05,9.22180659011792E-07,0.00018084835707,8.7010251799774E-08,2.03247625891326E-06,6.03693164821608E-06,9.00784393329736E-05,0.001830227055659,0.002368665577162,1.26907551154488E-06,3.69813642356943E-06,3.28563666278632E-06,0.00014069047457,0.000375891237211,2.54209902058837E-08,1.41319359221911E-06,1.00590536928947E-05,1.23611517420155E-05,1.28304975777201E-07,2.75338926385498E-06,5.47702599306942E-06,1.38662328051049E-05,2.52252240866229E-06,2.77912709266899E-07,0.000452558500376,3.28798633575206E-05,0.000422085048432,2.36899630229602E-07,1.47739761530697E-06,2.31897532167154E-06,1.70707617407417E-06,0.000257116393112,1.60242410659849E-06,1.0568455406981E-05,1.72588587058348E-08,3.21393464381031E-06,1.04593779439727E-05,0.003432385517953,1.91974843709527E-08,5.59495787034789E-07,3.06903339505411E-07,0.005543724094433,nan
HE9,0.001193084430304,5.27663602800223E-05,0.016032572810714,6.19857089697489E-06,6.00508760735667E-05,0.000378343770987,0.00474566007022,0.127265153880973,0.038870233356806,5.42859216774859E-05,0.000287188638066,0.00012179472069,0.010793644377691,0.030133623198104,2.21616753554797E-06,5.74092360657822E-05,0.00041905090119,0.000891002970784,6.1555942526698E-06,0.000126692027116,0.000175989607758,0.001081061026651,9.79730963553785E-05,6.38552262161158E-06,0.041346477960484,0.001304206781535,0.013579697227858,2.12458097919123E-05,6.55147140809064E-05,0.000127229985412,6.20164870301615E-05,0.002493620487386,6.50695214976502E-05,0.000385281179084,3.61046858330534E-07,9.00269852856593E-05,0.000847283926952,0.122902110914249,5.06377454353915E-07,3.17752533349232E-05,1.88216485133034E-05,0.46440712567082,nan
EEZ48,2.07546872788562E-06,4.70205477456811E-07,0.000118298293056,7.48721892333298E-08,5.46606395685979E-08,7.58232869275337E-06,1.20838896624894E-06,0.000104524621298,3.30989811471193E-06,1.42323587727227E-07,0.004653974301814,1.7605997536212E-07,0.00179067025249,0.001152552423779,1.14721617988089E-07,3.0473840106346E-07,2.35649944548161E-07,0.000319480623599,1.24990912247002E-05,9.50888155734855E-06,3.04564922254316E-08,1.22151442240513E-05,4.67178671672963E-08,2.1408334495735E-08,8.86970756374821E-05,1.07108685642462E-05,3.94083503794727E-07,0.015572278281795,3.36727255882397E-08,2.50181116462033E-07,1.93835694677785E-07,9.7747281945255E-07,5.17444300719551E-07,1.27419115661758E-07,1.12438763226658E-08,1.8182783116062E-08,0.377937386002631,9.67438844755344E-07,5.73563979076586E-09,7.59567649071736E-05,3.68571251471009E-05,0.004260119668074,nan
