,AT,BA,BE,BG,BY,CH,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IS,IT,LT,LU,LV,MD,NL,NO,PL,PT,RO,RS,SE,SI,SK,TR,UA,ATL,BAS,BLS,MED,NOA,NOS,BIC,RU
HE8,0.000113749669262,7.16654439009792E-06,0.00048544805703,3.37263279894846E-06,0.001078356045612,4.36342464849708E-05,0.000851504058538,0.006645310932659,0.00262559253272,0.00295708741523,1.16725689469211E-05,0.016851653183324,0.000374834910094,0.001276470334604,8.17295824635347E-07,1.48108550751264E-05,0.000140706635082,5.58152406749179E-05,5.38425404270242E-07,1.26948958399456E-05,0.003182795524206,4.28471455835148E-05,0.003409347071235,2.70200094992665E-05,0.001180282933053,0.001015910626887,0.009631680253188,7.60838531288256E-07,6.91283919552478E-05,3.23774966236737E-05,0.020000311207549,1.18052722403795E-05,0.000153074812665,1.78276165037739E-06,0.000430314231306,6.18194331820184E-05,0.090005633100903,2.08076567422231E-06,3.76562934129206E-06,9.4812118133112E-07,0.015343502337219,nan,0.000596626458584
HE5,0.088576304906536,0.005333947391075,0.327145895175478,0.000995751203536,0.13266039399106,0.019021356422324,0.506695093535401,4.84685865597675,1.36469753647164,0.072141588543959,0.00603023556682,0.182479737112924,0.226196191118329,0.571951551962655,0.000239915008307,0.010289231635026,0.083160494122491,0.01937098814517,0.00019672331696,0.009835198413515,0.4131235946743,0.027481299148972,0.206378260870761,0.005226753110548,0.745972616320729,0.139546555166513,4.41568876002118,0.000494465646049,0.01987514289992,0.016137758897317,1.55449805658198,0.009964128993783,0.087018748433616,0.000355571722831,0.076138683030554,0.019222173322461,13.783230404731,0.00041288235977,0.00182361120285,0.000534601761617,6.5351809399796,nan,0.041438529339543
HE1,8.51718829367514E-05,1.05271989010987E-05,0.00037782683842,2.85358428050693E-06,0.00122979603108,2.03988423863723E-05,0.000410986239032,0.003625704474284,0.001792953195114,0.004072289121166,1.35525139494245E-05,0.168494155278367,0.000256118703248,0.00116345998545,1.31523578556092E-06,8.62839724700097E-06,8.18507007580418E-05,4.94929630613045E-05,1.81957156900568E-06,9.06038848293834E-06,0.001729100341746,3.00595379242219E-05,0.002035293814581,1.69384122510398E-05,0.000903006442415,0.003822092426483,0.004940856390045,9.46559403284876E-07,4.41863708193173E-05,3.46110218812528E-05,0.046477812146575,7.7879616904715E-06,9.01000982432947E-05,2.64557479141318E-06,0.000432079643398,0.00023439975028,0.042443354851267,2.09183153444881E-06,4.54853450561245E-06,1.09439693468635E-06,0.016328339525818,nan,0.002743897599215
HE2,0.000677691947021,7.34837582792662E-05,0.003290233659731,2.35244825853224E-05,0.008265735297933,0.000270653470626,0.00365252315451,0.038010661665012,0.021916917283723,0.016636118689083,9.33847237198617E-05,0.215594690305272,0.002570281138381,0.009056239888786,6.91335197839799E-06,0.000100011984903,0.001014964154684,0.000385288528591,7.55875645414085E-06,0.000139930029491,0.014957381558408,0.000276874393462,0.016251424980715,0.00024212475803,0.008842363355996,0.02000638334033,0.045542733660124,7.35242610303837E-06,0.000625458047398,0.000234811839689,0.344529245350851,7.16021687932431E-05,0.001002576883805,1.98268830398858E-05,0.003727311874021,0.000780184892129,0.399387212393143,1.59336608169554E-05,3.47668180346526E-05,9.02819367893451E-06,0.13454559774171,nan,0.007136570328619
HE3,0.000441792887293,2.89327150076697E-05,0.001632503166976,2.76856662419819E-05,0.011997401799816,0.000104450004889,0.002100469595857,0.017828744178439,0.006261141379571,0.124869145112783,4.54180923827036E-05,0.111828881558602,0.001100182020014,0.003887220498539,7.71041743479739E-06,6.32154985116458E-05,0.000634359512964,0.000172916396449,2.08334126422975E-06,6.71512945331845E-05,0.018808409315441,0.000100279249063,0.028678420019406,0.000203918918204,0.003759146536933,0.002299082466701,0.027865623291589,2.95556700026284E-06,0.000486193106438,0.000162417071664,0.024822293924738,5.17016325350905E-05,0.000661527152649,2.42365988492221E-05,0.003482052070334,0.000229077771167,0.288278896450765,2.33894738915623E-05,2.05900438154966E-05,3.30495601580739E-06,0.043393234354571,nan,0.019462691318149
HE4,0.00051459195846,3.56248178176341E-05,0.000935386007405,1.06933074086343E-05,0.00356004152876,8.29193884991518E-05,0.002171553902328,0.01323202045132,0.00592404094116,0.005498161679495,2.38251618515761E-05,0.006101039225661,0.0007452752942,0.002263058028533,2.77237208180626E-06,6.96775017676391E-05,0.000577901193522,8.59738626949189E-05,8.43212232552467E-07,6.8058753024396E-05,0.018493389322947,8.29443827220143E-05,0.033393144428727,9.54988887289204E-05,0.00225287362154,0.001044841082238,0.026585804218857,1.41972244245364E-06,0.000260541502417,0.000126177266412,0.01111813619164,6.90140414668548E-05,0.000639480876437,8.09471525164044E-06,0.001338890428719,9.92681729817457E-05,0.085018110578274,8.13258658342997E-06,1.236116285355E-05,2.11819950456547E-06,0.025475926220708,nan,0.000879509238623
HE7,0.000991938736169,7.19539133503196E-05,0.016155759995996,1.4591310479876E-05,0.000217831331325,0.00032854855692,0.005506864331802,0.111531210324453,0.135530995815823,6.67320148213278E-05,0.000242037963931,0.000263363729264,0.010034542968985,0.046218231137889,5.1420283508961E-06,9.09894055168361E-05,0.000853266576259,0.001553992235086,6.91264714262204E-06,0.00010758047004,0.000423516591687,0.000958873419741,0.000161355933251,2.302153671435E-05,0.039607871818766,0.005463427441535,0.028611153059082,1.57794648947584E-05,0.000164635204226,0.000244004769498,0.019639621258236,7.72144174075726E-05,0.000848276067112,1.16874650907598E-06,0.000258867287152,0.000956107334326,0.184832312853934,1.9716121515005E-06,3.43447371801701E-05,1.62917365740051E-05,0.50080953626829,nan,7.410322872949E-05
HE6,1.73941763210799E-05,8.4688424191323E-07,0.000177713354281,8.05433630148247E-08,1.97591393261884E-06,5.21961644117431E-06,9.32691420637278E-05,0.001882013001431,0.002533244518879,9.84932274547928E-07,3.09325670024377E-06,2.91300014507755E-06,0.00013333916368,0.000358606498434,2.1088327548921E-08,1.48227201871558E-06,1.04722862573248E-05,1.13143547172392E-05,8.49691691410659E-08,2.17774521072113E-06,5.04997263127483E-06,1.38420407370469E-05,2.26886279723671E-06,2.79230185575705E-07,0.000462480403154,3.01891416202975E-05,0.000436647436715,2.17648193665542E-07,1.34214711320256E-06,2.26186025707632E-06,0.00027294426771,1.57927691186959E-06,1.06064339425147E-05,1.40113300779321E-08,3.18051007338164E-06,8.79361988870728E-06,0.00352437172479,1.76810873659694E-08,5.35674741260323E-07,2.13431505612123E-07,0.003847832145094,nan,1.02003171165916E-06
HE9,0.00123979193967,4.9740925189218E-05,0.016070325543144,5.91710705438937E-06,5.37348292831668E-05,0.000344523525712,0.0050591418188,0.133500857038218,0.041964152604631,4.3939547256117E-05,0.000249263643156,0.000110826207338,0.010351011109396,0.028894423286625,1.97495236305918E-06,5.87679359876998E-05,0.000450918884797,0.000820783045174,4.09495646172549E-06,0.000105503513869,0.000159333606078,0.001107914340174,8.8798393381971E-05,6.30958668394385E-06,0.043364373993583,0.001194504653985,0.014036954652086,1.88384089163119E-05,6.00000914032871E-05,0.000124930216916,0.002578506185279,6.56415200051585E-05,0.000399178195609,3.11221603624343E-07,9.06522638975564E-05,0.000708294823224,0.123959614954839,4.83390375946426E-07,3.08570574489197E-05,1.33989944390952E-05,0.323965435437679,nan,3.7889930535104E-05
EEZ48,1.13249490370791E-06,1.68406641929044E-07,9.55148143148048E-05,4.13718304818724E-08,2.55040314034678E-08,3.77624502528667E-06,6.37064053947191E-07,6.72472978024661E-05,1.91466358465596E-06,3.92918482600134E-08,0.002948601726153,8.89702528435346E-08,0.001294234181967,0.000728632926928,5.91748919828535E-08,2.21428267035052E-07,1.20019596119102E-07,0.000204590603223,3.48121610452814E-06,4.93602412876411E-06,1.30676106417795E-08,8.20880056675096E-06,3.49198365337474E-08,8.02990476167802E-09,6.73109041348223E-05,5.03270551427877E-06,2.01457250785993E-07,0.016471143293209,1.62533556178871E-08,5.34027057174102E-08,4.43295563128194E-07,2.65686304424161E-07,6.49696247796115E-08,4.03301812877212E-09,1.07974032746841E-08,0.292195710750717,5.12276041249087E-07,4.55452769029369E-09,4.26759438273378E-05,3.37052309534821E-05,0.002061687301935,nan,4.47847966652888E-08
