,AT,BA,BE,BG,BY,CH,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IS,IT,LT,LU,LV,MD,NL,NO,PL,PT,RO,RS,SE,SI,SK,TR,UA,ATL,BAS,BLS,MED,NOS,NOA,BIC,RU
HE8,0.205080581627289,0.02857712660391,0.467340936372297,0.030278611972249,0.586083825680874,0.075258125108157,0.60410906862867,4.4611707477657,0.898600136108591,0.48336820117025,0.194517259929827,2.43634570045009,0.940597388171464,1.63940451069251,0.030054710133737,0.049178700580604,0.20492809858433,0.111272362323208,0.006504305913174,0.144839666681239,0.643778126585109,0.049382110224831,0.552043624734751,0.047917278431822,0.849709563598382,0.658799067574278,4.03958349557167,0.02474458571961,0.193782048776886,0.105887011781584,2.68362136417279,0.031735501735492,0.152852460648693,0.050148035631756,0.765589996260446,0.396200859665706,9.59907907377181,0.021038459537185,0.122598207859394,0.039759643050919,9.70487345689989,nan,2.52083381412784
HE5,5.51144203534135,0.713753406225245,12.118322000891,0.491609736315439,7.63906549314262,1.76992047696395,15.1642725427153,127.850483046443,20.9508935684456,2.66643998458136,3.14281359721325,8.45423837346417,21.5258937090665,38.0843851305159,0.491539373510679,1.04101446418893,4.56705348350274,2.45276132201723,0.103224568661765,3.3658503329412,8.53916730055859,1.19722945295926,5.4775518431663,0.720601510741077,22.8647058477237,7.18776458966521,91.6052600003747,0.425559528461526,3.25376752901131,2.10215794746659,23.5679591153518,0.730838939632952,3.48328727077561,0.830510439652299,11.4805069882031,6.85060338784509,122.270378814707,0.304094270471765,2.36247467628288,0.863335393403149,193.270721266277,nan,24.3553024893403
HE1,0.161022254706741,0.02662447811869,0.499608064995317,0.033271563255917,0.604112103709071,0.056043970132128,0.415929915855531,4.03865706374686,0.917475206147326,0.511069012256352,0.178272064647863,7.74759291383432,0.972163691654196,2.04479439595382,0.033497101740836,0.033830465971431,0.145954361502815,0.147405646397081,0.012426792806662,0.097550043608069,0.537022895130466,0.048056290589511,0.461717061013218,0.041232388897915,0.900993010711711,1.37059897096443,2.99654840581873,0.023948323215822,0.171726396441834,0.08450592055835,4.46987070493045,0.022399770806367,0.111436333929253,0.079948269561733,0.700454432297268,0.800699508676061,6.97792639900327,0.026086896510922,0.123602235369918,0.040247464887411,13.7785961052511,nan,5.50685293598985
HE2,0.467282640711855,0.071047555342754,1.37234403093498,0.078522854080669,1.62518977692545,0.173353458941314,1.28877599125576,11.5374116929474,2.76055289662968,1.17620831610941,0.596512375047549,8.36559594366278,2.74206533306188,5.21563969280855,0.072754037311293,0.107940478278726,0.476881254828275,0.349927403967607,0.024828702213217,0.362792618274439,1.48126167336461,0.137548330445155,1.23406752164841,0.131959141223617,2.52615745982147,2.95900081756098,9.049405239826,0.085615424490559,0.539860152263067,0.243938655497286,11.0900762803528,0.068825462011547,0.352132590298166,0.169947988950511,2.13795062383677,1.43678785474679,20.3738744212411,0.059756077583298,0.338510597285779,0.111595491218211,33.1715211032129,nan,8.3691603943137
HE3,0.400692266187171,0.063767250359927,0.793114853286022,0.094290390423269,1.95502940745767,0.128392410642689,0.981497687303511,7.52170049918536,1.40348503355422,2.95868726173049,0.281475164926786,6.17978267973607,1.52635740213925,2.83709458940902,0.098628131068059,0.098859035162791,0.444218500570488,0.201568135040521,0.014855445675753,0.324074883504617,1.61531456203995,0.077454174186971,1.58682069865074,0.145999121195965,1.49665957448201,0.975107629015796,7.17445670880692,0.031751869134124,0.513241650949163,0.229035282801312,3.08033473677155,0.062782257832835,0.328773409338308,0.239693946462641,2.07592698814787,0.732265043129568,18.2325094629606,0.081818013109157,0.284610784039423,0.07682637391118,15.4874468395838,nan,15.1217389392632
HE4,0.383534435782406,0.066524573895653,0.613671024305449,0.061546855238703,1.13678251360339,0.110804346404557,0.935468695821711,6.48302370981652,1.28122310457417,0.665166483957955,0.207449131666714,1.41341292851109,1.1827690651016,2.26406545579692,0.067072451696879,0.091909916096362,0.396043547873193,0.160287155664074,0.007912054847321,0.272806611155296,1.60897333447748,0.061583841616747,1.80736170068374,0.10000000557769,1.1741782832533,0.643012077455728,6.88730286645969,0.024362822671835,0.387139802593463,0.20233695623552,2.05471758498362,0.060772494313591,0.298487845950614,0.118729626897187,1.36022347464115,0.48569165644919,9.44153284381758,0.042943936173161,0.215461294578635,0.075076310801476,11.3549925358987,nan,3.54547971846636
HE7,0.530285031789998,0.062312821780819,2.62769074133845,0.043695634058023,0.441376260366531,0.216137675546024,1.39906500251047,17.7902312389245,6.61356503465501,0.088035015158463,0.773703675915271,0.296097043739642,4.74987121827239,11.1373529337065,0.04176043182651,0.081324125143644,0.387198714694659,0.716017133238177,0.018798207527671,0.341706151180341,0.394769613750763,0.209941586215811,0.191591260991017,0.051100913465773,5.43312958008857,1.49821716079638,6.92091742244368,0.103694349253196,0.249767453732522,0.188480579378612,2.81819865118445,0.059982744738507,0.290155877581565,0.063202523285547,0.696309083959262,1.7144562677615,14.3617197069146,0.022676103994243,0.323526108726958,0.149266643058267,61.1653434204716,nan,1.07925524848821
HE6,0.074091987381306,0.008061646275127,0.311604125745266,0.004288280197304,0.04979221593032,0.029223563070366,0.194147700489933,2.40768464856481,0.928815977055059,0.009760580368422,0.074499002873771,0.033421293219564,0.529283751599491,1.00474925660252,0.00401156258099,0.011021954858863,0.048030497722155,0.061316751114804,0.002117869860404,0.050089704068066,0.043133340557041,0.025049604694219,0.022637925418803,0.006094677532267,0.61550947744641,0.108555851222827,0.935789493332418,0.010746872330734,0.028436407067942,0.021453242122018,0.347176606118276,0.008623613811026,0.03492032572776,0.006906041091087,0.089660304720682,0.158774015231251,1.95894800168439,0.002638423291104,0.039276061498731,0.018951394348041,5.04521033814592,nan,0.126404398004472
HE9,0.626503598184594,0.069483815614709,2.82681388411784,0.036511256915564,0.27163639383989,0.238068784624745,1.50509068762148,20.7475142744637,3.90893706002867,0.069129950129976,0.654414521367655,0.238588120493894,4.705517932473,9.25786925747956,0.034877352679724,0.084474679490436,0.349352838317777,0.5494571676278,0.015664096094944,0.379832944677304,0.245062548124591,0.229914893571305,0.139003341902058,0.03582978606606,5.82094422434841,0.678956723332311,5.91707073597271,0.090987972012596,0.204005225404438,0.174340275939023,1.03869546922433,0.067461951901226,0.244575155896225,0.044571056880108,0.587012737246299,1.43399619017474,11.766823104128,0.018257272256408,0.312380362352262,0.148159873911849,46.2631425275554,nan,0.807188278864789
EEZ48,0.036276323138963,0.003977794872298,0.483959543503466,0.003636505189107,0.007891701376595,0.032149466830826,0.050974570511076,1.24294917991501,0.046222877710245,0.007489792389027,2.9993546602446,0.010086454412608,2.49346556112537,1.91644322822335,0.007120310982343,0.007092143918103,0.007575096197663,0.354079283659076,0.014799151394578,0.129438592303225,0.005805806664176,0.048143156900793,0.008622558907862,0.00393251057558,0.550878293571358,0.059150242695166,0.051833751199001,3.53067753956408,0.010435890559385,0.007160307095326,0.029598803920692,0.005672986704259,0.004597961338563,0.006733776238665,0.014980933774648,37.9824925494262,0.079022951211924,0.001506271882403,0.65111584437575,0.449325498784456,3.96005510572798,nan,0.055727241143402
