,AT,BA,BE,BG,BY,CH,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IS,IT,LT,LU,LV,MD,NL,NO,PL,PT,RO,RS,RU,SE,SI,SK,TR,UA,ATL,BAS,BLS,MED,NOA,NOS,BIC
HE8,0.000136498106133,1.15553611208775E-05,0.000511120832626,3.95043942693935E-06,0.000820942509735,5.89962586257435E-05,0.000781234973972,0.006928074270918,0.00286417074745,0.002343938337441,1.63933782872102E-05,0.012758283011539,0.000484443172448,0.00174759093903,1.53946355813838E-06,2.61176947883951E-05,0.000180011522139,8.13302334414151E-05,9.48022817311305E-07,3.3515097539598E-05,0.002032648529456,4.78729387009366E-05,0.002001192506889,3.82966493757112E-05,0.001302933944085,0.0010370837512,0.007922568804314,8.98919814069357E-07,0.000105301015358,4.51510495757133E-05,0.001074118665295,0.016923672490857,1.78034793713016E-05,0.000158688299813,1.00489342410815E-06,0.000409439082705,8.66674781128514E-05,0.067996363958765,2.15554593921791E-06,5.81555188409221E-06,1.84404266493034E-06,0.031805082296924,nan
HE5,0.093647572454492,0.008184858152365,0.320077066973121,0.001259157832317,0.097775062609054,0.024564758757411,0.437668682811517,4.31935518936074,1.21703604439146,0.076690744825962,0.009560756230807,0.202960351978074,0.288841934235604,0.683092155407028,0.000480006842686,0.013491450365798,0.090509799798814,0.02466423202883,0.000334584863722,0.018765018255976,0.274868591899171,0.028182565759931,0.150742391893007,0.005939089256102,0.713171703733758,0.139770441708306,3.56704546601796,0.000759168615096,0.024893751655327,0.021108638308512,0.096406717442297,1.25358581829055,0.012822390599969,0.078785811766582,0.000231803336106,0.073942168574876,0.030260574645383,11.9499930534069,0.000439917191393,0.002388249477484,0.000948477246038,13.4894062659688,nan
HE1,0.000140830426324,1.03751235847662E-05,0.000392078700413,2.49507037897068E-06,0.001156660120948,3.68283098288926E-05,0.000578052604625,0.004115342128558,0.001729091193395,0.00343283601765,1.90181399415224E-05,0.116876441104754,0.000337227402838,0.001558984070455,1.38998921942904E-06,1.12022543000702E-05,0.000117657397349,8.14364397807412E-05,2.93441746322312E-06,2.68330839270773E-05,0.001550270055573,3.36998921353701E-05,0.001654537369887,2.3971068972394E-05,0.000930759157979,0.00386426234053,0.005706084754344,1.15933690899756E-06,6.21159302729503E-05,3.89150602891202E-05,0.00348563901043,0.03871119167269,1.32393199143537E-05,0.000119941648452,1.47283675602552E-06,0.000475285619689,0.000260538991035,0.035326150197591,2.25193919655656E-06,6.1763824058742E-06,1.72037302423693E-06,0.030832127859927,nan
HE2,0.00101038597488,9.88379060813791E-05,0.003099852105884,2.0263157170275E-05,0.007117100439495,0.000450082317706,0.004050720786275,0.037990844722791,0.020240272386876,0.012315141256975,0.000113636406364,0.1593576157238,0.0030614256831,0.012099266581563,9.36315964183757E-06,0.000138947102525,0.001158849412322,0.000594662984924,1.1776351092472E-05,0.000345425334009,0.011743613373041,0.000249397938678,0.011516476052091,0.000283051297408,0.008774869936906,0.01862648623118,0.04255631094478,7.22771685673368E-06,0.000660420685776,0.000254128039764,0.01199299387339,0.263269759717481,0.00011507183962,0.001105218905355,8.70393866189922E-06,0.003385821837568,0.000966826370205,0.31017924893378,1.64756400609601E-05,4.95523687344723E-05,1.48718626303255E-05,0.261734798462688,nan
HE3,0.000641190130442,3.24882321537782E-05,0.002041759638673,3.33465066910727E-05,0.010519292552323,0.000175748749388,0.002545818599108,0.02180443322972,0.006997566294157,0.093498917814482,7.85349661628525E-05,0.089605161959479,0.001610789349145,0.00530307760281,1.2345745353138E-05,9.01710436839718E-05,0.000641204815851,0.000243839976852,3.73510966982608E-06,0.000162482925123,0.016343184412773,0.000143386643629,0.020882946794058,0.000257205123304,0.004542270648095,0.002710879106934,0.030005348782416,4.86566240212084E-06,0.000617883157178,0.000195359720266,0.024361459548599,0.024418933872307,8.06082356152273E-05,0.000682346328545,1.24993154607598E-05,0.00379681660255,0.000339353568676,0.212906717862336,2.78003973034008E-05,2.99303143826222E-05,5.04894489607008E-06,0.088655270213708,nan
HE4,0.000645589576697,4.14475604593261E-05,0.00116534411697,1.52539884461181E-05,0.002379868656143,0.000132346635051,0.00242593877532,0.015992317524317,0.006067054018585,0.004257884976442,3.92980713475481E-05,0.005398252468671,0.001115118729782,0.002872859523485,4.73861322973044E-06,8.60995555218474E-05,0.000553356540121,0.000117844302192,1.5710866350005E-06,0.000131975267277,0.012092060100977,0.000117730020645,0.01815721893545,0.000120113907152,0.002781790452216,0.001002133790817,0.024288588599098,2.1881640045796E-06,0.000349287643218,0.000136775684025,0.001296325573156,0.009856293729443,9.19061628987664E-05,0.000551622081068,3.39971472765713E-06,0.001149757538031,0.000150064037027,0.0715016565054,9.37904364480623E-06,1.60940295747314E-05,3.66597309859964E-06,0.054247717339395,nan
HE7,0.000966169755974,8.71305238420902E-05,0.015824745936322,1.37368507843678E-05,0.000172510155939,0.000408734515692,0.005020755299657,0.098232525998079,0.086832245216785,8.98274486823452E-05,0.000329573198351,0.000317113517969,0.011435002763643,0.053679526275936,7.99112773972668E-06,9.34478374176698E-05,0.000808169706694,0.001975421333776,1.25776135090811E-05,0.000214647357628,0.000310972852073,0.000891313818596,0.000129949081432,1.72251487060223E-05,0.035184797121033,0.005496005238681,0.024515377562291,2.16930471606129E-05,0.000165109342347,0.00023157308189,0.000225863546041,0.014299966416478,8.3907784814622E-05,0.000778347647212,1.2690890548799E-06,0.000218626668502,0.001496252370621,0.155976649185288,1.47144629750104E-06,3.43721770730984E-05,2.65379416990884E-05,1.00064921986515,nan
HE6,1.64332881037046E-05,1.32695622920074E-06,0.000165243186354,1.05395371776104E-07,2.02709024592984E-06,6.06476037651604E-06,7.266403824101E-05,0.001549373467727,0.001803696377273,1.58125261972133E-06,4.68881594388872E-06,4.06922119828148E-06,0.000153762192912,0.0004247162829,4.52940937113364E-08,1.59628877460946E-06,1.03721172921741E-05,1.51142041939227E-05,1.79465661713895E-07,4.08946320843334E-06,5.24624264693092E-06,1.30856916106265E-05,2.66947736035739E-06,2.03685971097113E-07,0.000390805199552,3.58633697220581E-05,0.000355577406426,3.3837671394094E-07,1.5128235658365E-06,2.35759121162951E-06,3.56683867566004E-06,0.000211389847975,1.73316164523143E-06,9.49215410907448E-06,1.55313301146096E-08,2.84912235862621E-06,1.44812058706543E-05,0.003108579954557,1.67915318036349E-08,5.56106820399817E-07,3.69268256955531E-07,0.00815027368794,nan
HE9,0.001096831159473,7.82172496206753E-05,0.014922729027125,7.78115621655796E-06,7.10505931347534E-05,0.000335845709761,0.004314180846116,0.106825702219678,0.023578377491933,6.97020827271459E-05,0.000323493785379,0.000141386819177,0.010810761368501,0.032780044557979,3.780529230071E-06,7.14746814382352E-05,0.00045976013626,0.001069464717479,8.6381905745027E-06,0.00017400373357,0.000207486049425,0.000968570385841,0.000108163123059,5.67139092638356E-06,0.035028856976208,0.00147598075008,0.012330519870528,2.84510163331117E-05,7.24589390524209E-05,0.000147908489625,0.000139398076225,0.002191804701729,7.21209678095345E-05,0.000386803009343,3.87022711190585E-07,8.41479571790213E-05,0.001102033183297,0.114753080371722,4.71450815145195E-07,3.03707755207077E-05,2.25020299537626E-05,0.663858868954907,nan
EEZ48,8.50280056020359E-06,1.01846569335339E-06,0.000217012418797,2.40778823613758E-07,9.4916462014579E-08,1.86832733556677E-05,4.32198876191442E-06,0.000227163878421,7.50430666056847E-06,1.86740106925231E-07,0.008132669446208,3.42127339307199E-07,0.002991451379956,0.001828982761433,4.20530041247738E-07,6.12439742393257E-07,4.35146658454488E-07,0.000565507394611,2.94993502073364E-05,2.61412615650603E-05,6.29451008773333E-08,2.55903628619439E-05,5.94715221214964E-08,6.30357241964161E-08,0.000148137958302,2.16753412253248E-05,6.38372828934395E-07,0.014982481551787,7.76396879408346E-08,3.27792976497756E-07,2.67832772417051E-07,2.24136615511193E-06,1.70751143253958E-06,3.36236313501074E-07,4.65225687711589E-08,2.7374700122269E-08,0.649358524914801,2.15463095228164E-06,8.80796874524094E-09,0.000140218331698,7.9803503441342E-05,0.008702330273335,nan
