,AT,BA,BE,BG,BY,CH,CZ,DE,DK,EE,ES,FI,FR,GB,GR,HR,HU,IE,IS,IT,LT,LU,LV,MD,NL,NO,PL,PT,RO,RS,RU,SE,SI,SK,TR,UA,ATL,BAS,BLS,MED,NOS,NOA,BIC
HE8,0.267758047339095,0.039291798781068,0.481302583108886,0.027995955001171,0.654596728624833,0.10561786864463,0.613207295192665,4.74987974092609,0.972775360964983,0.514288531558742,0.255209887866299,2.05951116463555,1.20457168396526,2.29350216989239,0.039293469675086,0.064930218991514,0.264571290185614,0.166766682828084,0.016520646717685,0.316663317345306,0.555296793881666,0.049317239039882,0.447518012722908,0.057558805871152,0.916197365562651,0.659586462023025,3.95600750992317,0.028792646796481,0.241455031171273,0.104102915867082,4.86644166120887,2.32010166845402,0.039433640101338,0.17348581343743,0.032331399698864,0.886307332919387,0.591901843150724,6.94075483993603,0.023068810858288,0.154312711152041,0.075128696477944,43.5320459911824,nan
HE5,6.35023062847386,1.162230850894,11.4448479408715,0.592429594569954,8.6710785403882,2.39858451797137,14.6605789776151,117.403887881713,19.2371039842458,3.60119820815722,5.89150968345082,10.6285643924108,28.5345664252368,46.6442723181063,0.890567516488527,1.45718840946141,5.22373647892059,3.221767446496,0.362623764660787,7.07993139465235,7.98152111780381,1.23863447601941,5.19722420223962,0.866691038500144,21.1583707897091,8.00751011189731,85.9252893133256,0.74217229565071,4.27908785783639,2.44516762072305,54.6189693449385,20.4898022435806,1.03672421512635,3.51950551025192,0.906486779981098,14.2715504883733,11.9774160976297,102.56713283406,0.377979106896178,3.10211907744326,1.96054645552702,848.3689386264,nan
HE1,0.280297403172591,0.02509013451454,0.552279980328841,0.023840903096432,0.672124632448709,0.123071270182984,0.660625434798879,4.80049282740259,0.931661482386608,0.545177650080545,0.332376742948485,5.80801677709667,1.33260779012234,2.71985628966027,0.028463174024648,0.04201144619279,0.210765818946029,0.215299889026804,0.026661387163801,0.256635749760916,0.570593563698632,0.059594173747428,0.434353660607563,0.054499439149043,0.966271950837004,1.34591815514593,3.86020888063364,0.028772238231667,0.176974393673556,0.071771333089349,8.56270124650017,3.8159869098203,0.034854668605274,0.15713642502154,0.041008185108824,0.94595507537878,0.876570908253629,6.11807626697732,0.029669038653071,0.153886721205848,0.125056335148267,51.6485757487596,nan
HE2,0.759147627918483,0.090538345402056,1.2757396606687,0.069127570266263,1.82033574676397,0.313812038045021,1.59670846420234,11.6702816699873,2.57987094996457,1.22198259989357,0.765928386018757,7.56883309537551,3.29146063541467,6.66430572012093,0.100398313188001,0.149932043268482,0.633887726851656,0.509333505573981,0.049066645807864,0.826819266834805,1.4960091615936,0.134108376326297,1.14910310375626,0.152256179424364,2.39788464278993,2.73818716398007,10.1567024422888,0.08845109672897,0.569796978780624,0.234878413569567,15.0112699789602,8.76932133686204,0.099043951249618,0.475146427509312,0.083773675064717,2.3789832613827,1.82444649301519,16.1752375187941,0.068139113393196,0.446376835502506,0.234557929494777,130.611038726391,nan
HE3,0.568839680950509,0.067302746983651,1.061950026438,0.075985655609391,2.12273356063488,0.19538509124235,1.14710378348597,9.20897405232589,1.63109810794881,2.45346006977509,0.487729444685408,5.11928932333352,2.29450261651961,4.31795971498068,0.107946569920302,0.130175854640281,0.449353187614013,0.331763723900844,0.037448562309146,0.69712135584102,1.55166339393582,0.102021975502508,1.29017386048635,0.148348331592731,1.87655680882093,1.135027165664,8.37209666475815,0.052465364786761,0.558558212900732,0.226679636988529,21.47715865573,3.09453871433171,0.090310958989613,0.347382832492068,0.117677185009127,2.75490314205933,1.17092632420581,12.4716481974525,0.085834221379599,0.356783126504165,0.115764059355124,75.7594677708284,nan
HE4,0.456039498378717,0.075021878783858,0.801737950096177,0.066645453371938,1.10847161122313,0.158306009766396,0.994288476802173,7.8293122603101,1.34006670582841,0.600994845605054,0.407006971723004,1.25980068161527,1.85576719694458,3.29040038639885,0.0743511692244,0.109926934282632,0.378654267683257,0.22725458911923,0.020804876703425,0.523257056588805,1.31344240639119,0.085915892592595,1.1330636833775,0.108973372290944,1.4756106982851,0.611569879170696,6.64223713271216,0.040872303054109,0.456648107522438,0.194510467984742,5.23509882873186,1.75649592145485,0.074540812362088,0.264090619043121,0.085094520917887,1.489971762273,0.797745109975779,7.60399347840728,0.047298329383038,0.24358993658899,0.103249999905079,56.4249175179931,nan
HE7,0.590894472640197,0.081725632718712,2.41409138340785,0.033979354068252,0.419236414268449,0.240874212152127,1.48271477656258,16.0131180323716,3.87838390670069,0.123266942615785,1.03358984110892,0.465977477273725,5.32669038732758,12.8181229074296,0.057406133017428,0.096319129344264,0.381133171570316,0.874486222036328,0.058514113396481,0.712194621843179,0.270896417488603,0.19407675618204,0.160344201959827,0.033940576229737,4.44238851126738,1.66479268684734,6.5556471844502,0.125909975387827,0.249392983813454,0.163823154368908,3.25088365010932,2.17933963593778,0.074690854741979,0.289926392766485,0.06531486430071,0.615699676305178,2.81956742246875,11.3904701086584,0.024910882331514,0.309443132093022,0.348843256762788,227.875894355192,nan
HE6,0.084622157162649,0.011499595839622,0.273668193268552,0.005535455107839,0.056013507023341,0.031936818504625,0.199744971051356,2.10816359808307,0.61493841164272,0.014300650179529,0.118382169773265,0.051195898471808,0.631286879407258,1.20970154706462,0.0076256210766,0.012084667713771,0.052090946759253,0.084476107590848,0.00673804773492,0.102964933038906,0.041474571602836,0.025248914281642,0.024335186925687,0.005058450255888,0.487002338200543,0.137934095039463,0.907747236180022,0.015009657094255,0.036449233284079,0.020225456282691,0.435330471568525,0.257769043959987,0.009609086049306,0.035683998404326,0.012879574931704,0.09204671367721,0.297386640989572,1.62262468218592,0.002788811887268,0.040101448063881,0.03182091244901,20.8455578385138,nan
HE9,0.582297291181057,0.100071080583367,2.63153221352086,0.041212533153019,0.359046172282643,0.234068471395802,1.45130047466988,17.5299521332643,2.02237533999681,0.109565640769824,0.904479243657043,0.345220785790344,5.20181020682341,10.8481064086238,0.062368383593919,0.0955068333302,0.387465777435248,0.715472502629009,0.047644333387312,0.71348427778109,0.265915317961517,0.213008725378888,0.16190013574713,0.029763975880712,4.52214579144815,0.941179946479382,5.67221240341801,0.127136855874719,0.225271047265426,0.182614435929325,2.96227106984482,1.02464975172021,0.068434788227667,0.265290531310558,0.074576574833946,0.654409990494148,2.49159631604978,10.5132459880018,0.020738022783501,0.297054882571873,0.271159527545302,187.797226346901,nan
EEZ48,0.262856251607051,0.10537477566807,1.20499559783953,0.051342160206951,0.057049102031444,0.178078752101578,0.339810426517403,4.0911991977276,0.255147211614094,0.05292467366222,5.33242135598255,0.081383576389959,5.40675527004702,5.59883863424998,0.054022945972558,0.039612107560386,0.048993281035322,0.91655747928805,0.154859507306023,0.534230243393717,0.042751142689321,0.148238576842246,0.026207573621956,0.068073448974896,1.38443957542499,0.388912898464913,0.370459248297435,1.90610851279859,0.06137498275443,0.072879435383919,0.370889415080629,0.208368571479932,0.034749136952997,0.037301972630564,0.101042624166104,0.087639234291582,65.5326916329888,0.600338320807511,0.028306605149919,1.38000752778728,0.945460267549744,50.1309428258926,nan
EEZ65,0.660074383959472,0.06555921442801,3.68010060584443,0.042933753341336,0.344467840388257,0.392236320681098,1.40040285027792,17.2035260864288,3.22038152708756,0.143402442105649,3.18315033025856,0.793197187736155,9.65670097073468,47.3640270075729,0.071070939362594,0.065044004665484,0.275869821117574,6.48009004471505,1.29915483203363,1.05290531805758,0.268858301288881,0.28152831512044,0.154722475870352,0.043824514185123,6.69794109050577,6.06560935472175,5.18374963478353,0.468736775418212,0.150577393581278,0.121543789397779,3.62783930737058,1.7618135641887,0.07630427061645,0.227050281296253,0.106610686317196,0.529160213959797,21.325745675898,5.94708724671704,0.03155112164586,0.774388687987884,0.614229967577774,372.841061412067,nan
EEZ71,1.17505929223779,0.198017948953419,6.06436261058087,0.088952799120244,0.447446108086498,0.745525504343201,1.98596881296099,29.280662064166,4.58442770815017,0.214030563081875,6.72572617675689,1.59109026706175,16.6753973529127,72.4253789680127,0.106007983352084,0.13334842272286,0.540250488369837,10.9336611738213,13.8211708276157,2.1370992709899,0.409567565630037,0.52440745212378,0.2835266839862,0.08485053409289,10.9091462517165,8.68811923009363,7.40848842081691,1.15783005673507,0.222922370061995,0.221395243737149,6.87775603735624,3.0239361438607,0.152843156605461,0.380604552192806,0.193589298649279,0.926490325108888,51.953868509111,9.56257635985909,0.066857381820787,1.85631285419428,1.66927046415873,522.00383423611,nan
EEZ91,0.436299163465792,0.085306866710544,2.03170967395306,0.033928076819822,0.076942726618107,0.324604799894935,0.450596267972588,6.56722051196835,0.396915629289953,0.029437873894866,45.4423638369723,0.123624679799218,13.2116103920524,9.96094821100981,0.072252617958145,0.076973839536471,0.105208245351201,1.68079765242712,0.137166125966727,1.32916368479959,0.044291339436299,0.203893825067949,0.034437662217329,0.04174283061634,2.52220719470517,0.466107518467868,0.708273740816222,33.3215498139691,0.070062882235497,0.072867140315401,0.528427959075213,0.259865242002508,0.054685204276385,0.09487929864151,0.069955504111386,0.132637611871054,138.996491744952,0.892314618059966,0.017769904023435,14.0521576647276,8.16743189604905,95.1521164660569,nan
