,AT,BA,BE,BY,CH,CZ,DE,DK,EE,ES,FI,FR,GB,HR,HU,IE,IS,IT,LT,LU,LV,MD,NL,NO,PL,PT,RO,RS,RU,SE,SI,SK,TR,UA,NOA
HE8,4.80782289503126E-05,1.08964480991754E-05,0.000125107758742,0.001225613635833,2.51844911983835E-05,0.000405407963865,0.003336339508333,0.001329805684108,0.002520681757024,1.33917474783654E-05,0.041952460173166,0.0001624472946,0.000317196950571,1.06221850658768E-05,8.94812450567693E-05,3.49341555877906E-05,1.81486309351277E-08,8.0141063271671E-06,0.002295146399072,1.03435536296547E-05,0.002145490363302,1.96996585024408E-05,0.000368681929359,0.000386735562174,0.005931936561066,5.41613818045705E-07,7.16226694666165E-05,3.57681501150407E-05,0.000242118323659,0.014620590553903,8.5375009350936E-06,7.84373882483404E-05,4.77181862948905E-06,0.000455583044756,4.46194994085376E-06
HE5,0.043556777829935,0.004384353803628,0.09451208280141,0.215274097182836,0.011480907567039,0.262506175005609,4.38241309194804,3.13747543102412,0.078925338032566,0.006674630117874,0.071482114439153,0.094809104833574,0.11343023651365,0.009236515206797,0.055097118288871,0.011510424452582,-8.04474397841171E-06,0.008513166026276,0.818779858342062,0.006424339426726,0.325997069860714,0.003823314391719,0.343183573423284,0.047553187114657,5.61539919854239,0.000295880915978,0.019604737176245,0.011218561921423,0.030987334052263,6.15543346696788,0.008161598248153,0.049861302573851,0.000520264714735,0.073893704648142,0.0010668954451
HE1,4.54584533577588E-05,9.24406673127355E-06,6.88323475024242E-05,0.001222424163916,9.73851855961813E-06,0.000213684992611,0.00120773236029,0.000735217047184,0.001440543997926,1.32300298876087E-05,0.274236702007364,0.000101187679575,0.000215304726881,5.83940258459338E-06,4.72834307999154E-05,2.06837980431467E-05,1.06953407825315E-07,5.07003687046392E-06,0.000975796042692,4.43901870283485E-06,0.000862718011691,1.01735219840905E-05,0.000161845540133,0.001271429442286,0.00299279704069,6.2075628395036E-07,3.78681400838738E-05,2.72008441513484E-05,0.000607590150747,0.028185214587293,5.47326576671926E-06,5.66062180241761E-05,5.35651857168695E-06,0.000395260323149,9.06976306595283E-06
HE2,0.000397226323536,9.23565321754067E-05,0.000750747870818,0.010745245803292,0.000181087083918,0.001807372698185,0.014185742565978,0.011613152602242,0.008231287161884,0.000129353001568,0.243433649214516,0.001211163833605,0.002078506836179,8.79087299386719E-05,0.00074228606855,0.000251783382234,2.63370606053158E-07,0.00014538541275,0.011341410811053,4.33302666104497E-05,0.009620712790708,0.000190403895324,0.002093624070673,0.010890572532741,0.030083033919467,6.34607778719327E-06,0.000660328754219,0.000278256526795,0.002791376651779,0.323755951952151,6.33330738439826E-05,0.000638708874549,4.39351080093768E-05,0.004554130162043,8.1337371104636E-05
HE3,0.000202767298839,5.23997904362717E-05,0.000530699354696,0.0160291647314,6.01154260338565E-05,0.001158274633308,0.009195019449653,0.003247361852169,0.385630715749014,5.58137022464644E-05,0.105296728925343,0.000486102004958,0.000927756792097,5.05530693750065E-05,0.000385706619034,8.46595089691983E-05,9.86208006276223E-08,5.8524600187821E-05,0.014183328119487,2.50425953217274E-05,0.024583618069721,0.000138501955368,0.001443835307845,0.000720214719819,0.016914805772014,2.15332915876744E-06,0.000490710973822,0.000165345350698,0.016023964614874,0.014499124875558,4.18692610638139E-05,0.000298225681897,3.87605905007866E-05,0.003854062445896,1.05137506715396E-05
HE4,0.000287059573063,3.51972175932278E-05,0.000283634484048,0.008471342011034,5.24932238979367E-05,0.001205077271127,0.006828736501987,0.004284963016007,0.044294232501198,2.74402423480028E-05,0.00237714897311,0.000359618753157,0.000595875934995,5.82548233222621E-05,0.000374493723194,5.5537795390878E-05,6.35269583020952E-08,7.06128840740174E-05,0.03794167691268,2.67483285709751E-05,0.146554553635484,8.52310982934475E-05,0.000775734716372,0.00038007926387,0.018474371826067,1.09669187450549E-06,0.000287794344739,9.35932374864193E-05,0.000393036580455,0.011784343700227,5.94507407963209E-05,0.000325994668507,1.04520875271795E-05,0.001235935071259,5.05183695640963E-06
HE7,0.000493900215653,4.30687017244026E-05,0.006023389146555,0.000275293506839,0.000239260015152,0.003493257192716,0.109648199712807,2.73030676546245,3.76833246938053E-05,0.000333929570643,4.78916670511483E-05,0.005539650065884,0.011687307217086,7.87462307141902E-05,0.000517956976008,0.000994822582022,-4.71930959970574E-07,9.16319460897222E-05,0.000399508515807,0.000237195410233,0.000149388286076,1.4853586116537E-05,0.022092167256237,0.001998400245152,0.017273789431281,1.07959857813561E-05,0.000162444568386,0.000130768439498,4.69899710547525E-05,0.120834417941591,5.8984013503984E-05,0.000488947052103,2.90937629230358E-06,0.00022755564296,3.48019463941219E-05
HE6,8.76875506845417E-06,6.20045322501323E-07,6.24762492507376E-05,2.26411944128809E-06,3.82322462413139E-06,6.23525233168705E-05,0.002578729843402,0.019250319833245,3.27769794236637E-07,3.26046341127661E-06,3.78621842797174E-07,6.47643200202485E-05,7.59353851990257E-05,1.32516796338919E-06,6.83650282867473E-06,6.56396467416473E-06,-9.13602641521432E-09,2.05841406407236E-06,5.34527115192386E-06,3.8421897598278E-06,1.6118833845425E-06,1.39082639297385E-07,0.000271131651241,5.92103753299358E-06,0.000302903803834,1.11883844537524E-07,1.27045271934926E-06,1.58888154950239E-06,4.61796455347588E-07,0.002552809378312,1.41263515286108E-06,6.74854221579986E-06,2.46096798963438E-08,2.2746516741539E-06,2.62728470686753E-07
HE9,0.000648237373409,2.87656787705827E-05,0.006274916961609,8.05105821770939E-05,0.000223200424271,0.00276719824341,0.759664592039731,1.68373136249131,1.95583240140044E-05,0.000258786278977,1.30826049885959E-05,0.005181857968142,0.005707752890646,5.19513523026285E-05,0.000277522055925,0.000495898155048,-9.58185695078E-07,7.32019650576293E-05,0.000158913911801,0.000258893473522,6.77642289856119E-05,2.58050424194538E-06,0.03874439888235,0.000114522831634,0.008079580419328,9.90088187293283E-06,5.53861366575489E-05,6.69767469184103E-05,1.36469847662225E-05,0.003433871445288,4.83106097516955E-05,0.000214803331627,3.61568936589788E-07,5.81891359188391E-05,1.15819387907751E-05
EEZ48,7.71377847522822E-05,4.47505606947215E-06,0.006311138177857,5.46156475928803E-08,0.000361542999521,8.52615284461146E-05,0.003836097178794,5.02244519564993E-05,4.57995242558379E-08,0.22125602034418,9.82507445175439E-08,0.147541405742812,0.044270731797576,1.16581882962563E-05,1.33902101903367E-05,0.02075345963768,0.000643507924014,0.000473645465834,1.00064809030083E-08,0.000455163321378,8.65978070742716E-09,1.61649084088317E-07,0.002586309594874,2.45358672946777E-05,9.51080961102119E-06,4.38438635646506,1.66573084730103E-06,-1.89931479865188E-06,2.0331736867585E-07,1.53218172908204E-06,2.35476024995331E-05,8.95740428339488E-06,-4.54526151810973E-08,1.20828807225133E-06,0.000298232140609
