,AT,BA,BE,BY,CH,CZ,DE,DK,EE,ES,FI,FR,GB,HR,HU,IE,IS,IT,LT,LU,LV,MD,NL,NO,PL,PT,RO,RS,SE,SI,SK,TR,UA,NOA,RU
HE8,4.5074797557947E-05,7.1569844090296E-06,0.000128937805579,0.001309843721755,2.13621203618548E-05,0.000397921974849,0.003366345116852,0.001385433970711,0.002572368349203,1.22308614607926E-05,0.041417170330003,0.000170577555077,0.000336591512322,9.80119222804167E-06,8.4738329357978E-05,3.73478250270724E-05,1.33889233926324E-08,5.196967722925E-06,0.002458305279229,1.02958677668773E-05,0.002224730193734,2.03902768629668E-05,0.000389557681663,0.000363621005977,0.006157818628086,5.65263085370182E-07,6.66733403335103E-05,3.40279587966417E-05,0.014718675683436,7.3979884488891E-06,7.91718360640466E-05,3.29636507871314E-06,0.000501003693286,3.38166504747329E-06,0.000202680927665
HE5,0.042869153189388,0.003308421683412,0.093536151008446,0.22533416095153,0.010053302602518,0.264377223101169,4.35651920346863,3.12225092066117,0.079372121662084,0.005577698746627,0.069315134487648,0.096314040745418,0.119279786507737,0.009410372474954,0.057540773284992,0.012384737584803,-6.54499865353571E-06,0.006549411981547,0.838687900838383,0.006152084075998,0.331916218366025,0.003948186307491,0.3447064886014,0.045422986897361,5.70436243295703,0.000251609983975,0.018983424630981,0.010364847799174,6.01243014777587,0.007877347747338,0.051802426331171,0.000414287679174,0.079774347633215,0.0008130705808,0.02481668496949
HE1,3.81387479846573E-05,7.82323612696821E-06,7.22146400163958E-05,0.001270526755345,7.9895752388907E-06,0.0001891560615,0.001263357609127,0.000794362466237,0.001477238183845,1.26126523916585E-05,0.270888368186621,0.000106072172987,0.000225708588146,5.50975669415219E-06,4.26394508700484E-05,2.06928737745283E-05,7.53248464437617E-08,3.13255240906173E-06,0.001046284560448,4.57813987249809E-06,0.000917731941197,1.0354783599592E-05,0.000175313491715,0.001181940351139,0.003062912029646,5.61176506230643E-07,3.63828846843188E-05,2.8930362767931E-05,0.029336526730197,4.59707048540236E-06,5.1641402281388E-05,5.55767121313493E-06,0.000426673526583,6.21429099823192E-06,0.000526218568529
HE2,0.000345439578009,8.00068415918665E-05,0.000790598364008,0.011755075775491,0.000156694273,0.001741482630123,0.014736791145755,0.012738692139702,0.008260078029154,0.00011988025828,0.239801812613142,0.001286167618971,0.002152785507245,8.42310777443575E-05,0.000748791708798,0.00025232504669,1.72394239337587E-07,0.00010266379781,0.012017434792265,4.67717003337149E-05,0.009891583161784,0.000208009582733,0.002290136310942,0.01038301858522,0.031991510941994,6.83151269590614E-06,0.000707419607073,0.000306173507735,0.332760472157986,5.10895041191371E-05,0.000637883116051,3.70900425415429E-05,0.00524411493687,6.09654092219366E-05,0.00228639668973
HE3,0.000161493923574,3.44537523583689E-05,0.000526594680052,0.015923100469104,4.9477955535677E-05,0.001005788061805,0.00913456754695,0.003342580155763,0.378299826027025,4.78965595088706E-05,0.108809559213446,0.000481656357626,0.000990855071028,4.42715649226786E-05,0.000356588105758,9.04832351625759E-05,7.56118015539815E-08,3.70309009036407E-05,0.0141471530055,2.3545086565574E-05,0.02466093915186,0.000142210049218,0.001477906299321,0.000660215099277,0.016319705739243,1.91861323747855E-06,0.000454287046971,0.000144326772938,0.014604247303567,3.25757544234124E-05,0.000274182876116,3.28936173837773E-05,0.004048143250367,7.57150404872987E-06,0.014658581201868
HE4,0.000238614444711,2.70198082945177E-05,0.000267066962639,0.008801709888411,4.3015787202114E-05,0.001061469601509,0.006566993919282,0.004596768432497,0.044184850055017,2.24143460687086E-05,0.002421467102772,0.000346958432218,0.000658850894042,5.50787013268655E-05,0.000376089154315,6.17080905471763E-05,5.15751946777284E-08,5.01227168284432E-05,0.038711078927008,2.40387512910326E-05,0.143422448069019,8.77296351903513E-05,0.000766813915896,0.000382905900062,0.018312280074265,9.59052912248278E-07,0.000272866121739,8.62320176494497E-05,0.012233237756179,5.13956597380206E-05,0.000321178615494,9.66236793253556E-06,0.001288235741303,4.06510862957898E-06,0.000355620720336
HE7,0.000522179184807,3.87653789006448E-05,0.006023322969957,0.000315399393502,0.000205753513506,0.003673124199435,0.114834455377363,2.69339927385341,3.58277253580994E-05,0.000298760497385,4.70274016432486E-05,0.00568780070718,0.011986138288369,8.66369075156368E-05,0.000602666606053,0.001029596174789,-2.43397204366682E-07,6.89489369737989E-05,0.000449251214126,0.00024961614162,0.000158958341205,1.57669478411806E-05,0.022532543623521,0.001947122898951,0.019091806081474,1.00205301119277E-05,0.000162971786885,0.000141046594506,0.125434026512513,6.25646925013381E-05,0.000546928290112,2.26803105864923E-06,0.000237179616486,2.69710251405184E-05,3.34715298461831E-05
HE6,9.30407804561866E-06,5.46127801072756E-07,6.26067631441683E-05,2.41271617212858E-06,3.27974186711947E-06,6.55485665459535E-05,0.002593897140635,0.018180149321589,2.9478429358852E-07,2.83146693346947E-06,3.96065835787338E-07,6.73469528546031E-05,7.81151171581145E-05,1.47847578803375E-06,7.7199649874808E-06,6.76468706618459E-06,-5.57652135654993E-09,1.91738108153151E-06,5.36680723783419E-06,3.78525931396045E-06,1.53671797378665E-06,1.52022334429128E-07,0.000270425760955,5.7499401533889E-06,0.000330933120741,1.01914801871712E-07,1.28139695454434E-06,1.63007851330687E-06,0.002721900339121,1.52715452977316E-06,7.48556526877241E-06,1.82525855569967E-08,2.37555724731913E-06,2.0653997929826E-07,2.66493946766623E-07
HE9,0.000719673561297,2.60223077922667E-05,0.006264855118254,8.18610955467541E-05,0.000209082101059,0.002952440551973,0.786395797906408,1.66691087382943,1.89577028843088E-05,0.000241504674226,1.35700936661796E-05,0.005401228802803,0.005811515789814,5.81113353798225E-05,0.000322810590653,0.000512587675112,-6.53634741537538E-07,6.95221929147439E-05,0.000163375299317,0.000262303037747,6.82182601639956E-05,2.83605304291354E-06,0.038780232136107,0.000103548680488,0.009086122236539,8.92288056664557E-06,5.74369513784746E-05,6.99144980292111E-05,0.003570384109287,5.39939723749316E-05,0.000234378146427,3.01556299628514E-07,6.0777858882579E-05,8.96112698675163E-06,8.30055048263279E-06
EEZ48,5.84637696597496E-05,2.29843351472278E-06,0.005618942559661,4.04163070131782E-08,0.000322935484561,5.61110521253512E-05,0.003421286121407,4.43877952661892E-05,2.20391446874009E-08,0.175189272524458,4.89599612009735E-08,0.154943454794524,0.044459363669676,6.11891988996708E-06,7.26181187638018E-06,0.019087935984868,0.000459431701865,0.000325176382991,5.39790351510138E-09,0.000383736442593,4.53400343947831E-09,9.68871183878916E-08,0.00239896671396,1.64373747077461E-05,5.64865907193611E-06,6.0003431155801,7.46477904877788E-07,-1.05348652527285E-06,1.25948348083804E-06,1.24521193069648E-05,5.34207328999684E-06,-1.94372169852133E-08,1.37231717622639E-06,0.000337960574889,5.71198106940694E-09
EEZ65,0.000410285516226,5.38275816905326E-05,0.008324861547467,0.000153215255335,0.000224192728061,0.001751441733582,0.034401909697733,0.017877689063941,8.08617538685802E-05,0.003903253431178,0.000241936964629,0.028075166355361,0.342225020201557,5.69497897443754E-05,0.00022986676636,0.10936584815138,0.023323307352954,0.000140386055697,0.000199468863642,0.000272868265414,7.77005773864976E-05,1.51094188786715E-05,0.016089672115433,0.025414816824147,0.006307516317198,0.000776310476624,0.000122368696375,0.000142599536149,0.004597652490988,4.51322300743459E-05,0.000196901216953,1.55132835662017E-06,0.00022495375405,0.000371855034483,5.90834575943954E-05
EEZ71,0.002581614004605,0.00041980078312,0.063770185777315,0.000642445169519,0.001498506752043,0.010235053906112,0.240192920331994,0.065318894923948,0.000532657739913,0.011990493789455,0.000976716924574,0.243299812864024,1.21200657632304,0.000362312446701,0.001150368023557,0.397734243754532,10.890951025732,0.001329275818096,0.00088620363813,0.003252427031128,0.000416524374522,6.78458897456111E-05,0.108056939077138,0.067198695494867,0.026002971618106,0.002110228291073,0.000597655655541,0.00117807821344,0.018650551014465,0.000298887441434,0.001173428381343,8.8779868209662E-06,0.003283517301042,0.000849045198675,0.000715467904538
EEZ91,8.3315383676476E-05,3.7339952136705E-06,0.001429498763973,8.44316961754713E-07,9.90691594480139E-05,3.51496237716078E-05,0.001043300998072,6.27049906183913E-06,3.30180081924728E-08,0.71482622681015,1.07918547561119E-08,0.04033749025186,0.003130568987038,1.65230373553758E-05,8.99070827207486E-06,0.001710409823665,2.84369816650806E-06,0.000523760055973,2.72094402400063E-07,0.000110118930892,6.30688542240716E-08,1.0107233808172E-07,0.0006868788197,1.45463155553931E-06,1.38153091324862E-05,4.18040733638395,4.14037533327037E-07,9.40386275666198E-07,1.72609887100244E-07,2.16234478861968E-05,6.24808993227916E-06,-4.74341545140369E-08,1.89560068405439E-06,0.001004375480109,1.54982428994919E-07
EEZ99,2.47684358735114E-08,2.97824105959794E-09,5.19390626675007E-06,5.47774071281313E-10,8.14205281117309E-08,2.44160350724301E-08,8.91673701014394E-06,1.83473809499285E-07,1.52325686116791E-09,0.00041860716386,1.35825420598571E-09,0.00060984619858,1.7040479783424E-05,4.83494787501863E-09,6.21063418084451E-09,1.884478053977E-05,-1.25659800748882E-09,1.57362174592172E-07,8.68392093957606E-10,3.35670658330263E-07,8.44565146677633E-10,1.21762655808195E-10,3.36114237170591E-06,6.52554797324745E-09,4.60239321109049E-08,2.90079657599008E-05,1.87297112428623E-09,1.41078609795684E-09,8.92904394371398E-08,4.7487252443788E-09,4.02117207752549E-09,5.00132653114198E-12,1.34582938009674E-09,3.99893609308208E-08,4.18611098994792E-10
EEZ100,5.24860869470309E-07,6.05824253307992E-08,9.91250827059078E-06,1.27758878996393E-07,3.00994189908183E-07,2.11286697470072E-06,5.30340203404318E-05,2.16253307378612E-05,1.3018329702622E-07,6.40300385708896E-06,1.56817198357694E-07,3.34667877545849E-05,0.000903155964676,9.99420250169183E-08,3.71654732553382E-07,0.000371296237902,1.21416829984611E-05,2.99603374268469E-07,2.21783423217435E-07,4.21007647796525E-07,1.24389137400383E-07,1.71856530515348E-08,2.43593957816564E-05,1.55298506840469E-05,7.05524535189445E-06,9.53114369404306E-07,2.03967607066189E-07,1.6034174471471E-07,5.12997140547359E-06,6.95706616745268E-08,2.61845191240573E-07,4.48981303631145E-10,1.95198159875887E-07,2.57464292602044E-07,6.51416729782623E-08
EEZ108,0.000420729072367,0.000104404705261,0.061955104643781,3.10568161815864E-05,0.00076560934969,0.001202664432274,0.104919133339806,0.004770313274814,3.64709001112331E-05,0.07252126167401,2.67553633170366E-05,0.824708408612718,2.08500086625959,5.67509294375881E-05,8.97654864927405E-05,25.5268923161764,0.002676326948799,0.001454992395023,6.80685216324677E-05,0.002566791788998,2.90856013513314E-05,2.48833130238749E-06,0.066870601693924,0.000479499082652,0.001939917709799,0.017097185026203,3.59977985586103E-05,9.07535719142412E-05,0.001136011942173,6.61731370317147E-05,9.9768809049667E-05,2.46572395864294E-07,0.000116013358702,0.000562727914092,1.50542085665034E-05
