,AT,BA,BE,BY,CH,CZ,DE,DK,EE,ES,FI,FR,GB,HR,HU,IE,IS,IT,LT,LU,LV,MD,NL,NO,PL,PT,RO,RS,RU,SE,SI,SK,TR,UA,NOA
HE8,4.13929197041412E-05,1.49880118628634E-05,0.000136621485833,0.000882226718674,2.34710452587682E-05,0.000332142925017,0.003377264114966,0.00148704554851,0.001848258798328,1.50980119770932E-05,0.038920043805492,0.000179345092109,0.000367911686047,1.03915530225082E-05,9.80078672679691E-05,3.99016999045232E-05,2.35158714157802E-08,9.47743593294337E-06,0.001518208537525,1.23653685931359E-05,0.001417349487316,1.89250645947246E-05,0.000409276423083,0.000455008368982,0.004512772953932,5.65520133100508E-07,7.90405214326712E-05,3.40266661176276E-05,0.000272872126541,0.015323056334077,8.7719371772798E-06,6.63266354201312E-05,1.26317583791873E-06,0.000307095045325,7.29889517360096E-06
HE5,0.038201061305109,0.005681902647925,0.100249623689764,0.156652873491669,0.012502894557553,0.233697031074078,4.22610398186796,3.19306331571533,0.067554626789922,0.008164689880324,0.070461438572834,0.105317976388969,0.128208603220434,0.009522577810763,0.063326688305176,0.011712708814844,-1.17939030710946E-05,0.010204120072939,0.628208355072193,0.007345074838253,0.252324376536609,0.003219264838791,0.374315830630196,0.05531438632675,4.79155791142691,0.000389149973361,0.019048197158334,0.01244092616729,0.047983990857552,6.36846558815275,0.008708260638945,0.045742099731597,0.000185820675943,0.055922853887117,0.001745419136278
HE1,5.42552792835993E-05,1.32838326153753E-05,6.28216410596637E-05,0.001047323541871,1.37475966512429E-05,0.000263057353317,0.001171603271832,0.000576929856668,0.001286243620912,1.56135090061135E-05,0.26132602500352,0.000101766349763,0.000219258853268,5.94279909734853E-06,5.73052059448995E-05,2.23177724474711E-05,1.39819071028204E-07,9.44382219130074E-06,0.000769194147762,5.16858092408814E-06,0.000701140411817,1.12936322904724E-05,0.000140988647443,0.00138325958902,0.002893838578152,7.1776254254862E-07,4.82193910398209E-05,2.7946731822731E-05,0.000739167917235,0.024623903307693,6.9978905427096E-06,6.02263790112624E-05,2.08910466182138E-06,0.000376507350498,1.46470889474726E-05
HE2,0.000456752066019,0.00010807808947,0.000711050390018,0.008726030335429,0.000236298782044,0.001781767024461,0.013825557135588,0.011205672869343,0.00624876794994,0.000115976595658,0.217648994705269,0.001179368580114,0.002448953504541,7.36327875336474E-05,0.000750185125568,0.00030463818347,3.0683005469208E-07,0.000194864437926,0.008710586918876,4.31016527174158E-05,0.007465613576052,0.000164256756846,0.002011722792467,0.012066623038884,0.026086077632451,5.33341692533909E-06,0.000599326046605,0.000224356638216,0.003832343382472,0.304264024227513,6.68786943530073E-05,0.000605579324465,1.29397721666881E-05,0.003034606797743,0.000129498190793
HE3,0.000240388246802,5.95129477532216E-05,0.000650680673654,0.013105559120677,7.39110997889672E-05,0.001292247901326,0.010484367759696,0.003580758692428,0.386610398867431,7.10101821021704E-05,0.08705616765297,0.000594589479133,0.001068449220833,4.91923867193552E-05,0.000365301197183,0.00010756785707,1.48226920207056E-07,8.16049516081629E-05,0.012924030717722,3.35127685521675E-05,0.022460187500909,0.000128050223297,0.001667915827,0.000960580261064,0.016300017768498,2.5327039516375E-06,0.000522505657694,0.000163865740653,0.015252115393978,0.015496506499212,5.27835205801551E-05,0.00027387242555,1.21155679685782E-05,0.003353588063207,1.95136718021333E-05
HE4,0.000277565487661,4.56618677520933E-05,0.00037504229265,0.006064951765636,6.36922446623448E-05,0.001348103712883,0.008172166801664,0.004691740667199,0.043735336653977,3.54487760853012E-05,0.002138237565907,0.0004641538211,0.000751913458925,5.83427945458279E-05,0.00037364923274,6.81216361138351E-05,9.3385639395298E-08,8.68767688058296E-05,0.031630017098647,3.93207545093096E-05,0.135675193677627,8.00743578081936E-05,0.000990921176271,0.000427574597189,0.017308459186288,1.33637057209994E-06,0.00032433120101,9.87517059946932E-05,0.000467499878097,0.012373276175574,6.74444240944271E-05,0.000274439469876,3.06317208515856E-06,0.000859015174753,8.39746283101232E-06
HE7,0.00040421450918,4.8715394663069E-05,0.006504325915573,0.000182550388986,0.00024460719663,0.003568214044285,0.105777943333896,2.72011997851778,3.30646061161871E-05,0.000388000004051,4.57038853775611E-05,0.005784485757552,0.012692861471513,6.86700288564032E-05,0.000591246700606,0.001003647970399,-8.19993000395592E-07,0.000109157024948,0.000223695001529,0.000270670575968,0.00010063921264,7.50150269516944E-06,0.022881348513461,0.002116429640103,0.013866958844055,1.41892913678885E-05,0.00014209074835,0.000113129781056,7.06849700182815E-05,0.094313001687802,5.5582251653874E-05,0.000478164175493,9.68734340815218E-07,0.00016189568167,5.25668936222929E-05
HE6,7.05149095305471E-06,7.15354867129645E-07,6.00647184749255E-05,2.00336884968673E-06,3.96572537260276E-06,5.42316370902648E-05,0.002320382849572,0.019807308027056,3.26183047784027E-07,3.93069538112487E-06,3.43310149878778E-07,6.4857947091208E-05,8.5129456908328E-05,1.35443525203383E-06,7.8525457515889E-06,6.6288239645351E-06,-1.45190614486793E-08,2.81663366311041E-06,4.35242036810023E-06,4.10901787620712E-06,1.69015268087654E-06,7.86245268664833E-08,0.000264225053573,6.39360021938705E-06,0.000207963330268,1.54033384640153E-07,1.0508038719166E-06,1.25384680256159E-06,9.80591343207064E-07,0.002033087996663,1.20029924938458E-06,6.00661350400132E-06,1.14404058592249E-08,1.42931886106567E-06,3.94534189153969E-07
HE9,0.000530830586029,4.32764013707935E-05,0.006424107006317,8.27039708144812E-05,0.000212837026316,0.002803678835623,0.699892402727103,1.68664183218747,1.87286151391872E-05,0.00029020625165,1.17965412777349E-05,0.005157822856771,0.006279496728694,5.43580844493046E-05,0.000343480087189,0.000526536915616,-1.50381713276774E-06,9.74655612237963E-05,0.00015769197959,0.000274619673273,6.79292450446758E-05,1.71787584640495E-06,0.03884507415203,0.000137688986762,0.006331969346336,1.34882482619266E-05,5.78093535773094E-05,7.43411516675711E-05,3.12548830672397E-05,0.002743032904583,5.27861688861666E-05,0.000225666258376,2.14659789974143E-07,4.27327264449702E-05,1.75222053387274E-05
EEZ48,0.000138486719434,5.22182118268367E-06,0.00645562609054,4.86085784091638E-08,0.000471472784318,0.000218296518888,0.004611878463069,6.04043397386204E-05,4.48982061727009E-08,0.397767150418491,1.67511311097629E-07,0.12989617900388,0.042531449844589,2.07767678256166E-05,3.04458076863755E-05,0.02021617968402,0.000751892557841,0.0012204222725,1.45183823373115E-08,0.000547470118892,1.06541927534412E-08,2.0263326840799E-07,0.001930423081959,3.33642736877574E-05,1.42218448104233E-05,1.72877199286301,1.97687682232516E-06,-2.01245517891214E-06,1.25764434105488E-07,2.05602260408845E-06,5.36248724848445E-05,1.76085742507765E-05,-8.92908708184644E-08,2.61477646241557E-06,0.000183376566957
