	AL	AM	AT	AZ	BA	BE	BG	BY	CH	CY	CZ	DE	DK	EE	ES	FI	FR	GB	GE	GR	HR	HU	IE	IS	IT	KG	KZ	LT	LU	LV	MD	ME	MK	MT	NL	NO	PL	PT	RO	RS	RU	SE	SI	SK	TJ	TM	TR	UA	UZ	ATL	BAS	BLS	MED	NOS	AST	NOA	BIC	DMS	VOL	SUM	EXC	EU
AL	57.7773400296108	0.00149033831117305	0.527108571627816	0.00734735816219002	0.69979672117073	0.0439560597828436	0.547754051768934	0.187881152760545	0.173617087299413	0.00216546464085166	0.562501639699912	1.00533247716701	0.0495252317953166	0.00782376330009095	4.6296232941236	0.00648564737964055	1.45867728572773	0.0968321051950892	0.00726343318163165	7.05968634948284	1.01743745149353	1.6600714027915	0.0312493564640651	0.00044250000053144	14.1642227241115	3.56043262170648e-05	0.0110832949591592	0.0338032892914984	0.0046060134070466	0.0145810500783569	0.0800416696902234	1.87537529536969	1.27005996211178	0.073033118276961	0.0914956223926398	0.00249418375522047	0.722437051382136	0.293433639598832	1.27892202539442	11.2572209855728	0.72343816088187	0.013767292237759	0.24116468953477	0.487558996580934	9.03306211408583e-05	0.00315232618034368	0.779820005073386	0.944806153120704	0.0080939543243828	0	0	0	0	0	0.01503582265683	2.50837874365575	0	0	0	114.459560777524	111.936146411276	36.0284236854075
AM	0.0217090679911469	29.9834963972109	0.00677228774021653	15.2978962141708	0.0104823742830111	0.00240114967331542	0.0595722507388619	0.0416281919871774	0.00404642040526206	0.369996934848383	0.00864128818682991	0.0307178100148158	0.00666262810369222	0.00174195635727325	0.137884539096745	0.00367101713980493	0.0442515044652244	0.00546499305314229	5.8716578681384	0.289283049080263	0.0167798631812375	0.0206105073593152	0.00199623794873977	0.000225297413427686	0.197291279666447	0.0001377746950676	0.111796883586486	0.00526963474240492	0.000230053644093619	0.00232257743223568	0.0194553879375417	0.00606551988369793	0.0170706012069096	0.00221981544838616	0.00517287515878555	0.00168226564596321	0.0331378630165921	0.00967444931439727	0.150171368458764	0.105956523430276	1.89783873125115	0.00631000170038066	0.00402713331288466	0.00652824586537065	0.000274403573822478	0.377741784991818	57.1741956692416	0.257465721979578	0.247701974539862	0	0	0	0	0	20.8432622819112	0.356308732253536	0	0	0	134.076899402477	112.877328990442	1.42333831513503
AT	0.128033021083223	0.0031539570131733	256.042196234252	0.0126417732759764	0.583274324655952	2.56558699133599	0.329058059816971	0.960640290648378	19.8591878940702	0.000412754730539118	32.0737896823645	130.326771677919	1.42994720423197	0.0271891738761442	6.58807120115392	0.0402175681916634	17.8794559478782	2.58411025934116	0.0147928197245464	0.260213470336647	5.85670462610027	10.769141568681	0.495909206311938	0.00603722435851853	58.4401574219857	2.25508881736915e-05	0.0194269764712215	0.263023346279805	0.411692668231243	0.0721219350540228	0.149812446067015	0.0689668468424927	0.137965355940375	0.00953258326818397	3.75645001560233	0.0656632838502807	12.0843643932192	0.387697946211042	1.98825492664367	3.40919621824194	1.48752170458229	0.364795543709513	13.5556418722034	4.93666731925854	1.38446455307561e-05	0.00480234068167113	0.216761218507352	2.21183021727514	0.0133344925164438	0	0	0	0	0	0.0229754788401498	1.41999939579518	0	0	0	594.335229274164	592.892238573545	560.955065626426
AZ	0.0309531196963818	8.28474574648243	0.0218055638929408	156.092672351859	0.0220037810553184	0.00606097344606536	0.128173398271791	0.1873384843054	0.00924921763578523	0.424203836621091	0.0284066663977102	0.103823573276477	0.0297949427870268	0.00680723219739872	0.172536629663487	0.015748794544893	0.0644991831860853	0.0178813889081357	17.755460314282	0.363381802221134	0.0391269147157988	0.0659047564215654	0.00511159625589889	0.000610547142557994	0.264747944536265	0.00310627028898752	0.713623521185861	0.0261942283324202	0.000510530647296673	0.00903637744055792	0.0667536973643059	0.0102319147435571	0.0277398495316657	0.00241925261565389	0.0149653445221985	0.00590862671343602	0.162667313588781	0.0119612262015498	0.411135625818264	0.223996330417531	20.1423761341818	0.0239241221483782	0.0111764027955698	0.0214589114838251	0.00787830804647244	2.71236133587682	46.7494200017568	1.28909285866285	1.72884282778407	0	0	0	0	0	45.7113402785226	0.484000629839592	0	0	0	304.713170680314	258.517831438981	2.43558313634492
BA	1.47000207680198	0.00878423889312032	4.70834846349306	0.0297476118915416	44.4323361157783	0.214061664023742	1.00418749550374	0.991086171127967	0.576740051541487	0.00112307454979033	6.4400886001196	7.62378931281592	0.246644724536969	0.0209580297510073	9.00792641843728	0.0313599296086376	3.12387278928535	0.291073607043539	0.0663117133575842	1.2873095394723	24.5564614210684	18.8436962408592	0.0749288773264077	0.00132331425136622	35.9790088195539	6.52014033182708e-05	0.0530049263217165	0.132944013035701	0.0248608732137476	0.0476549199223218	0.291048394665086	2.45059210771718	0.377827714574693	0.0534834010920133	0.537849867461417	0.0165786982647728	5.17735674802868	0.590478510841611	6.07343288293988	28.1724392198018	2.8763754541946	0.0687834878180179	1.57627531536488	4.42933347718	8.65768717481908e-05	0.0110957185757558	0.67794319850704	3.98021837635143	0.0329931663190521	0	0	0	0	0	0.0440054734312117	3.9216698868423	0	0	0	222.649567911832	218.683893762618	131.87621925283
BE	0.000671448139146338	0.000216937946977937	0.683467255135152	0.000801298767269244	0.00646352967729145	224.15446651552	0.00118315708022276	0.1659022502232	0.729240920188075	6.23911605435276e-05	1.15208624732627	22.3435854767364	0.549307502736153	0.0103788262682535	4.86711736965679	0.0205133346744416	105.46755109268	19.3104294044793	0.000942042584387948	0.00118996016118365	0.0618071290228339	0.191473358488859	3.05083387967391	0.00544226315798984	0.973183404059455	1.69414289195928e-06	0.000776681320313394	0.0660766358761981	3.24144808451371	0.0228475217282808	0.00808215298633358	0.000289025892627643	0.000295732531257748	0.000995214814260458	38.5781422419356	0.0498059787252334	1.83614186177916	0.371388128506441	0.0433352754039841	0.0330319317135827	0.215188175384012	0.1197218633942	0.0738742560564398	0.1261766945184	5.6159700861455e-07	0.000449413665434633	0.00717253932585395	0.240708296639447	0.000912966766729415	0	0	0	0	0	0.00134998268793653	0.251676205597079	0	0	0	429.038206113046	428.78517434753	408.008351492103
BG	4.23449398340881	0.0332516118981051	1.70579694864261	0.235780346626757	1.55765258625194	0.186705975896026	148.333596366635	2.59071251721822	0.286033440491508	0.0346743919963981	2.67734875440433	4.85618829727284	0.386327895578317	0.0649186165318652	6.90992631072815	0.113334566012516	1.60750545598428	0.304592572200266	0.405253988477251	28.5606676524519	2.27292522464347	9.00102776835769	0.0647473979468715	0.00216720512278569	14.8957996945174	0.000496331501439031	0.306125492464856	0.435356569137801	0.0178055045130509	0.163793047007111	4.87312073850422	1.27970723185113	9.791295829328	0.0532717551851819	0.518737496479916	0.034873870484107	5.29380500938062	0.439295359163622	85.2582538429378	42.2663073162622	33.1650181065378	0.203286621064919	0.503888622562754	2.32483750244922	0.00118929268902048	0.0936892360326376	24.4274623977693	23.5030119489879	0.118127350736282	0	0	0	0	0	0.418208965399225	4.12156559315149	0	0	0	470.933960600877	466.394185935846	316.883822526082
BY	0.260518397301951	0.0418117167001827	2.97172350878988	0.288328298380788	0.591139341240301	2.49822625807948	1.5678739019324	343.405079260659	1.33642699696331	0.0205459094545342	10.7544729106138	41.0098190863952	7.26857086436496	0.984239948140404	3.53031370147817	1.63740790123444	10.5889323331817	5.52635691098408	0.343235459643913	1.45716788814446	2.36858649255324	9.37164496656548	1.50677856660557	0.0147287551023173	6.67279898716289	0.00065225525270563	0.490142444922976	20.2602046135455	0.221871221887592	4.25610682635882	6.91138361141267	0.144062016599534	0.345943305213038	0.00477196809434516	6.40428039555879	0.639311728274769	137.987969205763	0.340737815453903	20.1441689353045	5.9629874943871	98.2318563963293	4.0864838679669	1.11325938149974	5.18219570846952	0.000369604448858527	0.186488576883823	7.7215749696379	113.910343132346	0.300385699233561	0	0	0	0	0	0.407304995303942	0.648023383402979	0	0	0	891.919607915224	890.86428008413	304.211153249601
CH	0.00475488337741652	0.000524871991851887	4.02013318089116	0.00142178313360001	0.0077495406807763	1.54989543845912	0.00237991347308507	0.0826868262885874	278.981480308064	6.0021940620505e-05	1.19402220639604	34.7325126787036	0.32608302604553	0.00453390233269717	10.4974690011907	0.00676852703501105	40.9668415260151	2.31977345196349	0.00111899504661448	0.0108388212311495	0.123895814005259	0.116988165626328	0.431826793053057	0.0021671119680509	39.6275609928175	3.76184988608518e-06	0.000642674398517244	0.045904492922976	0.242810910946545	0.01455887439033	0.00173172013585991	0.00158020650210725	0.00105553188000364	0.00568278095541867	1.62330319245552	0.0128226406286591	0.973754462138402	0.567841796507293	0.0184728737257775	0.0214211026852162	0.0689283941688302	0.0501558184601705	0.208027943243656	0.0783717455300252	4.38886164594272e-06	0.000332255042854554	0.00989139835008006	0.0705501618955173	0.000638192549683746	0	0	0	0	0	0.00202893072234713	1.11402529109049	0	0	0	420.148029323768	419.031967927617	137.4406942223
CY	0.0272862966898785	0.00111092562383263	0.00906710865612048	0.00666070508283435	0.0067154381667012	0.00323791393851018	0.0832570340311229	0.0120081711399465	0.00612663221532568	15.541754254086	0.0088101525251053	0.0242381786379685	0.0022360089689633	0.000373080970583744	0.182562974879214	0.000776394363216155	0.0620295884487295	0.00458458564406204	0.00871685092772426	0.493940962625447	0.0117163169597811	0.0182577497448244	0.00161470339474035	1.68471503991662e-05	0.25253018957449	4.46911099023748e-06	0.00306932770088769	0.00177111127823537	0.00027160970575285	0.000773324942032533	0.0197649431644029	0.0049156516307821	0.0246456246855306	0.00489946115459023	0.00428454846926221	0.000235301647073462	0.0170650391137054	0.00811819598654393	0.125151342284413	0.0719876298094675	0.27562620012448	0.0011998169661362	0.00414804965999971	0.00578279311474504	1.26757856974854e-05	0.00172178389589228	7.10032940289205	0.133864655534212	0.000594467147577343	0	0	0	0	0	0.815195286354582	0.737178499252325	0	0	0	26.1322402758569	24.5798665489089	16.8698682386943
