	AL	AM	AT	AZ	BA	BE	BG	BY	CH	CY	CZ	DE	DK	EE	ES	FI	FR	GB	GE	GR	HR	HU	IE	IS	IT	KG	KZ	LT	LU	LV	MD	ME	MK	MT	NL	NO	PL	PT	RO	RS	RU	SE	SI	SK	TJ	TM	TR	UA	UZ	ATL	BAS	BLS	MED	NOS	AST	NOA	BIC	DMS	VOL	SUM	EXC	EU
AL	60.1139911538848	0.000973639916436764	0.48733506442677	0.0111737063588081	0.752425736745419	0.093269003068059	1.02679546986464	0.140531083555055	0.161965293171922	0.0100120832799476	0.298841704434866	1.35798208865093	0.0467042234418861	0.00347971681100394	2.59662937132939	0.00813908057730174	1.38108971983904	0.183222167256307	0.0133591147009313	6.70568162971364	0.704710940193486	0.884353109909149	0.0400554496995307	0.000221052881722039	8.65359424525782	1.1089433886341e-06	0.0117252385601432	0.033738429624679	0.00783873898835633	0.0102837101762446	0.164360325915415	1.21640209545358	1.36053805686429	0.0460565426080685	0.133146849847012	0.00860462469429195	0.541100113111882	0.132050891617784	2.54880211545619	10.7951029842318	0.435239830793004	0.0208068091432807	0.189238755143653	0.207749765168922	6.9210237084035e-07	0.0115632828904005	1.23066954613247	0.840992587535921	0.0152176008316981	0	0	0	0	0	0.0227531760176275	1.89271856150657	0	0	0	107.553238282328	105.637763265147	28.1694856627196
AM	0.00671555157300289	42.4318104546465	0.00779410293031729	21.2867143082123	0.00408672843863421	0.00304599083248296	0.036700921499993	0.0472161306655366	0.00657493100047566	0.268477785325138	0.00962939926524752	0.0461013522311397	0.00684787886652116	0.00126520245297735	0.160564549323905	0.00366248758221243	0.0484204007958551	0.00704262785832651	5.39538142306566	0.115621711876765	0.00728134486843386	0.0181346979410727	0.00222298995224242	3.40562228270993e-05	0.09994599852021	0.000186186236539599	0.109632144204897	0.0132057979490155	0.000271992695162943	0.00365884432102182	0.0234485156123727	0.00123350262306304	0.0068178566449934	0.00154130912063768	0.00639208669729961	0.00185791054175185	0.0671595560449861	0.0103370777404031	0.158956190254945	0.0362903511970963	1.4301383030401	0.00523762127522123	0.00350634807137984	0.00722888224347984	0.000482268659821243	1.04585653380165	44.6407359350914	0.330764264040058	0.526125922942194	0	0	0	0	0	24.2127279202247	0.719941425083928	0	0	0	143.385027772306	118.452358983556	1.11321252112529
AT	0.135147307516535	0.00225402902260358	257.759826811751	0.0188731295009932	0.741659147941234	2.75554047384175	0.449322822638716	1.51818011546864	20.8418477229342	0.000324442002518226	27.7192203809358	134.21109356125	1.34183460621088	0.109131360557571	6.53598669408759	0.243380553950443	22.1506692372197	3.66001175232948	0.0203106362757147	0.231939665693049	5.1783498420492	10.2789488231922	0.883723023321985	0.00498797238473056	54.2614133283064	2.01602092113801e-06	0.151497806255246	0.449649475246474	0.417118292070051	0.172133273129883	0.19729539321789	0.0447951936812815	0.117513132362713	0.00949267642125646	5.04399089193947	0.203637692962971	12.4755792044841	0.385082192810427	3.03161938999419	3.98327000529871	3.46826271035537	0.553768697314738	12.1767887973392	4.413094541942	2.10609485382392e-06	0.0223514902399954	0.163688594979273	3.24242158669421	0.0493016310517722	0	0	0	0	0	0.0261716159269446	1.75116371735996	0	0	0	603.603669565576	601.826331352097	563.23902386444
AZ	0.0114183125148063	12.2895195471081	0.0280339583688844	254.53592553106	0.0086863671799573	0.00879865290009414	0.084600400623961	0.246199719505786	0.0167370004710741	0.387784851238219	0.0405298949104216	0.191481018777397	0.0308294753540911	0.00622240121762493	0.217116660133225	0.0210299920413011	0.119252182817885	0.03185477856357	17.0035104579276	0.174131350559875	0.0177542026018022	0.0588245510820699	0.00969893692732602	0.000148903152713721	0.160693706710508	0.0185286527010825	0.774603333820901	0.05832355052208	0.000780981546751028	0.017567466829059	0.0741849732583441	0.00246582868056895	0.0120627734182861	0.00224679431224129	0.0258033116847941	0.00865305298721774	0.273141061237343	0.0131460893996226	0.434338909158392	0.0836276151965532	18.6380287218027	0.0274849626083305	0.00897473242952892	0.0240947166671828	0.0408515347998528	7.33058294498841	42.8097340934223	1.40463121588003	3.25360168623753	0	0	0	0	0	68.8321304121698	1.08754147247242	0	0	0	430.957913741979	361.03824294818	2.44268481385798
BA	1.23342361874713	0.0029494208883327	4.65148913999426	0.0356338707038066	57.1188298356189	0.337621891694149	1.2093180965675	0.831223928121057	0.813016064641896	0.00280808811067217	4.19812733871544	9.22799793794925	0.412038467974179	0.075955342543603	3.7006042730963	0.162556943124104	2.87814049003333	0.54672850922599	0.0252869887614076	0.990897951533851	21.6415283203356	13.3867662698502	0.0955286806919833	0.00164430743154696	22.5885741674727	3.60669080962805e-06	0.0879395488827672	0.160558872385386	0.0385432960416781	0.0855931289857215	0.330833678068767	1.64545201022815	0.388620680779513	0.0267345854594069	0.672511967959801	0.105500969936196	3.28082359871608	0.219260626727609	9.05075099246929	31.0923750609001	2.53957320952108	0.245842565496758	1.53796706379874	2.600569830197	2.42483225789314e-06	0.0382137007036757	0.838440060235996	2.91295454921319	0.068476693636008	0	0	0	0	0	0.0412958601245673	2.23992510991476	0	0	0	206.417453635732	204.13622739657	103.479109813594
BE	0.0134379122284251	2.34558533679765e-05	0.841758393574741	0.00019738353794844	0.0122007558340457	161.829859706967	0.0220105062108147	0.060630315275789	1.04343305613892	9.75256580669437e-06	0.694070930201301	26.3746497800269	0.545557500179299	0.0143430195402234	4.09142670385735	0.0159487488865943	91.6455371454211	15.5379948983768	0.000417903991919888	0.0203485909647634	0.0562192215056317	0.172230806841526	3.03137084670759	0.00297704223893161	0.973313477874563	4.24280963321954e-07	0.00041829579997722	0.0671240695988772	3.26562308328203	0.025257485843373	0.00496804513840931	0.00194700757411485	0.00457987632485253	0.000484033088051312	27.5307626133246	0.0538498054585567	1.10654337886188	0.277873765596012	0.0669242605204799	0.0955789118755953	0.139519605981436	0.118204203875052	0.0713536212700396	0.100737061808154	7.82423640552935e-07	7.51014955193318e-05	0.00958557933705226	0.0719996695766008	0.000147488681029944	0	0	0	0	0	0.000124733829141643	0.249043669750778	0	0	0	340.262694429397	340.013523319234	322.959542916659
BG	3.24976094918622	0.0262891711594527	1.91012460269582	0.25086571345856	1.32379643714345	0.323812385823334	133.208966061735	2.53320129674024	0.364475216948144	0.142267263168602	2.35833495286914	6.65155216768662	0.403220403096896	0.0719309889157425	3.30215067498187	0.153561179613027	1.88442291030849	0.661022887216668	0.356409114625081	19.9265942375259	1.66740393722345	6.99226095770984	0.149220675094236	0.00166687894020338	8.91835685352135	0.000172699292782271	0.273529147728794	0.458845292474156	0.0361010681114114	0.156700268750668	4.6106031536579	0.516813251005539	6.07635227856668	0.0244885442263697	0.76621480413038	0.08853199206091	5.88304579901945	0.179380694946495	84.5305056489199	31.3440392594125	15.8599503028581	0.269471956763442	0.453565135875393	1.9816243490864	0.000144288701724782	0.203080223528424	32.306927649976	21.214432593548	0.276899198309763	0	0	0	0	0	0.905097761014645	2.66741471349426	0	0	0	407.915599992848	404.343086601797	282.804124128187
BY	0.326192942174755	0.0442172592464315	3.47932154535669	0.301498346655139	1.04849937727344	1.67397957168239	2.11102059124203	379.851014595812	1.05977121886841	0.0570211393147203	7.89261792934779	37.8829695255318	7.11211993548575	1.45629263293842	3.14924087200888	2.24048143901187	10.402331527442	4.05325038112	0.504346735983975	1.32250989770571	2.5508880012704	9.41433785577685	0.820053598996468	0.00812798871525828	7.41718341410421	0.0016556768225906	0.827095365415543	23.7049275433996	0.182345457792383	5.50491345654805	6.51960472636587	0.143593338848865	0.295601936650219	0.0109413855799717	4.30036618101329	0.876589283611698	112.283958432435	0.162333587721255	24.7015706056394	8.24656435760153	79.7885908638525	4.12453528801721	1.28659923072259	4.81909996197935	0.00152760260065067	0.372576648313122	14.4302169357952	110.449974130084	0.338485872372559	0	0	0	0	0	0.701577378322772	0.927666886223846	0	0	0	891.182200456794	889.552956282387	280.063960336129
CH	0.027198127619608	7.48279191589556e-05	3.573363043939	0.000664713071668637	0.0316627482997995	1.56888721623513	0.0351389997571909	0.0608302525063744	253.697134682596	3.9972883252281e-05	0.835394559374679	31.2134496615147	0.143768932946373	0.00734643356548229	11.2061396456111	0.0121347795522915	38.4681993350331	1.94921366544169	0.00106495610957751	0.061685361638761	0.148175416793347	0.205397437187022	0.613416595425178	0.00148426962804585	26.48701785217	1.23148879284571e-07	0.0015207691038911	0.0473478115974918	0.227393632020634	0.0159698503429097	0.0103593976960197	0.00562309385086115	0.0115632285621212	0.00997757100336438	1.76718025039193	0.0259617636231663	0.925714299882204	0.620798181685627	0.123858438129033	0.152966168027264	0.132347286163417	0.0578111321855074	0.186664001351459	0.151193415682094	1.59865879727211e-07	0.000317962797000985	0.0273256195254585	0.114454035072133	0.000708476148389057	0	0	0	0	0	0.000460953040742877	1.83700586523626	0	0	0	376.803406972952	374.965940559911	118.71346316269
CY	0.0217630653410001	0.00117224954153004	0.0192737715081852	0.00395203689599442	0.00937373269419539	0.00235663487610017	0.05655350730091	0.0173117276666506	0.00818055318223289	15.3290906892049	0.01534615611628	0.072277970588432	0.00313051224368058	0.000504838722948865	0.129938792224302	0.00135421826800084	0.0467445763530905	0.00847672557420218	0.00626414485262565	0.348539448566074	0.0135973991303439	0.0243555365144049	0.00154294407718214	1.5678625995637e-05	0.174639974487716	1.00176930701641e-06	0.00112854389582409	0.00339108047574725	0.000183020825030386	0.00128557350360725	0.0165802684759962	0.00313043145705857	0.0196697309983583	0.0032806890448712	0.0110756342401173	0.000544287840034176	0.0379003702571373	0.0074822961048282	0.120358532719615	0.0812159228141	0.206487457744432	0.00171911577867149	0.00504780463233211	0.00777168963903262	1.85321015795637e-06	0.00162958062662482	5.20736555664294	0.150566173642561	0.00135597247915869	0	0	0	0	0	1.09236878040169	1.43833219737126	0	0	0	24.7356304511475	22.2049291953615	16.4387426562689
CZ	0.0905514806488573	0.00174912891725942	24.8949478539882	0.0119388169972083	0.660366501064027	3.67016517086076	0.519665158879666	1.46266505508172	4.85558276048873	0.000353683714799123	224.647776524228	123.737887960582	2.36603338788511	0.15479700043653	4.71534807103652	0.329673753351823	22.1087768217937	4.48027638003491	0.0199920992242299	0.195170987493241	4.11084358428001	11.6219545954399	0.894970705671239	0.00657827099048919	10.2597945197549	3.09998092660948e-06	0.0829205010488599	0.753904770311759	0.509596869824169	0.299387410189718	0.226479865466476	0.0388611942243523	0.108722406168085	0.0034036294519929	7.62158306185252	0.315653380862095	31.3406981575199	0.276213304742558	3.96119377930958	4.62150719357419	3.54073381633512	1.01011369635722	4.17305465600155	9.67877201624215	3.37110085709262e-06	0.00715684364005485	0.209633444790712	3.38168784951646	0.0261028902447375	0	0	0	0	0	0.00935287694807503	0.537338414253879	0	0	0	518.551938772802	518.005241549757	493.856079967289
