	AL	AM	AT	AZ	BA	BE	BG	BY	CH	CY	CZ	DE	DK	EE	ES	FI	FR	GB	GE	GR	HR	HU	IE	IS	IT	KG	KZ	LT	LU	LV	MD	ME	MK	MT	NL	NO	PL	PT	RO	RS	RU	SE	SI	SK	TJ	TM	TR	UA	UZ	ATL	BAS	BLS	MED	NOS	AST	NOA	BIC	DMS	VOL	EXC	EU
AL	40.1278266505883	0.00418551259509582	0.783704806932739	0.0228435038112214	1.88498537895884	0.0692634719454091	1.78854281195122	0.274897908439926	0.162357465239235	0.00578748888139286	1.01148558755014	1.8423529508929	0.149176001730756	0.0110590318102464	1.28107327083617	0.0116129329915224	0.771192318444408	0.142703090038881	0.0186695249076468	5.59330187157625	1.23417197323693	3.0622479083216	0.0400137585553277	0.00121805001744867	6.32247004424833	1.30647035923528e-05	0.0101286128741728	0.0749414456893858	0.0090095210099683	0.0258491872753944	0.191588274962595	1.87151037465898	2.853602789865	0.0214927328978448	0.162451187773132	0.0249066853804532	2.03434970484795	0.0705322691918447	3.74372388444069	21.7747509301069	0.636416268144375	0.0787385763635129	0.207091321179516	0.710293919389399	1.40164566186579e-05	0.00237533274216509	1.23075534355802	1.26853767810123	0.0115777233891548	0	0	0	0	0	0.0535382662540016	0.939702548111147	0	0	0	103.631792095206	31.115930114709
AM	0.0323812003660778	37.9896015801322	0.0195717249647307	24.0598027992471	0.0211395165618449	0.00407325332826909	0.0810908456235534	0.058728665289024	0.00750823479525872	0.117274792050636	0.0158481926400777	0.0597481509693381	0.00715754308768062	0.00171193588119512	0.122780129381012	0.00530602052480702	0.0302714244694831	0.00899192452221173	5.15541503567285	0.135083197891249	0.016721450323506	0.0382640059707042	0.00316611474123976	0.000279526962782931	0.138788498175515	0.0015038344304919	0.139391592726696	0.0147848477279536	0.000553847237221596	0.00434869774508478	0.021726550610252	0.00622883315681301	0.0166440318300473	0.00103999315775274	0.00735269318948237	0.00324433363453444	0.0758406439999798	0.00882669421967903	0.228498574419713	0.104049731538173	1.68035405708721	0.00782200406861373	0.00537751952309786	0.0101178586919792	0.0015228369493172	0.628337672584991	38.4967263600092	0.284590890204677	0.461834903412853	0	0	0	0	0	23.4357810142815	0.52222453138835	0	0	0	110.341425010699	1.16142065209906
AT	0.0194275674290841	0.00338092699315777	29.275093229023	0.0140493180238435	0.524817441545792	0.449829504679961	0.106019173959769	0.181949353968794	2.05019941156137	7.73583087083591e-05	4.82566049104771	14.7311294465034	0.253220990422317	0.00820822158998225	0.453960991277498	0.0228794666025133	2.5730424808716	0.432527522389026	0.0170319691349782	0.022841374279635	2.15912060783827	3.5482146456427	0.0911270650053832	0.00121215941563173	7.08717909148482	3.98049188110921e-06	0.00395598578207591	0.0524563930274082	0.0734081950469013	0.0183469874300971	0.0668986652517232	0.0110447574896279	0.0134195342497431	0.000884567639696751	0.584517142840371	0.0384812722332677	2.68072045360459	0.0222474796316993	1.07363130061877	1.34648935477752	0.64707352417799	0.107151887844647	3.54800724695448	0.996698995416975	2.36581242866574e-06	0.00155329105195597	0.183381504401789	0.657462750528957	0.00782612079596588	0	0	0	0	0	0.00506693720900718	0.159429070097344	0	0	0	80.9878629178776	74.7656748747633
AZ	0.0220602002185189	5.41280577069878	0.0225683913795697	94.3400835018453	0.0194792762726834	0.00669147312751689	0.0780899173679267	0.107661601729142	0.00816246223123368	0.0515096095885853	0.0228057575980947	0.0880089814823198	0.0104672939150256	0.00404634866161912	0.0696195800513362	0.0116612154475519	0.0303769893269908	0.0143184835923331	5.73935306893378	0.0897646804646454	0.0175421390478647	0.0471718839048749	0.00413063799301734	0.000786291040024718	0.100559747299744	0.00760285133503009	0.655625517750712	0.0203961011687582	0.000612189124183059	0.00743889049316075	0.027619965532921	0.00492463850473863	0.0132069250437069	0.000641278162957183	0.0125744458391949	0.00590429695072834	0.12897118494629	0.00536986866400705	0.217866614002789	0.0970850872669167	8.62561256116909	0.0116426313464557	0.00648167890301649	0.0138810519113669	0.00670297384301794	2.87511866272639	13.4335742763727	0.585326798600907	1.98740058557111	0	0	0	0	0	26.1194995933628	0.300576319174359	0	0	0	135.071306582156	1.08089058037722
BA	0.587902006069227	0.00944132121162205	2.23633735021094	0.0487840958963979	39.4325090373103	0.179769802201263	0.857599523021439	0.223870569949276	0.366243928096873	0.00116964773091041	2.17737980994213	4.33867917737588	0.276222725147197	0.0141951195602311	1.02343025544393	0.0197343533553043	1.28666920612315	0.288711632824564	0.0344053760980828	0.279808482351112	7.66855391706374	6.11013157613586	0.0660641860345977	0.00159486502247191	6.65020689846907	3.15783142275198e-05	0.0236058647251395	0.0832366476847571	0.0248214141672781	0.0324585875049816	0.203284770727709	1.39913175822294	0.143424179920527	0.00925148789526658	0.367858070094643	0.0345844231412359	3.47225415909351	0.0489766408240962	4.5806144446283	19.8289841850267	1.11203795950043	0.109134313990561	0.570465400767071	1.30472031576615	2.71378574865449e-05	0.00493169751052214	0.523116286186253	1.24733855552904	0.0301474327191778	0	0	0	0	0	0.0351743669429921	0.55165607434104	0	0	0	109.333852572831	43.7897434737708
BE	0.00281677663302013	0.00125130540073663	0.298216593499605	0.00466201626744874	0.0102987260156973	41.7229726801992	0.0115935031005275	0.0888178961680223	0.972500940073626	2.23058770150591e-05	0.823773666893004	23.1064295524343	0.589788579177032	0.00921014701493464	1.5065640873658	0.0468174767221047	32.6945111792148	9.33414027090825	0.00835631192090833	0.00478490509830874	0.0267697781984933	0.118065633221071	1.32010972151901	0.00954402019151568	1.22270888737067	5.47262496131064e-07	0.000711623683845578	0.0386642565214408	1.39182723763849	0.0128018543242582	0.015773068840576	0.00115129188549006	0.00138777084539406	0.000345518482795517	19.5432020408704	0.114719832405456	1.34973647063753	0.0714330115332977	0.133580817015314	0.0277776010161201	0.319028308940054	0.257230552206167	0.0378774402560638	0.120985608317231	3.74296260107369e-07	0.000493100832968132	0.0802200444522067	0.252337752145925	0.0016175740458149	0	0	0	0	0	0.000779066705716961	0.0973820238662118	0	0	0	137.707629343841	126.460023840261
BG	0.977209578771967	0.0184538079812315	0.814364607823905	0.0879480977383555	0.999563598406922	0.0776454381829359	35.0536402679785	0.788716133671778	0.188695569661892	0.00682742483548986	0.899373719449909	2.03524910034789	0.197168216462872	0.0173720668676979	0.476036852944272	0.0370862486064353	0.599487426146016	0.131507565871264	0.0783731411741546	4.16668287064345	0.954611518242473	3.04111205978465	0.0349616654271368	0.00165529962584826	2.39165803180795	0.000116476714094669	0.0534401637828791	0.159279920785838	0.0125001501076568	0.0481395270165014	0.911154523042818	0.201964553020884	1.33265434968742	0.00604263447341468	0.170204380779704	0.0353165055086672	2.63464792714433	0.0265631665641656	18.994754667359	12.5934537161911	2.91673372112868	0.0904402011127142	0.267692751664049	0.721577266089408	0.000110300625966706	0.0115116235528605	6.35162230111797	4.97562498781767	0.0541193059562836	0	0	0	0	0	0.0654506322631276	0.540436388187356	0	0	0	106.645065050841	73.9351199782019
BY	0.0381214017138599	0.0139654474349507	0.477036684779124	0.0926217598992178	0.137401005465183	0.332805397117873	0.145717659235271	24.799483388237	0.173444499666957	0.00196474437290334	1.40422607134991	5.91971523900283	0.989868619348587	0.120920718787072	0.227690283592793	0.212823714036736	1.11409365669795	0.756686834153522	0.0726455876010862	0.116486057948831	0.245504617160264	1.09710474287944	0.164765394019885	0.00436734190216402	0.715787491141864	0.00277454287415568	0.230765571236885	2.28380470996274	0.0287127217439214	0.435714963271552	0.385741308335257	0.0121615499812837	0.0237564828358703	0.000740329888639068	0.816701025903771	0.12947926692361	18.820499919974	0.0128500385817453	1.5520153574924	0.645032080339585	7.67231973512617	0.579553875508392	0.13823263947893	0.58387247280834	0.00179410237037214	0.05982358045695	1.28746884198797	9.67080085281517	0.21167389797459	0	0	0	0	0	0.260792862214581	0.100158092954065	0	0	0	84.9615381083041	38.5392091264141
CH	0.00283831176266353	0.0011319307356657	2.1182104317741	0.00429511146919524	0.0166185700373964	0.386817505323845	0.0288161300190993	0.0486577519081442	31.2869439645668	2.41141140054972e-05	0.432433341002179	13.1767350326057	0.0772726728386279	0.00180167680651395	0.814438806244344	0.00683064542438807	7.06528867297529	0.495465545248758	0.00622602438261689	0.00516629368931858	0.0671171176118486	0.149612015853168	0.0873466005660355	0.000623734062897314	7.94437363528279	3.61166939871803e-07	0.000911711899079287	0.0134224822640903	0.0553179868264067	0.00417349936498973	0.0154030942009791	0.00137122687768583	0.00158483363254457	0.000702669841697727	0.383889292253789	0.0165798884926238	0.369175224514137	0.0419817283566493	0.217685987362395	0.0734990445458998	0.187697466932387	0.0370351351817794	0.13524237947197	0.0535923124379711	2.28589000757501e-07	0.000368234447057839	0.0681642144652306	0.147552303697052	0.00197089319956323	0	0	0	0	0	0.00079302160030192	0.203032289952409	0	0	0	66.0524073236721	33.6745033242276
CY	0.305942246008653	0.0252919340147393	0.0939613782712037	0.117945960115645	0.1202800696248	0.0183831421507375	0.631065814451133	0.352422813918602	0.0400165016222117	41.1828304456399	0.117017373143265	0.347861987401965	0.0763285214466343	0.00569936921561984	1.01074662872465	0.0177485363484648	0.272599158417335	0.0445653275857127	0.185272954217394	3.53855688764032	0.115499667052831	0.281431595192294	0.0162558814526113	0.00100895722857143	1.79959995034019	0.000420137043712285	0.0205163679386956	0.0746267095720611	0.00233122532843133	0.017952942482717	0.188462316753915	0.0295884032545172	0.192176052936407	0.0196292296190253	0.0328340912969022	0.0139230785036162	0.579160764574847	0.0699438390516184	1.27945193750932	0.659650470119383	3.85511590028019	0.0429099332056403	0.0293598713967786	0.0828101554219506	0.00064178818746059	0.012967798569542	99.631792748684	2.00692843500622	0.0180247554250382	0	0	0	0	0	8.56859148327351	3.69666101001902	0	0	0	159.579549667469	51.7565959257728
