	AL	AM	AT	AZ	BA	BE	BG	BY	CH	CY	CZ	DE	DK	EE	ES	FI	FR	GB	GE	GR	HR	HU	IE	IS	IT	KG	KZ	LT	LU	LV	MD	ME	MK	MT	NL	NO	PL	PT	RO	RS	RU	SE	SI	SK	TJ	TM	TR	UA	UZ	ATL	BAS	BLS	MED	NOS	AST	NOA	BIC	DMS	VOL	SUM	EXC	EU
AL	31.1689447336839	0.00649283919290589	0.29096203765895	0.0325064669930621	0.584435795943696	0.0340628753932951	0.515872887400625	0.0912865438400618	0.0981333895942717	0.00788447880933136	0.312947391226144	0.549342551211212	0.0355889243056688	0.00422724357835214	4.80401747852903	0.00539066825346507	1.03231267566907	0.0552260443739667	0.0240170526101444	2.84182416527826	0.461058926668888	0.780283839902141	0.0202638449752184	0.00022004155920141	9.89367689416916	1.47416687134244e-05	0.0144132752812199	0.0306338041276436	0.00496744553222119	0.0100896303765529	0.100409075825825	0.666699830308246	0.697075767637206	0.045248367966603	0.0446080759397721	0.00414396454776853	0.76328655157632	0.243469293671522	1.178414547186	5.09466169737252	0.738495589091434	0.0163307401800453	0.0964636068974155	0.189134506346254	1.63414028097556e-05	0.00329484902807928	1.26797788911043	0.611166501224415	0.0175098493164147	0	0	0	0	0	0.0591804061601945	2.66751661671514	0	0	0	68.2162027553108	65.4895061535291	24.2123633738484
AM	0.024848501186536	29.556932160411	0.024444134898023	18.898268602164	0.0146951473040591	0.00658507643838898	0.063120471797658	0.0440259554129596	0.00955613610256306	0.249689264728433	0.0134705800513777	0.0754342321740756	0.00699358501152984	0.00100037580805992	0.209730885285129	0.00243170892139571	0.0543153070947378	0.00857533442819813	3.53023116961685	0.169056179510857	0.0148573511558393	0.0284147544611498	0.00337538179075052	0.000214315811948655	0.165921332577666	0.000817961268407939	0.0664777548837198	0.00825845015425874	0.00122986799207382	0.00253762821235536	0.0201966001020694	0.00305876371573622	0.0127878693518294	0.00162382153879305	0.00680813791106179	0.00195747827704367	0.0583162937981231	0.0129310813959858	0.160834356942177	0.0835201269026643	1.38190755451487	0.00524687037976241	0.00632411423276222	0.00800382899037049	0.000847476622886064	0.417747089361759	57.1095433791236	0.230718647778493	0.243773456488328	0	0	0	0	0	24.2387467267084	0.925198862725704	0	0	0	138.185602143516	113.021658049152	1.36095506154635
AT	0.0740458533479115	0.00726401853709136	135.773156377504	0.0351726749268487	0.666863492351106	1.93802952579303	0.185508813438796	0.327004312153495	18.2221982462457	0.00103426614518106	19.1024346841852	91.7473454337436	0.915954261059819	0.0225592881495235	3.89960732515673	0.0784672622277728	22.0492865247522	1.67946689653893	0.0453968262692729	0.0859321256562379	2.97191487690652	5.11712720888958	0.396374322526641	0.00306594944804617	34.3412886787216	8.34373710107169e-06	0.0085484317389299	0.187446457100581	0.459090305891058	0.0592384773216039	0.169962331426552	0.0280090878696247	0.0475534358095237	0.00328140902543387	2.65294804677992	0.066184965066418	9.22950219399618	0.231063936952268	1.79358323995773	1.66291889849118	1.7877638070822	0.304428882330134	7.24867546429571	2.05687505533149	4.6732028267597e-06	0.00703550469736977	0.592776973411382	1.64204648089399	0.0203105950261208	0	0	0	0	0	0.0539779667392447	0.60810000189423	0	0	0	370.607834210743	369.945748831789	342.85215534963
AZ	0.0504736861024952	10.1569365111777	0.0399894144205602	148.112973389622	0.0276089097472309	0.0157243462003749	0.151153481117916	0.210003693005636	0.0162208378583775	0.278705915736162	0.03641183577826	0.178808475330492	0.0249031274386592	0.00675114203434829	0.244356366751214	0.0185205230829627	0.0908061591678785	0.0240006189054424	9.81548704060659	0.267450996802684	0.0283147405865805	0.0753507820112669	0.00739104652435949	0.000935156760370186	0.257488852695759	0.00923735615373797	0.669889057887703	0.0405860343255824	0.00214588101797591	0.0124817497981442	0.0518044406998586	0.00703643781666794	0.0261390594752789	0.00214605061401835	0.0226618488999065	0.0089572108993027	0.230006283543815	0.0143023790240697	0.40683275539847	0.169929911739257	19.5721913946999	0.0239192343900853	0.0107504505644857	0.0219450155986321	0.0102917458855323	3.95187563686555	46.3411532250785	1.06205021930797	2.48040807126181	0	0	0	0	0	56.758875064775	1.22496276496067	0	0	0	303.269346330148	245.285509459623	2.50990489307835
BA	0.854565174308693	0.0064056573939455	3.39494631803269	0.0328340309483707	34.5672795819929	0.190901830730149	0.612444423057169	0.351214243841355	0.764112846441595	0.0138090179415959	3.42547119031351	5.32861072858445	0.409591816326056	0.0302148692343441	5.73933151719691	0.0378082735062805	2.83820170981946	0.316463257466119	0.0265219440031824	0.497276683979489	13.8911458526044	11.3742176745458	0.0977831269466534	0.000965892292213594	26.8705521046732	2.88060517186606e-05	0.0297621282013816	0.203398134518621	0.0363543281297585	0.0686954143273905	0.201393662772238	0.707569896762747	0.10125224392182	0.0373032416173136	0.308116019981419	0.0213637667824884	5.2282290363906	0.281573275936061	4.00377536736755	13.5185735803466	2.02541488572151	0.0878824478729178	1.1657704284902	2.53664464707813	1.49933432309098e-05	0.00328101587575605	1.61350151522315	1.71664147942339	0.0199463395920425	0	0	0	0	0	0.153434402136633	2.53207442129231	0	0	0	148.274665245338	145.589154852781	88.7100493619659
BE	0.0015997794206506	0.000243552394797899	0.229410467380754	0.00212966100201356	0.00943753425793172	60.1444603492583	0.00867662557371079	0.0247543487632572	0.321530729609339	1.28739024185954e-05	0.267409763919061	10.3949493785596	0.308302648619494	0.00329126119983121	3.29372402873974	0.0085541026037054	68.8788113510618	7.70976636994435	0.00255659952083293	0.00397905526892539	0.0176316475347578	0.0264258746778256	1.33221437603724	0.00520155766246821	0.565354972228613	2.95460249598581e-07	0.000545227715689626	0.012450881211339	1.15080293641196	0.00377725415931953	0.0120060124326642	0.000598174871126594	0.00106652962706199	0.000216004121620575	11.247237405235	0.0378310733346103	0.205676419222848	0.263839918951856	0.0737749956873512	0.0207717962231433	0.112312055463281	0.0850437286885159	0.0144157502827006	0.0182363947138621	1.10597407864175e-07	0.000930168156249908	0.0260197932041753	0.141888667225766	0.000171270868173509	0	0	0	0	0	0.000648460007435947	0.172208445880512	0	0	0	167.162898678895	166.990042144947	158.558681828452
BG	3.64806535935223	0.0560096975881579	1.59119728133779	0.275706512189609	2.40029421153544	0.206494387600692	76.3018260955909	1.7797436551308	0.345398241470237	0.087184786950525	1.8642448187106	4.18444190210751	0.283423310593437	0.0383385907362105	2.53241752161066	0.0616514480134122	1.5352004025048	0.246841520636716	0.314285093973114	14.448660555813	2.30545317239368	6.44807235716985	0.0772316074166649	0.00239028266038548	8.73173560754198	0.000203868199306976	0.146554281200797	0.358937774915967	0.0282446131313963	0.104740674715684	2.57997873904643	0.542073492152216	4.84022939325397	0.0200474912423743	0.395860111346052	0.0475431774170362	5.11083813258399	0.149386246030217	49.0731436502108	24.9673268578422	9.84985153619768	0.161581463841455	0.625123492341718	1.45987781061923	0.000175032619043797	0.0256212384472199	29.5702160579538	12.4470934155807	0.0911410614126957	0	0	0	0	0	0.290052075707886	2.51654376217425	0	0	0	275.168693870812	272.362098323276	178.185355548513
BY	0.630344222840573	0.122050946897534	4.10557835221719	0.985067441254989	1.53557079745972	2.60210969904301	2.19472354314868	208.051349809343	1.30180846837776	0.0804240469118985	10.162974672607	44.0668222102666	6.28077342859555	0.808667798148887	3.37560159326906	1.134851235548	12.9089757172922	4.07302992032658	0.757867168932981	1.58935380498567	2.42396765833785	9.74729677563939	0.928551453078419	0.0236648957838233	8.95724709305335	0.00379707694861639	0.807695308612639	18.212238428729	0.311891612564669	3.28922960924073	5.2820567785619	0.162119024016088	0.351401730470366	0.0146725887205369	5.46353095783606	0.778634895107691	110.425768383245	0.199836626847204	21.0188159866425	6.85364646817716	64.2987002935128	3.73297195184859	1.19270193256582	4.15398488659359	0.00246187511090742	0.652680620551236	18.7284445508522	79.1033914364329	1.2766014901175	0	0	0	0	0	1.25771891291067	1.97862283689887	0	0	0	678.402289016475	675.165947560816	279.38356176403
CH	0.00335501079386655	0.00227410803870695	1.8295685728951	0.00931313306186401	0.023872466149321	1.01125544553773	0.0238783043506333	0.0249529010124259	117.425511693219	3.73942617796052e-05	0.413773505586066	16.8371574164582	0.0769127781963035	0.00257459403920424	5.80508893855496	0.00394683568673256	35.1938669131191	1.13904310246765	0.012276517581028	0.00257255434590261	0.0599211417891823	0.138834434001077	0.226915532547955	0.00100785671038284	13.9585605774837	9.58950787194107e-07	0.00248294930036576	0.0197294912833387	0.165454592708167	0.00642019713553416	0.0231396227793939	0.0019302259686872	0.00119564897414482	0.00127141835161578	0.896525786453109	0.0116253227228959	0.427193574396501	0.372785700738073	0.220453292750856	0.0642846243778857	0.277410557931836	0.0255679892051201	0.10191840002389	0.078087076288488	5.08467360262595e-07	0.00084005326590118	0.0988717384085357	0.194013186203258	0.00540340408317093	0	0	0	0	0	0.00219980861310966	0.558583390715284	0	0	0	197.783861247985	197.223075161447	77.9002721249986
CY	0.0122173458389946	0.00200034400293146	0.00452275983072367	0.00492928474530922	0.00541891342588179	0.000675966704076671	0.0211747696454668	0.00976992063028406	0.0022479816550893	4.42844941086755	0.00407030345230215	0.0130324200325742	0.00124974502072251	0.000167917104826073	0.155901696447684	0.000544765225838775	0.0209158893990609	0.00146075004729055	0.00892410602834604	0.156722503646956	0.00527378851103406	0.0112876815015465	0.000568111034083261	1.12898824226033e-05	0.155918552290947	2.76729366796027e-05	0.00100210885120243	0.00175992085033434	8.7302991765074e-05	0.000472177211198892	0.00512130470885432	0.00130855864292519	0.00762012060661614	0.00368484157282906	0.00166678900692375	0.000263310317157584	0.0171770643433149	0.00700854529239304	0.0398381211446578	0.0279387536170711	0.120475345028624	0.0010450539133162	0.00162737869369571	0.00298176926665387	4.75482434929381e-05	0.00091681135723384	5.08626035703125	0.0558761660798105	0.00116447288604184	0	0	0	0	0	1.67215105535274	0.985944027523098	0	0	0	13.0709227944418	10.4128277023027	5.05782526459419
