	AL	AM	AT	AZ	BA	BE	BG	BY	CH	CY	CZ	DE	DK	EE	ES	FI	FR	GB	GE	GR	HR	HU	IE	IS	IT	KG	KZ	LT	LU	LV	MD	ME	MK	MT	NL	NO	PL	PT	RO	RS	RU	SE	SI	SK	TJ	TM	TR	UA	UZ	ATL	BAS	BLS	MED	NOS	AST	NOA	BIC	DMS	VOL	SUM	EXC	EU
AL	45.0887054311907	0.00116709244689288	0.519082051578671	0.00472581989916938	0.735421860429507	0.0822051615944196	1.02174816689413	0.0529117411654598	0.187665176173686	0.00402694085645397	0.598735794311116	1.46234157706518	0.100875059841572	0.00371984553186772	2.99582102721689	0.0105556871676225	1.5103854299191	0.124841388731304	0.0145143395005547	5.48473297663894	1.0163252158001	1.64955837805058	0.0250552039586618	0.000251328515209752	12.5453774950756	2.11804954517663e-05	0.0201428723555405	0.0293337208430411	0.00882199012345567	0.00830159041933514	0.0940328230517703	1.75805400152879	1.55875410948366	0.0525214213257625	0.155431502728032	0.0119927971357438	0.966186075922306	0.14974341625447	2.10655024105491	11.8871490175978	0.472965146941649	0.0417325953274023	0.20184479056679	0.443156653773096	3.3188381964368e-05	0.00115531182729676	0.510051793830029	0.432895282652925	0.00361254374347138	0	0	0	0	0	0.0168871654264473	2.34110731104879	0	0	0	98.5132287333933	96.1552338000052	33.1941698802777
AM	0.015131970985267	35.4842419684756	0.0107831669817742	18.159263193567	0.00871670224026734	0.00517663144004695	0.0596153180667887	0.0603290832696092	0.00602767948007425	0.205611793947158	0.0202551635563473	0.116279184397767	0.0193486826818762	0.00190891377458301	0.0790765899420603	0.00365725689815954	0.0364425257192105	0.0229783050232634	8.15028842618144	0.142379456822402	0.0145007700377034	0.0456133077377667	0.00387335016763379	5.09213572474955e-05	0.152868941571512	0.000379712818045052	0.075759879645832	0.0127168478760277	0.00037259697909209	0.00501197381508465	0.0462098831046279	0.00483133314614705	0.0122697102155982	0.00121399745947787	0.0205222966523666	0.002327809680598	0.165074636970772	0.00630593630080349	0.252891672875081	0.087460204674174	1.50869894791211	0.0104332589931281	0.00505762209319296	0.0154282948063503	0.00105473354976324	0.500264506011291	43.8545773203772	0.444315389197481	0.223701454646459	0	0	0	0	0	21.6444089372946	0.74029978260464	0	0	0	132.466008044022	110.081298353148	1.41242019251278
AT	0.121107099978025	0.00206515985533707	220.0594799133	0.00848766419082065	0.639177606677555	3.36811471596532	0.294967116141043	0.8415582130286	17.1219287245311	0.00321116276337147	30.4710023068475	139.03742689623	1.65831384631565	0.0398251767940822	5.94500919797349	0.147404579968046	23.4054801356629	3.07018132892386	0.0261286630241298	0.38156884529299	5.10457222107258	8.73279584817136	0.485453833302179	0.00337186436153588	57.9839304984529	0.000258635762292911	0.0745538886857448	0.380615872663282	0.490987212448727	0.114143522844693	0.133155521642016	0.0635569049041899	0.107015466234754	0.0120410887418653	6.52092985560305	0.189777853556937	12.540634402848	0.460416742312309	2.00968247536164	3.26646053935299	1.86268147323173	0.733479061021065	11.0203757372084	4.2210692037109	0.000257240367323655	0.00378008829717263	0.436488030746665	2.17981571244572	0.0146062973743289	0	0	0	0	0	0.0273872896586786	1.12195280219919	0	0	0	566.938685538048	565.789348528294	535.622933264504
AZ	0.0280108391419474	8.57025217369458	0.0217968373594716	219.547179383781	0.020876245662791	0.0112081740418831	0.136254415010692	0.241028482067908	0.0105906111641003	0.269039900512487	0.0391978057203958	0.29201322685636	0.0607767961153975	0.00795421885474116	0.106353364902582	0.0180053071923205	0.0672103837900509	0.0599837938580582	22.1323138265039	0.20828814505175	0.0334261243497623	0.0995008269030018	0.00930056335232742	0.0001972627794304	0.286426717948854	0.0108843422208477	0.732341981392921	0.0491948396964548	0.00075608245660369	0.0217045475889264	0.124592620789619	0.0115474549109235	0.0263563079763693	0.00174380687990502	0.0514607874973956	0.00802848579396005	0.512161398725172	0.007558608685024	0.587932702088932	0.208976439865499	23.1095830229947	0.0360131632240714	0.0106664670089127	0.030968848787168	0.0384032859972757	4.47335974237375	34.4631244889041	1.78085647254089	2.04035325797631	0	0	0	0	0	55.3086200988342	1.08067408814228	0	0	0	377.005048769968	320.615752883513	2.97691405640643
BA	0.896357793062354	0.00317218278232307	5.06258535265408	0.0132165560620155	42.7287087184653	0.577483846148857	0.553352944191137	0.439568259949807	0.800294891316437	0.00119626080808065	7.33439408780412	13.2080737561697	0.438835694614055	0.0140330053967563	5.5983278968321	0.0599282922977419	4.10989564571337	0.657522004404646	0.0257507423916122	0.714572631090837	25.8809722778713	20.5928072155989	0.126895764819908	0.00128081760469478	27.6823072029784	0.000377622780045624	0.103330790362449	0.139863197533187	0.0688136752179886	0.047204805649078	0.392689781262028	1.82719695965634	0.238078427466948	0.021124509568995	1.23623130841328	0.0699517439009754	6.49180666859877	0.31909932594081	6.80734275440145	27.0143589146474	2.80999560983686	0.241080086355255	1.96893155897649	4.63980793311878	0.000301293138369568	0.00444316124947989	0.383336016929772	3.51737629107783	0.0134138762576877	0	0	0	0	0	0.0342982267644183	1.76566051122314	0	0	0	217.677648891356	215.877690772105	133.936967732182
BE	0.00240365502616241	0.000189912405619966	0.42726863896134	0.000677297105553849	0.00736045260931055	180.974976631503	0.00230123504103255	0.0474954684505658	0.716580691864823	5.1929121623311e-05	0.703800592598821	21.8596420517911	0.5637142883727	0.00316876917365277	6.36147830657081	0.0277164588867483	87.8769491031252	14.6856755685699	0.00162832734248041	0.0144786093379415	0.0393205544253289	0.0782252902506721	1.97069711013263	0.00294453358909614	1.05555004267139	1.88959553381277e-05	0.00402962427981272	0.0262337450190265	3.29481278711833	0.00736216727152277	0.00357100431442864	0.00110718651015524	0.000873432804505348	0.00221997040842302	31.3330141462141	0.0810520327460613	0.887750469168342	0.56938370453172	0.0283730055426603	0.0314943451208062	0.110818504372548	0.129580671081544	0.0441918660503147	0.0558683284341246	2.10418822494381e-05	0.000273204688501153	0.0236425286608923	0.112749750290449	0.0010261134600158	0	0	0	0	0	0.0022801711311235	0.310015945892783	0	0	0	354.486060161877	354.173761737577	338.338129323419
BG	2.54543863558854	0.0555895045117991	2.60871620458346	0.234202909248547	1.60848646242803	0.485703391871177	124.185661592829	1.78526044382531	0.58484462921445	0.0477736707916145	4.10539272374398	10.1957006851094	0.855621507296465	0.0753359556741795	3.03839252575927	0.163472164154052	3.13723101672091	0.960940666161642	0.826330935784035	17.5666399141265	3.05840969098251	11.390008403861	0.210125206226148	0.00253936380112047	11.0721158682978	0.00102182431767256	0.401834618129154	0.490119071630129	0.0475875991001274	0.154713078244818	5.65664606305379	0.913833792366923	6.52808615964217	0.0219949360991075	1.00399418809298	0.162669046015887	8.95736448502182	0.218903458068355	92.7744814904007	34.6973109462148	23.4448062237123	0.458434495581024	0.755002384767991	3.44331555720024	0.00152114307211094	0.0733852533956715	23.418311461727	20.163607558354	0.196600996174238	0	0	0	0	0	0.586911936608748	1.81671012864451	0	0	0	427.189101968227	424.785481306967	300.52221115589
BY	0.324702882186429	0.0373496829357885	3.80875496466284	0.163863432246464	1.18328077788041	2.77680024227968	2.42166569635959	330.214652309849	1.75075525546126	0.00105635242177906	8.70238237681713	47.4959608897183	8.63146565390556	1.6827263517837	2.95628809738335	3.84798122056198	11.0663607646985	6.34136456553523	0.281506606479931	0.919766637510216	4.07796349200947	13.5921340522011	1.39868831217763	0.0117872984468365	10.2576080924048	0.00172472924041909	0.641886770800688	28.7489585628154	0.179791574728411	7.66555507747066	6.1734428073684	0.262964691472422	0.428431440917028	0.00919393812130241	7.58444608117999	0.888672052295757	121.121445336262	0.2530865063192	27.9244751063539	10.3090046627387	72.3175784470678	5.34369127968309	1.80133244891072	5.50351373716724	0.00428536759192981	0.136344649550644	4.64634129530979	83.1048241181284	0.287079492335479	0	0	0	0	0	0.306206550709349	0.687353496627293	0	0	0	850.278496229083	849.284938572729	329.773092669697
CH	0.0169965745637353	0.000212065880385136	3.35560852710662	0.000708821087964762	0.0223633642154369	1.81694776024202	0.020623152094601	0.0599673929244086	242.03206788599	0.000799133568309243	0.776820575299946	31.5498365435305	0.237712232625759	0.00120244546688288	10.4749307320075	0.00670520269689559	38.2697071369148	1.67637473568977	0.00146998774330262	0.133279963714606	0.186976051333494	0.216796726639472	0.271410126043992	0.000881420820910058	46.6697165876131	2.42513674619337e-05	0.00289671011693309	0.0190544280849787	0.269871324436916	0.00534165489567162	0.0120244087965313	0.00521304561139889	0.00618405962749748	0.00586280407052599	2.15669652187783	0.030908860665066	0.575920450141137	0.658163161341588	0.0900476602177971	0.0695012962314085	0.117332571876869	0.064318360406719	0.340877834674696	0.127694007355512	2.36853470712312e-05	0.000240826812201139	0.257382071272864	0.172095985501933	0.000440372930199963	0	0	0	0	0	0.00318572488874801	1.24870102712839	0	0	0	384.040118251493	382.788224984614	138.302920334175
CY	0.0168986190989965	0.0020408869834783	0.0125115952214818	0.00443003701932466	0.00556640090023852	0.0038253436321284	0.0636998963940931	0.0289728312875335	0.00459143197931742	17.2902824230366	0.0173589825207856	0.0846056133338464	0.0134750014305042	0.000881193858651615	0.102052408561865	0.00188143951829865	0.0387476953387905	0.022573502969619	0.0188199255475682	0.313653564017439	0.0115734169807715	0.0279265255379382	0.00441414123611046	3.04037813995556e-05	0.172438718919065	4.34519276863588e-06	0.00237564757460095	0.0102350813603508	0.000322730413776119	0.00324932831303184	0.0231064238842822	0.00356849852243957	0.0176796337577243	0.00249306769667614	0.0145247134419427	0.00301074059700935	0.0690110753428004	0.00453536701208532	0.149888538052489	0.0716388423703761	0.259725644773907	0.00713745922916697	0.00462929524152933	0.00917237225674212	1.20317318980708e-05	0.000599418477096567	7.44159006402565	0.158238813121687	0.00102936044806455	0	0	0	0	0	1.91847765762137	0.809355492308435	0	0	0	29.2488636418738	26.5210300278048	18.4345266809026
