	AL	AM	AT	AZ	BA	BE	BG	BY	CH	CY	CZ	DE	DK	EE	ES	FI	FR	GB	GE	GR	HR	HU	IE	IS	IT	KG	KZ	LT	LU	LV	MD	ME	MK	MT	NL	NO	PL	PT	RO	RS	RU	SE	SI	SK	TJ	TM	TR	UA	UZ	ATL	BAS	BLS	MED	NOS	AST	NOA	BIC	DMS	VOL	SUM	EXC	EU
AL	50.5921429198863	0.00177815105388247	0.667097199209797	0.00626224944019075	1.07869673322624	0.190750043122732	1.58002040702769	0.0925035625153049	0.21492392143599	0.000619804474842781	1.21495666431877	1.84405089602503	0.087708581559089	0.0053200190737123	3.11715130070253	0.00705594009436897	1.9518061759055	0.15351691899551	0.0170005151165805	7.98784607916348	1.40432878362288	2.20643124363711	0.0260425758516388	0.00147938619150289	12.5438323402126	9.61947050863717e-06	0.00827114780008202	0.0638091416091905	0.0156514291109318	0.0171230755790187	0.0852541234453212	2.04819616124782	1.74981408985584	0.0768697631073681	0.593871145359005	0.00967270894505087	0.855282846400568	0.215556881825786	2.41479190808505	13.4707938653875	0.509907636101253	0.0275708091705829	0.299872623667723	0.63868238343162	1.72089321215507e-06	0.00169221830078318	0.593493068319766	0.706890469637596	0.00551202814891372	0	0	0	0	0	0.0143495075625544	1.56041123115133	0	0	0	112.976674015478	111.401912497326	40.0540998421066
AM	0.0148465742782389	31.591080509407	0.0181563379537408	13.2565395745894	0.0100032958782747	0.00452387964321677	0.115989080236396	0.0524214277796203	0.0084690591864536	0.258381453394627	0.0391457751739377	0.0592235163799113	0.0117237865091829	0.00157035121732572	0.0595651966501413	0.0015238503376541	0.0371899996406803	0.00655791162115097	6.61960841762932	0.266535623697266	0.0221089465271171	0.0469405428574074	0.0010318798766164	0.000118158377230352	0.128618627863385	0.000847760441716033	0.132682996522373	0.0150231159077518	0.000255769147402271	0.00538335501375376	0.0327685716277233	0.00349177931215719	0.0163054858071257	0.00179027637350694	0.0145003963882253	0.00136720994950849	0.0770568734858244	0.00482160728366576	0.157161954781232	0.0910892561631536	2.29456025452755	0.00428563603327392	0.00655430323612215	0.0202698418061149	0.000463692942587607	0.332817636695144	45.4526218977071	0.483804139265496	0.453284234910433	0	0	0	0	0	17.8250695857627	0.261114489786363	0	0	0	120.321265897583	102.23508188418	1.37933197218291
AT	0.259604316948327	0.00184934714179213	257.811605861293	0.00929626643162669	1.17554795290196	3.7584080635838	1.59101319399512	2.1287139817421	24.5669767039589	0.000305798302260335	56.079338697572	142.426117460474	2.52459406481163	0.0885126739381433	3.58930194479841	0.112601542730342	26.2364462286497	2.93296489318756	0.0132499230630834	0.622380942156664	7.78216595002461	16.4852976338598	0.597747037979065	0.0129894711799156	50.1007314925775	0.000248926309284791	0.0582152976530389	1.54014909086892	0.532679804747271	0.352344004764118	0.199293926642644	0.175492331880873	0.263281136848755	0.0102530392924554	13.37738099154	0.22613549056308	16.8049604524051	0.228560382008476	5.86493886988683	6.50018310633887	2.73010724305021	0.551325157627257	14.1638314201836	7.33232087862118	1.49816312754066e-05	0.00807111603713649	0.220699530499737	3.2105432581517	0.037122281308208	0	0	0	0	0	0.0239440138112065	0.528678321976168	0	0	0	675.848536497949	675.295907288188	630.565311975488
AZ	0.0191110891502487	9.48890332767995	0.0263544143270526	155.371739240073	0.0149547227150978	0.00984137029238557	0.18486669876106	0.275242304092156	0.0132148896067343	0.280935613007627	0.0703848164843542	0.134201487699605	0.0383981820162852	0.0111884633127947	0.0826813770902786	0.0139198842770973	0.062435683769668	0.0187207991720482	19.1118700286461	0.357578749062203	0.034708158527216	0.0839992552610514	0.00308337266274447	0.00041489492062348	0.189819682430797	0.0061667746515916	1.14597904746215	0.0787046162344663	0.000535748452122811	0.0275274018466707	0.0773287466198939	0.00474331343736055	0.0226212255553942	0.00255972383606031	0.0368161361882784	0.00525536314464971	0.258028907525487	0.00645626065071303	0.331290478345391	0.137684441008224	31.9497506056629	0.0182533558018733	0.0100609796530933	0.0366980590413241	0.0113052879544605	2.19169065380687	36.1842858210182	2.13857437606631	2.67526837676756	0	0	0	0	0	42.6226631310434	0.396442316667683	0	0	0	306.275259653481	263.256155458874	2.39132888090662
BA	1.32690118727022	0.00129600453265343	5.91742467907822	0.00504397618279484	60.613979982081	0.527622115001886	2.23790274136074	0.82619075669468	0.870425671783946	0.000337709871843599	11.7788283409182	11.125047999181	0.699362163683779	0.0344994793412969	6.17197509720561	0.038862292108679	4.33032220254798	0.62139055894557	0.010084504825692	1.72763816281414	32.4861665209492	24.3829901248353	0.12495555916205	0.00797366163250526	31.7944585381033	1.18721368369934e-05	0.020202056644864	0.699710207216511	0.0625139799248676	0.152555021505445	0.231455720398441	2.44491040035265	0.474245417782574	0.0474577950560834	1.93906616836338	0.0536222219926572	9.4723653617233	0.4078714578276	7.3605285106869	34.2109510845723	1.37352564250205	0.217686063486331	2.31093304061536	7.14175812888288	3.5330869736847e-06	0.0022637417003197	0.313391508727188	3.00379432853024	0.00916313258403382	0	0	0	0	0	0.00909733465373603	1.13901557867754	0	0	0	270.759779339743	269.611659777219	163.190838714803
BE	0.00121830657479966	2.48144900018159e-05	0.821065494988582	0.000207757322978473	0.00379305908872956	226.581882936574	0.0052082947736517	0.1685853428077	1.36728337026809	8.81678273109795e-06	1.47480763759311	24.4583879774161	0.973159805701988	0.0243631941974127	3.86862342142771	0.0395522906149182	92.8254007838825	13.7743074990339	0.000115891171425645	0.00302505478367068	0.0330549094385078	0.0961646195482782	1.9693022696052	0.0114783512427071	0.892196646460371	2.33618489381011e-06	0.0059732722874837	0.145598451463557	2.92593391914255	0.0521185323961231	0.0033513669917627	0.000709454058770432	0.00115014564048029	0.000693412519832559	74.8760898454649	0.113087616369851	1.49291068218288	0.462222439367549	0.028673487439022	0.02860364880724	0.256231588847333	0.207212659412796	0.035314512430044	0.0955010467208848	8.28689668161775e-07	0.000119932704600053	0.00199566982032909	0.176621512654679	0.00060777724580053	0	0	0	0	0	0.000424390574963162	0.141960994586515	0	0	0	450.446328069793	450.303941893779	434.388471807302
BG	3.83060294539258	0.0656910893869215	2.29801493889929	0.323152365097792	1.68289742722398	0.437164550381595	317.722647348147	4.06100448503428	0.321459280186308	0.0327161288316904	6.90193304052494	8.93122875329924	0.684209150422544	0.132819779513057	6.27113444687861	0.158358863704588	2.59205387917145	0.668411219543194	0.790235343276998	31.2950279229245	2.97414765516463	14.3830700133305	0.140093777864659	0.00537447414741761	10.9433517435842	0.00141008631257309	0.47595062543002	0.768658264456718	0.0297883437718655	0.241781665013901	9.45263853660737	0.861996390309549	10.0568272560538	0.0435244001414635	2.06932256072882	0.0822835055460907	8.81103454808438	0.450103994260622	131.732568351554	40.4425969308963	27.0493615910787	0.262324369777364	0.571138972781068	4.73159621959268	0.000227305484309085	0.117854004856019	29.7304717114845	49.8087194535122	0.388158701315257	0	0	0	0	0	0.602253779630427	1.8554355037262	0	0	0	738.284827694338	735.827140449456	555.609813627133
BY	0.616966563600257	0.0295793576637426	4.70162321719867	0.19292893200635	1.38215024172414	3.29434575765647	5.25842761397845	492.319341649703	1.68585816387543	0.00550361434556038	20.4751806689815	61.250083968488	13.1845519646054	2.1789136526113	2.63631613367436	1.85109166481437	10.7287032474488	5.01658815156248	0.326722355170345	2.38743177274361	4.12565311474342	18.0641326102545	0.852881344341692	0.0266594344480883	10.9070117641573	0.001157368812758	1.32688981835218	55.7568083423683	0.227034371275812	10.4737443582996	11.0236483152772	0.311929419975853	0.641689868065092	0.00632452071840609	13.9905348320685	0.985504447706995	186.864977050032	0.196989614601687	33.896346389594	10.3459465324432	142.235809263514	5.13890830658346	1.62207878942279	10.504555900975	0.000595707098575966	0.113726084375557	10.40602428537	207.023502336451	0.474328589636252	0	0	0	0	0	0.267870575590009	0.432396952235053	0	0	0	1367.76796900064	1367.06770158487	480.58015475306
CH	0.00863434365236983	3.53875976683372e-05	4.89206790767317	0.000177486125523573	0.0380486596233733	2.42294498655548	0.0327922336767041	0.0780111852156022	289.352228654739	6.65186773772243e-06	1.68263987104251	37.1718430421724	0.287476381284135	0.00883526359109823	7.35547337581764	0.0100930763677842	44.1735774852996	1.52156433062511	0.000254376967653977	0.0120199031255899	0.264262288055246	0.343350889532456	0.328660854955741	0.00388942672510591	39.1376220810368	1.37828363684542e-06	0.00199072602065882	0.0664122354273219	0.306114147349085	0.0203556379619129	0.00307303679797124	0.00446638647700917	0.00677597905187885	0.00406945644468028	7.38095983016964	0.032387338895058	0.889618083265903	0.484234168066094	0.120790366484147	0.163688583266315	0.0885731331111556	0.0504642990200858	0.299732947551223	0.137599846710501	1.11980356363611e-06	7.33016166460186e-05	0.00707299473302428	0.107329347003339	0.000347602861705741	0	0	0	0	0	0.000312535512166692	0.347981980129052	0	0	0	439.650936605339	439.302638772818	147.884017064403
CY	0.0140090294896184	0.00221566175293468	0.0130679385861846	0.00404700216737823	0.0103920346994537	0.00254158917898206	0.100180105766534	0.0167497191555762	0.00546197854504894	12.0850489797335	0.0189095504446877	0.0298744164021691	0.00327393434875209	0.000345215794117314	0.0440477742446862	0.000421861484759658	0.0285845088670001	0.003117530223792	0.0199564472189333	0.375703037465909	0.0167179864794365	0.0253791575173652	0.000536398288151936	5.57182482223119e-05	0.160056118196906	6.9463933517513e-07	0.000750962374864364	0.00396462329726081	0.000149659571723737	0.0009346747252125	0.018677642062321	0.00416706941159438	0.0150262306652559	0.00256475482830523	0.00830367180464362	0.000371888396218512	0.0324135246535519	0.00260163300628695	0.111924397732369	0.0557019700345982	0.192109869235862	0.00114411397362471	0.00487071530979107	0.00946017894063132	4.66717086642252e-07	9.55799991178775e-05	5.34228350316454	0.211926478165316	0.000160484223368836	0	0	0	0	0	0.991200593516529	0.477251607556846	0	0	0	20.4687506823064	19.0002981751194	13.0830206445527
