	AL	AM	AT	AZ	BA	BE	BG	BY	CH	CY	CZ	DE	DK	EE	ES	FI	FR	GB	GE	GR	HR	HU	IE	IS	IT	KG	KZ	LT	LU	LV	MD	ME	MK	MT	NL	NO	PL	PT	RO	RS	RU	SE	SI	SK	TJ	TM	TR	UA	UZ	ATL	BAS	BLS	MED	NOS	AST	NOA	BIC	DMS	VOL	SUM	EXC	EU
AL	53.9693091012487	0.0004472895338032	0.267332026278304	0.00095170720845924	0.50075957758624	0.046480256701435	0.849788377159649	0.146125507882	0.122817838563454	0.00241708930837926	0.282861703485956	0.729362925423341	0.0501641731886031	0.0127120962025585	3.88247810414369	0.0384460021263814	1.55663247036419	0.123316133017727	0.00196929777179084	5.40036488409431	0.698131994184914	0.9905782025307	0.0372846931379243	0.000377984283991518	8.82618639201804	1.43193565891805e-06	0.00330306115604991	0.0370395733949918	0.00472885607391331	0.0189803474288976	0.155907825397912	1.15150979685052	1.23528512049141	0.0447885074044643	0.0837454890113899	0.010297548845454	0.752709300534631	0.177601010659636	2.00946748140065	9.90858965105984	0.90702166394746	0.0357684838713897	0.140615946115992	0.224206691196103	1.61683699868485e-06	0.000836181628982459	0.429160921877824	0.808613765464308	0.00170474889297858	0	0	0	0	0	0.011725148894571	2.15914798135754	0	0	0	98.8500539791741	96.6791777629254	27.2008730998468
AM	0.00714158181100804	35.3155738642949	0.00749871123001262	19.4847642945978	0.00436195341378313	0.00138838422400025	0.0392925727727332	0.02956564283938	0.00521730197637452	0.309847314530539	0.00533586754656704	0.0259173458771281	0.00394851368514264	0.00198376927636147	0.0930391705342096	0.00692285111288756	0.0233427061290053	0.00443610382083165	4.52158674933295	0.140387945271957	0.00874166173491418	0.0149969376936938	0.00147185627771051	8.38219899761702e-05	0.100356660576978	0.000270578218100061	0.0913137870650169	0.00484733912694585	0.000120552423803905	0.00247221985191292	0.0108955628091132	0.00109739484739125	0.00596795045857876	0.00103830297602619	0.00374838858413611	0.00147711769877991	0.028025047212193	0.00316979643179657	0.115707590204584	0.0432578991498504	1.54167873029139	0.00325828969991499	0.00344680986343096	0.00404493628610519	0.00054140209029414	0.90047241696088	42.8386051839446	0.190273552365424	0.344166813584086	0	0	0	0	0	25.2384002462491	0.813343042711132	0	0	0	132.348844533655	106.29710003773	0.9543515422165
AT	0.0986944310170812	0.0061154179188642	237.970891441759	0.0252387502756179	0.489453376819853	1.82790029169613	0.390463802623565	0.911094575094715	21.1544474072448	0.00126503314469994	28.6519381052253	117.980932618185	1.64834680361952	0.0912455591481018	4.66507202216299	0.20173286287004	14.7930350981098	2.4688385881186	0.0181700370070363	0.222691618705662	4.33641010274679	6.99624125185404	0.575158454390379	0.00553170307128828	50.4006635634869	4.46810534536182e-05	0.027809746225131	0.236941994684286	0.265237165092529	0.100649332569996	0.144128227693376	0.0281883862300337	0.108862424707993	0.00426284147986062	3.69355802707321	0.148371800682895	16.364550973913	0.258257272487946	2.82018080188804	3.30418739382953	2.87717554267973	0.459223593089941	10.332817992302	3.43577885716378	3.18760098081997e-05	0.022761174541554	0.202664638052896	1.86839681519277	0.062400424076239	0	0	0	0	0	0.0304805926313636	1.54039134507897	0	0	0	544.268926836726	542.69805096469	508.725447283656
AZ	0.0104697396773628	9.02186156823162	0.0146004270027385	217.679304826246	0.00749048094247285	0.00434042198867822	0.0653826813387682	0.17665477481949	0.00996774218774292	0.312243429885029	0.0149112272998653	0.0758422136367058	0.0176042801280736	0.0108500475564611	0.125728680267892	0.0292104584253955	0.0425813942866045	0.0163394990896375	12.9593004081885	0.162133932441861	0.0152694956685263	0.0305904978992728	0.0046202910814395	0.000361292699071178	0.146014094344987	0.00358954970025717	0.459963256593279	0.0280887483411434	0.00031399154136929	0.0115393855888724	0.0245015807335824	0.00188826584122064	0.00826874607980376	0.00124906986667846	0.0126002093828654	0.00637826815548417	0.123766457251925	0.0046076654227001	0.22913198087797	0.0754228343912052	18.3270733152953	0.017530142469989	0.00602949311829632	0.00974036677135683	0.00813409901026736	5.102934887569	30.2976247386996	0.992974187112524	1.54997272679207	0	0	0	0	0	53.0538866781722	1.04347017957592	0	0	0	352.354354729689	298.256996781352	1.51652108465174
BA	0.782942768978341	0.00212725222918142	4.25740162312574	0.0103521867209988	52.4562179313409	0.23006651026746	0.799745569647421	0.576363070867347	0.662036684262323	0.00147356432170455	6.05580916336466	7.79894930515837	0.43096865747869	0.0416367902159678	5.73425052692156	0.120837374572888	3.28535925261711	0.415703768144085	0.0133725602427679	0.714724411519963	24.2882792128813	18.2695072992976	0.12030036165987	0.00136430358898101	29.7379189840702	1.49543904354152e-05	0.0175236167934752	0.332574580994834	0.0228203654385648	0.0912637504800234	0.262543578320267	1.42694562121129	0.269346343013017	0.0309642885995155	0.525561180944031	0.0623865313528174	8.46712007840699	0.33028005244034	6.06484023456148	28.6513841111233	2.26946042376146	0.200719307661372	1.39654576878807	4.68920038463942	4.52532546600352e-06	0.0145303472289682	0.225727536899758	2.07452188758121	0.034265722646944	0	0	0	0	0	0.0240573574694712	2.80918463261112	0	0	0	217.101496316179	214.26824981259	124.039118537752
BE	0.0087345415590078	0.000689225043395481	0.9577959413121	0.00351818495024002	0.0427028999707528	178.914816343346	0.0313460519538195	0.188872836670459	0.984528497674713	3.41634567674384e-05	1.02832687901564	23.5811998724829	0.391748695115737	0.0139308374338758	3.47853726866801	0.100869836082373	98.8021950753139	18.06602352522	0.00172308325988882	0.00767011056178929	0.127205444028149	0.208612117252103	3.25276974741749	0.00547109966230755	1.75484323294091	1.97114345861778e-05	0.00526647389660526	0.0516523127123537	3.266449138324	0.0151976448346604	0.011163913560191	0.00547714392279663	0.00758466275484778	0.000187441614252322	33.2819437152062	0.124272751302206	1.27448494436832	0.253285833149374	0.269282423010733	0.253315234096268	1.22523402836062	0.140112751583525	0.115559211702003	0.0909950712461448	1.65446466262102e-05	0.00105647903079587	0.0149277119514683	0.148021912373716	0.000742040507150348	0	0	0	0	0	0.00545890253210221	0.202855158305512	0	0	0	372.71872866682	372.510410362585	351.411054073924
BG	3.61385834451716	0.0441004394923394	1.49958318552334	0.179242622792714	1.66648110594327	0.136676760079216	138.288488330566	2.98304294675739	0.439122363647911	0.0667081691574734	1.90926206696338	4.29537058784924	0.303866524741894	0.100659042537041	5.32507099806009	0.205279541562453	2.03710798376665	0.348348866570019	0.402785681952861	24.6261420827731	2.2971321686591	6.69586918965338	0.103210656210872	0.00170923355999836	13.4158848794422	5.36842659741834e-05	0.192250512073081	0.494443602827366	0.0120556270391504	0.193917943407775	6.75001080789219	0.664268426841464	7.35686920641834	0.0504206479530918	0.339881417741142	0.0719355062974398	6.00218723091598	0.191091526469576	95.1310470920157	36.5020256950655	16.367027355735	0.228493946857968	0.529245033515698	1.518659225387	2.02087763171603e-05	0.130504489625411	25.0791953755712	24.2817162590825	0.188648415259666	0	0	0	0	0	0.366334618919421	3.78335500465848	0	0	0	437.410662633392	433.260967368579	305.99775542779
BY	0.318469168632846	0.0334174193573437	3.46152009358099	0.236663186240971	1.22857660631556	1.55584714051686	1.97573215322657	348.432964716679	1.24777521362825	0.00200710495617449	8.8513906227141	32.6696957969692	8.36471730235002	1.9988403401067	3.70168726551898	4.65783923313518	7.38206455286917	4.02543435702785	0.22252123959994	0.801293203666602	3.29343317806941	12.5585821514938	0.914633341009533	0.0129005034740993	8.56466127100651	0.00107482243249198	0.350348142484308	29.0398010940704	0.12221838399576	6.85992569991489	6.17075840837223	0.191453620155654	0.337597706519942	0.00903288785467768	4.15339765868079	1.29633294834364	125.991820962793	0.298855173616039	28.2450074702082	9.53966923005684	87.5079606964711	6.23141146043815	1.4168168030451	6.04094159646091	0.000697178009986987	0.265896664760843	4.28583881724901	88.4684201426764	0.258068089901904	0	0	0	0	0	0.311921722987009	0.653457694110023	0	0	0	864.561392237756	863.596012471033	309.163173761316
CH	0.00338529721253434	0.000529985621410715	3.50020706169581	0.00204370404014455	0.021412897748616	1.00451564820381	0.0158326448627288	0.0527639120678468	260.69543392982	5.21768163036466e-05	0.728133981016108	27.5009031266386	0.353302882562053	0.00528857066755822	6.64188197353208	0.0345208631844097	33.6043746718845	1.69156166713867	0.00118224386778992	0.00314278427611984	0.198905056792414	0.180287303838381	0.335395856285136	0.00146587146666545	29.5905336360645	5.21453199075291e-06	0.0013115148043303	0.0178673858766638	0.17967312151162	0.00562964242014646	0.00906665471667334	0.00160474126446817	0.00127436796986767	0.00252027971761068	2.19979365731827	0.0196910153483127	0.542354866756532	0.362350232573386	0.209301605065109	0.192523694071832	0.158065424633867	0.0851215918627466	0.287925428569038	0.061898785575408	4.85470469803022e-06	0.000811246547978856	0.00944014955167542	0.109537336852866	0.00159930132039583	0	0	0	0	0	0.0025342796255611	1.19419968694173	0	0	0	371.823163827437	370.626420642545	107.65171488091
CY	0.0155313277248101	0.001754806990302	0.0100548740742474	0.00641663781534294	0.00568842980471741	0.00197214054476007	0.0476486737996546	0.0120411308678923	0.00678583950066645	15.6584109953115	0.00683027269543121	0.0245772683546448	0.00234432405309565	0.000723106622024403	0.148417988324711	0.00239147231289054	0.0435355989995759	0.00316226801281401	0.00885766863067526	0.372270713782784	0.0104825252131235	0.0138191830068495	0.00106483875943792	1.90098636295451e-05	0.172553154422711	1.39672254528692e-06	0.00140069229698408	0.0023880546505106	0.000170099223487714	0.00112080339653284	0.0135049401345511	0.00221735559602178	0.0121358834441016	0.00281557321752945	0.00412227332004754	0.000495340932730025	0.0239647380812371	0.00374416929227151	0.0894768553711042	0.0519185918191133	0.301731997562974	0.00166985515938119	0.00443980447390135	0.00365963395195817	2.01896182032968e-06	0.00234669304218994	6.3846487015177	0.121023577258438	0.00174741778859884	0	0	0	0	0	0.791423744671349	1.67940693930977	0	0	0	26.0789314006851	23.6081004191741	16.6546691289451
CZ	0.0377475498643637	0.0129440046702045	24.9477216116946	0.0578507186837858	0.680464254567779	3.33420319747996	0.38640162126795	1.9750374047477	6.98970738383269	0.000506279087821361	235.200123770784	125.499461597394	2.45582330015653	0.105494236246367	2.83033668935146	0.295017836053845	21.9279498869846	4.12038310118621	0.0280695544467336	0.103881135937848	4.77835520482678	9.62688677958239	1.00406766364467	0.00784038447655754	12.0403165640301	0.000152743813631483	0.0452677139977545	0.626306298011846	0.452571748787494	0.199258943257811	0.178264970102488	0.0232300837146929	0.0771714724444406	0.0019628801122106	7.75852278275604	0.235555058368265	40.2463941920251	0.194104769273347	3.1416924843851	4.18387401187778	5.47245029922883	0.640922046928125	3.95688525412342	7.80133102919325	0.000111741431108735	0.0405710712731775	0.26167122763108	2.4081408289331	0.0736976510611042	0	0	0	0	0	0.0612256498521604	0.424179024498831	0	0	0	536.952107708081	536.466703829247	509.556500862591
DE	0.106356671178801	0.0160836604487966	49.6051115306402	0.0801250510462336	0.329218695593244	97.9056440002611	0.437051120992431	3.68024001084992	72.8961651951036	0.00123911517409315	40.2356919248017	2441.21954434787	28.4021226317218	0.428879556821617	21.4284458743314	1.26881561132953	340.908345107898	76.0686984149198	0.0483255561436549	0.201600823332003	1.74367453758368	5.71471853249153	15.1194451629751	0.0457375285572799	25.0755283059814	0.000449279805804816	0.107948882027701	2.30665756200911	13.9934316712038	0.751529559445833	0.266476746585141	0.0441784925355632	0.133669988209757	0.00386332304608646	276.429078610034	2.1520379578105	60.6852379523243	1.61748416078936	4.24168127968913	3.0642698204001	13.2482870568344	4.98289919102567	2.00417873469982	2.77039699799106	0.000358685932228722	0.0400826752168544	0.395787069907997	3.7294363271188	0.0298599932578707	0	0	0	0	0	0.101541591719715	2.3277147575267	0	0	0	3618.39534733519	3615.9660446407	3439.48229999191
DK	0.00195030894296999	0.00057606150044717	0.541225293919803	0.00481846023659821	0.0256558593074108	6.36846702684123	0.0179491078232179	0.330180931522567	0.497967774205742	1.914947329762e-05	1.39592824202448	72.3777268983386	191.672854206594	0.0740535904315706	1.46913776557572	0.188039809323434	14.6519419234231	15.6998199343358	0.00331832353504811	0.00478458934018236	0.143943758164782	0.52576891595466	2.10705185623593	0.00521482405537251	0.6367439374957	7.09283218833832e-06	0.00632038755794443	0.29546810029155	0.249100021442778	0.128907287521521	0.0395357961586275	0.00121071148539366	0.00352530011282009	0.000116036471156839	19.8402761069814	1.24219036043943	7.86954989627853	0.109173546108389	0.423129258903476	0.194037307359721	1.19462040182444	3.32667284139538	0.105810309428851	0.332922419402949	5.58179970938212e-06	0.011867070813205	0.0224359930753043	0.471213236161616	0.0111649661338077	0	0	0	0	0	0.00343112663617786	0.118249362862032	0	0	0	344.74607906808	344.624398476669	324.856762077172
EE	0.0170533211141694	0.000709661040635973	0.565270721164873	0.00628413219791457	0.071692231257357	0.819558045467878	0.0909907431156805	4.6892868206365	0.312363891022589	5.01371061035693e-05	1.62093804699299	12.7394291370071	3.16258472868873	26.9740083890861	0.393414439789628	3.24324011334726	2.77376578412566	1.60048298552344	0.00213580452734482	0.0368825350111423	0.26291807750699	0.836535253943197	0.254814460975524	0.00384202053007777	0.658185157316232	1.25516660715269e-05	0.0179286468714325	5.69404228726482	0.0537852735934995	5.71567579264872	0.141176153251682	0.00825440357711406	0.0229739260452729	0.000242293942202016	2.07696094800511	0.500888410938379	18.8867244494685	0.0179647565696996	1.05169041818196	0.612304838429249	10.4250493453742	4.37023878907491	0.1559093113797	0.470156214552411	4.49240217379192e-06	0.0189910053045612	0.0390712720962332	2.2559447537648	0.0180990845022672	0	0	0	0	0	0.0166166854531353	0.0932561856129297	0	0	0	113.800398928466	113.69052501997	92.9259762931194
EEZ100	1.24598217829532e-05	9.48037047867818e-07	0.00737285980731232	5.50472843379876e-06	0.0001354248683084	0.163335327466176	0.000205510048846892	0.0046884503601677	0.00998509992000814	1.68431059964727e-07	0.0284302593393945	0.676636526206563	0.110260526716764	0.000730677168356057	0.241214015347897	0.00695421222637397	0.500079508300559	1.74481693138919	4.92761187420788e-06	1.02037331980484e-05	0.00103012029100172	0.00725659908789993	1.06931416839279	0.0132560692815444	0.00755530101161698	9.93104009289372e-07	3.62147991071521e-05	0.00232885719698324	0.00696448260556442	0.000824717973304064	0.0004404559263136	9.1329598294002e-06	1.16000282082389e-05	1.45786157193061e-06	0.385048791553402	0.0339611743397613	0.0888611988444114	0.0498857737062348	0.00691788266755671	0.0030049040551534	0.0391102988760646	0.0282487066958383	0.000931253543344369	0.00409957974002228	9.4948211929985e-07	4.35867946416805e-06	4.14852253157102e-05	0.0054603333387545	7.99500516735367e-06	0	0	0	0	0	2.35183037064533e-05	0.0101335410396761	0	0	0	5.25965145714504	5.24949442904828	3.39449873790996
EEZ1065	0.0013770291077981	2.85048758851561e-05	0.245698853237342	0.000226161468714974	0.0118728094040456	2.39653885206567	0.0188770912672015	0.145068365376834	0.212117732656483	5.52486361457795e-06	0.520806063560924	11.44517108765	1.99744420463878	0.0296729409560967	3.69730588741088	0.363616765810396	8.06983355058072	26.3546307211758	0.000265245684997094	0.00152748256782356	0.0654285610026062	0.241039489141809	11.6519102107726	0.429979368323609	0.42244286655854	1.6623750369515e-05	0.00109887836395096	0.0811203145610647	0.100917687165583	0.0331542634410091	0.0169076404303823	0.00148339889526816	0.0028293139245549	4.42699257684436e-05	6.09442923656972	1.3899733937997	1.594841314919	0.560196647045521	0.285737207666684	0.166396927430213	1.10619319838872	0.754446657863919	0.0464253271537782	0.0945365889045279	1.50749525267692e-05	0.000385373373213415	0.00180785705631567	0.165188913099904	0.000426270530707581	0	0	0	0	0	0.00129646009686379	0.138768291272963	0	0	0	80.9615225007415	80.8214577267045	50.8131689230055
EEZ1071	0.00030458845575722	7.53509759494584e-05	0.149731439842156	0.0004092657871105	0.00404380145266589	2.23999071097972	0.00381065741755636	0.122991829056102	0.235907504506491	4.80967563182153e-06	0.342006948627976	6.91025560206634	1.35127433788329	0.0292965910776053	4.11766439967342	0.299570145111046	10.702354070785	15.3527076978308	0.000187335219356991	0.000471733188724184	0.0283470522054553	0.0916031890874464	7.27690417403163	10.6864365720003	0.245701545409719	9.53480861374241e-05	0.0110709294821422	0.0468088055650815	0.119163187844747	0.0243417180078671	0.00456721939807367	0.000294715230426916	0.00038509968802155	6.551799737716e-05	3.84184771076153	0.935135335831247	0.766737816565557	0.685300264089181	0.0739855040486458	0.048459745217963	1.22079801339896	0.508648320666002	0.0233044798789165	0.0357412050074987	6.37678540455825e-05	0.000563748941034851	0.00169245132171974	0.0841205826527089	0.0011134053408899	0	0	0	0	0	0.0244249181124359	0.166483365226037	0	0	0	68.8172645285615	68.626356156384	39.9149319189833
EEZ108	0.00170416772744492	0.0145682503067624	0.842355739150274	0.0712106713932874	0.0448978420358857	7.82754995440428	0.0432221113840765	0.414003370100411	1.07257402882292	0.000539910509524591	1.57478360106113	27.6471680087703	2.03963331353685	0.0942159050084154	19.7939841199689	0.262222326850449	55.4201227178642	72.0747737839496	0.0319457625092971	0.00165910125807325	0.308265741705495	0.532680961015543	117.714592152003	0.158401429585281	3.43991415646696	0.000248643311799806	0.0388883286980086	0.305017207301535	0.448712369164407	0.13654171083775	0.0390813288900252	0.00138655162736774	0.00113516481844181	0.000129533854903871	11.4854426845192	0.471632568648352	3.30228061017652	2.84137592053874	0.744767308993839	0.484095479816063	3.06480337514612	0.831841128294503	0.182110453099343	0.262242996040971	0.000212366321752739	0.0124061831797079	0.298966768258032	0.25244595046694	0.00590474710181616	0	0	0	0	0	0.0803466821744265	0.736283118278685	0	0	0	337.455288306947	336.638655657851	258.083371053729
