	AL	AM	AT	AZ	BA	BE	BG	BY	CH	CY	CZ	DE	DK	EE	ES	FI	FR	GB	GE	GR	HR	HU	IE	IS	IT	KG	KZ	LT	LU	LV	MD	ME	MK	MT	NL	NO	PL	PT	RO	RS	RU	SE	SI	SK	TJ	TM	TR	UA	UZ	ATL	BAS	BLS	MED	NOS	AST	NOA	BIC	DMS	VOL	SUM	EXC	EU
AL	64.236782981733	0.00700208983554176	0.421826615182044	0.0352065409308076	0.85950462984003	0.045276853079527	0.804220592439177	0.144649931713298	0.12919426957372	0.00850570082845344	0.478948589898206	0.865729588942019	0.0636148828483467	0.00665378202506963	5.05920586357247	0.00737781290953343	1.17258759803578	0.076190776762838	0.0265304534924031	3.72788163952556	0.669843060828565	1.20060560869674	0.0264081538698505	0.000388782145417718	11.4174685400283	1.59428597634224e-05	0.0155450153555308	0.0449552539053328	0.00651378389944064	0.0156671093119934	0.137786533636655	1.08134122087177	1.03846932184368	0.047847313402076	0.0672707781039532	0.00830157332079734	1.06741966208055	0.25550412743891	1.7763665502365	8.29872713840095	0.836933244578341	0.0295149347412637	0.133428155523367	0.291597475057673	1.7616749628624e-05	0.0035731542800358	1.42365899396961	0.860185826001795	0.0187694040603344	0	0	0	0	0	0.0661496242953112	2.79887247004226	0	0	0	111.816037562704	108.95101487146	29.7122399574057
AM	0.0272797620317864	45.2926247963076	0.0261476963443854	23.8272659454587	0.0163210311528856	0.00695323837032175	0.0698549811167929	0.0501447767270144	0.0102627591348892	0.258434237248246	0.0147239178752196	0.0809595773083428	0.00762057449695458	0.00114845939253425	0.218406915343036	0.00287694890007575	0.0568514259311842	0.00928931393509709	4.306713896036	0.17889994572735	0.016223332301903	0.0315950123197875	0.00360209999088696	0.000240633932688566	0.176525876438962	0.000939314882145673	0.0797709590298878	0.0097357787850898	0.00128138995756648	0.00294571529073369	0.0222847690125858	0.00348915619738427	0.0140469852200935	0.0016986212994592	0.00748212714097067	0.00223760922757036	0.0656203893840296	0.0134923636964581	0.18127934824192	0.0918288126289361	1.61460872841143	0.00598248663761701	0.00678305271899081	0.0088400421735239	0.000979490764499098	0.495340400708078	63.3392547625108	0.259616306509756	0.29412146480791	0	0	0	0	0	26.4140784293495	0.962316698942841	0	0	0	168.591022357353	141.214628822211	1.45596554305265
AT	0.0836793329714777	0.00966305540878351	262.703372219735	0.0457376641820896	0.916700785006385	2.35727373656996	0.249077969760348	0.512038970042731	21.8452909771801	0.00107334628077181	25.121455961085	114.744120577255	1.14975134924658	0.0322296310783775	4.27607084540118	0.0973838147971877	25.7507047290786	2.01667446622553	0.0582946834073858	0.095444054068792	4.41585297609982	8.21479087573646	0.475270975874549	0.00422185564770623	42.0734759805547	1.05820667603103e-05	0.0114730228910937	0.248176545446792	0.546699934298816	0.0800775438303735	0.250223501378714	0.0321445031335769	0.0530615322758593	0.00382100967935147	3.19288692752925	0.0953726135452739	11.7426614229886	0.249800434501687	2.7376854720619	2.30976691474605	2.33167877941374	0.387806592950562	11.5812858540725	3.20401068110923	6.0400458279832e-06	0.00810160262983038	0.707050349554962	2.38042169368609	0.0271335170308921	0	0	0	0	0	0.0569369884375238	0.708852216055356	0	0	0	560.196797108055	559.430995071609	525.732261763018
AZ	0.0572335236196312	14.0910584616144	0.0469672148433893	267.93466829418	0.0332708286031718	0.0178136633202262	0.176957900285567	0.250043052301857	0.0189800261573598	0.293156281902208	0.0430648125546062	0.207499378757606	0.0284190495059681	0.00808138299716336	0.263756810462457	0.0221003305827972	0.100615333299788	0.0279818738937516	12.8635646118187	0.294059710521488	0.0337058862407968	0.0901056054222479	0.00848176612549317	0.00114806200459995	0.288721265712765	0.01082461620338	0.850672905398785	0.0486334806449867	0.00235674520595184	0.0151120449912107	0.0618161496667307	0.00837741810092774	0.0300835385072698	0.00232433090538718	0.0266009318499482	0.0108197656259138	0.273608042549457	0.0156461625249371	0.483676825027643	0.200168020323147	24.0893794148599	0.0280380098742903	0.0127715379069905	0.0261437122027766	0.0117561661763588	5.1164537225917	51.2738377397463	1.26303710224427	3.15237069921935	0	0	0	0	0	67.5566810284479	1.30712447803092	0	0	0	453.079769715554	384.215963980421	2.85841822102523
BA	1.00154096519041	0.00883003120107053	4.49830599472211	0.0449761080459939	72.6973511212305	0.264850690882548	0.905000401053894	0.469389959234558	0.913206351371981	0.0140342757805706	4.43982233711048	7.34546029038572	0.551696085163065	0.0371286498228132	6.16889857504257	0.0450198720052265	3.39478469339547	0.418507511287864	0.0355944116666143	0.552772149049849	18.6637141388213	14.0435676454234	0.123593345279584	0.00158637688568134	30.8314260026983	3.5074467264752e-05	0.0354600325814261	0.243173029611791	0.048516171272922	0.0856745626881662	0.29148440104976	1.17886948762916	0.12406092474618	0.0396074473577877	0.441738475127613	0.0350460587359696	6.66870449521196	0.300424426547325	5.68030268716685	19.4616809494283	2.38011966326065	0.135351064101866	1.50189518178036	3.09337254568402	2.00348561850005e-05	0.00456100557290584	1.72888418688031	2.29772079602317	0.0275995310817338	0	0	0	0	0	0.16186123243223	2.68986271876791	0	0	0	216.127084166815	213.275359556008	110.118835098814
BE	0.0022357008277266	0.000591409171035957	0.332581642161448	0.00344597824149769	0.0123223301712882	143.677279126306	0.0116848863792139	0.0528479571150371	0.567099230430168	1.86564689045583e-05	0.604640654057366	19.7439058178123	0.48023431934466	0.00699886231738357	3.76042358683339	0.0201756324873524	90.6617192223621	10.0213464954554	0.00499402577559732	0.00484093843188251	0.0262687842925407	0.0710605722079786	1.70096090280402	0.00665700585934924	0.923751638985675	5.49533839485936e-07	0.000731281761181557	0.0287272170161809	3.00489640228464	0.00919105549859016	0.0166797870843375	0.000867499817746822	0.00135647079565137	0.00030318055085357	22.160013269359	0.0653284079418317	0.705841814873802	0.285431067465093	0.116225986491034	0.0286919055326378	0.19370781753838	0.152835099237473	0.0273836627332545	0.0663404128076486	2.98887951385345e-07	0.00108477436437111	0.0469171301191563	0.213851821969898	0.000687697317054983	0	0	0	0	0	0.000898795683333779	0.191042370895393	0	0	0	300.01712115386	299.825180366574	288.5837350976
BG	4.20839304857424	0.0656301250281293	2.10775522616573	0.327902384375218	2.89397795671884	0.271787600745852	136.543364302156	2.58310953652885	0.454249385777661	0.0899870773859661	2.48614679448178	5.71098276598329	0.449443719309158	0.0573389864673253	2.78680240080739	0.0910424958925877	1.9570576121678	0.347034416817424	0.35953069342126	17.9562986886635	2.82914011382994	8.36176350080042	0.105568663047529	0.00346512249137179	10.0869880396631	0.000249349653429564	0.177000353030795	0.526019163895843	0.038547397973121	0.155228389196924	3.52049148567001	0.638084361706442	5.90416279322781	0.0229959910731556	0.528984645935895	0.076461349589519	7.17566337435514	0.162250348003283	65.8700207295659	31.9427249201113	12.5675759894706	0.250461706927955	0.78495187542883	1.90265165096457	0.000219753860803532	0.0328449930972721	33.8560072972055	17.2555797806524	0.124647226838639	0	0	0	0	0	0.317448754425597	2.7894933630772	0	0	0	389.755527702239	386.648585737047	269.309243397685
BY	0.675295416830381	0.135215504479567	4.65838236347144	1.07498108804137	1.70056445528145	3.03410280155154	2.39361374477421	398.466395132468	1.48341774650793	0.0822124198988047	11.8893588211067	52.6800361632732	8.21498823871924	1.12560433211987	3.62843937736991	1.55484035595031	14.3448725884188	5.26672856077612	0.838749404806648	1.71351899369237	2.74590736224039	11.3195388563114	1.18284433327966	0.0293070004525559	9.98064346313402	0.00572453789135597	0.996284499052749	26.8865944857478	0.34676894211638	4.95680526746773	6.00339645477252	0.175120777664927	0.378942743706672	0.0153837911252313	6.63531213475192	1.03817128165648	143.937133262134	0.213315663246324	23.6699736088346	7.6148795710124	80.3901665064807	5.24994926503397	1.36449030175743	4.96746477161729	0.00369637287454885	0.714318460393876	19.9926193192412	98.9017814131852	1.45857347101897	0	0	0	0	0	1.4545975007663	2.10799240499124	0	0	0	979.699015333498	976.136425518749	348.792095609993
CH	0.0042815314876445	0.0025205740686107	3.30683896315085	0.0102969810468847	0.0305458668787625	1.17242325192626	0.033381919125025	0.0466838861618395	223.516985256413	4.27032704451552e-05	0.627023079185843	27.0421229289693	0.106922808890709	0.00365915604093444	6.26219411941492	0.00634783869014459	41.142208626971	1.32104831898699	0.013718397193832	0.00378418620329691	0.0899911245504599	0.228748086268938	0.263499159629924	0.0012485476538145	18.1829083648447	1.10788308009347e-06	0.00269653373257365	0.0287514325393435	0.191194164583795	0.00913080290061802	0.0306293455155367	0.00241813445144702	0.00166348176170699	0.00147270507191795	1.0613084966722	0.0165519496804919	0.622455577125248	0.392377681173995	0.321279501075388	0.095889762450754	0.339135943591072	0.0382862347929164	0.162609595685779	0.111698474913861	6.12203485912496e-07	0.000936275058441782	0.114202582598267	0.265262508655598	0.00589560364191509	0	0	0	0	0	0.00243970669010189	0.625246977664815	0	0	0	327.862960869138	327.235270271228	101.41266072478
CY	0.0211789513955721	0.00268268947429157	0.00731332861507045	0.00800067548780318	0.00875051466978298	0.00121503661247862	0.0399356864946962	0.0194428411904834	0.00348909010691907	12.7314012189097	0.00730346872669433	0.0226521356102239	0.00317158942398143	0.000312029424912047	0.186304795682403	0.000961935160549003	0.0286857401837782	0.00260748289482704	0.0141996371849309	0.269509606709383	0.00856031334165864	0.019226091300094	0.00100179611577565	2.96260424618344e-05	0.210298986666443	3.83066616602796e-05	0.00151183561194711	0.00376430027904385	0.000156592434441816	0.000958323751143279	0.0107441049342041	0.0021280268071241	0.0130419353386492	0.00432114574999003	0.0026144603690467	0.000575759141238194	0.0328938420935301	0.00888075060315186	0.0763325445209978	0.0454851617636933	0.2301151780578	0.0022070612484318	0.00247589854323204	0.00530340036375069	6.59329080612657e-05	0.0012250439117063	8.38375848443322	0.110977645553523	0.00160909615248305	0	0	0	0	0	1.95319307751278	1.14103842921442	0	0	0	25.6536516053842	22.5594206119899	13.6777624276321
