	AL	AM	AT	AZ	BA	BE	BG	BY	CH	CY	CZ	DE	DK	EE	ES	FI	FR	GB	GE	GR	HR	HU	IE	IS	IT	KG	KZ	LT	LU	LV	MD	ME	MK	MT	NL	NO	PL	PT	RO	RS	RU	SE	SI	SK	TJ	TM	TR	UA	UZ	ATL	BAS	BLS	MED	NOS	AST	NOA	BIC	DMS	VOL	SUM	EXC	EU
AL	33.0678382480491	0.000509250642635867	0.130864577523094	0.00270007393774548	0.275068833896334	0.0112139776862319	0.288347705038553	0.0533633878732366	0.0310608799794488	0.000621222019122076	0.166001198672062	0.316387037730807	0.0280259585426779	0.00242653844671749	0.25518838504344	0.00198714465606836	0.14027492236671	0.0209647323888713	0.00251340088225867	0.886057474247292	0.208784134159678	0.420321768794601	0.00614430889463206	0.000168740586216309	1.52379164585912	1.20119104999799e-06	0.00113174007431089	0.0143214497776891	0.00154633836721945	0.00557747893544047	0.0373774578108301	0.41464139056352	0.341393554206473	0.00259894543547301	0.0226627021641811	0.00415760877302881	0.304133110504233	0.0120348337673875	0.597952003050496	3.20406544102843	0.0984376554869063	0.0131841945612185	0.0369645486259517	0.102462968711419	1.27534681886841e-06	0.000278305251956516	0.155681104859178	0.24901932477738	0.00125955474391976	0	0	0	0	0	0.00696921813511664	0.131355853327125	0	0	0	43.5998348073934	43.4615087179311	5.49987658355727
AM	0.00243126084525043	15.7356926358967	0.00170356144636241	4.92899734329476	0.00162588384882643	0.000368161931932772	0.00673450931913492	0.00611882131405484	0.000706623032326121	0.00874497251981241	0.00125333782384193	0.00552534513426717	0.000626989485424737	0.000148083584474338	0.00867603005790746	0.000445239978680037	0.00253611883644633	0.000713979506898966	0.776482726419152	0.00984376621649294	0.00136598114606371	0.0031802578586377	0.000226718200136443	2.63181207399108e-05	0.0106045438612956	0.000121353613737734	0.013293204146168	0.00147732863083106	5.15219654926672e-05	0.000408087078378327	0.00208816891051637	0.000430392481648048	0.00125911586826412	7.47997606661536e-05	0.000673989229908882	0.000280130950526684	0.00730409558590649	0.000561282300472302	0.0204449912997436	0.0083086857262718	0.232701173896561	0.000735616257854595	0.00045893848622859	0.000836213183153407	0.000132014141613034	0.077593311346319	6.22971138338726	0.0288976587312626	0.0503480083195818	0	0	0	0	0	2.17533170264112	0.0371178362171369	0	0	0	30.4054202138362	28.1929707730581	0.0950104815063051
AT	0.00963347962356622	0.00239903687169215	126.930215842231	0.0105649892552409	0.249837292655279	0.419244210776929	0.0635691563215524	0.185034657889237	3.62309273093442	3.90801355907518e-05	6.01902127689983	22.9967751435118	0.233797088186765	0.00967034292885396	0.376463520244444	0.0189165525694149	3.70141820432641	0.337207569686601	0.0128978571381129	0.0095119284125541	1.44393809919329	3.09766366684688	0.0788966533479079	0.00115590619966006	7.73218730183316	2.23832965923862e-06	0.00292459115216377	0.0607300883462111	0.087609628407758	0.0208390665087696	0.0802611699521627	0.00413541526395217	0.00550809646633556	0.000539600653917607	0.539938880749321	0.0291876484788558	2.51315922899239	0.0187364975494183	0.944102232104171	0.646848016254871	0.543914972331534	0.0833777106204282	4.3326103897768	1.14713562577774	1.3668430012235e-06	0.00106609793246061	0.11427337614358	0.738375212792101	0.00682292200477139	0	0	0	0	0	0.00295902169827912	0.100752214161126	0	0	0	189.588962897312	189.48524623982	182.880106413388
AZ	0.00675983751713607	3.93412195043664	0.00697780042282905	119.821694904557	0.00566191885594097	0.00208931711985134	0.0258044191676511	0.0400393592962214	0.0027591882989823	0.0144503661660463	0.00665297677634617	0.0286909034271144	0.0035159220673089	0.00133024096281508	0.0194004437112428	0.00357980749983454	0.00980917413190941	0.00398125498830916	3.04807757121207	0.0266087137188038	0.00539114565421628	0.0147548234109811	0.00109071960113368	0.000212905244229764	0.0312324130170061	0.00158726004964201	0.180783847511082	0.00804744631940431	0.000210864187975926	0.00263029519306655	0.0100117089668722	0.0013409802842598	0.00394447903199096	0.000178280291368833	0.00393908295004172	0.00186255472661106	0.0436017590056425	0.00134378350086745	0.0768440696291735	0.0302381085838901	4.51718802015998	0.00411877548420506	0.00202108734250482	0.00419869660414459	0.00146442029082649	1.16457808572615	4.93268451466779	0.200986882936304	0.671962627957538	0	0	0	0	0	10.7978059636728	0.0821617130702489	0	0	0	149.810423385406	138.930454520798	0.348513327946879
BA	0.146975790881715	0.00242437380712504	1.10335967668942	0.0121420770976232	38.1300715392376	0.0739488601523992	0.292555977996725	0.118175715393203	0.149093504930386	0.000225257838974701	1.01435114679697	2.01684956180127	0.142104268837009	0.00691378058846908	0.42956705784566	0.00721159849894604	0.556582983576015	0.102044253821744	0.00907246766343189	0.0554954650703605	4.7725682862169	2.66934997087763	0.0258102183329307	0.000620484593467746	3.96087389802507	6.26841554609143e-06	0.00569790438004445	0.0397748950931696	0.0121618431431635	0.0169791483607757	0.0900907382775221	0.471299590866413	0.0228086808243598	0.0023042057404741	0.133622455146195	0.0136822919534812	1.44047545882136	0.0188511506112636	1.6765273197993	5.9431073690817	0.354704777539144	0.0474686162289486	0.336124753290166	0.556727898605892	5.04151295409072e-06	0.00127998969714979	0.115382671657162	0.581079316599785	0.00765319148969129	0	0	0	0	0	0.00842683029559637	0.157788297475602	0	0	0	67.8524189214779	67.6862047032271	21.408785736848
BE	0.000635921407076004	0.000347856776238058	0.103171174780694	0.00131631723948414	0.00288479591335653	83.5328187770481	0.00300826080550314	0.0280936083517799	0.245568500820829	5.78256648596295e-06	0.337230890138304	9.34895643925266	0.171931670725166	0.00370760111755237	0.46669955809365	0.011621529883647	21.7829078713003	2.31158012551105	0.00243742625476439	0.000861883162957115	0.00863713675778298	0.044634697530153	0.368746526766779	0.00145544819688103	0.358396666757062	2.54073589887354e-07	0.000186054045491931	0.0162763358048419	1.85409346587268	0.00541380133927063	0.00467377465167331	0.000269324946620228	0.000289941168589383	8.71764292329951e-05	10.912775864124	0.0274973346072214	0.500165395650954	0.0215911485132375	0.0424509908036828	0.0079201093094945	0.0813957620750985	0.0677913705489566	0.0129679124505539	0.0481040180937864	1.88290543521169e-07	0.000154606208121199	0.020897336914981	0.0719631547441318	0.000516426448881475	0	0	0	0	0	0.000250335675897832	0.0188339250148804	0	0	0	132.854222474965	132.835138221627	130.025053269148
BG	0.560327689222012	0.0096204274399714	0.516557944827943	0.0521958721856094	0.493683745183407	0.0652932131451602	60.2415382065654	0.803365881398047	0.108851144307424	0.00280229043544115	0.621901975771179	1.52654086387578	0.166020408715721	0.0190003957311148	0.254384879196734	0.0293910478791755	0.421857209662999	0.100192896180707	0.0452455994481462	3.50763813285051	0.523686941436265	1.91369114363057	0.0283370556308643	0.00107483983098631	1.35525243212116	4.54814541225874e-05	0.0304460718299982	0.167081388979876	0.0103027848417247	0.0504877144812395	0.940512746623574	0.0960108695542261	1.06393339997383	0.00294849983078129	0.133124534589842	0.0289181721724828	2.06482524177115	0.0128641019730655	16.7968770793551	6.97539806226908	2.71772445327294	0.0888802430865008	0.159828383087113	0.442773840345334	4.47212417597349e-05	0.00722375465005219	4.28579123925171	4.80848636507171	0.033506165425943	0	0	0	0	0	0.0273966787177116	0.27294960090295	0	0	0	114.586833831426	114.28648741377	91.1238878491714
BY	0.0449511939898077	0.0131645575820323	0.552804011254251	0.0899136467863775	0.164993657821728	0.431993102508535	0.198890201625533	190.415045323125	0.181609278130162	0.00178837298690617	1.72638414849971	8.61321395300654	1.93421481012369	0.316936533970981	0.252837784100852	0.419989120402309	1.43589687112655	1.19369864044954	0.0808822358736671	0.124165188706696	0.321939703902541	1.57224208067199	0.254292880201241	0.00564210466873268	1.02339637008067	0.00192746094273958	0.18858919044011	8.67435605701882	0.0348773295517117	1.667575658227	0.721339676210621	0.0130017536488384	0.0275410132363058	0.00071120240469443	1.17178117691587	0.259536386548786	33.5113648788893	0.0134790363991202	2.65115762219204	0.76123310283524	16.091466212968	1.51697731318538	0.171788369191605	0.813479885023702	0.00123449776364143	0.0616378398426397	1.26417476838909	19.7983899767523	0.181971980901478	0	0	0	0	0	0.196878587855629	0.129369568092363	0	0	0	301.296726317024	300.970477957934	69.4085338459626
CH	0.00092652069377795	0.000246466029903744	1.47727039025574	0.00098384798502074	0.00667340072944146	0.161167806388529	0.00950361477439168	0.0217309851494136	106.091473563193	5.30900866555004e-06	0.213249573599777	10.2049655125111	0.0300100306944059	0.0010845620017302	0.457105180859956	0.00240100300341204	5.94834171385187	0.18200521651934	0.00144187961280397	0.0012116318573943	0.0300699827612777	0.0899136522678607	0.0365836270819688	0.000240690943431654	4.22434778736105	1.48932292899367e-07	0.000213584432207889	0.0090219412560049	0.0257395718756281	0.00271060576508386	0.00748972273614276	0.000487908482759824	0.000467832787562174	0.000201286720302171	0.16478271021909	0.00492662695759596	0.195262002728747	0.019591980435922	0.100826208324533	0.0316051380728683	0.061725385659236	0.0127182455877964	0.0606911956618887	0.0336113986253727	1.03736125649901e-07	9.62217925406016e-05	0.0153308441897318	0.0712493224523397	0.000492199558744161	0	0	0	0	0	0.000239898076992235	0.0666635869495317	0	0	0	130.079099621153	130.012195109781	23.5123885997818
CY	0.00896160555657752	0.00068234547136011	0.00279056878434678	0.00307139074249396	0.00333160124390119	0.000539069908401949	0.0187609168492295	0.0096729205601993	0.00124110845182977	8.3029518080422	0.00323316527439218	0.00961971557764969	0.00192184440325892	0.000144112320085975	0.0304030992347196	0.000417169934710228	0.00776985078471729	0.00114673284753649	0.00527553115658484	0.112787103062427	0.00328652483062458	0.00793840979854758	0.000433685081692393	1.83361600392311e-05	0.0543804343754954	1.06337249806769e-05	0.000509726760744687	0.00200437942870951	6.92894426767424e-05	0.000486146539944387	0.00562280022534976	0.00081946816419891	0.00542181473203302	0.000636304177160973	0.000947671362122948	0.000312448824080609	0.0157167777502152	0.00187220531075882	0.03649442337634	0.0175464081466223	0.109639833029177	0.0011620073351156	0.000848519849536334	0.00232163109709681	1.83846645683276e-05	0.000308232554472461	3.29749812740197	0.0551014794737122	0.000444623266441215	0	0	0	0	0	0.281042022160041	0.155094401691323	0	0	0	12.5827288109424	12.1465929096872	8.61993716303788
