            ;    AT;    BA;    BE;    BG;    BY;    CH;    CZ;    DE;    DK;    EE;    ES;    FI;    FR;    GB;    GR;    HR;    HU;    IE;    IS;    IT;    LT;    LU;    LV;    MD;    NL;    NO;    PL;    PT;    RO;    RS;    RU;    SE;    SI;    SK;    TR;    UA;   ATL;   BAS;   BLS;   MED;   NOA;   NOS;   BIC
EEZ48       ;     0.171461;     0.036340;     0.592362;     0.041054;     0.041054;     0.091341;     0.096126;     1.940872;     0.337779;     0.036014;     6.245692;     0.055003;     3.051825;     5.734497;     0.029471;     0.023491;     0.034746;     0.667544;     0.050792;     0.545164;     0.018576;     0.072042;     0.015364;     0.040314;     1.012272;     0.257048;     0.121019;     2.231191;     0.041054;     0.041054;     0.037913;     0.216152;     0.049293;     0.019543;     0.015505;     0.038753;    31.128767;     0.371222;     0.005170;     1.010383;     0.012551;     2.147351;     7.311844
EEZ65       ;     0.093723;     0.010026;     0.473481;     0.006885;     0.089911;     0.041684;     0.235132;     2.500171;     1.580068;     0.066433;     0.585084;     0.342344;     1.204075;     7.612870;     0.004641;     0.006694;     0.044809;     0.816552;     0.159313;     0.151426;     0.122068;     0.027758;     0.081395;     0.003181;     0.783616;     1.770478;     1.129064;     0.110673;     0.030784;     0.007565;     0.725362;     0.900467;     0.011831;     0.049733;     0.005269;     0.178036;     3.952332;     1.688820;     0.003137;     0.064195;     0.004107;     4.280368;     0.958438
EEZ71       ;     0.140635;     0.060502;     0.767559;     0.051191;     0.114592;     0.064888;     0.353611;     4.311197;     2.105859;     0.046693;     1.531140;     0.479329;     1.735805;    13.479257;     0.029106;     0.016389;     0.093764;     1.287905;     1.456526;     0.254783;     0.095839;     0.060269;     0.074184;     0.012987;     1.405965;     2.516980;     1.487780;     0.220717;     0.052669;     0.041419;     1.105689;     1.284339;     0.026121;     0.088487;     0.032987;     0.268375;     9.701469;     2.035758;     0.004782;     0.157505;     0.022244;     5.344825;     6.018869
EEZ91       ;     0.258541;     0.050291;     2.789154;     0.031367;     0.030867;     0.241999;     0.352337;     5.351141;     0.503709;     0.018497;    72.987740;     0.144828;    15.055405;    14.925981;     0.043804;     0.065750;     0.057454;     1.330170;     0.057990;     1.305645;     0.024564;     0.225785;     0.023151;     0.016633;     2.334131;     0.447957;     0.220518;    34.782200;     0.035520;     0.024969;     0.100412;     0.356530;     0.072111;     0.020022;     0.029858;     0.068169;    87.294479;     0.611329;     0.006400;    13.466783;     0.717439;     4.684776;     7.104622
EEZ99       ;     0.002711;     0.000548;     0.082393;     0.000684;     0.001183;     0.004630;     0.007828;     0.098669;     0.009694;     0.000667;     0.369089;     0.002566;     0.472205;     0.475627;     0.000476;     0.000448;     0.001116;     0.040537;     0.000751;     0.018699;     0.000574;     0.005088;     0.000548;     0.000077;     0.054082;     0.007211;     0.012532;     0.085656;     0.001645;     0.000553;     0.008484;     0.005110;     0.000466;     0.000562;     0.000343;     0.003371;     0.612443;     0.013563;     0.000035;     0.024918;     0.002541;     0.198056;     0.039620
EEZ100      ;     0.004182;     0.000156;     0.021791;     0.000223;     0.001994;     0.002339;     0.010600;     0.135443;     0.048411;     0.002110;     0.028594;     0.010693;     0.074236;     0.383940;     0.000210;     0.000346;     0.002464;     0.039537;     0.004394;     0.008794;     0.002435;     0.001220;     0.002009;     0.000120;     0.040372;     0.054065;     0.042541;     0.006592;     0.001284;     0.000348;     0.023467;     0.022236;     0.000668;     0.002115;     0.000104;     0.005852;     0.190352;     0.061347;     0.000088;     0.003371;     0.000112;     0.173935;     0.028911
EEZ108      ;     0.082145;     0.030951;     2.959978;     0.037330;     0.061143;     0.062017;     0.199148;     4.593775;     0.809032;     0.035807;     6.685564;     0.204566;    13.473637;    44.412270;     0.025092;     0.017762;     0.059765;     6.222753;     0.127289;     0.330010;     0.039623;     0.138543;     0.028895;     0.006618;     3.271055;     0.827349;     0.774121;     1.618530;     0.051344;     0.031380;     0.446199;     0.402167;     0.016235;     0.042212;     0.029233;     0.104097;    28.928207;     0.893314;     0.003457;     0.662675;     0.013190;    14.002111;     3.305399
EEZ109      ;     0.011506;     0.007297;     0.219372;     0.013277;     0.018307;     0.007611;     0.037959;     0.421526;     0.058405;     0.007642;     0.478390;     0.024957;     0.170448;     2.852047;     0.004723;     0.004472;     0.010364;     0.299751;     0.011598;     0.048094;     0.009018;     0.012528;     0.006109;     0.001714;     0.078429;     0.094638;     0.198782;     0.093866;     0.028323;     0.007270;     0.106274;     0.045041;     0.002945;     0.010258;     0.006391;     0.043124;     1.595346;     0.091113;     0.001373;     0.038546;     0.001463;     2.737709;     0.669996
EEZ110      ;     0.004451;     0.002360;     0.068075;     0.004080;     0.004064;     0.002833;     0.012216;     0.129873;     0.017684;     0.002142;     0.192079;     0.006613;     0.006384;     1.170950;     0.001721;     0.001555;     0.003625;     0.096493;     0.003436;     0.017090;     0.002328;     0.004958;     0.001623;     0.000416;     0.055329;     0.023603;     0.055620;     0.040532;     0.008010;     0.002423;     0.028907;     0.013548;     0.000954;     0.003129;     0.001727;     0.013257;     0.493727;     0.033479;     0.000398;     0.018343;     0.000622;     0.878531;     0.139810
EEZ119      ;     0.000357;     0.000067;     0.001602;     0.000051;     0.000285;     0.000218;     0.000920;     0.009612;     0.006229;     0.000171;     0.002050;     0.001217;     0.003273;     0.030480;     0.000005;     0.000018;     0.000218;     0.003185;     0.001229;     0.000661;     0.000301;     0.000103;     0.000239;     0.000014;     0.003342;     0.007188;     0.004472;     0.000271;     0.000159;     0.000051;     0.002118;     0.004278;     0.000048;     0.000235;     0.000013;     0.000744;     0.017808;     0.006926;     0.000012;     0.000279;     0.000004;     0.015764;     0.004782
