            ;    AT;    BA;    BE;    BG;    BY;    CH;    CZ;    DE;    DK;    EE;    ES;    FI;    FR;    GB;    GR;    HR;    HU;    IE;    IS;    IT;    LT;    LU;    LV;    MD;    NL;    NO;    PL;    PT;    RO;    RS;    RU;    SE;    SI;    SK;    TR;    UA;   ATL;   BAS;   BLS;   MED;   NOA;   NOS;   BIC
EEZ48       ;     0.029548;     0.061519;     0.732768;     0.040918;     0.023686;     0.056045;     0.056521;     1.046116;     0.427477;     0.021483;     1.269794;     0.064190;     7.763784;     1.390538;     0.052399;     0.058055;     0.042802;     0.553583;     0.007613;     0.087390;     0.008498;     0.380972;     0.005688;     0.006016;     0.605559;     0.037238;     0.082510;     0.578141;     0.035584;     0.048080;     0.043642;     0.222069;     0.061494;     0.021079;     0.058740;     0.033473;     0.185954;     0.137487;     0.020450;     0.118960;     0.175976;     0.338991;     1.042166
EEZ65       ;     0.026629;     0.028131;     0.194742;     0.025642;     0.026923;     0.047418;     0.042824;     0.577154;     0.237972;     0.010972;     0.088043;     0.012316;     0.999809;     1.621194;     0.010592;     0.021418;     0.027526;     0.709945;     0.025367;     0.105493;     0.012239;     0.012157;     0.007762;     0.004750;     0.481047;     0.105617;     0.088040;     0.020517;     0.027367;     0.029825;     0.017452;     0.088890;     0.019437;     0.012630;     0.001469;     0.019393;     0.041611;     0.019541;     0.006814;     0.019050;     0.008736;     0.036955;     0.063588
EEZ71       ;     0.060128;     0.050303;     0.305449;     0.049814;     0.029334;     0.087803;     0.133928;     0.607549;     0.222621;     0.051066;     0.263390;     0.041668;     1.238053;     0.985082;     0.024285;     0.032502;     0.049928;     0.550465;     3.339218;     0.171796;     0.032191;     0.031950;     0.028568;     0.020405;     0.534763;     0.130745;     0.120732;     0.049636;     0.041677;     0.041200;     0.053336;     0.094022;     0.046002;     0.060574;     0.014531;     0.036440;     0.090925;     0.072911;     0.040630;     0.056996;     0.038316;     0.114401;     0.178668
EEZ91       ;     0.080826;     0.019160;     0.412153;     0.025492;     0.017944;     0.097979;     0.041225;     0.418460;     0.138459;     0.018390;    10.387139;     0.013442;     8.176908;     0.455753;     0.018509;     0.037401;     0.022866;     0.343104;     0.011264;     0.334594;     0.016268;     0.044442;     0.016665;     0.006959;     0.594312;     0.018310;     0.040951;    28.030235;     0.025580;     0.019761;     0.025884;     0.072169;     0.026582;     0.024025;     0.016691;     0.020458;     0.019841;     0.027649;     0.009399;     0.020361;     0.234931;     0.051557;     0.042901
EEZ99       ;     0.000853;     0.000433;     0.009123;     0.000209;     0.000396;     0.002279;     0.002123;     0.001929;     0.002038;     0.000479;     0.054439;     0.000262;     0.774481;     0.001539;     0.000507;     0.000769;     0.000481;     0.019679;     0.000127;     0.003821;     0.000436;     0.001432;     0.000422;     0.000614;     0.018401;     0.001037;     0.002343;     0.011432;     0.000447;     0.000641;     0.000137;     0.001237;     0.000705;     0.000963;     0.000137;     0.000466;     0.000137;     0.000294;     0.000124;     0.000137;     0.000978;     0.000137;     0.000380
EEZ100      ;     0.000593;     0.000440;     0.009044;     0.000446;     0.000471;     0.001777;     0.000403;     0.027873;     0.016278;     0.000270;     0.003199;     0.000319;     0.071312;     0.103665;     0.000225;     0.000517;     0.000342;     0.052320;     0.000237;     0.003501;     0.000238;     0.000619;     0.000158;     0.000124;     0.017352;     0.002285;     0.002631;     0.000398;     0.000446;     0.000593;     0.000482;     0.004552;     0.000703;     0.000227;     0.000023;     0.000413;     0.000315;     0.000309;     0.000297;     0.000348;     0.000105;     0.003411;     0.000737
EEZ108      ;     0.026183;     0.025193;     0.505057;     0.036593;     0.081268;     0.064979;     0.056324;     0.902713;     0.368748;     0.021069;     0.148886;     0.025295;     8.300220;     9.285604;     0.025677;     0.013284;     0.037934;    45.201027;     0.009789;     0.066119;     0.029971;     0.045553;     0.023314;     0.021411;     1.255033;     0.060756;     0.109961;     0.076902;     0.042057;     0.025092;     0.088386;     0.102359;     0.014587;     0.039538;     0.017230;     0.055776;     0.018386;     0.035637;     0.008424;     0.020496;     0.014789;     0.100440;     0.068932
EEZ109      ;     0.000416;     0.000225;     0.061441;     0.000225;     0.000225;     0.003414;     0.002837;     0.028887;     0.005906;     0.000225;     0.000225;     0.000225;     3.371039;     0.690826;     0.000225;     0.000113;     0.000210;     0.103945;     0.000225;     0.000225;     0.000225;     0.001869;     0.000203;     0.000231;     0.073450;     0.000225;     0.000225;     0.001328;     0.000225;     0.000225;     0.000225;     0.000206;     0.000225;     0.000257;     0.000225;     0.000227;     0.000225;     0.000225;     0.000051;     0.000225;     0.000196;     0.000225;     0.000225
EEZ110      ;     0.000514;     0.000070;     0.018860;     0.000070;     0.000070;     0.002143;     0.000070;     0.008401;     0.001311;     0.000070;     0.000070;     0.000070;     2.146995;     0.059408;     0.000070;     0.000069;     0.000257;     0.026822;     0.000070;     0.000070;     0.000070;     0.000873;     0.000070;     0.000220;     0.026279;     0.000070;     0.000070;     0.000070;     0.000070;     0.000070;     0.000070;     0.000070;     0.000070;     0.000821;     0.000070;     0.000120;     0.000070;     0.000070;     0.000010;     0.000070;     0.000070;     0.000070;     0.000070
EEZ119      ;     0.000107;     0.000127;     0.000926;     0.000121;     0.000169;     0.000254;     0.000398;     0.001530;     0.000835;     0.000050;     0.000133;     0.000099;     0.002249;     0.002624;     0.000022;     0.000057;     0.000189;     0.002668;     0.001024;     0.000297;     0.000109;     0.000042;     0.000054;     0.000016;     0.001654;     0.000600;     0.000273;     0.000058;     0.000152;     0.000078;     0.000121;     0.000509;     0.000099;     0.000127;     0.000003;     0.000218;     0.000126;     0.000130;     0.000098;     0.000111;     0.000137;     0.000118;     0.000290
EEZ123      ;     0.007651;     0.005328;     0.014919;     0.005151;     0.001584;     0.005783;     0.015251;     0.040820;     0.003586;     0.000479;     0.012727;     0.001944;     0.028725;     0.032950;     0.001825;     0.001414;     0.004851;     0.005504;     0.023312;     0.008260;     0.000968;     0.001480;     0.000204;     0.000880;     0.032255;     0.010390;     0.006456;     0.005113;     0.004647;     0.002313;     0.001511;     0.007624;     0.006544;     0.002923;     0.000818;     0.002132;     0.004916;     0.004227;     0.001978;     0.002712;     0.004172;     0.009004;     0.015668
EEZ185      ;     0.003951;     0.000896;     0.021666;     0.000928;     0.022790;     0.010811;     0.000871;     0.566632;     4.127777;     0.003547;     0.001195;     0.003934;     0.047370;     0.003802;     0.000928;     0.002211;     0.003472;     0.023614;     0.001043;     0.008478;     0.010316;     0.001359;     0.005784;     0.001333;     0.235939;     0.332533;     0.033961;     0.001271;     0.003153;     0.000832;     0.003953;     2.528734;     0.001207;     0.002172;     0.001081;     0.007261;     0.000856;     0.003671;     0.000365;     0.000879;     0.000713;     0.000856;     0.000856
