            ;    AT;    BA;    BE;    BG;    BY;    CH;    CZ;    DE;    DK;    EE;    ES;    FI;    FR;    GB;    GR;    HR;    HU;    IE;    IS;    IT;    LT;    LU;    LV;    MD;    NL;    NO;    PL;    PT;    RO;    RS;    RU;    SE;    SI;    SK;    TR;    UA;   ATL;   BAS;   BLS;   MED;   NOA;   NOS;   BIC
EEZ48       ;     0.154851;     0.017310;     0.630826;     0.008794;     0.031704;     0.110897;     0.167141;     1.402546;     0.156773;     0.023939;     4.005123;     0.034714;     4.105983;     3.390463;     0.026957;     0.015483;     0.059963;     0.409737;     0.027337;     0.324118;     0.017951;     0.035295;     0.013810;     0.003683;     0.544759;     0.150743;     0.290610;     0.541405;     0.039724;     0.011310;     0.259380;     0.080255;     0.016552;     0.037004;     0.011359;     0.037316;    11.360250;     0.164138;     0.004347;     0.162075;     0.003010;     1.204286;   305.655090
EEZ65       ;     0.565745;     0.031370;     3.396794;     0.027836;     0.353863;     0.403657;     1.300732;    11.131823;     1.681024;     0.250735;     1.616441;     0.788722;     9.541134;    59.635376;     0.079407;     0.053364;     0.161639;     6.433308;     0.709471;     0.835401;     0.256535;     0.146731;     0.178481;     0.004629;     4.347442;     4.763157;     4.214361;     0.136060;     0.064116;     0.032138;     2.661100;     1.396014;     0.049249;     0.112559;     0.043891;     0.308957;    13.662957;     2.403155;     0.017762;     0.386635;     0.007677;    13.571598;    36.131943
EEZ71       ;     1.174581;     0.125044;     5.253499;     0.055015;     0.435555;     0.789209;     3.299203;    23.787916;     3.025197;     0.281667;     3.551335;     2.433953;    15.732649;    60.898407;     0.160477;     0.103811;     0.399895;     6.947057;     6.936689;     2.083086;     0.406311;     0.232524;     0.310402;     0.061458;     7.418971;     6.656950;     6.615736;     0.156134;     0.211046;     0.096471;     6.676208;     2.705548;     0.101493;     0.235229;     0.069266;     0.317227;    33.328712;     4.375356;     0.033000;     0.884242;     0.049314;    15.619460;   188.564697
EEZ91       ;     0.680960;     0.026666;     1.921626;     0.024430;     0.039573;     0.455540;     0.522072;     5.500170;     0.326132;     0.027774;    55.823402;     0.044403;    14.313420;     7.037966;     0.039861;     0.080453;     0.224659;     0.646198;     0.027504;     0.988510;     0.035312;     0.104918;     0.025876;     0.006174;     1.865782;     0.152284;     0.723600;    27.939850;     0.031753;     0.025394;     0.207175;     0.137696;     0.060932;     0.110293;     0.022382;     0.073866;    33.756172;     0.462262;     0.008501;     2.230899;     0.075731;     3.731194;    39.830666
EEZ99       ;     0.012352;     0.000723;     0.151733;     0.001037;     0.001825;     0.017645;     0.021258;     0.208065;     0.016182;     0.000099;     1.559550;     0.002036;     1.173922;     0.760108;     0.002186;     0.001246;     0.002218;     0.066813;     0.000983;     0.046360;     0.001834;     0.006685;     0.000618;     0.000146;     0.100282;     0.008419;     0.036258;     0.177476;     0.002004;     0.000797;     0.011480;     0.007184;     0.001054;     0.001743;     0.000382;     0.001461;     0.773104;     0.027293;     0.000331;     0.026969;     0.001110;     0.366255;     0.205774
EEZ100      ;     0.027220;     0.001257;     0.121230;     0.001441;     0.018191;     0.019702;     0.045906;     0.404063;     0.088246;     0.011262;     0.104496;     0.017037;     0.494409;     3.037170;     0.003835;     0.002679;     0.008650;     0.334958;     0.017720;     0.037254;     0.009724;     0.005867;     0.007965;     0.000358;     0.159549;     0.140819;     0.139791;     0.009639;     0.004111;     0.001991;     0.067773;     0.041671;     0.002018;     0.006252;     0.002202;     0.013655;     0.627496;     0.085748;     0.000602;     0.015150;     0.000297;     0.583571;     1.233022
EEZ108      ;     1.849750;     0.069522;    12.713566;     0.078653;     0.313894;     1.227420;     3.267300;    25.889927;     1.797226;     0.087483;    14.223982;     0.348483;    48.993645;    81.950287;     0.343702;     0.210763;     0.489269;    26.287025;     0.325408;     3.322557;     0.235640;     0.498334;     0.133421;     0.022325;    11.004095;     1.283184;     4.919819;     1.568750;     0.207801;     0.100456;     2.010449;     0.834738;     0.180510;     0.292505;     0.085217;     0.608342;    50.531479;     2.504477;     0.052804;     1.469963;     0.014102;    29.008850;    73.235901
EEZ109      ;     0.105665;     0.001797;     0.943600;     0.004508;     0.024451;     0.055511;     0.147359;     1.715424;     0.100571;     0.012148;     1.123420;     0.021289;     3.209787;     4.665142;     0.010633;     0.007213;     0.044806;     0.290551;     0.003340;     0.134835;     0.021080;     0.028940;     0.011615;     0.003284;     1.037449;     0.047873;     0.316574;     0.132667;     0.035002;     0.008229;     0.178299;     0.052739;     0.006308;     0.031344;     0.017140;     0.062367;     1.653448;     0.139987;     0.003460;     0.048400;     0.002094;     2.806352;     0.771299
EEZ110      ;     0.056133;     0.000281;     0.270721;     0.000834;     0.005331;     0.029442;     0.076997;     0.660059;     0.036341;     0.001064;     0.391114;     0.005344;     1.239091;     1.380822;     0.003019;     0.002340;     0.020613;     0.082317;     0.001092;     0.052264;     0.002840;     0.009036;     0.001686;     0.000915;     0.266069;     0.014772;     0.108086;     0.051801;     0.011543;     0.002518;     0.033372;     0.016103;     0.003192;     0.011524;     0.003779;     0.014688;     0.466976;     0.040445;     0.000814;     0.014286;     0.000626;     0.845920;     0.217791
EEZ119      ;     0.001467;     0.000202;     0.008838;     0.000060;     0.000860;     0.001226;     0.005374;     0.037577;     0.005912;     0.000612;     0.003582;     0.003722;     0.028810;     0.122206;     0.000231;     0.000085;     0.000365;     0.015638;     0.006222;     0.002706;     0.001129;     0.000341;     0.000620;     0.000008;     0.010532;     0.015877;     0.017903;     0.000218;     0.000374;     0.000143;     0.011787;     0.006314;     0.000118;     0.000238;     0.000126;     0.001045;     0.054438;     0.008860;     0.000069;     0.001429;     0.000056;     0.032725;     0.196951
