            ;    AT;    BA;    BE;    BG;    BY;    CH;    CZ;    DE;    DK;    EE;    ES;    FI;    FR;    GB;    GR;    HR;    HU;    IE;    IS;    IT;    LT;    LU;    LV;    MD;    NL;    NO;    PL;    PT;    RO;    RS;    RU;    SE;    SI;    SK;    TR;    UA;   ATL;   BAS;   BLS;   MED;   NOA;   NOS;   BIC
EEZ48       ;     0.001831;     0.000729;     0.071969;     0.000026;     0.000996;     0.004120;     0.002215;     0.154292;     0.011125;     0.000765;     0.179668;     0.002034;     0.512617;     0.156255;     0.000014;     0.000561;     0.001754;     0.091788;     0.003595;     0.006718;     0.001028;     0.005622;     0.000568;     0.000064;     0.106134;     0.008929;     0.002756;     0.021662;     0.000540;     0.000377;     0.001591;     0.005522;     0.001151;     0.001060;     0.000115;     0.000981;     0.045371;     0.004113;     0.000004;     0.003594;     0.001208;     0.036600;   131.813950
EEZ65       ;     0.103084;     0.020602;     1.019677;     0.009893;     0.101906;     0.132382;     0.467932;     4.468001;     0.900758;     0.029168;     2.126155;     0.120019;     6.782175;    20.924259;     0.006049;     0.023689;     0.049015;     6.028605;     0.509619;     0.201781;     0.084350;     0.047819;     0.034675;     0.012138;     1.352652;     0.708230;     1.577209;     0.308906;     0.080340;     0.026370;     0.187284;     0.403894;     0.015585;     0.044541;     0.012994;     0.166452;     1.039353;     0.168764;     0.004423;     0.042027;     0.007591;     0.963012;    22.994614
EEZ71       ;     0.150350;     0.026218;     2.363705;     0.031317;     0.454485;     0.173482;     0.600681;     8.883108;     2.418994;     0.105403;     8.616341;     0.320893;    14.600257;    22.763060;     0.012933;     0.031809;     0.071750;     7.011261;     9.438553;     0.570887;     0.352990;     0.139929;     0.131704;     0.032866;     3.035134;     1.136306;     3.938210;     1.498407;     0.207029;     0.040717;     0.846355;     0.907319;     0.023549;     0.078345;     0.012117;     0.466598;     1.659123;     0.352044;     0.010947;     0.082091;     0.026138;     1.900934;    82.626678
EEZ91       ;     0.014344;     0.010623;     0.093268;     0.003084;     0.004359;     0.060414;     0.048029;     0.640367;     0.026312;     0.002543;     5.401057;     0.004559;     2.285342;     0.236883;     0.002893;     0.007119;     0.005380;     0.065447;     0.002113;     0.160078;     0.004086;     0.011123;     0.002312;     0.001617;     0.087269;     0.004242;     0.086190;     4.373233;     0.005077;     0.008687;     0.007380;     0.011061;     0.005817;     0.004051;     0.002734;     0.003724;     0.126257;     0.011266;     0.001765;     0.056374;     0.023936;     0.062271;    38.513313
EEZ99       ;     0.001729;     0.000209;     0.033837;     0.000042;     0.000830;     0.005639;     0.006468;     0.096243;     0.008023;     0.000761;     0.479882;     0.000657;     1.074769;     0.110565;     0.000073;     0.000180;     0.000253;     0.050459;     0.000250;     0.002451;     0.000677;     0.002217;     0.000473;     0.000011;     0.041350;     0.000403;     0.011709;     0.044805;     0.000263;     0.000390;     0.001410;     0.003325;     0.000142;     0.000277;     0.000161;     0.000395;     0.010181;     0.001913;     0.000014;     0.002953;     0.001251;     0.004988;     0.392374
EEZ100      ;     0.002996;     0.000281;     0.031223;     0.000255;     0.002103;     0.006305;     0.016430;     0.107761;     0.024427;     0.000848;     0.050688;     0.005384;     0.266133;     0.931880;     0.000288;     0.000149;     0.000519;     0.386843;     0.012932;     0.005927;     0.001455;     0.001892;     0.000822;     0.000344;     0.032784;     0.012925;     0.037062;     0.010035;     0.000894;     0.000294;     0.004937;     0.016159;     0.000310;     0.000685;     0.000712;     0.002684;     0.036796;     0.003765;     0.000073;     0.001440;     0.000196;     0.023403;     0.852960
EEZ108      ;     0.217058;     0.023139;     1.590750;     0.027263;     0.101965;     0.355665;     0.477659;     6.787422;     1.032161;     0.037039;     3.834012;     0.050276;    24.606936;    30.168713;     0.017774;     0.023262;     0.045880;    62.869331;     0.113837;     0.363101;     0.056111;     0.070166;     0.028251;     0.009595;     2.279691;     0.159249;     1.490872;     0.955707;     0.058615;     0.032216;     0.205251;     0.263640;     0.025105;     0.042671;     0.017896;     0.094990;     0.975969;     0.255114;     0.007585;     0.074684;     0.014533;     1.127534;    58.289337
EEZ109      ;     0.002988;     0.001502;     0.254120;     0.000627;     0.005215;     0.003400;     0.016278;     0.448295;     0.028070;     0.004158;     0.268944;     0.002468;     7.303068;     1.413232;     0.000450;     0.000839;     0.001376;     0.276079;     0.000196;     0.003225;     0.002658;     0.007386;     0.002104;     0.000340;     0.253909;     0.001188;     0.066033;     0.041181;     0.001230;     0.001854;     0.010033;     0.007518;     0.000406;     0.000703;     0.001634;     0.004108;     0.002355;     0.006712;     0.000075;     0.002342;     0.001384;     0.001559;     0.470757
EEZ110      ;     0.000796;     0.000696;     0.052945;     0.000232;     0.000951;     0.000695;     0.004296;     0.091679;     0.005768;     0.000553;     0.078372;     0.000321;     3.571330;     0.271132;     0.000154;     0.000304;     0.000445;     0.104986;     0.000079;     0.001030;     0.000459;     0.001465;     0.000327;     0.000044;     0.052968;     0.000319;     0.009310;     0.011900;     0.000281;     0.000850;     0.001001;     0.001395;     0.000100;     0.000241;     0.000155;     0.000598;     0.000131;     0.000938;     0.000015;     0.001108;     0.000578;     0.000131;     0.133920
EEZ119      ;     0.000638;     0.000037;     0.002503;     0.000044;     0.000503;     0.000726;     0.002672;     0.021257;     0.002539;     0.000149;     0.007743;     0.000648;     0.019468;     0.049423;     0.000033;     0.000101;     0.000139;     0.018706;     0.005284;     0.001175;     0.000406;     0.000181;     0.000143;     0.000031;     0.005003;     0.002176;     0.003949;     0.001171;     0.000260;     0.000042;     0.000986;     0.001396;     0.000073;     0.000170;     0.000042;     0.000575;     0.003125;     0.000614;     0.000008;     0.000181;     0.000009;     0.002408;     0.115264
