	AL	AM	AT	AZ	BA	BE	BG	BY	CH	CY	CZ	DE	DK	EE	ES	FI	FR	GB	GE	GR	HR	HU	IE	IS	IT	KG	KZ	LT	LU	LV	MD	ME	MK	MT	NL	NO	PL	PT	RO	RS	RU	SE	SI	SK	TJ	TM	TR	UA	UZ	ATL	BAS	BLS	MED	NOS	AST	NOA	BIC	DMS	VOL	SUM	EXC	EU
AL	42.3919175083516	0.000118829824839719	0.152043007880399	0.000635985702399475	-0.267278807132099	0.0144094551117745	0.0700783144584959	0.0381106359078558	0.0388462601490061	0.000126232524098984	0.0743298007769521	0.394008500788377	0.00875709706261987	0.000241692086729376	0.194211852337625	0.000188922601543988	0.129946366502235	0.0201987173802803	0.00139311060266352	0.979084305379375	0.219452368333372	0.388189191833266	0.00407153119771695	-6.34865630776621e-05	1.32386951440966	-9.75835460517555e-06	0.000273269094615399	0.00338829235555247	0.00179895875636535	0.00147595772435407	0.0144030758115423	-0.0856757891478581	-0.195658626242119	0.00172451060163214	0.0429192635598648	0.000118175735014956	0.046424446188667	0.00692196069383978	0.254990460404191	1.00152471719904	0.0292161258189601	0.0020920599317681	0.0309335631777726	0.0615601546572205	-3.90101643434415e-07	1.91019943823727e-05	-0.0229145794947494	0.0393163434882718	0.000152627160242448	-0.00457646530035449	-3.70513957048145e-05	-0.00228747659070293	-0.430853325155522	0.000946860903441906	-0.00573151980555492	-0.0432338186800354	-0.0279730364362644	-0.0605300776907823	-0.514770814652685	46.3228341037158	47.41188082852	4.42743649871575
AM	0.000577132233178398	21.0943105221136	0.0002262169397627	6.93355013350427	-0.000992615646695718	6.30530007026779e-05	-0.000635158186706404	0.00343275071386946	0.00029694192061356	0.00192225760210399	-0.00014318281062087	0.00463057911421079	0.00102899749476602	1.24136618959407e-07	0.00859987049761647	2.59597091845547e-05	0.00180723541088216	0.000522441727263387	0.806416294953546	0.00127805661350442	0.000149658167766718	0.00102680955628275	9.63463846209149e-05	-2.04470059944627e-05	0.00480988230540634	-6.53681766935624e-05	0.0102067346915227	0.000372941801985726	3.17851889894033e-06	0.000206926922918763	0.00155152482999256	-0.000876539249363045	-0.000778311272686347	8.31637583300471e-06	0.000442447671665965	-4.02874944664848e-05	0.00280167397182171	0.000551096395984602	0.00362760370994344	-0.00280397324388241	0.180672673206675	0.000379592881541699	5.06839250739043e-05	0.000223439372516082	4.42554153703774e-05	0.0668168881687187	5.15477034151975	-0.00463179270216248	0.110283463039855	-0.000529875246642934	-0.000288629271794731	-0.00420176182959508	-0.00973389953542547	-0.000609820130482782	1.97261943288118	0.0144832817340673	0.0104996721229265	-0.00236519641788335	-0.0638770945140665	36.3027934805229	34.3867973707305	0.0340770492115494
AT	0.00545697746766366	2.04227793412865e-05	121.621124548752	0.000321936875775185	0.057504598665001	0.323906687475578	0.0235721524979355	0.0694262402287276	3.39875100928781	-1.049149369592e-05	5.16144568689892	30.2386426918157	0.123028692590296	0.00244764624106263	0.459923127117248	0.00590012019494766	3.20225714631756	0.513911054451021	0.000160622644529969	0.000658093000545593	1.24228574671909	3.00413201962394	0.0989557965127004	-0.000428142879564606	5.4876133899094	-1.40582814244553e-05	0.00207958425577596	0.0194940173098015	0.0734886082035769	0.00616094199351551	0.0319535748164483	-0.00631724775819492	-0.00228172743973151	0.000122132549938358	0.866565778214997	0.0121341705959936	0.982145784393497	0.0282920394823631	0.442262041219133	0.361168619583864	0.080182707927541	0.0359200969538752	4.343976387147	0.846861132100063	-1.32927176356316e-06	6.26584038185732e-05	-0.00550463775744033	0.0628007094732574	0.000872436446061319	-0.00723284862039871	0.0198461387400331	-0.0011758594171633	-0.107743689599856	0.0250481149247976	-0.000950738194089305	0.0195416332292286	0.0158147775018582	-0.0254472648266201	-0.0667525907604564	183.094379867233	183.223432194256	179.155083068192
AZ	0.00121706473844304	5.89043312092976	0.0015967041715323	156.48577776411	-0.00413612654439616	0.000580801406043504	-0.00145141987025955	0.0332618144637154	0.000941265724653844	0.00140868292812724	0.000741502982920889	0.0318661696536893	0.00904629000659333	0.000360639629764482	0.0205166457957039	0.000586656357724608	0.00583351596605304	0.00271379415220185	2.87840998750398	0.000825423705368846	0.000774085813600803	0.00541815847259605	0.000572706799454832	-5.75035395985469e-05	0.0103409915780868	0.000846171805046421	0.0453109696000515	0.00387022248315679	6.43039505188353e-05	0.00202613916963936	0.0114309265090563	-0.00361295419606667	-0.00362186830694143	1.54079721209127e-05	0.00241295550817026	0.000617740487080921	0.0304842797101605	0.00134001823469833	0.029700740749017	-0.00977458563423933	5.45226877227848	0.00441786812970135	0.000407831025730974	0.00154637770380344	0.00198558180978149	0.505864567862418	1.50011510337725	-0.0640944332352	0.766995517772734	-0.00196083487878639	-0.000860752686280136	-0.0226540702340416	-0.0201321945331579	-0.00123451477018294	10.5577854778758	0.00782868329997539	0.000512700064518334	-0.00343676007795994	-0.15155319549319	184.022490930269	173.658196391701	0.16801749418592
BA	0.226609572267664	0.000250679267512014	1.21841915817451	0.000471413074680759	39.434337701253	0.0593984336710729	0.11499390265272	0.123461133980856	0.123522961968047	1.67990860790014e-05	0.763533784257075	2.18557239833023	0.0644268728699059	0.00121102805806774	0.496893581431693	0.00224350827619604	0.498141144750384	0.109302267106062	0.0013420395175009	0.0893153704160123	6.74034161521737	2.78363306019502	0.0188658490689454	-0.000255203149863519	3.93227280738731	2.25232482810194e-06	0.000601514204211844	0.0165956126113799	0.00875478535198545	0.00467475994907909	0.0200462638186581	0.171752816992759	-0.0226507850024098	0.00135952486404746	0.181500450125009	0.00454711784550843	0.438286713346291	0.0196499819499268	0.662139977570414	2.9618066012568	0.0694963926527772	0.0133417420551917	0.27817336100139	0.493769336351019	5.71728512799988e-06	8.54026545290835e-05	0.0127158134193628	0.15382469282854	0.000274089926001926	-0.00487936682181557	0.00319611810826138	-0.00130934598172378	-0.272640089655218	0.00957628279524033	-0.00117819419429715	0.00505680720419483	-0.0151941253025415	-0.0459857682034274	-0.348726646767541	63.8069916856916	64.4790760145105	21.1968278261244
BE	-0.000203042518531904	-3.29445592456808e-05	0.0849735391369487	-5.50909900565942e-05	-0.00127734431771375	88.1637072356942	0.0024253520469591	0.00671042551665939	0.118043072069903	-2.16665364379684e-05	0.0642427510621939	8.24398356677292	0.0664931769721167	-0.000803239823613316	0.388439400653997	0.0017052762875172	23.7297536882005	3.54509340992443	-7.17896460226426e-05	-0.00153121722201506	0.00415312344006076	0.0125799516227494	0.45126952587726	-0.00291127874028062	0.0571362615677541	-1.6498969377329e-05	-4.28723274953663e-05	0.00156901939610702	2.52007647740808	0.000717109465047717	0.000865818957660968	-0.000982092397498588	-0.000321438683826476	3.26538590031366e-06	9.95513847617698	0.00600738995171152	0.0912245062405591	0.0232547374547099	0.0108241775426182	0.0216944233742406	-0.00848659733382364	0.0160861425592999	0.00354585415296132	0.00138415847653834	-3.92114852058391e-06	-6.85559372684608e-05	0.000201447088925168	0.00400909798775303	-5.82398349357148e-05	-0.131673308207584	0.0106842316906371	-0.000113978942602873	-0.0161286676554413	-0.204979801024767	-0.000391144108102346	-9.50176744100948e-05	-0.0701535822440566	-0.0884342822996602	-0.0169280122085816	137.062210464804	137.580424027479	137.437424059936
BG	0.41631645537969	0.0151025944662405	0.854724343548772	0.0664903025490421	-0.0618553679798158	0.116135666164734	83.3236546189932	0.63234129080993	0.128739839010548	-0.000302215858859321	0.597383816618643	2.42282057520393	0.0846944966706575	0.00668973648209916	0.231214161211998	0.00839471435336039	0.505188372136808	0.159388905369273	0.0692792685389806	3.42756083945252	0.572877403746557	2.29128832298558	0.0290094743676246	4.47509729514519e-05	1.22511019319071	6.16411836897023e-05	0.0253151496070093	0.0585763733184048	0.0131565784741148	0.0241157203971719	1.06017238703589	-0.122565219254075	1.43036485619804	0.00106496111030737	0.221573607244466	0.0102900370866465	0.873933018669261	0.018796679424578	15.8273517190228	3.5353542804369	1.77917128381244	0.0300000123200833	0.160490679267263	0.414748575637114	3.30806353571825e-05	0.0118033306719113	4.35197180994484	3.24197623336191	0.0301079369460813	-0.00254397522549052	0.011294362313077	-0.139068932442869	-0.216817857440231	0.0345124780884531	0.0189339167631855	0.0216401836256296	0.021512758200089	-0.0202633536252923	-0.426289264527875	129.423067606666	130.120157290937	113.499641349523
BY	0.0432441006361688	0.00641833196839643	0.400446756829802	0.0408596109042332	-0.0044566295315544	0.283312881408636	0.184641713637305	239.04557592593	0.136482547011241	-3.28751066358139e-06	0.938441481175647	6.38224237768397	1.51784414932262	0.261939546879593	0.293346722398889	0.335851102273664	1.30297528204308	1.00661344332479	0.0304671136010019	0.0629759267746029	0.199409162385647	1.19318567783987	0.198990680856772	0.00162413717661224	0.420651014682095	0.000900690054965904	0.124876321957987	5.68260428869377	0.0255047005547866	1.80081883920546	0.815307712409372	-0.0163285175127315	0.0133636812156633	0.000101716673725517	0.722551946268139	0.193240515260346	21.0416621367533	0.027370228795835	2.75802631176539	0.239520741493926	13.9832007554159	1.03207926199636	0.0818953623926371	0.459823867256617	0.000276574235883619	0.0336567988304191	0.402564420347118	18.9589355705124	0.105288718190592	0.0272493815886904	-0.0423104328536819	-0.00505577231372582	-0.04279053777065	0.106375115526153	0.0568142217711775	-0.0114296787183354	0.263361008126162	0.111377504331068	-0.0687814997113154	323.165131722446	322.77032241247	48.6153032923624
CH	0.000124600603560063	-1.70064212227395e-05	0.624122101088895	-1.82041640476479e-05	-0.0055709316686594	0.128974994485577	-0.00043381789435617	0.00368651751657118	109.967768486348	-2.10484632462806e-05	0.0576857802614648	7.17285386904963	0.00515031501385372	0.000207861666478139	0.436401509727205	0.00115362260571386	5.67233235214431	0.165111709564972	-1.64456310629612e-05	-0.000729466889681489	0.0105162307503209	0.00957054787333954	0.0457871003100271	-7.93048523262842e-05	3.13506452096225	-1.68779139866432e-05	-2.42811228327143e-05	0.00145042934119209	0.024137898270388	0.000614552391873207	0.000520278886206681	-0.00160389138448277	-0.00110256194016776	4.85481288521551e-05	0.238403607095123	0.00138322742650794	0.0230045384044863	0.0230202009241428	0.00264889214003082	-0.00752061269164993	0.00105579065476102	0.00293644003718226	0.0199693831402871	0.00269493886400096	-1.21817202866077e-05	-2.21834964009467e-05	-0.000777298663246872	0.00209645817540353	-1.82111554337122e-05	-0.0151615600553736	0.00146099608253253	-9.32214716490125e-05	-0.0604476063229016	-0.022961192920134	-0.000169056260318107	0.00831857268250074	-0.00948736585748735	-0.0169790838404779	-0.0826746380556945	127.564318821761	127.762512977779	17.8026776109943
CY	0.00698036066553532	0.000812566579480267	0.00504968624073616	0.00274570955498423	-0.00109703119934692	0.00126628044120401	0.0190303441131412	0.00615206523675355	0.00162809537399669	7.16484055780384	0.00374932745464208	0.0205243121177002	0.000675314686480056	0.000246579536443809	0.0204268265702745	9.20525496338184e-05	0.0100583947295807	0.00175430502560882	0.00290735520661894	0.0851735707114054	0.00342081609509877	0.00871107367107016	0.000334039384510679	-4.14579567864227e-06	0.0571987953867388	3.10582770290785e-06	0.00182144776379682	0.000608623839884298	0.000139074948956336	0.000221977658377417	0.00338917074629338	-0.00105777639464638	0.00152006310383991	0.00025415121331679	0.0027490065080047	1.09609881324383e-05	0.0100790776571706	0.00116525148532749	0.0277738814183648	0.00574531203802194	0.0414872508335796	0.000277254210528297	0.00111130665272226	0.00194391407903004	7.32187165133655e-06	0.000313811570354737	1.62785527876118	0.0423790420538824	0.000707357633510216	-7.39814757497515e-05	3.88954673375313e-05	0.00179639099647524	-0.103744082298764	0.000230697516241732	0.36152045797312	0.0865975886137225	0.0133006028817632	-0.0201569501292319	-0.0594219172712479	9.4732708208831	9.19318311860943	7.44887579618979
