	AL	AM	AT	AZ	BA	BE	BG	BY	CH	CY	CZ	DE	DK	EE	ES	FI	FR	GB	GE	GR	HR	HU	IE	IS	IT	KG	KZ	LT	LU	LV	MD	ME	MK	MT	NL	NO	PL	PT	RO	RS	RU	SE	SI	SK	TJ	TM	TR	UA	UZ	ATL	BAS	BLS	MED	NOS	AST	NOA	BIC	DMS	VOL	SUM	EXC	EU
AL	61.6000044818286	0.00934717103665074	0.188624106177205	0.0433030829983484	0.364513649032734	0.0331144771754028	1.79480391769648	0.142720924117001	0.0814656340621207	0.0325970519668398	0.206622535667008	0.546222076364004	0.034909971311802	0.00728450360413454	1.7986031244125	0.00593224671352717	0.62318363370829	0.0615230252174536	0.0465383554314896	5.95602315800926	0.393041890526494	0.615776966176522	0.0102955973239883	0.000246514935813844	6.99437899455258	1.44397397426267e-05	0.0549724218525123	0.0175014127066235	0.00399087151943271	0.00581631964310259	0.466735716427532	1.35896583799214	0.858673435667627	0.0363294568733908	0.0555810925742127	0.00318887189824941	0.61523087593506	0.0828695874525638	1.80221778075067	5.92322572753686	2.19586863614729	0.0143450032482799	0.0482548743853327	0.146529387758734	1.153955740047e-05	0.0102505025832939	4.56060302949534	1.67451154448936	0.00679621035849986	0.0578374960297284	0.00280029612831709	0.0503752045557046	0.423766187617202	0.00699668813946471	0.512615930687789	3.8274763184495	2.43557487626688	0.0832147236810892	-0.0105230227341888	108.923696365461	101.533561666639	22.1316039394509
AM	0.00590836398626243	36.5132915001913	0.0103562064212697	22.4244152165261	0.00546453015089532	0.00485825424786285	0.0278812425643293	0.0224748589336971	0.00663281275945281	0.147236778038006	0.0138552721856423	0.0599440089213016	0.00786804816406593	0.00176134484463682	0.0606135358489926	0.00229118677350879	0.0264347956804223	0.00980718976076692	4.54765254009443	0.0871388199667955	0.00353915898301204	0.0151975026041965	0.00205301249720405	6.65177342146635e-05	0.0613517187559443	0.00159285762450099	0.654628663352383	0.00713567221353079	0.000385698704250157	0.00133318247080222	0.0355194202856223	0.00151826266244178	0.0054514734401529	0.000419081170043598	0.0106886313964327	0.00124934891976913	0.0788049525952501	0.00327144924305131	0.0710031397890039	0.0356084419393738	1.44064817010434	0.00585571784969295	0.00198152500700951	0.00592665016525363	0.000391299918731054	0.634713597715031	56.1051507141729	0.267482787636376	0.404894682286404	0.00403590544265384	0.00138376823220154	0.032303462791269	0.108870221584479	0.0015537578703401	50.4606253806684	1.08721491474197	1.72190949662328	0.0277986868511662	0.086059134559003	177.375504566661	123.843749837297	0.728993776862279
AT	0.183043391176995	0.0123383620692259	112.65996629802	0.0953956429191726	1.13634531969582	1.55083286844394	0.882898006523831	1.27051040941489	13.524480090071	0.00958270651291621	22.5787143516346	116.710758456246	1.3546359606653	0.0399594017516747	0.988866224023247	0.103987354911107	11.4256759806916	2.30465178704207	0.17914607265733	0.370385151388763	4.06933434233127	11.2756764426976	0.430640532990306	0.00844584600365115	17.5715847171971	3.65660569757844e-05	0.167796942488016	0.237505972603599	0.33178553340531	0.0636887827960081	0.489403943954847	0.130310744785811	0.176811094180893	0.00130517890908057	2.94631727947205	0.118809486524334	15.0132673197305	0.0426180029190321	4.79709579548616	4.68795091830458	2.3194602957468	0.305747066867231	7.35553302111438	5.26911372950327	3.24334341955061e-05	0.0231377807732229	2.22274837345172	3.05566555864981	0.0161983832491913	0.116746079694301	0.00986429267518036	0.0237982113857771	0.378236839498895	0.200967106939769	0.251119473423871	0.86818688391349	3.09825922092635	0.209788280062396	0.086564392393194	375.7537267024	370.510195921486	340.692128265877
AZ	0.00843878419113904	10.0395933800938	0.0189240607712815	166.426009716081	0.0140420311527724	0.0138002075188924	0.0514202309614252	0.204198394105203	0.0126648009084966	0.175536061331173	0.036139789153199	0.173558580891814	0.0243325543781239	0.0144008560205897	0.0799821887194222	0.0166196618966938	0.0562379393431762	0.0297200748050356	10.5703539951955	0.105795634835436	0.00731284142207541	0.0301022009820286	0.0045173023815422	0.000207102735011528	0.0961799391071499	0.0113578795728702	1.52141573371718	0.0504631859156732	0.000879797056066493	0.0115445494343229	0.0867363834101725	0.00412994404804458	0.00814919883498736	0.00048791668221727	0.032235283419822	0.00521110911158721	0.283210581208405	0.00488718785149542	0.163437100728291	0.0686083693913805	17.5159707266816	0.0248943105757118	0.0043759238502526	0.014651622764033	0.011913192891648	3.62647806717498	39.9147007151157	1.33208547747062	2.59342297950334	0.00802322791518333	0.00389137913004806	0.0628622997813219	0.132327601878012	0.00453732819369187	109.16959678747	1.38945081091845	2.79400345498873	0.0442752866580486	0.1245924622341	369.23489620456	255.501335565393	1.52564758400535
BA	1.98058504790728	0.019639697616959	3.83870852771967	0.108919700378363	40.0774120185008	0.162623146983008	1.71820928192979	1.04922291044724	0.333735074410709	0.0181219343757375	3.84902352583781	6.52770974502803	0.611635496649295	0.0238697470477832	2.51398601559972	0.0397108881148988	1.6196405401438	0.387399139648179	0.124455938265384	1.59198991015879	17.1641250074541	13.9954754528989	0.0815014646949756	0.00292940308982258	15.1376030385332	1.89703263863921e-05	0.116832567432256	0.259947919233423	0.0215416425049845	0.063497905690367	0.839865106441219	2.04055036715552	0.461054203693297	0.0217784860403612	0.331457925512878	0.0499972292529605	10.1334365520343	0.0926957579989532	7.98702181223279	20.8377264291128	2.81100125999577	0.191293165890319	0.839604355179084	3.56127401796651	8.54735789696376e-06	0.0132803789695607	5.02484916733483	3.42183920407471	0.0114664442411928	0.0854391657378965	0.024621216898496	0.05574645622685	0.739649594167842	0.0507317708156903	0.408209946512554	3.77735252232049	2.55585220302337	0.177464778441958	0.142069885896577	180.127409609148	172.110272069107	92.7848824031016
BE	0.00151698205200334	8.73096561289082e-05	0.844320121246362	0.000385996962099647	0.00747508272735091	55.2817024709099	0.00335683613554016	0.268768466790271	0.655628863272312	2.70942625862857e-05	1.14642953703833	23.4270551189969	0.430102343398086	0.0117571231980665	1.99612363152747	0.0232994149306677	49.3496266389045	8.58816897893167	0.000334859644173334	0.00286337831010918	0.0432744513027966	0.264154321397061	1.36166521846822	-0.00172415786407888	0.796183257816551	-1.33917236576478e-06	0.00288973262102343	0.0734531439764829	1.83081353479744	0.0210900373832174	0.00349049467751943	0.000683828592975313	0.000146121213600039	9.58081354002158e-05	15.8001712175685	0.027918745409485	1.34803910992449	0.0914568666749547	0.0314595883912587	0.0669640901028042	0.155157776030926	0.112695336322289	0.066505985894631	0.211351639809826	4.54430995384852e-06	0.000183559842132032	0.011488787786372	0.115681463446638	0.000166656033820783	0.0902232375915473	0.0221683602606362	0.000148712684078142	0.0549846915172854	-0.823577716834074	0.00124108034808375	0.182049875910454	0.919310349957194	0.018062495510521	0.0100562578340204	164.949157414568	164.474490069788	163.157242205653
BG	2.09534256023829	0.0676168547092124	1.46977255527075	0.544910319837809	1.19733566300342	0.147557252696471	90.8112649933232	2.05370952396215	0.168163106238136	0.0344025193673366	1.53654040587218	3.60485870973226	0.408391856246222	0.0530802850599711	1.45045383273495	0.0764430368363658	0.778916832335951	0.289380244659777	0.516038713481544	13.6256559067848	0.96663431682387	4.54284769890579	0.0406140185849816	0.000943765545459464	3.2355973137896	0.00015139881682458	0.63002114872574	0.26699272297738	0.0112569990764558	0.0643181255299387	8.35850610530555	0.497376958565015	4.16342604705159	0.0106708896316973	0.26618807684449	0.0326050819211025	4.68008068303965	0.073164739750484	56.8831720204988	13.6249469451922	20.2420958873243	0.193276612150491	0.21017171194366	1.28610138678468	0.000213855873633797	0.252583144171886	37.1000458727437	19.4536478710304	0.224026401490632	0.0711103209144355	0.031043731753299	0.204562872409929	0.748986248547939	0.0482364864807756	0.993888326281933	4.2191755050362	3.59344455656672	0.134403012938954	0.214770396516791	308.501134429928	298.241512972481	187.017805747252
BY	0.545709066615655	0.0467933343776772	2.54620825931298	0.343331074230987	1.03838814774314	1.67431767109843	2.5684275189898	225.842402832744	0.705442373395178	0.0131830913107255	6.37813752348645	26.3038057788592	3.47155022862119	0.547120848039658	0.836849696642885	0.830167617948736	6.33752514993645	3.39198187018232	0.201882483520157	1.37263373701036	1.62983409845594	8.34984195109944	0.548437930016688	0.00593881148286412	4.14350082616928	0.00471710902584406	0.945033248616119	14.3211909143673	0.16409286324178	3.03665430910132	12.0137656558739	0.253524509235864	0.563310195753263	0.00357879103267472	3.01463968607176	0.50583940558904	69.7173680166771	0.0254645113128272	22.0396072853038	5.15581490990178	71.5333592937562	2.60865728665598	0.747931472006332	3.83706810952651	0.00967973261021636	0.349759574790047	9.78042388025421	70.4229894440256	0.6383555411073	0.139880374119086	-0.166378064621662	0.261638946268668	0.43591253678705	0.24729796551712	1.4616441561736	1.17651414640543	4.55895250648922	0.128350359028924	0.316485566852198	599.926536160147	591.366237667127	190.459777042478
CH	0.00912210263471957	0.000866003195821618	2.20534462545546	0.00264993541442572	0.0644500831138957	0.978562718135708	0.0222018690275255	0.117141267831602	139.9772553516	0.000214926001439181	1.16465748551934	34.6364034462554	0.0811063356260617	0.00583250294983853	2.23517170818114	0.00852220442543862	26.6966188753625	0.953705101932449	0.00355292245485323	0.0216135947009108	0.117913907120165	0.171527001311741	0.158193397744455	0.00220498877029214	15.6058204811527	2.61029744707048e-06	0.0114140260127438	0.0313174217716005	0.256462239446447	0.00840985323638997	0.0149150158149321	0.00918802539552841	0.00735364878196114	0.000724262851748926	1.15157693843922	0.0110358292422347	1.03045611228763	0.136921031654666	0.103873597553349	0.135249558619771	0.167290785263858	0.0300869761657352	0.176588710911032	0.108191102571139	4.52348459946613e-06	0.000394612458017034	0.10548729216484	0.158270146574964	0.000691814495874258	0.137256829170909	0.00137950139956704	0.0010368136783621	0.206019459828176	0.111281768543439	0.008806301263265	0.761632115539663	2.0183544247917	0.111202711353962	0.0454704815750057	232.298999378558	228.896558971413	88.0980184277912
CY	0.00490987463404952	0.00440127935126734	0.00323027745587596	0.0109265511831502	0.00331295149848051	0.0011903263717241	0.024265043624587	0.0201729539705388	0.00213381483845444	4.48353223536797	0.00374030802380946	0.0157476533477027	0.0015276052368662	0.000639921807050705	0.0623667497506741	0.000506845789328217	0.0220668082500271	0.00275272081080079	0.0142608984253407	0.188389904930085	0.00266257087105823	0.00561807058454677	0.000337723468416681	1.01776961780464e-05	0.0753686362292959	1.55638594459742e-06	0.010479862781308	0.00495042787834785	0.000140581946441904	0.00247007904222546	0.0119710839990418	0.000936021995620492	0.00582262277260299	0.00133893699272691	0.00230433460209394	0.000491953944740507	0.0165566913806551	0.00223743907068484	0.0308261445766489	0.0235271639574002	0.143721081328364	0.00137913890384045	0.00097001410140687	0.00178197550226158	1.10537296204517e-05	0.00323015185878302	4.95720812503313	0.0853181057027293	0.00251724714977698	0.00124972229680574	0.000135866113879097	0.0104974996379788	-0.0437193716877376	0.000353344934477781	3.48492064805887	1.88692155670422	0.457684393043408	-0.0160179706450201	-0.012924151773554	16.033365234837	10.2642636981537	4.95889916591715
